unix_ts,NAME,STATE,PID,PPID,CPU,VM_RSS,VM_SIZE,FD,THREADS,CpuUsageFloat64,VmRSSBytes,VmSizeBytes
1463296554,java,R (running),2905,2881,0.00 %,2.8 MB,30 MB,64,1,0.00,2820000,30132000
1463296555,java,S (sleeping),2905,2881,46.53 %,47 MB,7.2 GB,64,25,46.53,47276000,7249608000
1463296556,java,S (sleeping),2905,2881,26.87 %,54 MB,7.6 GB,64,30,26.87,54092000,7586656000
1463296557,java,S (sleeping),2905,2881,17.94 %,54 MB,7.7 GB,64,32,17.94,54100000,7719784000
1463296558,java,S (sleeping),2905,2881,13.43 %,54 MB,7.7 GB,64,32,13.43,54100000,7719784000
1463296559,java,S (sleeping),2905,2881,10.96 %,54 MB,7.7 GB,64,32,10.96,54100000,7719784000
1463296560,java,S (sleeping),2905,2881,9.14 %,54 MB,7.7 GB,64,32,9.14,54100000,7719784000
1463296561,java,S (sleeping),2905,2881,7.83 %,54 MB,7.7 GB,64,32,7.83,54100000,7719784000
1463296562,java,S (sleeping),2905,2881,7.11 %,54 MB,7.7 GB,64,32,7.11,54532000,7719784000
1463296563,java,S (sleeping),2905,2881,43.79 %,149 MB,7.7 GB,128,32,43.79,149248000,7719784000
1463296564,java,S (sleeping),2905,2881,67.90 %,212 MB,7.7 GB,256,32,67.90,212096000,7721832000
1463296565,java,S (sleeping),2905,2881,78.79 %,258 MB,7.7 GB,512,32,78.79,258100000,7721832000
1463296566,java,S (sleeping),2905,2881,104.07 %,401 MB,7.8 GB,512,33,104.07,400984000,7788396000
1463296567,java,S (sleeping),2905,2881,113.11 %,442 MB,7.8 GB,512,32,113.11,442192000,7788396000
1463296568,java,S (sleeping),2905,2881,123.50 %,709 MB,7.8 GB,512,32,123.50,709152000,7788396000
1463296569,java,S (sleeping),2905,2881,133.98 %,709 MB,7.8 GB,512,33,133.98,709152000,7788396000
1463296570,java,S (sleeping),2905,2881,140.90 %,782 MB,7.8 GB,512,32,140.90,782024000,7788396000
1463296571,java,S (sleeping),2905,2881,148.42 %,866 MB,7.8 GB,512,33,148.42,865992000,7788396000
1463296572,java,S (sleeping),2905,2881,158.28 %,1.1 GB,7.8 GB,512,33,158.28,1102436000,7788396000
1463296573,java,S (sleeping),2905,2881,161.99 %,1.1 GB,7.8 GB,512,32,161.99,1102444000,7788396000
1463296574,java,S (sleeping),2905,2881,164.89 %,1.2 GB,7.8 GB,512,33,164.89,1199264000,7788396000
1463296575,java,S (sleeping),2905,2881,179.20 %,1.2 GB,7.8 GB,512,33,179.20,1219692000,7788396000
1463296576,java,S (sleeping),2905,2881,183.68 %,1.2 GB,7.8 GB,512,32,183.68,1219692000,7788396000
1463296577,java,S (sleeping),2905,2881,184.44 %,1.2 GB,7.8 GB,512,32,184.44,1246316000,7788396000
1463296578,java,S (sleeping),2905,2881,191.28 %,1.7 GB,7.8 GB,512,33,191.28,1668108000,7788396000
1463296579,java,S (sleeping),2905,2881,190.67 %,1.7 GB,7.8 GB,512,33,190.67,1668108000,7788396000
1463296580,java,S (sleeping),2905,2881,191.23 %,1.7 GB,7.8 GB,512,33,191.23,1668170000,7788396000
1463296581,java,S (sleeping),2905,2881,191.79 %,1.7 GB,7.8 GB,512,33,191.79,1668232000,7788396000
1463296582,java,S (sleeping),2905,2881,196.05 %,1.7 GB,7.8 GB,512,33,196.05,1668232000,7788396000
1463296583,java,S (sleeping),2905,2881,202.28 %,1.8 GB,7.8 GB,512,33,202.28,1770324000,7788396000
1463296584,java,S (sleeping),2905,2881,215.37 %,1.8 GB,7.8 GB,512,32,215.37,1789504000,7788396000
1463296585,java,S (sleeping),2905,2881,215.22 %,1.8 GB,7.8 GB,512,32,215.22,1789504000,7788396000
1463296586,java,S (sleeping),2905,2881,216.28 %,1.8 GB,7.8 GB,512,33,216.28,1789504000,7788396000
1463296587,java,S (sleeping),2905,2881,220.32 %,1.8 GB,7.8 GB,512,33,220.32,1833772000,7788396000
1463296588,java,S (sleeping),2905,2881,222.05 %,1.8 GB,7.8 GB,512,33,222.05,1833772000,7788396000
1463296589,java,S (sleeping),2905,2881,224.16 %,1.8 GB,7.8 GB,512,33,224.16,1833772000,7788396000
1463296590,java,S (sleeping),2905,2881,226.41 %,1.9 GB,7.8 GB,512,33,226.41,1885156000,7788396000
1463296591,java,S (sleeping),2905,2881,228.98 %,1.9 GB,7.8 GB,512,33,228.98,1885156000,7788396000
1463296592,java,S (sleeping),2905,2881,230.21 %,1.9 GB,7.8 GB,512,33,230.21,1885156000,7788396000
1463296593,java,S (sleeping),2905,2881,225.95 %,1.9 GB,7.8 GB,512,32,225.95,1885156000,7788396000
1463296594,java,S (sleeping),2905,2881,223.79 %,2.0 GB,7.8 GB,512,32,223.79,1969492000,7788396000
1463296595,java,S (sleeping),2905,2881,238.19 %,2.1 GB,7.8 GB,512,32,238.19,2050808000,7788396000
