unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1463296563,13.231921,15323,15323,43.79,149.25,75.44,159.57,57.12,149.40,58.78,152.74
1463296564,40.905029,22801,38124,67.90,212.10,120.16,255.42,82.42,205.45,90.16,224.32
1463296565,57.724097,19471,57595,78.79,258.10,146.26,390.82,90.48,255.45,105.18,301.46
1463296566,26.119300,38347,95942,104.07,400.98,179.98,425.36,110.47,395.75,131.51,407.36
1463296567,26.845314,37345,133287,113.11,442.19,211.71,682.05,122.76,436.82,149.19,520.35
1463296568,24.873724,40098,173385,123.50,709.15,236.48,738.03,135.38,703.90,165.12,717.03
1463296569,26.629420,37570,210955,133.98,709.15,258.72,1045.26,143.56,703.90,178.75,819.44
1463296570,25.772949,38780,249735,140.90,782.02,273.89,1045.26,152.92,780.00,189.24,869.09
1463296571,24.627801,40625,290360,148.42,865.99,292.96,1128.20,159.07,868.08,200.15,954.09
1463296572,23.587051,42335,332695,158.28,1102.44,306.92,1140.49,168.22,1101.76,211.14,1114.90
1463296573,23.757055,27321,360016,161.99,1102.44,322.52,1618.50,170.97,1101.76,218.49,1274.23
1463296574,47.777782,27126,387142,164.89,1199.26,330.20,1619.24,171.37,1123.10,222.15,1313.87
1463296575,63.831325,16484,403626,179.20,1219.69,324.15,1619.24,189.35,1219.34,230.90,1352.76
1463296576,24.012744,41399,445025,183.68,1219.69,330.31,1619.24,194.42,1219.34,236.14,1352.76
1463296577,25.508238,39252,484277,184.44,1246.32,336.48,1619.24,196.11,1235.73,239.01,1367.10
1463296578,24.225055,41250,525527,191.28,1668.11,348.19,1682.20,198.26,1451.51,245.91,1600.61
1463296579,25.980996,15194,540721,190.67,1668.11,355.31,1682.20,200.41,1667.30,248.80,1672.54
1463296580,57.866822,27763,568484,191.23,1668.17,368.20,1783.43,199.35,1667.30,252.93,1706.30
1463296581,22.293289,44774,613258,191.79,1668.23,375.61,1784.56,199.34,1667.42,255.58,1706.74
1463296582,29.897945,28793,642051,196.05,1668.23,383.60,1784.56,202.27,1667.42,260.64,1706.74
1463296583,226.502989,5003,647054,202.28,1770.32,387.34,1789.00,206.55,1768.78,265.39,1776.03
1463296584,23.873168,42082,689136,215.37,1789.50,376.90,1789.00,221.54,1792.87,271.27,1790.46
1463296585,24.078061,41409,730545,215.22,1789.50,382.89,1789.00,223.65,1792.87,273.92,1790.46
1463296586,25.016791,40018,770563,216.28,1789.50,390.07,1802.84,222.87,1792.87,276.41,1795.07
1463296587,27.345789,36474,807037,220.32,1833.77,395.44,1802.84,225.63,1836.68,280.46,1824.43
1463296588,23.622164,42403,849440,222.05,1833.77,400.90,1895.13,227.21,1836.68,283.39,1855.19
1463296589,27.543566,34781,884221,224.16,1833.77,404.86,1895.13,229.82,1836.68,286.28,1855.19
1463296590,22.774111,45609,929830,226.41,1885.16,408.26,1910.34,231.71,1885.02,288.79,1893.51
1463296591,22.797339,38662,968492,228.98,1885.16,413.72,1910.34,232.75,1885.02,291.82,1893.51
1463296592,0.000000,0,968492,230.21,1885.16,418.98,2031.18,233.69,1885.02,294.29,1933.79
1463296593,96.195246,21832,990324,225.95,1885.16,429.55,2036.89,229.99,1885.02,295.16,1935.69
1463296594,0.000000,0,990324,223.79,1969.49,429.30,2038.59,229.04,2004.57,294.04,2004.22
1463296595,144.684776,13950,1004274,238.19,2050.81,420.81,2038.59,244.04,2064.10,301.01,2051.17
1463296596,23.688287,41958,1046232,244.99,2052.20,415.21,2038.59,249.07,2065.51,303.09,2052.10
1463296597,26.987609,36922,1083154,246.25,2052.20,418.22,2038.61,249.55,2065.51,304.67,2052.11
1463296598,26.007385,38413,1121567,246.63,2052.20,421.34,2038.61,250.46,2065.51,306.14,2052.11
1463296599,38.077730,26087,1147654,248.31,2039.53,424.02,2038.61,251.14,2049.57,307.82,2042.57
1463296600,25.829547,39088,1186742,247.33,2039.53,423.97,2038.61,249.15,2049.65,306.82,2042.60
1463296601,82.560695,7245,1193987,247.87,2039.53,426.51,2038.61,249.36,2049.65,307.91,2042.60
1463296602,550.707002,2002,1195989,243.96,2039.53,419.55,2038.61,243.98,2049.65,302.50,2042.60
1463296603,591.653717,2005,1197994,240.13,2039.53,411.21,2038.61,238.94,2049.65,296.76,2042.60
1463296604,421.552653,1001,1198995,237.09,2039.53,403.09,2038.61,234.10,2049.65,291.43,2042.60
1463296605,0.000000,0,1198995,233.29,2039.53,395.16,2038.61,229.30,2049.65,285.92,2042.60
1463296606,2098.197526,1000,1199995,228.74,2039.53,387.33,2038.61,224.68,2049.65,280.25,2042.60
1463296607,687.212125,4,1199999,226.86,2039.76,379.98,2038.61,217.62,2049.65,274.82,2042.67
1463296608,0.000000,0,1199999,222.66,2039.76,372.71,2038.61,213.44,2049.65,269.60,2042.67
1463296609,0.000000,0,1199999,218.58,2039.76,365.70,2038.61,209.23,2049.78,264.50,2042.72
1463296610,0.000000,0,1199999,214.51,2040.02,359.23,2038.61,207.12,2049.84,260.29,2042.82
1463296611,0.000000,0,1199999,210.44,2040.29,354.08,2038.61,205.02,2049.90,256.51,2042.93
1463296612,0.000000,0,1199999,206.80,2040.29,348.52,2038.50,201.67,2049.78,252.33,2042.86
1463296613,0.000000,0,1199999,203.28,2040.29,342.45,2038.50,198.40,2050.00,248.04,2042.93
1463296614,0.000000,0,1199999,199.75,2040.29,337.43,2038.52,195.14,2050.23,244.11,2043.01
1463296615,0.000000,0,1199999,196.47,2040.00,331.79,2038.52,191.83,2050.23,240.03,2042.92
1463296616,0.000000,0,1199999,193.34,2039.92,328.03,2045.20,188.69,2050.17,236.69,2045.10
1463296617,0.000000,0,1199999,190.68,2042.34,322.71,2045.20,185.54,2050.10,232.98,2045.88
1463296618,0.000000,0,1199999,187.69,2042.47,317.84,2045.20,183.08,2053.92,229.54,2047.20
1463296619,0.000000,0,1199999,184.69,2042.60,313.44,2047.29,180.25,2053.92,226.13,2047.94
1463296620,0.000000,0,1199999,182.13,2042.27,308.62,2047.29,177.41,2053.92,222.72,2047.83
1463296621,0.000000,0,1199999,179.25,2042.27,304.08,2047.93,174.84,2053.92,219.39,2048.04
1463296622,0.000000,0,1199999,177.81,2042.27,299.92,2047.93,172.66,2053.28,216.80,2047.83
1463296623,3351.844078,672,1200671,176.36,2042.27,295.61,2047.93,172.04,2068.20,214.67,2052.80
1463296624,18.898051,41429,1242100,174.75,2042.37,293.20,2052.74,171.08,2068.20,213.01,2054.44
1463296625,16.574215,40224,1282324,177.52,2066.26,296.65,2081.65,170.78,2123.92,214.98,2090.61
1463296626,17.715833,37579,1319903,180.51,2070.34,300.87,2142.61,169.81,2123.92,217.06,2112.29
1463296627,17.358302,38392,1358295,184.86,2110.62,304.10,2142.61,169.16,2121.80,219.37,2125.01
1463296628,17.876659,37313,1395608,188.22,2110.68,308.01,2147.15,168.32,2121.80,221.52,2126.54
1463296629,16.273651,40936,1436544,192.43,2162.00,310.22,2150.19,167.69,2121.80,223.45,2144.66
1463296630,14.718466,43807,1480351,195.72,2162.00,313.04,2154.46,166.97,2121.88,225.24,2146.11
1463296631,381.802503,1163,1481514,198.69,2163.26,315.17,2207.73,166.92,2134.84,226.93,2168.61
1463296632,128.784053,4266,1485780,197.50,2163.74,311.29,2207.73,169.84,2207.80,226.21,2193.09
1463296633,0.000000,0,1485780,195.30,2163.74,307.71,2207.73,169.46,2210.22,224.16,2193.90
1463296634,0.000000,0,1485780,192.91,2163.74,303.83,2207.73,170.99,2226.60,222.58,2199.36
1463296635,0.000000,0,1485780,190.52,2163.74,300.99,2207.73,170.79,2226.95,220.77,2199.47
1463296636,0.000000,0,1485780,188.90,2164.00,298.15,2205.18,173.07,2238.08,220.04,2202.42
1463296637,0.000000,0,1485780,186.92,2149.76,295.58,2205.18,172.22,2237.80,218.24,2197.58
1463296638,0.000000,0,1485780,185.58,2149.97,292.33,2205.18,173.49,2235.30,217.13,2196.82
1463296639,0.000000,0,1485780,183.60,2149.97,288.91,2205.18,172.80,2235.30,215.10,2196.82
1463296640,0.000000,0,1485780,181.62,2149.97,285.75,2205.18,171.98,2235.30,213.12,2196.82
1463296641,237.056934,3420,1489200,179.51,2149.97,282.50,2205.18,171.22,2235.30,211.08,2196.82
1463296642,35.805777,28800,1518000,178.13,2149.75,282.57,2215.97,170.97,2241.88,210.56,2202.53
1463296643,0.000000,0,1518000,176.76,2149.52,283.16,2226.38,176.69,2391.36,212.20,2255.75
1463296644,79.963135,22003,1540003,174.82,2149.52,280.66,2221.50,180.44,2394.98,211.97,2255.33
1463296645,43.718079,29471,1569474,173.59,2149.52,283.45,2221.50,182.99,2395.53,213.34,2255.52
1463296646,31.631337,35388,1604862,172.36,2149.52,285.54,2229.39,183.85,2395.53,213.92,2258.15
1463296647,28.670817,36776,1641638,173.77,2266.60,288.34,2229.39,185.56,2430.70,215.89,2308.90
1463296648,24.668362,40568,1682206,174.65,2266.60,291.48,2263.39,186.83,2510.57,217.65,2346.85
1463296649,27.769947,3366,1685572,175.38,2307.56,295.14,2363.70,186.74,2510.57,219.09,2393.94
1463296650,0.000000,0,1685572,181.92,2343.80,300.41,2444.08,185.75,2510.57,222.69,2432.82
1463296651,108.513633,26773,1712345,185.36,2413.89,301.70,2445.82,184.85,2535.33,223.97,2465.01
1463296652,27.058841,36929,1749274,186.27,2415.58,304.27,2445.82,185.04,2530.49,225.19,2463.96
1463296653,24.793861,40493,1789767,187.85,2415.32,307.24,2446.62,186.47,2553.04,227.19,2471.66
1463296654,23.063251,42703,1832470,188.83,2415.32,310.29,2404.34,187.70,2585.81,228.94,2468.49
1463296655,28.716696,35081,1867551,190.04,2385.84,312.99,2390.45,188.71,2576.60,230.58,2450.96
1463296656,46.382528,21621,1889172,190.10,2385.84,314.88,2380.43,189.59,2558.64,231.52,2441.64
1463296657,37.514968,12809,1901981,188.90,2385.84,315.10,2381.75,189.20,2558.64,231.07,2442.08
1463296658,641.899267,2002,1903983,187.70,2385.84,312.30,2381.75,188.06,2558.64,229.35,2442.08
1463296659,0.000000,0,1903983,185.96,2385.84,309.44,2381.75,186.61,2558.64,227.34,2442.08
1463296660,1630.679755,1000,1904983,183.96,2385.84,306.59,2381.75,185.26,2558.64,225.27,2442.08
1463296661,0.000000,0,1904983,181.96,2385.84,303.71,2381.75,183.91,2558.64,223.19,2442.08
1463296662,1676.494842,6,1904989,180.27,2385.84,300.86,2381.75,182.17,2558.64,221.10,2442.08
1463296663,0.000000,0,1904989,178.44,2385.84,298.12,2381.75,180.44,2558.64,219.00,2442.08
1463296664,0.000000,0,1904989,177.52,2385.84,295.51,2381.75,178.77,2558.64,217.27,2442.08
1463296665,0.000000,0,1904989,176.60,2385.84,293.03,2381.75,177.41,2558.67,215.68,2442.09
1463296666,0.000000,0,1904989,175.23,2385.84,290.53,2381.75,176.05,2558.69,213.94,2442.09
1463296667,0.000000,0,1904989,173.75,2385.84,287.95,2381.75,174.48,2558.69,212.06,2442.09
1463296668,0.000000,0,1904989,172.26,2385.84,285.67,2381.75,172.84,2558.69,210.26,2442.09
1463296669,0.000000,0,1904989,170.84,2385.84,283.24,2381.75,171.21,2558.69,208.43,2442.09
1463296670,0.000000,0,1904989,170.01,2385.07,280.88,2381.75,169.92,2558.75,206.94,2441.86
1463296671,0.000000,0,1904989,169.18,2384.31,278.60,2381.70,168.56,2529.51,205.45,2431.84
1463296672,0.000000,0,1904989,169.50,2384.36,276.38,2381.70,167.21,2500.27,204.36,2422.11
1463296673,0.000000,0,1904989,170.38,2384.71,274.05,2381.70,165.82,2500.27,203.42,2422.23
1463296674,0.000000,0,1904989,171.72,2384.80,271.77,2381.70,164.41,2500.27,202.63,2422.26
1463296675,0.000000,0,1904989,172.05,2384.83,269.72,2381.70,163.01,2500.27,201.59,2422.27
1463296676,0.000000,0,1904989,174.41,2748.26,267.58,2381.70,161.69,2500.27,201.23,2543.41
1463296677,0.000000,0,1904989,179.59,2748.52,265.41,2381.70,160.40,2500.28,201.80,2543.50
1463296678,0.000000,0,1904989,184.51,2888.60,263.25,2381.70,159.11,2500.30,202.29,2590.20
1463296679,0.000000,0,1904989,188.43,2888.60,261.35,2381.70,157.96,2500.30,202.58,2590.20
1463296680,0.000000,0,1904989,188.35,2890.91,259.29,2381.70,156.56,2500.30,201.40,2590.97
1463296681,0.000000,0,1904989,188.96,2981.10,257.31,2381.70,155.86,2500.30,200.71,2621.03
1463296682,0.000000,0,1904989,189.39,3017.20,255.36,2381.70,155.16,2500.30,199.97,2633.07
1463296683,0.000000,0,1904989,190.24,3211.30,253.48,2381.70,154.10,2500.30,199.27,2697.77
1463296684,0.000000,0,1904989,190.42,3269.62,252.12,2381.70,152.83,2500.30,198.46,2717.21
1463296685,0.000000,0,1904989,192.38,2486.38,250.59,2381.70,151.57,2500.30,198.18,2456.13
1463296686,0.000000,0,1904989,191.86,2482.40,250.54,2388.27,150.45,2500.32,197.62,2457.00
1463296687,0.000000,0,1904989,191.54,2488.71,249.36,2388.27,149.38,2500.32,196.76,2459.10
