unix_ts,NAME,STATE,PID,PPID,CPU,VM_RSS,VM_SIZE,FD,THREADS,CpuUsageFloat64,VmRSSBytes,VmSizeBytes
1463295759,java,R (running),14453,14428,0.00 %,1.9 MB,30 MB,64,1,0.00,1856000,30132000
1463295760,java,S (sleeping),14453,14428,52.48 %,57 MB,7.9 GB,64,34,52.48,56664000,7852912000
1463295761,java,S (sleeping),14453,14428,26.87 %,61 MB,8.1 GB,64,38,26.87,60876000,8119168000
1463295762,java,S (sleeping),14453,14428,17.94 %,63 MB,8.1 GB,64,38,17.94,62924000,8119168000
1463295763,java,S (sleeping),14453,14428,13.72 %,63 MB,8.1 GB,64,38,13.72,62924000,8119168000
1463295764,java,S (sleeping),14453,14428,10.98 %,63 MB,8.1 GB,64,38,10.98,62924000,8119168000
1463295765,java,S (sleeping),14453,14428,9.14 %,63 MB,8.1 GB,64,38,9.14,62924000,8119168000
1463295766,java,S (sleeping),14453,14428,8.12 %,64 MB,8.1 GB,64,38,8.12,64116000,8119168000
1463295767,java,S (sleeping),14453,14428,76.81 %,159 MB,8.2 GB,128,38,76.81,159364000,8187780000
1463295768,java,S (sleeping),14453,14428,136.43 %,263 MB,8.2 GB,256,38,136.43,262596000,8187780000
1463295769,java,S (sleeping),14453,14428,156.33 %,398 MB,8.2 GB,512,39,156.33,398256000,8187780000
1463295770,java,S (sleeping),14453,14428,194.57 %,474 MB,8.2 GB,512,39,194.57,473924000,8187780000
1463295771,java,S (sleeping),14453,14428,222.92 %,690 MB,8.2 GB,512,38,222.92,689592000,8187780000
1463295772,java,S (sleeping),14453,14428,249.08 %,746 MB,8.2 GB,512,39,249.08,745576000,8187780000
1463295773,java,S (sleeping),14453,14428,274.02 %,1.1 GB,8.2 GB,512,39,274.02,1053216000,8187780000
1463295774,java,S (sleeping),14453,14428,293.16 %,1.1 GB,8.2 GB,512,39,293.16,1059640000,8187780000
1463295775,java,S (sleeping),14453,14428,309.72 %,1.1 GB,8.2 GB,512,39,309.72,1133040000,8187780000
1463295776,java,S (sleeping),14453,14428,323.51 %,1.4 GB,8.2 GB,512,39,323.51,1364472000,8187780000
1463295777,java,S (sleeping),14453,14428,337.93 %,1.6 GB,8.2 GB,512,39,337.93,1622416000,8187780000
1463295778,java,S (sleeping),14453,14428,336.44 %,1.6 GB,8.2 GB,512,39,336.44,1622416000,8187780000
1463295779,java,S (sleeping),14453,14428,346.84 %,1.6 GB,8.2 GB,512,39,346.84,1622416000,8187780000
1463295780,java,S (sleeping),14453,14428,359.42 %,1.7 GB,8.2 GB,512,39,359.42,1682520000,8187780000
1463295781,java,S (sleeping),14453,14428,366.53 %,1.7 GB,8.2 GB,512,39,366.53,1682520000,8187780000
1463295782,java,S (sleeping),14453,14428,377.08 %,1.8 GB,8.2 GB,512,39,377.08,1791648000,8187780000
1463295783,java,S (sleeping),14453,14428,385.76 %,1.8 GB,8.2 GB,512,39,385.76,1791648000,8187780000
1463295784,java,S (sleeping),14453,14428,393.42 %,1.8 GB,8.2 GB,512,39,393.42,1792908000,8187780000
1463295785,java,S (sleeping),14453,14428,379.92 %,1.8 GB,8.2 GB,512,38,379.92,1792908000,8187780000
1463295786,java,S (sleeping),14453,14428,387.30 %,1.8 GB,8.2 GB,512,39,387.30,1792908000,8187780000
1463295787,java,S (sleeping),14453,14428,394.62 %,1.8 GB,8.2 GB,512,39,394.62,1812624000,8187780000
1463295788,java,S (sleeping),14453,14428,399.28 %,1.8 GB,8.2 GB,512,39,399.28,1812624000,8187780000
1463295789,java,S (sleeping),14453,14428,404.02 %,1.9 GB,8.2 GB,512,39,404.02,1897644000,8187780000
1463295790,java,S (sleeping),14453,14428,409.00 %,1.9 GB,8.2 GB,512,39,409.00,1897644000,8187780000
1463295791,java,S (sleeping),14453,14428,414.11 %,1.9 GB,8.2 GB,512,39,414.11,1916288000,8187780000
1463295792,java,S (sleeping),14453,14428,418.97 %,1.9 GB,8.2 GB,512,39,418.97,1916288000,8187780000
1463295793,java,S (sleeping),14453,14428,426.26 %,2.0 GB,8.2 GB,512,39,426.26,2025916000,8187780000
1463295794,java,S (sleeping),14453,14428,430.41 %,2.0 GB,8.2 GB,512,39,430.41,2029808000,8187780000
1463295795,java,S (sleeping),14453,14428,420.16 %,2.0 GB,8.2 GB,512,38,420.16,2029808000,8187780000
1463295796,java,S (sleeping),14453,14428,411.39 %,2.0 GB,8.2 GB,512,39,411.39,2029808000,8187780000
1463295797,java,S (sleeping),14453,14428,408.47 %,2.0 GB,8.2 GB,512,39,408.47,2029808000,8187780000
1463295798,java,S (sleeping),14453,14428,401.20 %,2.0 GB,8.2 GB,512,39,401.20,2029808000,8187780000
1463295799,java,S (sleeping),14453,14428,393.94 %,2.0 GB,8.2 GB,512,39,393.94,2029808000,8187780000
1463295800,java,S (sleeping),14453,14428,384.74 %,2.0 GB,8.2 GB,512,38,384.74,2029808000,8187780000
1463295801,java,S (sleeping),14453,14428,376.22 %,2.0 GB,8.2 GB,512,38,376.22,2029836000,8187780000
1463295802,java,S (sleeping),14453,14428,367.50 %,2.0 GB,8.2 GB,512,38,367.50,2029836000,8187780000
1463295803,java,S (sleeping),14453,14428,359.45 %,2.0 GB,8.2 GB,512,38,359.45,2033828000,8187780000
1463295804,java,S (sleeping),14453,14428,351.41 %,2.0 GB,8.2 GB,512,38,351.41,2033828000,8187780000
1463295805,java,S (sleeping),14453,14428,344.81 %,2.0 GB,8.2 GB,512,38,344.81,2034240000,8187780000
1463295806,java,S (sleeping),14453,14428,337.52 %,2.0 GB,8.2 GB,512,38,337.52,2034240000,8187780000
1463295808,java,S (sleeping),14453,14428,327.69 %,2.0 GB,8.2 GB,512,38,327.69,2034240000,8187780000
1463295809,java,S (sleeping),14453,14428,322.19 %,2.0 GB,8.2 GB,512,36,322.19,2034196000,8187780000
1463295811,java,S (sleeping),14453,14428,310.70 %,2.0 GB,8.2 GB,512,36,310.70,2034268000,8187780000
1463295812,java,S (sleeping),14453,14428,305.12 %,2.0 GB,8.2 GB,512,36,305.12,2034268000,8187780000
1463295814,java,S (sleeping),14453,14428,294.58 %,2.0 GB,8.2 GB,512,36,294.58,2034268000,8187780000
1463295815,java,S (sleeping),14453,14428,289.38 %,2.0 GB,8.2 GB,512,36,289.38,2034268000,8187780000
1463295817,java,S (sleeping),14453,14428,281.30 %,2.0 GB,8.2 GB,512,37,281.30,2034752000,8187780000
1463295818,java,S (sleeping),14453,14428,277.68 %,2.0 GB,8.2 GB,512,37,277.68,2034752000,8187780000
1463295820,java,S (sleeping),14453,14428,270.43 %,2.0 GB,8.2 GB,512,37,270.43,2035112000,8187780000
1463295821,java,S (sleeping),14453,14428,272.90 %,2.1 GB,8.2 GB,512,37,272.90,2060288000,8187780000
1463295822,java,S (sleeping),14453,14428,276.91 %,2.1 GB,8.2 GB,512,37,276.91,2057528000,8187780000
1463295823,java,S (sleeping),14453,14428,280.03 %,2.1 GB,8.2 GB,512,37,280.03,2057772000,8187780000
1463295824,java,S (sleeping),14453,14428,282.24 %,2.1 GB,8.2 GB,512,37,282.24,2057772000,8187780000
1463295825,java,S (sleeping),14453,14428,285.22 %,2.1 GB,8.2 GB,512,37,285.22,2069672000,8187780000
1463295826,java,S (sleeping),14453,14428,288.08 %,2.1 GB,8.2 GB,512,38,288.08,2069672000,8187780000
1463295827,java,S (sleeping),14453,14428,291.53 %,2.1 GB,8.2 GB,512,38,291.53,2127712000,8187780000
