second,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4
0,13.231921,15323,15323,58.78,152.74,24.185591,21479,21479,2.50,18.15,273.831120,679,679,1.03,6.56
1,40.905029,22801,38124,90.16,224.32,23.676323,41765,63244,52.00,72.03,318.894068,1507,2186,3.51,19.75
2,57.724097,19471,57595,105.18,301.46,27.947794,35478,98722,90.81,85.70,349.607769,2242,4428,5.15,24.65
3,26.119300,38347,95942,131.51,407.36,25.408223,38992,137714,123.28,97.93,251.277492,1971,6399,7.03,29.68
4,26.845314,37345,133287,149.19,520.35,26.605074,37140,174854,152.57,111.15,369.580236,1892,8291,8.32,33.09
5,24.873724,40098,173385,165.12,717.03,26.067876,38209,213063,176.78,126.49,288.563586,1950,10241,9.47,48.06
6,26.629420,37570,210955,178.75,819.44,26.401483,37547,250610,196.87,138.76,330.044108,2582,12823,10.11,51.23
7,25.772949,38780,249735,189.24,869.09,26.558519,37222,287832,214.28,156.31,345.441462,1417,14240,10.68,51.75
8,24.627801,40625,290360,200.15,954.09,26.852570,36926,324758,228.96,165.27,381.840068,2302,16542,10.87,52.01
9,23.587051,42335,332695,211.14,1114.90,27.248106,36442,361200,241.72,177.84,242.942312,2621,19163,11.48,52.94
10,23.757055,27321,360016,218.49,1274.23,27.056776,36695,397895,252.92,194.26,389.221810,1197,20360,12.79,76.91
11,47.777782,27126,387142,222.15,1313.87,27.032453,36891,434786,262.93,206.09,299.864088,2614,22974,12.98,79.36
12,63.831325,16484,403626,230.90,1352.76,27.141295,36493,471279,272.69,221.70,297.737446,1783,24757,13.45,84.38
13,24.012744,41399,445025,236.14,1352.76,26.455338,37635,508914,280.77,235.23,318.988052,2708,27465,13.72,85.26
14,25.508238,39252,484277,239.01,1367.10,27.372839,35957,544871,288.69,244.26,332.647752,1625,29090,13.88,87.06
15,24.225055,41250,525527,245.91,1600.61,27.026356,36961,581832,295.21,259.41,433.053764,1878,30968,15.40,126.41
16,25.980996,15194,540721,248.80,1672.54,27.718652,35568,617400,301.87,274.10,275.346328,2194,33162,15.73,131.84
17,57.866822,27763,568484,252.93,1706.30,26.521371,37696,655096,307.68,286.13,507.951417,1080,34242,15.53,132.98
18,22.293289,44774,613258,255.58,1706.74,26.471980,37638,692734,312.81,296.15,331.863525,2446,36688,15.75,134.98
19,29.897945,28793,642051,260.64,1706.74,27.526690,36076,728810,318.41,311.00,321.352238,1900,38588,15.77,135.07
20,226.502989,5003,647054,265.39,1776.03,26.369776,37451,766261,323.04,329.99,545.646614,1080,39668,16.32,143.00
