second,avg_latency_ms_zookeeper_v3.4.8_snap10k,throughput_zookeeper_v3.4.8_snap10k,cumulative_throughput_zookeeper_v3.4.8_snap10k,avg_cpu_zookeeper_v3.4.8_snap10k,avg_memory_mb_zookeeper_v3.4.8_snap10k,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip
0,14.467535,7106,7106,8.40,57.98,13.231921,15323,15323,58.78,152.74,24.185591,21479,21479,2.50,18.15
1,22.253519,20235,27341,61.06,154.41,40.905029,22801,38124,90.16,224.32,23.676323,41765,63244,52.00,72.03
2,78.411348,14810,42151,104.07,234.30,57.724097,19471,57595,105.18,301.46,27.947794,35478,98722,90.81,85.70
3,28.439954,36396,78547,118.92,305.84,26.119300,38347,95942,131.51,407.36,25.408223,38992,137714,123.28,97.93
4,24.025571,41821,120368,146.69,424.62,26.845314,37345,133287,149.19,520.35,26.605074,37140,174854,152.57,111.15
5,26.266452,38023,158391,165.72,521.25,24.873724,40098,173385,165.12,717.03,26.067876,38209,213063,176.78,126.49
6,24.864502,40166,198557,186.46,721.81,26.629420,37570,210955,178.75,819.44,26.401483,37547,250610,196.87,138.76
7,24.599844,40385,238942,205.58,875.74,25.772949,38780,249735,189.24,869.09,26.558519,37222,287832,214.28,156.31
8,23.167076,43497,282439,219.57,878.45,24.627801,40625,290360,200.15,954.09,26.852570,36926,324758,228.96,165.27
9,23.184011,42877,325316,233.98,1117.32,23.587051,42335,332695,211.14,1114.90,27.248106,36442,361200,241.72,177.84
10,27.920626,22711,348027,243.74,1193.59,23.757055,27321,360016,218.49,1274.23,27.056776,36695,397895,252.92,194.26
11,46.255544,20638,368665,249.98,1280.18,47.777782,27126,387142,222.15,1313.87,27.032453,36891,434786,262.93,206.09
12,38.563376,36578,405243,262.03,1356.51,63.831325,16484,403626,230.90,1352.76,27.141295,36493,471279,272.69,221.70
13,22.695216,43991,449234,269.43,1354.44,24.012744,41399,445025,236.14,1352.76,26.455338,37635,508914,280.77,235.23
14,21.393252,45480,494714,276.18,1412.03,25.508238,39252,484277,239.01,1367.10,27.372839,35957,544871,288.69,244.26
15,26.878819,27952,522666,282.23,1671.69,24.225055,41250,525527,245.91,1600.61,27.026356,36961,581832,295.21,259.41
16,39.032431,32633,555299,283.45,1708.07,25.980996,15194,540721,248.80,1672.54,27.718652,35568,617400,301.87,274.10
17,20.360432,49089,604388,288.59,1708.07,57.866822,27763,568484,252.93,1706.30,26.521371,37696,655096,307.68,286.13
18,25.172301,16172,620560,292.98,1719.20,22.293289,44774,613258,255.58,1706.74,26.471980,37638,692734,312.81,296.15
19,50.576738,31451,652011,298.64,1790.98,29.897945,28793,642051,260.64,1706.74,27.526690,36076,728810,318.41,311.00
20,21.600494,46123,698134,302.59,1791.24,226.502989,5003,647054,265.39,1776.03,26.369776,37451,766261,323.04,329.99
21,23.413011,42705,740839,305.99,1797.81,23.873168,42082,689136,271.27,1790.46,26.886007,36845,803106,327.18,341.40
22,22.382697,44199,785038,309.49,1827.18,24.078061,41409,730545,273.92,1790.46,27.937852,35106,838212,331.27,354.37
23,27.666311,36315,821353,311.49,1855.52,25.016791,40018,770563,276.41,1795.07,28.814872,35210,873422,334.29,363.17
24,24.007131,41787,863140,314.01,1855.52,27.345789,36474,807037,280.46,1824.43,26.624863,36788,910210,338.09,377.47
25,22.510604,44145,907285,316.97,1882.71,23.622164,42403,849440,283.39,1855.19,28.394340,35422,945632,341.27,392.54
26,21.062760,46165,953450,319.45,1882.71,27.543566,34781,884221,286.28,1855.19,28.993905,34314,979946,343.63,410.50
27,0.000000,0,953450,320.86,1919.25,22.774111,45609,929830,288.79,1893.51,27.916558,35545,1015491,346.67,420.72
28,376.001059,3916,957366,318.09,1920.55,22.797339,38662,968492,291.82,1893.51,27.437514,33492,1048983,348.74,428.43
29,0.000000,0,957366,317.34,1983.03,0.000000,0,968492,294.29,1933.79,32.739904,31631,1080614,351.11,444.24
30,65.301820,31214,988580,317.26,2026.67,96.195246,21832,990324,295.16,1935.69,28.122924,36671,1117285,352.84,458.01
31,630.674690,1568,990148,320.29,2040.06,0.000000,0,990324,294.04,2004.22,27.584472,35089,1152374,354.73,469.88
32,864.329337,1057,991205,316.48,2043.22,144.684776,13950,1004274,301.01,2051.17,33.007486,30937,1183311,356.58,482.56
33,637.727997,1863,993068,311.02,2042.38,23.688287,41958,1046232,303.09,2052.10,25.611716,38714,1222025,358.43,499.50
34,619.347724,1120,994188,304.34,2042.38,26.987609,36922,1083154,304.67,2052.11,27.196166,36595,1258620,360.80,505.61
35,671.777892,574,994762,297.13,2042.39,26.007385,38413,1121567,306.14,2052.11,27.588048,34831,1293451,362.82,520.96
36,2048.945213,437,995199,290.32,2042.39,38.077730,26087,1147654,307.82,2042.57,31.091320,33159,1326610,364.62,534.48
37,0.000000,0,995199,283.94,2043.00,25.829547,39088,1186742,306.82,2042.60,28.514887,34834,1361444,366.15,547.59
38,0.000000,0,995199,277.61,2043.00,82.560695,7245,1193987,307.91,2042.60,26.916103,36457,1397901,367.68,558.37
39,0.000000,0,995199,271.77,2043.37,550.707002,2002,1195989,302.50,2042.60,27.884875,35629,1433530,368.92,570.90
40,0.000000,0,995199,266.57,2043.60,591.653717,2005,1197994,296.76,2042.60,28.241071,35205,1468735,370.39,580.79
41,0.000000,0,995199,262.68,2043.60,421.552653,1001,1198995,291.43,2042.60,26.905668,37167,1505902,371.88,592.43
42,0.000000,0,995199,258.39,2043.60,0.000000,0,1198995,285.92,2042.60,27.092961,36951,1542853,373.37,608.44
43,0.000000,0,995199,253.47,2043.58,2098.197526,1000,1199995,280.25,2042.60,27.990504,35423,1578276,374.79,624.08
44,0.000000,0,995199,248.63,2043.22,687.212125,4,1199999,274.82,2042.67,29.295564,34164,1612440,375.75,640.78
45,0.000000,0,995199,244.91,2043.30,0.000000,0,1199999,269.60,2042.67,27.984948,35194,1647634,376.68,650.18
46,0.000000,0,995199,241.27,2043.34,0.000000,0,1199999,264.50,2042.72,27.571825,35918,1683552,377.83,661.93
47,0.000000,0,995199,236.91,2043.34,0.000000,0,1199999,260.29,2042.82,27.275719,37065,1720617,379.20,670.73
48,0.000000,0,995199,233.07,2043.34,0.000000,0,1199999,256.51,2042.93,29.333843,34003,1754620,380.55,690.74
49,0.000000,0,995199,229.65,2043.34,0.000000,0,1199999,252.33,2042.86,29.286372,33868,1788488,381.29,702.02
50,0.000000,0,995199,226.43,2043.43,0.000000,0,1199999,248.04,2042.93,27.771546,35358,1823846,382.02,715.14
51,0.000000,0,995199,223.15,2043.62,0.000000,0,1199999,244.11,2043.01,30.018212,33652,1857498,383.30,726.55
52,0.000000,0,995199,219.89,2043.62,0.000000,0,1199999,240.03,2042.92,29.989932,33147,1890645,384.13,735.22
53,0.000000,0,995199,217.05,2044.31,0.000000,0,1199999,236.69,2045.10,24.120160,40170,1930815,384.81,749.66
54,90.717228,7350,1002549,214.36,2044.99,0.000000,0,1199999,232.98,2045.88,29.648577,34409,1965224,385.63,761.66
55,24.103295,39401,1041950,215.25,2051.18,0.000000,0,1199999,229.54,2047.20,30.897377,32268,1997492,386.37,774.88
56,16.257395,40892,1082842,217.43,2042.98,0.000000,0,1199999,226.13,2047.94,23.620694,2508,,,
57,16.092970,41317,1124159,219.16,2042.32,0.000000,0,1199999,222.72,2047.83,,,,,
58,16.156032,41234,1165393,220.65,2042.44,0.000000,0,1199999,219.39,2048.04,,,,,
59,16.287753,40875,1206268,222.19,2046.41,0.000000,0,1199999,216.80,2047.83,,,,,
60,20.169997,33002,1239270,223.56,2059.64,3351.844078,672,1200671,214.67,2052.80,,,,,
61,15.281017,19156,1258426,224.95,2086.93,18.898051,41429,1242100,213.01,2054.44,,,,,
62,57.625978,17986,1276412,224.30,2086.40,16.574215,40224,1282324,214.98,2090.61,,,,,
63,27.103582,22440,1298852,224.98,2098.04,17.715833,37579,1319903,217.06,2112.29,,,,,
64,588.859874,679,1299531,223.82,2109.04,17.358302,38392,1358295,219.37,2125.01,,,,,
65,0.000000,0,1299531,221.83,2109.04,17.876659,37313,1395608,221.52,2126.54,,,,,
66,134.287062,11921,1311452,219.77,2114.31,16.273651,40936,1436544,223.45,2144.66,,,,,
67,16.271636,41580,1353032,218.87,2119.57,14.718466,43807,1480351,225.24,2146.11,,,,,
68,16.964282,41807,1394839,219.94,2119.57,381.802503,1163,1481514,226.93,2168.61,,,,,
69,18.960464,35121,1429960,221.38,2134.77,128.784053,4266,1485780,226.21,2193.09,,,,,
70,14.112148,47164,1477124,224.63,2351.57,0.000000,0,1485780,224.16,2193.90,,,,,
71,24.440095,27253,1504377,227.63,2352.58,0.000000,0,1485780,222.58,2199.36,,,,,
72,15.856297,6781,1511158,229.98,2387.86,0.000000,0,1485780,220.77,2199.47,,,,,
73,0.000000,0,1511158,228.38,2386.36,0.000000,0,1485780,220.04,2202.42,,,,,
74,526.720560,5468,1516626,227.01,2379.92,0.000000,0,1485780,218.24,2197.58,,,,,
75,49.165203,4919,1521545,225.55,2379.93,0.000000,0,1485780,217.13,2196.82,,,,,
76,0.000000,0,1521545,223.29,2379.93,0.000000,0,1485780,215.10,2196.82,,,,,
77,0.000000,0,1521545,220.72,2379.93,0.000000,0,1485780,213.12,2196.82,,,,,
78,0.000000,0,1521545,218.55,2379.63,237.056934,3420,1489200,211.08,2196.82,,,,,
79,0.000000,0,1521545,216.88,2379.32,35.805777,28800,1518000,210.56,2202.53,,,,,
80,0.000000,0,1521545,214.87,2379.32,0.000000,0,1518000,212.20,2255.75,,,,,
81,0.000000,0,1521545,213.01,2378.70,79.963135,22003,1540003,211.97,2255.33,,,,,
82,0.000000,0,1521545,211.40,2378.39,43.718079,29471,1569474,213.34,2255.52,,,,,
83,0.000000,0,1521545,210.13,2378.08,31.631337,35388,1604862,213.92,2258.15,,,,,
84,0.000000,0,1521545,208.05,2377.87,28.670817,36776,1641638,215.89,2308.90,,,,,
85,0.000000,0,1521545,205.82,2377.66,24.668362,40568,1682206,217.65,2346.85,,,,,
86,0.000000,0,1521545,203.68,2377.66,27.769947,3366,1685572,219.09,2393.94,,,,,
87,0.000000,0,1521545,201.63,2377.66,0.000000,0,1685572,222.69,2432.82,,,,,
88,0.000000,0,1521545,199.56,2376.68,108.513633,26773,1712345,223.97,2465.01,,,,,
89,0.000000,0,1521545,197.29,2373.62,27.058841,36929,1749274,225.19,2463.96,,,,,
90,0.000000,0,1521545,195.30,2373.62,24.793861,40493,1789767,227.19,2471.66,,,,,
91,0.000000,0,1521545,193.71,2373.07,23.063251,42703,1832470,228.94,2468.49,,,,,
92,0.000000,0,1521545,192.09,2372.52,28.716696,35081,1867551,230.58,2450.96,,,,,
93,0.000000,0,1521545,190.22,2372.52,46.382528,21621,1889172,231.52,2441.64,,,,,
94,0.000000,0,1521545,188.87,2372.52,37.514968,12809,1901981,231.07,2442.08,,,,,
95,0.000000,0,1521545,187.51,2372.52,641.899267,2002,1903983,229.35,2442.08,,,,,
96,0.000000,0,1521545,186.49,2372.52,0.000000,0,1903983,227.34,2442.08,,,,,
