second,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip
0,13.231921,15323,15323,58.78,152.74,24.185591,21479,21479,2.50,18.15
1,40.905029,22801,38124,90.16,224.32,23.676323,41765,63244,52.00,72.03
2,57.724097,19471,57595,105.18,301.46,27.947794,35478,98722,90.81,85.70
3,26.119300,38347,95942,131.51,407.36,25.408223,38992,137714,123.28,97.93
4,26.845314,37345,133287,149.19,520.35,26.605074,37140,174854,152.57,111.15
5,24.873724,40098,173385,165.12,717.03,26.067876,38209,213063,176.78,126.49
6,26.629420,37570,210955,178.75,819.44,26.401483,37547,250610,196.87,138.76
7,25.772949,38780,249735,189.24,869.09,26.558519,37222,287832,214.28,156.31
8,24.627801,40625,290360,200.15,954.09,26.852570,36926,324758,228.96,165.27
9,23.587051,42335,332695,211.14,1114.90,27.248106,36442,361200,241.72,177.84
10,23.757055,27321,360016,218.49,1274.23,27.056776,36695,397895,252.92,194.26
11,47.777782,27126,387142,222.15,1313.87,27.032453,36891,434786,262.93,206.09
12,63.831325,16484,403626,230.90,1352.76,27.141295,36493,471279,272.69,221.70
13,24.012744,41399,445025,236.14,1352.76,26.455338,37635,508914,280.77,235.23
14,25.508238,39252,484277,239.01,1367.10,27.372839,35957,544871,288.69,244.26
15,24.225055,41250,525527,245.91,1600.61,27.026356,36961,581832,295.21,259.41
16,25.980996,15194,540721,248.80,1672.54,27.718652,35568,617400,301.87,274.10
17,57.866822,27763,568484,252.93,1706.30,26.521371,37696,655096,307.68,286.13
18,22.293289,44774,613258,255.58,1706.74,26.471980,37638,692734,312.81,296.15
19,29.897945,28793,642051,260.64,1706.74,27.526690,36076,728810,318.41,311.00
20,226.502989,5003,647054,265.39,1776.03,26.369776,37451,766261,323.04,329.99
21,23.873168,42082,689136,271.27,1790.46,26.886007,36845,803106,327.18,341.40
22,24.078061,41409,730545,273.92,1790.46,27.937852,35106,838212,331.27,354.37
23,25.016791,40018,770563,276.41,1795.07,28.814872,35210,873422,334.29,363.17
24,27.345789,36474,807037,280.46,1824.43,26.624863,36788,910210,338.09,377.47
25,23.622164,42403,849440,283.39,1855.19,28.394340,35422,945632,341.27,392.54
26,27.543566,34781,884221,286.28,1855.19,28.993905,34314,979946,343.63,410.50
27,22.774111,45609,929830,288.79,1893.51,27.916558,35545,1015491,346.67,420.72
28,22.797339,38662,968492,291.82,1893.51,27.437514,33492,1048983,348.74,428.43
29,0.000000,0,968492,294.29,1933.79,32.739904,31631,1080614,351.11,444.24
30,96.195246,21832,990324,295.16,1935.69,28.122924,36671,1117285,352.84,458.01
31,0.000000,0,990324,294.04,2004.22,27.584472,35089,1152374,354.73,469.88
32,144.684776,13950,1004274,301.01,2051.17,33.007486,30937,1183311,356.58,482.56
33,23.688287,41958,1046232,303.09,2052.10,25.611716,38714,1222025,358.43,499.50
34,26.987609,36922,1083154,304.67,2052.11,27.196166,36595,1258620,360.80,505.61
35,26.007385,38413,1121567,306.14,2052.11,27.588048,34831,1293451,362.82,520.96
36,38.077730,26087,1147654,307.82,2042.57,31.091320,33159,1326610,364.62,534.48
37,25.829547,39088,1186742,306.82,2042.60,28.514887,34834,1361444,366.15,547.59
38,82.560695,7245,1193987,307.91,2042.60,26.916103,36457,1397901,367.68,558.37
39,550.707002,2002,1195989,302.50,2042.60,27.884875,35629,1433530,368.92,570.90
40,591.653717,2005,1197994,296.76,2042.60,28.241071,35205,1468735,370.39,580.79
41,421.552653,1001,1198995,291.43,2042.60,26.905668,37167,1505902,371.88,592.43
42,0.000000,0,1198995,285.92,2042.60,27.092961,36951,1542853,373.37,608.44
43,2098.197526,1000,1199995,280.25,2042.60,27.990504,35423,1578276,374.79,624.08
44,687.212125,4,1199999,274.82,2042.67,29.295564,34164,1612440,375.75,640.78
45,0.000000,0,1199999,269.60,2042.67,27.984948,35194,1647634,376.68,650.18
46,0.000000,0,1199999,264.50,2042.72,27.571825,35918,1683552,377.83,661.93
47,0.000000,0,1199999,260.29,2042.82,27.275719,37065,1720617,379.20,670.73
48,0.000000,0,1199999,256.51,2042.93,29.333843,34003,1754620,380.55,690.74
49,0.000000,0,1199999,252.33,2042.86,29.286372,33868,1788488,381.29,702.02
50,0.000000,0,1199999,248.04,2042.93,27.771546,35358,1823846,382.02,715.14
51,0.000000,0,1199999,244.11,2043.01,30.018212,33652,1857498,383.30,726.55
52,0.000000,0,1199999,240.03,2042.92,29.989932,33147,1890645,384.13,735.22
53,0.000000,0,1199999,236.69,2045.10,24.120160,40170,1930815,384.81,749.66
54,0.000000,0,1199999,232.98,2045.88,29.648577,34409,1965224,385.63,761.66
55,0.000000,0,1199999,229.54,2047.20,30.897377,32268,1997492,386.37,774.88
56,0.000000,0,1199999,226.13,2047.94,23.620694,2508,,,
57,0.000000,0,1199999,222.72,2047.83,,,,,
58,0.000000,0,1199999,219.39,2048.04,,,,,
59,0.000000,0,1199999,216.80,2047.83,,,,,
60,3351.844078,672,1200671,214.67,2052.80,,,,,
61,18.898051,41429,1242100,213.01,2054.44,,,,,
62,16.574215,40224,1282324,214.98,2090.61,,,,,
63,17.715833,37579,1319903,217.06,2112.29,,,,,
64,17.358302,38392,1358295,219.37,2125.01,,,,,
65,17.876659,37313,1395608,221.52,2126.54,,,,,
66,16.273651,40936,1436544,223.45,2144.66,,,,,
67,14.718466,43807,1480351,225.24,2146.11,,,,,
68,381.802503,1163,1481514,226.93,2168.61,,,,,
69,128.784053,4266,1485780,226.21,2193.09,,,,,
70,0.000000,0,1485780,224.16,2193.90,,,,,
71,0.000000,0,1485780,222.58,2199.36,,,,,
72,0.000000,0,1485780,220.77,2199.47,,,,,
73,0.000000,0,1485780,220.04,2202.42,,,,,
74,0.000000,0,1485780,218.24,2197.58,,,,,
75,0.000000,0,1485780,217.13,2196.82,,,,,
76,0.000000,0,1485780,215.10,2196.82,,,,,
77,0.000000,0,1485780,213.12,2196.82,,,,,
78,237.056934,3420,1489200,211.08,2196.82,,,,,
79,35.805777,28800,1518000,210.56,2202.53,,,,,
80,0.000000,0,1518000,212.20,2255.75,,,,,
81,79.963135,22003,1540003,211.97,2255.33,,,,,
82,43.718079,29471,1569474,213.34,2255.52,,,,,
83,31.631337,35388,1604862,213.92,2258.15,,,,,
84,28.670817,36776,1641638,215.89,2308.90,,,,,
85,24.668362,40568,1682206,217.65,2346.85,,,,,
86,27.769947,3366,1685572,219.09,2393.94,,,,,
87,0.000000,0,1685572,222.69,2432.82,,,,,
88,108.513633,26773,1712345,223.97,2465.01,,,,,
89,27.058841,36929,1749274,225.19,2463.96,,,,,
90,24.793861,40493,1789767,227.19,2471.66,,,,,
91,23.063251,42703,1832470,228.94,2468.49,,,,,
92,28.716696,35081,1867551,230.58,2450.96,,,,,
93,46.382528,21621,1889172,231.52,2441.64,,,,,
94,37.514968,12809,1901981,231.07,2442.08,,,,,
95,641.899267,2002,1903983,229.35,2442.08,,,,,
96,0.000000,0,1903983,227.34,2442.08,,,,,
97,1630.679755,1000,1904983,225.27,2442.08,,,,,
98,0.000000,0,1904983,223.19,2442.08,,,,,
99,1676.494842,6,1904989,221.10,2442.08,,,,,
100,0.000000,0,1904989,219.00,2442.08,,,,,
101,0.000000,0,1904989,217.27,2442.08,,,,,
102,0.000000,0,1904989,215.68,2442.09,,,,,
103,0.000000,0,1904989,213.94,2442.09,,,,,
104,0.000000,0,1904989,212.06,2442.09,,,,,
105,0.000000,0,1904989,210.26,2442.09,,,,,
106,0.000000,0,1904989,208.43,2442.09,,,,,
107,0.000000,0,1904989,206.94,2441.86,,,,,
108,0.000000,0,1904989,205.45,2431.84,,,,,
109,0.000000,0,1904989,204.36,2422.11,,,,,
110,0.000000,0,1904989,203.42,2422.23,,,,,
111,0.000000,0,1904989,202.63,2422.26,,,,,
112,0.000000,0,1904989,201.59,2422.27,,,,,
113,0.000000,0,1904989,201.23,2543.41,,,,,
114,0.000000,0,1904989,201.80,2543.50,,,,,
115,0.000000,0,1904989,202.29,2590.20,,,,,
116,0.000000,0,1904989,202.58,2590.20,,,,,
117,0.000000,0,1904989,201.40,2590.97,,,,,
