second,avg_latency_ms_etcdv3_gotip_nocompression,throughput_etcdv3_gotip_nocompression,cumulative_throughput_etcdv3_gotip_nocompression,avg_cpu_etcdv3_gotip_nocompression,avg_memory_mb_etcdv3_gotip_nocompression,avg_latency_ms_etcdv3_gotip_snappy,throughput_etcdv3_gotip_snappy,cumulative_throughput_etcdv3_gotip_snappy,avg_cpu_etcdv3_gotip_snappy,avg_memory_mb_etcdv3_gotip_snappy
0,70.179297,8,8,2.49,17.23,88.620413,2,2,2.37,19.45
1,82.683554,12,20,8.33,222.36,102.682660,10,12,7.17,191.62
2,85.336903,12,32,12.22,342.56,90.653996,10,22,11.00,290.06
3,85.792444,12,44,15.59,466.18,90.797737,12,34,14.23,423.32
4,83.128586,12,56,18.08,589.42,85.220737,11,45,17.08,529.23
5,81.726240,12,68,20.12,705.24,84.130577,12,57,19.43,657.73
6,85.383057,12,80,21.78,808.49,86.716056,12,69,21.21,775.59
7,82.779504,12,92,23.34,953.74,88.890971,11,80,22.76,870.32
8,145.870106,7,99,25.98,1058.05,89.833216,11,91,24.14,1022.67
9,805.899813,1,100,25.35,1108.18,115.310938,8,99,24.86,1112.78
10,667.935209,1,101,24.18,1130.05,805.121332,1,100,23.90,1136.26
11,732.541318,2,103,23.36,1160.07,668.785360,1,101,23.03,1139.38
12,799.118955,1,104,22.30,1164.55,734.216844,2,103,22.29,1144.50
13,669.108580,1,105,21.56,1166.97,800.986342,1,104,21.34,1154.43
14,732.842856,2,107,20.93,1169.62,668.905770,1,105,20.64,1165.75
15,800.157162,1,108,20.16,1172.84,734.786539,2,107,20.18,1188.73
16,667.659139,1,109,19.69,1187.78,800.476406,1,108,19.43,1194.69
17,733.793513,2,111,19.17,1191.71,667.821833,1,109,18.92,1209.24
18,799.109597,1,112,18.54,1201.58,735.243455,2,111,18.54,1211.30
19,678.879177,1,113,18.19,1206.03,800.898998,1,112,18.04,1216.27
20,734.194567,2,115,17.75,1212.50,734.482907,2,114,17.66,1221.94
21,799.552207,1,116,17.24,1227.95,668.827449,1,115,17.31,1221.94
22,668.485805,1,117,17.02,1255.36,799.249936,1,116,16.87,1231.91
23,733.927262,2,119,16.68,1257.77,735.229565,2,118,16.53,1252.11
24,806.398509,1,120,16.27,1269.81,668.269219,1,119,16.28,1272.58
25,732.838956,2,122,16.07,1303.81,820.364779,1,120,15.95,1288.86
26,668.759856,1,123,15.77,1307.49,734.702937,2,122,15.63,1297.13
27,797.802699,1,124,15.48,1326.87,668.841141,1,123,15.44,1302.47
28,734.082150,2,126,15.26,1328.35,735.115345,2,125,15.11,1306.04
29,667.471333,1,127,14.99,1338.98,799.167156,1,126,14.83,1313.05
30,800.509887,1,128,14.78,1356.00,668.419547,1,127,14.63,1320.70
31,733.439607,2,130,14.55,1356.00,735.777299,2,129,14.37,1340.14
32,668.415546,1,131,14.33,1358.50,798.284376,1,130,14.17,1358.10
33,742.404685,2,133,14.16,1389.97,669.187278,1,131,13.96,1382.78
34,799.967065,1,134,13.93,1402.10,734.154455,2,133,13.80,1382.78
