2016-05-28 00:17:31.372161 I | etcdmain: etcd Version: 3.0.0-beta.0+git
2016-05-28 00:17:31.372242 I | etcdmain: Git SHA: 10ca728
2016-05-28 00:17:31.372250 I | etcdmain: Go Version: devel +795809b Fri May 27 23:39:38 2016 +0000
2016-05-28 00:17:31.372257 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-28 00:17:31.372265 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-28 00:17:31.372338 I | etcdmain: listening for peers on http://10.240.0.21:2380
2016-05-28 00:17:31.372364 I | etcdmain: listening for client requests on 10.240.0.21:2379
2016-05-28 00:17:31.378152 I | etcdserver: name = etcd-1
2016-05-28 00:17:31.378185 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-28 00:17:31.378199 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-28 00:17:31.378209 I | etcdserver: heartbeat = 100ms
2016-05-28 00:17:31.378227 I | etcdserver: election = 1000ms
2016-05-28 00:17:31.378237 I | etcdserver: snapshot count = 10000
2016-05-28 00:17:31.378250 I | etcdserver: advertise client URLs = http://10.240.0.21:2379
2016-05-28 00:17:31.378258 I | etcdserver: initial advertise peer URLs = http://10.240.0.21:2380
2016-05-28 00:17:31.378282 I | etcdserver: initial cluster = etcd-1=http://10.240.0.21:2380,etcd-2=http://10.240.0.22:2380,etcd-3=http://10.240.0.23:2380
2016-05-28 00:17:31.381074 I | etcdserver: starting member 2087a91b2ccc6d93 in cluster e05fb31d21672c21
2016-05-28 00:17:31.381125 I | raft: 2087a91b2ccc6d93 became follower at term 0
2016-05-28 00:17:31.381137 I | raft: newRaft 2087a91b2ccc6d93 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-28 00:17:31.381147 I | raft: 2087a91b2ccc6d93 became follower at term 1
2016-05-28 00:17:31.381279 I | etcdserver: no compression enabled
2016-05-28 00:17:31.392956 I | etcdserver: starting server... [version: 3.0.0-beta.0+git, cluster version: to_be_decided]
2016-05-28 00:17:31.394511 N | etcdserver: added local member 2087a91b2ccc6d93 [http://10.240.0.21:2380] to cluster e05fb31d21672c21
2016-05-28 00:17:31.394846 N | etcdserver: added member 21d3c625100d5241 [http://10.240.0.22:2380] to cluster e05fb31d21672c21
2016-05-28 00:17:31.395111 N | etcdserver: added member 3e07e8086be420d2 [http://10.240.0.23:2380] to cluster e05fb31d21672c21
2016-05-28 00:17:32.281470 I | raft: 2087a91b2ccc6d93 is starting a new election at term 1
2016-05-28 00:17:32.281565 I | raft: 2087a91b2ccc6d93 became candidate at term 2
2016-05-28 00:17:32.281580 I | raft: 2087a91b2ccc6d93 received vote from 2087a91b2ccc6d93 at term 2
2016-05-28 00:17:32.281600 I | raft: 2087a91b2ccc6d93 [logterm: 1, index: 3] sent vote request to 21d3c625100d5241 at term 2
2016-05-28 00:17:32.281613 I | raft: 2087a91b2ccc6d93 [logterm: 1, index: 3] sent vote request to 3e07e8086be420d2 at term 2
2016-05-28 00:17:32.392811 I | rafthttp: the connection with 21d3c625100d5241 became active
2016-05-28 00:17:32.881818 I | raft: 2087a91b2ccc6d93 [logterm: 1, index: 3, vote: 2087a91b2ccc6d93] rejected vote from 21d3c625100d5241 [logterm: 1, index: 3] at term 2
2016-05-28 00:17:33.392463 I | rafthttp: the connection with 3e07e8086be420d2 became active
2016-05-28 00:17:33.581481 I | raft: 2087a91b2ccc6d93 is starting a new election at term 2
2016-05-28 00:17:33.581553 I | raft: 2087a91b2ccc6d93 became candidate at term 3
2016-05-28 00:17:33.581564 I | raft: 2087a91b2ccc6d93 received vote from 2087a91b2ccc6d93 at term 3
2016-05-28 00:17:33.581578 I | raft: 2087a91b2ccc6d93 [logterm: 1, index: 3] sent vote request to 21d3c625100d5241 at term 3
2016-05-28 00:17:33.581587 I | raft: 2087a91b2ccc6d93 [logterm: 1, index: 3] sent vote request to 3e07e8086be420d2 at term 3
2016-05-28 00:17:33.584865 I | raft: 2087a91b2ccc6d93 received vote from 21d3c625100d5241 at term 3
2016-05-28 00:17:33.584883 I | raft: 2087a91b2ccc6d93 [quorum:2] has received 2 votes and 0 vote rejections
2016-05-28 00:17:33.584907 I | raft: 2087a91b2ccc6d93 became leader at term 3
2016-05-28 00:17:33.584921 I | raft: raft.node: 2087a91b2ccc6d93 elected leader 2087a91b2ccc6d93 at term 3
2016-05-28 00:17:33.587976 I | etcdserver: published {Name:etcd-1 ClientURLs:[http://10.240.0.21:2379]} to cluster e05fb31d21672c21
2016-05-28 00:17:33.587993 I | etcdmain: ready to serve client requests
2016-05-28 00:17:33.588120 N | etcdmain: serving insecure client requests on 10.240.0.21:2379, this is strongly discouraged!
2016-05-28 00:17:33.588138 E | etcdmain: failed to notify systemd for readiness: No socket
2016-05-28 00:17:33.588162 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-05-28 00:17:33.588698 I | etcdserver: setting up the initial cluster version to 3.0
2016-05-28 00:17:33.589982 N | membership: set the initial cluster version to 3.0
2016-05-28 00:17:33.893904 I | api: enabled capabilities for version 3.0.0
2016-05-28 00:17:40.903892 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-000000000000002c.wal is created
2016-05-28 00:17:42.624321 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-0000000000000044.wal is created
2016-05-28 00:17:44.288037 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000003-000000000000005b.wal is created
2016-05-28 00:17:45.947051 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000004-0000000000000073.wal is created
2016-05-28 00:17:48.780849 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000005-000000000000008b.wal is created
