unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1464394659,70.179297,8,8,2.87,23.03,2.28,13.21,2.33,15.44,2.49,17.23
1464394660,82.683554,12,20,10.20,264.98,7.23,200.72,7.55,201.38,8.33,222.36
1464394661,85.336903,12,32,15.35,424.24,10.20,284.67,11.10,318.77,12.22,342.56
1464394662,85.792444,12,44,19.85,563.70,13.06,429.49,13.86,405.35,15.59,466.18
1464394663,83.128586,12,56,23.42,697.65,15.05,537.10,15.77,533.50,18.08,589.42
1464394664,81.726240,12,68,26.23,805.08,16.71,664.41,17.41,646.24,20.12,705.24
1464394665,85.383057,12,80,28.63,938.86,18.10,762.86,18.62,723.74,21.78,808.49
1464394666,82.779504,12,92,30.70,1064.98,19.37,915.11,19.95,881.12,23.34,953.74
1464394667,145.870106,7,99,32.65,1193.52,24.27,961.64,21.01,1018.99,25.98,1058.05
1464394668,805.899813,1,100,31.61,1229.02,24.42,1068.32,20.01,1027.21,25.35,1108.18
1464394669,667.935209,1,101,30.29,1278.00,23.23,1076.65,19.01,1035.49,24.18,1130.05
1464394670,732.541318,2,103,29.27,1298.50,22.38,1086.50,18.42,1095.20,23.36,1160.07
1464394671,799.118955,1,104,27.76,1305.56,21.41,1086.50,17.73,1101.59,22.30,1164.55
1464394672,669.108580,1,105,27.09,1305.56,20.64,1086.50,16.95,1108.85,21.56,1166.97
1464394673,732.842856,2,107,26.41,1305.56,19.93,1094.46,16.45,1108.85,20.93,1169.62
1464394674,800.157162,1,108,25.32,1315.22,19.26,1094.46,15.91,1108.85,20.16,1172.84
1464394675,667.659139,1,109,24.81,1318.84,18.80,1127.24,15.46,1117.27,19.69,1187.78
1464394676,733.793513,2,111,24.31,1322.46,18.19,1127.24,15.00,1125.42,19.17,1191.71
1464394677,799.109597,1,112,23.41,1322.46,17.62,1127.24,14.58,1155.03,18.54,1201.58
1464394678,678.879177,1,113,23.01,1326.63,17.29,1136.42,14.28,1155.03,18.19,1206.03
1464394679,734.194567,2,115,22.61,1330.79,16.79,1143.37,13.84,1163.34,17.75,1212.50
1464394680,799.552207,1,116,21.95,1364.31,16.33,1156.20,13.44,1163.34,17.24,1227.95
1464394681,668.485805,1,117,21.61,1364.31,16.25,1231.00,13.21,1170.77,17.02,1255.36
1464394682,733.927262,2,119,21.26,1364.31,15.88,1238.24,12.90,1170.77,16.68,1257.77
1464394683,806.398509,1,120,20.67,1371.98,15.49,1238.24,12.66,1199.21,16.27,1269.81
1464394684,732.838956,2,122,20.38,1375.63,15.23,1245.79,12.61,1290.01,16.07,1303.81
1464394685,668.759856,1,123,20.09,1379.29,14.89,1245.79,12.34,1297.38,15.77,1307.49
1464394686,797.802699,1,124,19.63,1424.30,14.71,1255.29,12.11,1301.02,15.48,1326.87
1464394687,734.082150,2,126,19.40,1428.47,14.44,1255.29,11.94,1301.28,15.26,1328.35
1464394688,667.471333,1,127,19.17,1432.64,14.12,1268.01,11.68,1316.28,14.99,1338.98
1464394689,800.509887,1,128,18.74,1442.50,14.06,1301.03,11.55,1324.48,14.78,1356.00
1464394690,733.439607,2,130,18.52,1442.50,13.79,1301.03,11.34,1324.48,14.55,1356.00
1464394691,668.415546,1,131,18.30,1442.50,13.57,1308.52,11.13,1324.48,14.33,1358.50
1464394692,742.404685,2,133,17.97,1465.32,13.43,1316.88,11.07,1387.72,14.16,1389.97
1464394693,799.967065,1,134,17.68,1501.70,13.20,1316.88,10.92,1387.72,13.93,1402.10
1464394694,667.869031,1,135,17.50,1501.70,13.03,1316.88,10.77,1394.51,13.77,1404.36
1464394695,732.897354,2,137,17.33,1501.70,12.93,1357.33,10.61,1394.51,13.62,1417.85
1464394696,800.494992,1,138,17.04,1514.30,12.80,1401.68,10.43,1394.51,13.42,1436.83
1464394697,667.879784,1,139,16.90,1518.58,12.82,1448.89,10.38,1402.44,13.37,1456.64
1464394698,736.459445,2,141,16.76,1522.86,12.63,1448.89,10.23,1415.36,13.21,1462.37
1464394699,801.275779,1,142,16.56,1592.51,12.47,1448.89,10.10,1415.36,13.04,1485.59
1464394700,665.455871,1,143,16.42,1596.17,12.38,1455.18,10.10,1483.92,12.97,1511.76
1464394701,733.371305,2,145,16.29,1599.82,12.20,1463.11,9.97,1493.60,12.82,1518.84
1464394702,800.738197,1,146,16.06,1606.01,12.06,1463.11,9.87,1493.60,12.66,1520.91
1464394703,667.373119,1,147,15.95,1606.01,11.96,1463.11,9.79,1501.18,12.57,1523.43
1464394704,733.108982,2,149,15.84,1606.01,11.79,1471.34,9.66,1501.18,12.43,1526.18
1464394705,800.196801,1,150,15.64,1615.36,11.71,1512.50,9.57,1501.18,12.31,1543.01
1464394706,735.241014,2,152,15.57,1652.44,11.66,1550.16,9.52,1508.49,12.25,1570.36
1464394707,666.197303,1,153,15.51,1689.52,11.51,1552.23,9.42,1516.62,12.15,1586.12
1464394708,797.712071,1,154,15.32,1689.52,11.44,1559.73,9.37,1554.48,12.04,1601.24
1464394709,733.476646,2,156,15.23,1694.02,11.33,1559.73,9.33,1595.75,11.96,1616.50
1464394710,667.555154,1,157,15.15,1698.52,11.20,1567.70,9.25,1626.44,11.87,1630.89
1464394711,799.830987,1,158,14.98,1704.68,11.13,1567.70,9.23,1633.82,11.78,1635.40
1464394712,737.307933,2,160,14.89,1704.68,11.04,1567.70,9.14,1633.82,11.69,1635.40
1464394713,665.844536,1,161,14.81,1704.68,10.99,1575.91,9.06,1633.82,11.62,1638.14
1464394714,734.346601,2,163,14.71,1773.13,10.95,1621.78,9.02,1640.47,11.56,1678.46
1464394715,799.058255,1,164,14.54,1781.66,10.91,1653.48,8.94,1640.47,11.46,1691.87
1464394716,669.036891,1,165,14.46,1781.66,10.88,1654.54,8.91,1648.28,11.42,1694.83
1464394717,733.299496,2,167,14.39,1781.66,10.78,1661.79,8.82,1652.44,11.33,1698.63
1464394718,800.422141,1,168,14.25,1790.59,10.69,1661.79,8.77,1652.44,11.24,1701.61
1464394719,667.843542,1,169,14.20,1795.84,10.65,1671.10,8.78,1722.46,11.21,1729.80
1464394720,733.900723,2,171,14.14,1801.10,10.56,1671.10,8.69,1730.02,11.13,1734.07
1464394721,800.243491,1,172,14.01,1835.52,10.48,1671.10,8.62,1730.02,11.04,1745.55
1464394722,668.190063,1,173,13.98,1867.10,10.48,1683.23,8.60,1730.02,11.02,1760.12
1464394723,733.137786,2,175,13.96,1898.67,10.37,1691.65,8.53,1737.91,10.95,1776.08
1464394724,799.415122,1,176,13.85,1907.24,10.32,1723.38,8.47,1737.91,10.88,1789.51
1464394725,669.021676,1,177,13.79,1907.24,10.37,1783.94,8.43,1743.90,10.86,1811.69
1464394726,732.533731,2,179,13.72,1907.24,10.27,1801.93,8.37,1743.90,10.79,1817.69
1464394727,803.263831,1,180,13.62,1915.52,10.28,1810.08,8.35,1744.41,10.75,1823.34
1464394728,672.102532,1,181,13.56,1920.24,10.20,1810.08,8.31,1763.31,10.69,1831.21
1464394729,734.628620,2,183,13.51,1924.96,10.12,1810.08,8.25,1803.65,10.63,1846.23
1464394730,799.145491,1,184,13.44,1973.16,10.12,1816.97,8.27,1848.62,10.61,1879.58
1464394731,732.912605,2,186,13.41,1994.98,10.05,1816.97,8.22,1848.62,10.56,1886.86
1464394732,667.403354,1,187,13.38,2016.80,9.99,1822.80,8.15,1861.83,10.51,1900.48
1464394733,800.072728,1,188,13.29,2022.60,9.94,1826.94,8.15,1868.96,10.46,1906.17
1464394734,733.460401,2,190,13.24,2022.60,9.90,1826.94,8.10,1868.96,10.41,1906.17
1464394735,667.861754,1,191,13.20,2022.60,9.96,1918.55,8.09,1868.96,10.42,1936.70
1464394736,799.103038,1,192,13.10,2029.72,9.96,1950.29,8.03,1877.34,10.36,1952.45
1464394737,733.788182,2,194,13.06,2032.68,9.90,1953.38,7.99,1877.34,10.32,1954.47
1464394738,681.828368,1,195,13.02,2035.64,9.89,1953.38,7.97,1885.74,10.29,1958.25
1464394739,733.430396,2,197,12.94,2071.81,9.83,1962.32,7.92,1902.97,10.23,1979.03
1464394740,804.228977,1,198,12.91,2139.56,9.77,1962.32,7.91,1940.75,10.20,2014.21
1464394741,661.172160,1,199,12.86,2142.43,9.75,1968.56,7.94,2015.72,10.18,2042.24
1464394742,804.991661,1,,,,,,,,,
