unix_ts,avg_latency_ms,throughput
1464394659,70.179297,8
1464394660,82.683554,12
1464394661,85.336903,12
1464394662,85.792444,12
1464394663,83.128586,12
1464394664,81.726240,12
1464394665,85.383057,12
1464394666,82.779504,12
1464394667,145.870106,7
1464394668,805.899813,1
1464394669,667.935209,1
1464394670,732.541318,2
1464394671,799.118955,1
1464394672,669.108580,1
1464394673,732.842856,2
1464394674,800.157162,1
1464394675,667.659139,1
1464394676,733.793513,2
1464394677,799.109597,1
1464394678,678.879177,1
1464394679,734.194567,2
1464394680,799.552207,1
1464394681,668.485805,1
1464394682,733.927262,2
1464394683,806.398509,1
1464394684,732.838956,2
1464394685,668.759856,1
1464394686,797.802699,1
1464394687,734.082150,2
1464394688,667.471333,1
1464394689,800.509887,1
1464394690,733.439607,2
1464394691,668.415546,1
1464394692,742.404685,2
1464394693,799.967065,1
1464394694,667.869031,1
1464394695,732.897354,2
1464394696,800.494992,1
1464394697,667.879784,1
1464394698,736.459445,2
1464394699,801.275779,1
1464394700,665.455871,1
1464394701,733.371305,2
1464394702,800.738197,1
1464394703,667.373119,1
1464394704,733.108982,2
1464394705,800.196801,1
1464394706,735.241014,2
1464394707,666.197303,1
1464394708,797.712071,1
1464394709,733.476646,2
1464394710,667.555154,1
1464394711,799.830987,1
1464394712,737.307933,2
1464394713,665.844536,1
1464394714,734.346601,2
1464394715,799.058255,1
1464394716,669.036891,1
1464394717,733.299496,2
1464394718,800.422141,1
1464394719,667.843542,1
1464394720,733.900723,2
1464394721,800.243491,1
1464394722,668.190063,1
1464394723,733.137786,2
1464394724,799.415122,1
1464394725,669.021676,1
1464394726,732.533731,2
1464394727,803.263831,1
1464394728,672.102532,1
1464394729,734.628620,2
1464394730,799.145491,1
1464394731,732.912605,2
1464394732,667.403354,1
1464394733,800.072728,1
1464394734,733.460401,2
1464394735,667.861754,1
1464394736,799.103038,1
1464394737,733.788182,2
1464394738,681.828368,1
1464394739,733.430396,2
1464394740,804.228977,1
1464394741,661.172160,1
1464394742,804.991661,1
