2016-05-28 00:23:15.835246 I | etcdmain: etcd Version: 3.0.0-beta.0+git
2016-05-28 00:23:15.835314 I | etcdmain: Git SHA: 10ca728
2016-05-28 00:23:15.835321 I | etcdmain: Go Version: devel +795809b Fri May 27 23:39:38 2016 +0000
2016-05-28 00:23:15.835326 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-28 00:23:15.835332 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-28 00:23:15.835395 I | etcdmain: listening for peers on http://10.240.0.27:2380
2016-05-28 00:23:15.835419 I | etcdmain: listening for client requests on 10.240.0.27:2379
2016-05-28 00:23:15.843864 I | etcdserver: name = etcd-3
2016-05-28 00:23:15.843881 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-28 00:23:15.843888 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-28 00:23:15.843893 I | etcdserver: heartbeat = 100ms
2016-05-28 00:23:15.843898 I | etcdserver: election = 1000ms
2016-05-28 00:23:15.843903 I | etcdserver: snapshot count = 10000
2016-05-28 00:23:15.843912 I | etcdserver: advertise client URLs = http://10.240.0.27:2379
2016-05-28 00:23:15.843918 I | etcdserver: initial advertise peer URLs = http://10.240.0.27:2380
2016-05-28 00:23:15.843936 I | etcdserver: initial cluster = etcd-1=http://10.240.0.25:2380,etcd-2=http://10.240.0.26:2380,etcd-3=http://10.240.0.27:2380
2016-05-28 00:23:15.846098 I | etcdserver: starting member 36850f32386ac2a in cluster 955473fb1bac9a64
2016-05-28 00:23:15.846168 I | raft: 36850f32386ac2a became follower at term 0
2016-05-28 00:23:15.846184 I | raft: newRaft 36850f32386ac2a [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-28 00:23:15.846191 I | raft: 36850f32386ac2a became follower at term 1
2016-05-28 00:23:15.846311 I | etcdserver: enabling compression snappy
2016-05-28 00:23:15.858705 I | rafthttp: the connection with 420a9eb91bb9fcb8 became active
2016-05-28 00:23:15.860006 I | etcdserver: starting server... [version: 3.0.0-beta.0+git, cluster version: to_be_decided]
2016-05-28 00:23:15.860847 N | etcdserver: added local member 36850f32386ac2a [http://10.240.0.27:2380] to cluster 955473fb1bac9a64
2016-05-28 00:23:15.860910 I | raft: 36850f32386ac2a [term: 1] received a MsgApp message with higher term from 902178d022a9e690 [term: 2]
2016-05-28 00:23:15.860968 I | raft: 36850f32386ac2a became follower at term 2
2016-05-28 00:23:15.861484 I | raft: raft.node: 36850f32386ac2a elected leader 902178d022a9e690 at term 2
2016-05-28 00:23:15.861565 N | etcdserver: added member 420a9eb91bb9fcb8 [http://10.240.0.26:2380] to cluster 955473fb1bac9a64
2016-05-28 00:23:15.861669 N | etcdserver: added member 902178d022a9e690 [http://10.240.0.25:2380] to cluster 955473fb1bac9a64
2016-05-28 00:23:15.861868 I | rafthttp: the connection with 902178d022a9e690 became active
2016-05-28 00:23:15.861945 N | membership: set the initial cluster version to 2.3
2016-05-28 00:23:15.864854 I | etcdserver: published {Name:etcd-3 ClientURLs:[http://10.240.0.27:2379]} to cluster 955473fb1bac9a64
2016-05-28 00:23:15.864882 I | etcdmain: ready to serve client requests
2016-05-28 00:23:15.864999 N | etcdmain: serving insecure client requests on 10.240.0.27:2379, this is strongly discouraged!
2016-05-28 00:23:15.865040 E | etcdmain: failed to notify systemd for readiness: No socket
2016-05-28 00:23:15.865055 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-05-28 00:23:16.360777 I | api: enabled capabilities for version 2.3.0
2016-05-28 00:23:18.868561 N | membership: updated the cluster version from 2.3 to 3.0
2016-05-28 00:23:19.361859 I | api: enabled capabilities for version 3.0.0
2016-05-28 00:23:23.750908 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000000030.wal is created
2016-05-28 00:23:25.526079 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-0000000000000048.wal is created
2016-05-28 00:23:27.224935 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000003-000000000000005f.wal is created
2016-05-28 00:23:28.984346 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000004-0000000000000077.wal is created
2016-05-28 00:23:30.960313 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000005-000000000000008f.wal is created
2016-05-28 00:23:45.658564 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000006-00000000000000b8.wal is created
2016-05-28 00:24:00.462442 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000007-00000000000000e2.wal is created
2016-05-28 00:24:15.097452 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000008-000000000000010a.wal is created
2016-05-28 00:24:29.832561 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000009-0000000000000135.wal is created
2016-05-28 00:24:44.536793 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000000a-000000000000015e.wal is created
2016-05-28 00:24:55.997556 E | rafthttp: failed to dial 902178d022a9e690 on stream MsgApp v2 (dial tcp 10.240.0.25:2380: getsockopt: connection refused)
2016-05-28 00:24:55.997601 I | rafthttp: the connection with 902178d022a9e690 became inactive
2016-05-28 00:24:56.998545 E | rafthttp: failed to dial 420a9eb91bb9fcb8 on stream Message (dial tcp 10.240.0.26:2380: getsockopt: connection refused)
2016-05-28 00:24:56.998604 I | rafthttp: the connection with 420a9eb91bb9fcb8 became inactive
2016-05-28 00:24:57.246580 I | raft: 36850f32386ac2a is starting a new election at term 2
2016-05-28 00:24:57.246682 I | raft: 36850f32386ac2a became candidate at term 3
2016-05-28 00:24:57.246696 I | raft: 36850f32386ac2a received vote from 36850f32386ac2a at term 3
2016-05-28 00:24:57.246709 I | raft: 36850f32386ac2a [logterm: 2, index: 372] sent vote request to 902178d022a9e690 at term 3
2016-05-28 00:24:57.246720 I | raft: 36850f32386ac2a [logterm: 2, index: 372] sent vote request to 420a9eb91bb9fcb8 at term 3
2016-05-28 00:24:57.246731 I | raft: raft.node: 36850f32386ac2a lost leader 902178d022a9e690 at term 3
2016-05-28 00:24:57.899047 N | osutil: received terminated signal, shutting down...
