unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1464395001,88.620413,2,2,2.99,20.87,2.14,18.00,1.99,19.48,2.37,19.45
1464395002,102.682660,10,12,9.53,228.56,5.86,167.25,6.13,179.04,7.17,191.62
1464395003,90.653996,10,22,14.66,347.08,8.86,257.99,9.48,265.12,11.00,290.06
1464395004,90.797737,12,34,19.04,527.88,11.27,360.16,12.39,381.93,14.23,423.32
1464395005,85.220737,11,45,23.11,613.81,13.60,498.66,14.53,475.21,17.08,529.23
1464395006,84.130577,12,57,26.53,767.25,15.21,599.58,16.56,606.35,19.43,657.73
1464395007,86.716056,12,69,29.06,897.90,16.56,712.62,18.01,716.25,21.21,775.59
1464395008,88.890971,11,80,31.45,972.13,17.74,790.35,19.08,848.49,22.76,870.32
1464395009,89.833216,11,91,33.40,1123.25,18.75,966.81,20.27,977.94,24.14,1022.67
1464395010,115.310938,8,99,34.49,1223.50,19.25,1023.87,20.85,1090.97,24.86,1112.78
1464395011,805.121332,1,100,33.24,1247.29,18.48,1061.51,19.99,1099.98,23.90,1136.26
1464395012,668.785360,1,101,32.25,1247.29,17.73,1070.88,19.10,1099.98,23.03,1139.38
1464395013,734.216844,2,103,31.25,1247.29,17.25,1074.27,18.37,1111.93,22.29,1144.50
1464395014,800.986342,1,104,29.64,1273.72,16.76,1077.65,17.62,1111.93,21.34,1154.43
1464395015,668.905770,1,105,29.01,1300.39,15.93,1084.94,16.98,1111.93,20.64,1165.75
1464395016,734.786539,2,107,28.37,1327.05,15.57,1095.87,16.60,1143.27,20.18,1188.73
1464395017,800.476406,1,108,27.13,1327.05,15.21,1106.79,15.96,1150.23,19.43,1194.69
1464395018,667.821833,1,109,26.58,1330.41,14.74,1147.08,15.44,1150.23,18.92,1209.24
1464395019,735.243455,2,111,26.03,1333.76,14.44,1149.90,15.14,1150.23,18.54,1211.30
1464395020,800.898998,1,112,25.06,1342.15,14.13,1152.71,14.94,1153.94,18.04,1216.27
1464395021,734.482907,2,114,24.64,1342.17,13.62,1166.00,14.73,1157.65,17.66,1221.94
1464395022,668.827449,1,115,24.22,1342.18,13.39,1166.00,14.32,1157.65,17.31,1221.94
1464395023,799.249936,1,116,23.39,1350.78,13.16,1166.00,14.05,1178.94,16.87,1231.91
1464395024,735.229565,2,118,23.05,1354.82,12.79,1192.17,13.76,1209.34,16.53,1252.11
1464395025,668.269219,1,119,22.71,1358.86,12.65,1232.57,13.49,1226.30,16.28,1272.58
1464395026,820.364779,1,120,22.06,1358.86,12.51,1272.98,13.28,1234.73,15.95,1288.86
1464395027,734.702937,2,122,21.79,1371.81,12.16,1272.98,12.94,1246.60,15.63,1297.13
1464395028,668.841141,1,123,21.51,1384.77,12.02,1276.03,12.79,1246.60,15.44,1302.47
1464395029,735.115345,2,125,20.93,1392.44,11.87,1279.08,12.53,1246.60,15.11,1306.04
1464395030,799.167156,1,126,20.68,1392.44,11.55,1291.73,12.27,1254.98,14.83,1313.05
1464395031,668.419547,1,127,20.42,1392.44,11.31,1291.73,12.15,1277.94,14.63,1320.70
1464395032,735.777299,2,129,19.96,1415.46,11.19,1300.44,11.95,1304.52,14.37,1340.14
1464395033,798.284376,1,130,19.58,1438.54,11.07,1309.15,11.87,1326.62,14.17,1358.10
1464395034,669.187278,1,131,19.36,1438.54,10.89,1371.78,11.64,1338.02,13.96,1382.78
1464395035,734.154455,2,133,19.15,1438.54,10.78,1371.78,11.47,1338.02,13.80,1382.78
1464395036,819.736752,1,134,18.76,1444.65,10.67,1371.78,11.36,1346.16,13.60,1387.53
1464395037,669.884785,1,135,18.59,1460.07,10.47,1378.62,11.16,1346.16,13.41,1394.95
1464395038,736.233803,2,137,18.42,1475.48,10.38,1382.82,11.01,1346.16,13.27,1401.49
1464395039,798.727823,1,138,18.16,1507.68,10.28,1387.03,10.92,1358.59,13.12,1417.77
1464395040,666.978280,1,139,18.01,1511.79,10.11,1387.03,10.76,1392.22,12.96,1430.35
1464395041,736.993819,2,141,17.85,1515.89,10.04,1391.90,10.68,1442.03,12.86,1449.94
1464395042,800.546351,1,142,17.56,1524.84,9.96,1396.78,10.62,1458.14,12.71,1459.92
1464395043,669.761130,1,143,17.41,1524.84,9.87,1473.72,10.50,1464.71,12.59,1487.76
1464395044,734.668803,2,145,17.26,1524.84,9.79,1473.85,10.43,1475.88,12.49,1491.52
1464395045,804.712593,1,146,17.12,1620.05,9.72,1473.98,10.30,1475.88,12.38,1523.30
1464395046,733.056791,2,148,17.00,1624.04,9.58,1480.26,10.17,1480.49,12.25,1528.26
1464395047,669.281544,1,149,16.88,1628.04,9.52,1484.86,10.11,1487.12,12.17,1533.34
1464395048,799.438253,1,150,16.64,1629.53,9.45,1489.46,9.99,1487.12,12.03,1535.37
1464395049,734.306454,2,152,16.53,1634.55,9.33,1489.46,9.88,1496.67,11.91,1540.23
1464395050,667.911651,1,153,16.42,1639.56,9.21,1501.94,9.86,1548.01,11.83,1563.17
1464395051,800.540729,1,154,16.23,1652.93,9.16,1525.29,9.83,1584.81,11.74,1587.68
1464395052,735.619507,2,156,16.16,1684.60,9.10,1548.64,9.79,1591.88,11.68,1608.37
1464395053,666.749177,1,157,16.08,1716.27,9.06,1602.07,9.69,1601.15,11.61,1639.83
1464395054,734.605575,2,159,15.90,1723.28,9.00,1606.20,9.59,1601.15,11.50,1643.54
1464395055,804.187999,1,160,15.82,1727.49,8.94,1610.32,9.57,1601.15,11.44,1646.32
1464395056,670.870405,1,161,15.74,1731.69,8.84,1619.62,9.47,1610.37,11.35,1653.89
1464395057,734.665739,2,163,15.56,1731.69,8.79,1619.62,9.38,1610.37,11.24,1653.89
1464395058,799.533662,1,164,15.38,1739.72,8.74,1619.62,9.35,1618.78,11.16,1659.37
1464395059,669.228824,1,165,15.32,1758.10,8.66,1627.18,9.26,1618.78,11.08,1668.02
1464395060,734.678706,2,167,15.25,1776.47,8.62,1631.65,9.19,1628.95,11.02,1679.02
1464395061,801.354677,1,168,15.10,1780.46,8.57,1636.11,9.22,1708.96,10.96,1708.51
1464395062,669.448749,1,169,15.02,1785.05,8.49,1636.11,9.16,1751.92,10.89,1724.36
1464395063,735.166132,2,171,14.95,1789.65,8.47,1675.15,9.09,1751.92,10.84,1738.91
1464395064,801.835704,1,172,14.81,1801.46,8.45,1714.20,9.05,1752.44,10.77,1756.03
1464395065,668.789378,1,173,14.73,1801.99,8.39,1726.93,8.99,1760.14,10.70,1763.02
1464395066,736.950206,2,175,14.66,1802.52,8.33,1730.92,8.96,1766.61,10.65,1766.68
1464395067,802.229698,1,176,14.57,1879.62,8.30,1730.92,8.91,1766.61,10.59,1792.38
1464395068,667.029155,1,177,14.48,1879.62,8.27,1740.99,8.84,1766.61,10.53,1795.74
1464395069,735.160717,2,179,14.44,1883.22,8.20,1753.26,8.81,1775.32,10.48,1803.93
1464395070,803.845208,1,180,14.39,1886.82,8.18,1753.26,8.75,1775.32,10.44,1805.13
1464395071,734.394322,2,182,14.27,1886.82,8.13,1753.26,8.70,1783.49,10.37,1807.86
1464395072,668.554199,1,183,14.21,1890.14,8.07,1761.70,8.66,1793.42,10.31,1815.09
1464395073,801.117615,1,184,14.16,1893.46,8.05,1769.61,8.64,1835.22,10.28,1832.76
1464395074,736.116147,2,186,14.05,1899.51,8.01,1786.10,8.66,1874.48,10.24,1853.36
1464395075,668.149922,1,187,14.00,2007.85,7.97,1817.12,8.59,1882.09,10.19,1902.35
1464395076,797.936538,1,188,13.95,2011.01,7.98,1867.51,8.53,1882.09,10.15,1920.20
1464395077,734.738580,2,190,13.90,2014.17,7.93,1867.51,8.52,1882.09,10.12,1921.26
1464395078,669.304318,1,191,13.80,2022.69,7.90,1876.40,8.47,1890.36,10.06,1929.82
1464395079,733.917363,2,193,13.75,2022.95,7.86,1876.40,8.41,1890.36,10.01,1929.90
1464395080,800.582464,1,194,13.70,2023.20,7.83,1876.40,8.39,1897.87,9.97,1932.49
1464395081,670.687004,1,195,13.61,2032.50,7.83,1884.76,8.33,1897.87,9.92,1938.38
1464395082,735.079037,2,197,13.56,2035.79,7.78,1893.14,8.29,1897.87,9.88,1942.27
1464395083,799.129532,1,198,13.52,2039.09,7.75,1893.14,8.29,1906.22,9.85,1946.15
1464395084,670.476752,1,199,13.49,2122.79,7.74,1893.14,8.23,1912.09,9.82,1976.01
1464395085,803.103564,1,,,,,,,,,
