2016-03-25 14:00:03.877036 I | etcdmain: etcd Version: 2.3.0+git
2016-03-25 14:00:03.877089 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-03-25 14:00:03.877096 I | etcdmain: Go Version: go1.6
2016-03-25 14:00:03.877102 I | etcdmain: Go OS/Arch: linux/amd64
2016-03-25 14:00:03.877116 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-03-25 14:00:03.877171 I | etcdmain: listening for peers on http://10.240.0.14:2380
2016-03-25 14:00:03.877199 I | etcdmain: listening for client requests on 10.240.0.14:2379
2016-03-25 14:00:03.878859 I | etcdserver: name = etcd-3
2016-03-25 14:00:03.878873 I | etcdserver: data dir = /mnt/ssd0/data.etcd
2016-03-25 14:00:03.878881 I | etcdserver: member dir = /mnt/ssd0/data.etcd/member
2016-03-25 14:00:03.878887 I | etcdserver: heartbeat = 100ms
2016-03-25 14:00:03.878892 I | etcdserver: election = 1000ms
2016-03-25 14:00:03.878898 I | etcdserver: snapshot count = 10000
2016-03-25 14:00:03.878907 I | etcdserver: advertise client URLs = http://10.240.0.14:2379
2016-03-25 14:00:03.878914 I | etcdserver: initial advertise peer URLs = http://10.240.0.14:2380
2016-03-25 14:00:03.878935 I | etcdserver: initial cluster = etcd-1=http://10.240.0.12:2380,etcd-2=http://10.240.0.13:2380,etcd-3=http://10.240.0.14:2380
2016-03-25 14:00:03.888139 I | etcdserver: starting member f9e96ef8c0d0e08c in cluster 1f5ca66cfce5f0e7
2016-03-25 14:00:03.888202 I | raft: f9e96ef8c0d0e08c became follower at term 0
2016-03-25 14:00:03.888216 I | raft: newRaft f9e96ef8c0d0e08c [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-03-25 14:00:03.888223 I | raft: f9e96ef8c0d0e08c became follower at term 1
2016-03-25 14:00:03.947740 I | rafthttp: the connection with cfc6e2e1de0e7922 became active
2016-03-25 14:00:03.949749 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-03-25 14:00:03.950843 E | etcdmain: failed to notify systemd for readiness: No socket
2016-03-25 14:00:03.950857 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-03-25 14:00:03.950991 N | etcdmain: serving insecure client requests on 10.240.0.14:2379, this is strongly discouraged!
2016-03-25 14:00:03.951032 I | raft: f9e96ef8c0d0e08c [term: 1] received a MsgApp message with higher term from f8ba34e834cb847d [term: 3]
2016-03-25 14:00:03.951051 I | raft: f9e96ef8c0d0e08c became follower at term 3
2016-03-25 14:00:03.951058 I | rafthttp: the connection with f8ba34e834cb847d became active
2016-03-25 14:00:03.951074 I | raft: raft.node: f9e96ef8c0d0e08c elected leader f8ba34e834cb847d at term 3
2016-03-25 14:00:03.951217 N | etcdserver: added member cfc6e2e1de0e7922 [http://10.240.0.13:2380] to cluster 1f5ca66cfce5f0e7
2016-03-25 14:00:03.951316 N | etcdserver: added member f8ba34e834cb847d [http://10.240.0.12:2380] to cluster 1f5ca66cfce5f0e7
2016-03-25 14:00:03.951394 N | etcdserver: added local member f9e96ef8c0d0e08c [http://10.240.0.14:2380] to cluster 1f5ca66cfce5f0e7
2016-03-25 14:00:03.952864 N | etcdserver: set the initial cluster version to 2.2
2016-03-25 14:00:03.960004 I | etcdserver: published {Name:etcd-3 ClientURLs:[http://10.240.0.14:2379]} to cluster 1f5ca66cfce5f0e7
2016-03-25 14:00:07.611792 N | etcdserver: updated the cluster version from 2.2 to 2.3
2016-03-25 14:01:06.306374 I | etcdserver: start to snapshot (applied: 10001, lastsnap: 0)
2016-03-25 14:01:06.457239 I | etcdserver: saved snapshot at index 10001
2016-03-25 14:01:06.457553 I | etcdserver: compacted raft log at 5001
2016-03-25 14:01:49.810750 I | etcdserver: start to snapshot (applied: 20002, lastsnap: 10001)
2016-03-25 14:01:50.105663 I | etcdserver: saved snapshot at index 20002
2016-03-25 14:01:50.105858 I | etcdserver: compacted raft log at 15002
2016-03-25 14:02:33.672653 I | etcdserver: start to snapshot (applied: 30003, lastsnap: 20002)
2016-03-25 14:02:34.129004 I | etcdserver: saved snapshot at index 30003
2016-03-25 14:02:34.129158 I | etcdserver: compacted raft log at 25003
2016-03-25 14:03:17.395353 I | etcdserver: start to snapshot (applied: 40004, lastsnap: 30003)
2016-03-25 14:03:18.021260 I | etcdserver: saved snapshot at index 40004
2016-03-25 14:03:18.021411 I | etcdserver: compacted raft log at 35004
2016-03-25 14:04:01.205778 I | etcdserver: start to snapshot (applied: 50005, lastsnap: 40004)
2016-03-25 14:04:01.950288 I | etcdserver: saved snapshot at index 50005
2016-03-25 14:04:01.950468 I | etcdserver: compacted raft log at 45005
2016-03-25 14:04:45.164527 I | etcdserver: start to snapshot (applied: 60006, lastsnap: 50005)
2016-03-25 14:04:46.042278 I | etcdserver: saved snapshot at index 60006
2016-03-25 14:04:46.042413 I | etcdserver: compacted raft log at 55006
2016-03-25 14:05:03.953207 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000002711.snap successfully
2016-03-25 14:05:28.890923 I | etcdserver: start to snapshot (applied: 70007, lastsnap: 60006)
2016-03-25 14:05:29.946267 I | etcdserver: saved snapshot at index 70007
2016-03-25 14:05:29.946455 I | etcdserver: compacted raft log at 65007
2016-03-25 14:05:33.955960 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000004e22.snap successfully
2016-03-25 14:06:13.059825 I | etcdserver: start to snapshot (applied: 80008, lastsnap: 70007)
2016-03-25 14:06:14.255383 I | etcdserver: saved snapshot at index 80008
2016-03-25 14:06:14.255569 I | etcdserver: compacted raft log at 75008
2016-03-25 14:06:33.960259 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000007533.snap successfully
2016-03-25 14:06:57.686348 I | etcdserver: start to snapshot (applied: 90009, lastsnap: 80008)
2016-03-25 14:06:58.989453 I | etcdserver: saved snapshot at index 90009
2016-03-25 14:06:58.989602 I | etcdserver: compacted raft log at 85009
2016-03-25 14:07:03.965195 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000009c44.snap successfully
2016-03-25 14:07:42.185964 I | etcdserver: start to snapshot (applied: 100010, lastsnap: 90009)
2016-03-25 14:07:43.633313 I | etcdserver: saved snapshot at index 100010
2016-03-25 14:07:43.633476 I | etcdserver: compacted raft log at 95010
2016-03-25 14:08:03.971926 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000000c355.snap successfully
2016-03-25 14:08:26.732181 I | etcdserver: start to snapshot (applied: 110011, lastsnap: 100010)
2016-03-25 14:08:28.275414 I | etcdserver: saved snapshot at index 110011
2016-03-25 14:08:28.275582 I | etcdserver: compacted raft log at 105011
2016-03-25 14:08:33.979777 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000000ea66.snap successfully
2016-03-25 14:09:11.215262 I | etcdserver: start to snapshot (applied: 120012, lastsnap: 110011)
2016-03-25 14:09:12.944497 I | etcdserver: saved snapshot at index 120012
2016-03-25 14:09:12.944651 I | etcdserver: compacted raft log at 115012
2016-03-25 14:09:33.989794 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000011177.snap successfully
2016-03-25 14:09:56.040627 I | etcdserver: start to snapshot (applied: 130013, lastsnap: 120012)
2016-03-25 14:09:58.010612 I | etcdserver: saved snapshot at index 130013
2016-03-25 14:09:58.010779 I | etcdserver: compacted raft log at 125013
2016-03-25 14:10:04.000007 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000013888.snap successfully
2016-03-25 14:10:40.791315 I | etcdserver: start to snapshot (applied: 140014, lastsnap: 130013)
2016-03-25 14:10:42.912260 I | etcdserver: saved snapshot at index 140014
2016-03-25 14:10:42.912448 I | etcdserver: compacted raft log at 135014
2016-03-25 14:11:04.014709 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000015f99.snap successfully
2016-03-25 14:11:25.382726 I | etcdserver: start to snapshot (applied: 150015, lastsnap: 140014)
2016-03-25 14:11:27.655465 I | etcdserver: saved snapshot at index 150015
2016-03-25 14:11:27.655677 I | etcdserver: compacted raft log at 145015
2016-03-25 14:11:34.027261 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-00000000000186aa.snap successfully
2016-03-25 14:11:37.699240 I | wal: segmented wal file /mnt/ssd0/data.etcd/member/wal/0000000000000001-00000000000254ba.wal is created
2016-03-25 14:12:10.268222 I | etcdserver: start to snapshot (applied: 160016, lastsnap: 150015)
2016-03-25 14:12:12.642044 I | etcdserver: saved snapshot at index 160016
2016-03-25 14:12:12.642203 I | etcdserver: compacted raft log at 155016
2016-03-25 14:12:34.042903 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000001adbb.snap successfully
2016-03-25 14:12:55.475271 I | etcdserver: start to snapshot (applied: 170017, lastsnap: 160016)
2016-03-25 14:12:57.977917 I | etcdserver: saved snapshot at index 170017
2016-03-25 14:12:57.978082 I | etcdserver: compacted raft log at 165017
2016-03-25 14:13:04.058284 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000001d4cc.snap successfully
2016-03-25 14:13:40.283345 I | etcdserver: start to snapshot (applied: 180018, lastsnap: 170017)
2016-03-25 14:13:42.978658 I | etcdserver: saved snapshot at index 180018
2016-03-25 14:13:42.978818 I | etcdserver: compacted raft log at 175018
2016-03-25 14:14:04.074695 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000001fbdd.snap successfully
2016-03-25 14:14:25.559393 I | etcdserver: start to snapshot (applied: 190019, lastsnap: 180018)
2016-03-25 14:14:28.326322 I | etcdserver: saved snapshot at index 190019
2016-03-25 14:14:28.326473 I | etcdserver: compacted raft log at 185019
2016-03-25 14:14:34.092300 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-00000000000222ee.snap successfully
2016-03-25 14:15:10.752190 I | etcdserver: start to snapshot (applied: 200020, lastsnap: 190019)
2016-03-25 14:15:13.797678 I | etcdserver: saved snapshot at index 200020
2016-03-25 14:15:13.797826 I | etcdserver: compacted raft log at 195020
2016-03-25 14:15:34.111579 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-00000000000249ff.snap successfully
2016-03-25 14:15:56.074936 I | etcdserver: start to snapshot (applied: 210021, lastsnap: 200020)
2016-03-25 14:15:59.138534 I | etcdserver: saved snapshot at index 210021
2016-03-25 14:15:59.138696 I | etcdserver: compacted raft log at 205021
2016-03-25 14:16:04.131605 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000027110.snap successfully
2016-03-25 14:16:41.079403 I | etcdserver: start to snapshot (applied: 220022, lastsnap: 210021)
2016-03-25 14:16:44.484288 I | etcdserver: saved snapshot at index 220022
2016-03-25 14:16:44.484441 I | etcdserver: compacted raft log at 215022
2016-03-25 14:17:04.153004 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000029821.snap successfully
2016-03-25 14:17:27.019515 I | etcdserver: start to snapshot (applied: 230023, lastsnap: 220022)
2016-03-25 14:17:30.329485 I | etcdserver: saved snapshot at index 230023
2016-03-25 14:17:30.329645 I | etcdserver: compacted raft log at 225023
2016-03-25 14:17:34.175347 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000002bf32.snap successfully
2016-03-25 14:18:12.603804 I | etcdserver: start to snapshot (applied: 240024, lastsnap: 230023)
2016-03-25 14:18:16.219954 I | etcdserver: saved snapshot at index 240024
2016-03-25 14:18:16.220118 I | etcdserver: compacted raft log at 235024
2016-03-25 14:18:34.199390 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000002e643.snap successfully
2016-03-25 14:18:58.479338 I | etcdserver: start to snapshot (applied: 250025, lastsnap: 240024)
2016-03-25 14:19:02.248212 I | etcdserver: saved snapshot at index 250025
2016-03-25 14:19:02.248396 I | etcdserver: compacted raft log at 245025
2016-03-25 14:19:04.223099 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000030d54.snap successfully
2016-03-25 14:19:44.132804 I | etcdserver: start to snapshot (applied: 260026, lastsnap: 250025)
2016-03-25 14:19:48.069087 I | etcdserver: saved snapshot at index 260026
2016-03-25 14:19:48.069267 I | etcdserver: compacted raft log at 255026
2016-03-25 14:20:04.250602 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000033465.snap successfully
2016-03-25 14:20:30.481883 I | etcdserver: start to snapshot (applied: 270027, lastsnap: 260026)
2016-03-25 14:20:34.646995 I | etcdserver: saved snapshot at index 270027
2016-03-25 14:20:34.647165 I | etcdserver: compacted raft log at 265027
2016-03-25 14:21:04.277743 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000035b76.snap successfully
2016-03-25 14:21:17.065735 I | etcdserver: start to snapshot (applied: 280028, lastsnap: 270027)
2016-03-25 14:21:21.334198 I | etcdserver: saved snapshot at index 280028
2016-03-25 14:21:21.334413 I | etcdserver: compacted raft log at 275028
2016-03-25 14:21:34.305737 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000038287.snap successfully
2016-03-25 14:22:03.383589 I | etcdserver: start to snapshot (applied: 290029, lastsnap: 280028)
2016-03-25 14:22:07.901496 I | etcdserver: saved snapshot at index 290029
2016-03-25 14:22:07.901691 I | etcdserver: compacted raft log at 285029
2016-03-25 14:22:34.335440 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000003a998.snap successfully
2016-03-25 14:22:49.948776 I | etcdserver: start to snapshot (applied: 300030, lastsnap: 290029)
2016-03-25 14:22:54.511082 I | etcdserver: saved snapshot at index 300030
2016-03-25 14:22:54.511311 I | etcdserver: compacted raft log at 295030
2016-03-25 14:23:04.367523 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000003d0a9.snap successfully
2016-03-25 14:53:18.623384 E | rafthttp: failed to dial f8ba34e834cb847d on stream MsgApp v2 (dial tcp 10.240.0.12:2380: getsockopt: connection refused)
2016-03-25 14:53:18.623456 I | rafthttp: the connection with f8ba34e834cb847d became inactive
2016-03-25 14:53:19.624505 E | rafthttp: failed to dial cfc6e2e1de0e7922 on stream MsgApp v2 (dial tcp 10.240.0.13:2380: getsockopt: connection refused)
2016-03-25 14:53:19.624576 I | rafthttp: the connection with cfc6e2e1de0e7922 became inactive
2016-03-25 14:53:19.888600 I | raft: f9e96ef8c0d0e08c is starting a new election at term 3
2016-03-25 14:53:19.888652 I | raft: f9e96ef8c0d0e08c became candidate at term 4
2016-03-25 14:53:19.888660 I | raft: f9e96ef8c0d0e08c received vote from f9e96ef8c0d0e08c at term 4
2016-03-25 14:53:19.888671 I | raft: f9e96ef8c0d0e08c [logterm: 3, index: 306400] sent vote request to f8ba34e834cb847d at term 4
2016-03-25 14:53:19.888680 I | raft: f9e96ef8c0d0e08c [logterm: 3, index: 306400] sent vote request to cfc6e2e1de0e7922 at term 4
2016-03-25 14:53:19.888690 I | raft: raft.node: f9e96ef8c0d0e08c lost leader f8ba34e834cb847d at term 4
2016-03-25 14:53:20.521292 N | osutil: received terminated signal, shutting down...
