unix_ts,avg_latency_ms,throughput
1458923177,42.130767,9969
1458923178,44.058249,11289
1458923179,44.380860,11243
1458923180,45.382310,11083
1458923181,46.441793,10779
1458923182,55.539131,8908
1458923183,45.606615,11059
1458923184,45.141333,10865
1458923185,44.519981,11183
1458923186,49.341935,10121
1458923187,49.467215,10069
1458923188,47.481012,10600
1458923189,55.834898,8916
1458923190,47.469995,10463
1458923191,46.019541,10990
1458923192,48.768934,10129
1458923193,49.518686,10147
1458923194,48.419934,10288
1458923195,45.953006,10933
1458923196,55.779642,8855
1458923197,48.947038,10209
1458923198,48.956357,10073
1458923199,48.550478,10385
1458923200,46.227749,10775
1458923201,48.368799,10362
1458923202,46.763196,10085
1458923203,56.098305,9521
1458923204,48.022806,10211
1458923205,49.126626,10177
1458923206,51.044737,9767
1458923207,48.526733,10439
1458923208,49.063393,10031
1458923209,49.498203,10091
1458923210,60.471120,8336
1458923211,48.756004,10072
1458923212,50.171195,10104
1458923213,50.265443,9827
1458923214,49.183689,10054
1458923215,46.594275,10699
1458923216,50.177137,10025
1458923217,62.295268,8125
1458923218,48.855862,9838
1458923219,51.728504,9974
1458923220,51.477171,9666
1458923221,49.857126,9770
1458923222,48.312440,10608
1458923223,50.650997,9860
1458923224,56.676218,8753
1458923225,52.269028,9570
1458923226,46.883591,10395
1458923227,53.169539,9557
1458923228,50.292676,9739
1458923229,49.338906,10450
1458923230,52.139556,9457
1458923231,59.792582,8400
1458923232,48.188009,10204
1458923233,49.428043,9613
1458923234,50.305163,10557
1458923235,45.070469,10986
1458923236,52.671422,9446
1458923237,49.768355,10139
1458923238,57.489755,8635
1458923239,53.929334,9293
1458923240,49.403949,9877
1458923241,50.328024,10148
1458923242,52.519889,9458
1458923243,51.879588,9029
1458923244,58.822796,9018
1458923245,51.108600,9794
1458923246,60.762365,8183
1458923247,51.425245,9586
1458923248,50.341613,10053
1458923249,51.844112,9611
1458923250,51.269856,9645
1458923251,53.798864,9348
1458923252,55.129429,8994
1458923253,60.171731,8277
1458923254,52.580183,9601
1458923255,51.132172,9340
1458923256,52.934790,9166
1458923257,53.860746,9425
1458923258,53.560636,9641
1458923259,52.948963,9601
1458923260,52.742891,9477
1458923261,57.376200,8799
1458923262,50.399521,9349
1458923263,53.036309,9802
1458923264,55.335714,9142
1458923265,54.951516,8792
1458923266,53.943513,9544
1458923267,57.838016,8621
1458923268,50.444279,8554
1458923269,62.613058,9025
1458923270,51.739494,9588
1458923271,53.283343,9545
1458923272,48.214184,9371
1458923273,54.615799,9747
1458923274,55.727664,9148
1458923275,54.434429,9041
1458923276,66.673974,7535
1458923277,54.274414,9225
1458923278,49.470828,9436
1458923279,50.409321,10570
1458923280,49.938081,9580
1458923281,55.087660,9350
1458923282,52.252274,9307
1458923283,53.188862,9655
1458923284,56.550019,8810
1458923285,58.456552,8675
1458923286,57.602563,8602
1458923287,55.839781,8898
1458923288,50.731238,9450
1458923289,52.707621,9990
1458923290,53.045883,9067
1458923291,60.638736,7071
1458923292,53.854460,10678
1458923293,52.048152,9625
1458923294,58.031420,8688
1458923295,53.607625,9291
1458923296,47.625360,10002
1458923297,53.454308,9840
1458923298,55.881605,9000
1458923299,64.254676,7755
1458923300,48.540516,10005
1458923301,55.264416,9292
1458923302,54.675151,9060
1458923303,46.923429,10047
1458923304,55.678867,9182
1458923305,62.079084,8335
1458923306,48.453416,9596
1458923307,71.342326,7448
1458923308,58.267998,8607
1458923309,48.008979,10496
1458923310,57.109116,8553
1458923311,57.214390,8443
1458923312,49.670173,10628
1458923313,57.724021,8528
1458923314,52.945058,7554
1458923315,59.233942,10053
1458923316,53.717148,9347
1458923317,47.519287,9271
1458923318,57.176145,9362
1458923319,59.648387,8562
1458923320,48.827024,10509
1458923321,55.216296,9086
1458923322,66.343926,7516
1458923323,47.328213,10514
1458923324,57.377327,8712
1458923325,47.921316,10167
1458923326,55.900723,9087
1458923327,60.259734,8346
1458923328,47.532849,10390
1458923329,60.089461,8295
1458923330,55.142527,8961
1458923331,59.185275,8548
1458923332,46.807450,8814
1458923333,54.357187,10227
1458923334,59.033401,8965
1458923335,51.347583,9861
1458923336,58.659432,8325
1458923337,58.178558,8605
1458923338,53.929539,9358
1458923339,50.560252,9484
1458923340,54.893237,9453
1458923341,60.017282,8055
1458923342,49.244997,10352
1458923343,57.695322,8630
1458923344,47.812743,10527
1458923345,81.783440,6220
1458923346,47.469350,10480
1458923347,60.340321,8178
1458923348,47.405356,10526
1458923349,59.970700,8392
1458923350,46.844659,10654
1458923351,61.508597,8056
1458923352,48.812564,9893
1458923353,71.130109,6954
1458923354,49.375442,10635
1458923355,59.004928,8432
1458923356,47.329210,9909
1458923357,60.533619,8705
1458923358,50.028630,9421
1458923359,61.790597,8549
1458923360,49.540814,9152
1458923361,64.820861,8431
1458923362,47.985452,10296
1458923363,63.275537,7962
1458923364,47.148765,10237
1458923365,65.995079,7940
1458923366,47.982814,10409
1458923367,69.689309,6899
1458923368,57.620114,8801
1458923369,60.722708,8266
1458923370,47.617483,10003
1458923371,66.486455,7894
1458923372,50.225272,9977
1458923373,58.795143,6929
1458923374,53.202500,10476
1458923375,49.825695,8980
1458923376,70.044991,8337
1458923377,49.502102,10042
1458923378,65.270099,7579
1458923379,49.130952,10378
1458923380,64.023841,7368
1458923381,47.503236,10984
1458923382,65.529246,7701
1458923383,48.499081,10156
1458923384,60.206512,7305
1458923385,54.757818,9642
1458923386,48.342135,10738
1458923387,64.184266,8038
1458923388,47.411551,10462
1458923389,61.217177,7633
1458923390,47.843850,10391
1458923391,68.350818,7833
1458923392,55.644849,8944
1458923393,48.539703,9471
1458923394,60.802686,8810
1458923395,48.447776,10477
1458923396,64.765553,7622
1458923397,48.850611,10196
1458923398,60.476019,7138
1458923399,52.498147,10570
1458923400,58.974940,8760
1458923401,71.353781,6940
1458923402,44.898690,11118
1458923403,72.914998,6882
1458923404,47.807402,10475
1458923405,44.460945,9454
1458923406,62.299590,9248
1458923407,56.672233,8775
1458923408,64.191438,7446
1458923409,48.119356,10146
1458923410,51.823247,9253
1458923411,71.004024,7644
1458923412,50.425735,9954
1458923413,69.975922,7299
1458923414,46.528334,10753
1458923415,57.334327,8477
1458923416,66.856219,7558
1458923417,48.614707,10340
1458923418,55.244857,7237
1458923419,54.446713,11047
1458923420,48.380908,10209
1458923421,71.958711,6980
1458923422,44.174924,11291
1458923423,60.610971,7402
1458923424,72.464353,7551
1458923425,44.646473,11183
1458923426,77.057012,6555
1458923427,49.975497,10053
1458923428,43.774911,11314
1458923429,70.209559,7024
1458923430,49.104599,10143
1458923431,54.704676,8494
1458923432,72.799529,7371
1458923433,49.615583,10179
1458923434,45.036313,7112
1458923435,67.689721,9763
1458923436,50.324136,10271
1458923437,72.482274,6930
1458923438,48.051671,10146
1458923439,52.142372,8872
1458923440,80.467528,6771
1458923441,44.591392,10429
1458923442,48.221708,10448
1458923443,79.292111,6558
1458923444,44.930503,10838
1458923445,48.336903,9925
1458923446,68.839609,7760
1458923447,52.455427,9393
1458923448,51.532711,8604
1458923449,78.263710,6788
1458923450,49.340933,10800
1458923451,51.938329,8590
1458923452,70.932222,7337
1458923453,52.200191,10026
1458923454,47.493911,8895
1458923455,93.732684,6187
1458923456,55.268445,9098
1458923457,46.312643,10836
1458923458,83.147507,5221
1458923459,54.854885,9704
1458923460,53.050031,10092
1458923461,76.102738,6468
1458923462,49.522768,10237
1458923463,57.740958,8562
1458923464,73.722633,6841
1458923465,46.629048,9480
1458923466,52.238999,9862
1458923467,78.100595,5486
1458923468,56.360559,10937
1458923469,54.240353,8988
1458923470,57.259746,7457
1458923471,87.394319,6503
1458923472,44.531555,11150
1458923473,53.114411,9486
1458923474,94.340216,5359
1458923475,45.308448,10966
1458923476,44.472090,9707
1458923477,94.547633,5977
1458923478,55.332415,9148
1458923479,53.191732,9161
1458923480,61.329184,7082
1458923481,57.922485,9182
1458923482,54.780485,9823
1458923483,46.426898,9186
1458923484,88.140628,6371
1458923485,51.147443,9725
1458923486,47.661226,10789
1458923487,85.883790,5827
1458923488,63.356468,7840
1458923489,53.883864,8991
1458923490,49.340545,8748
1458923491,73.011212,8078
1458923492,52.336260,9432
1458923493,53.695152,9342
1458923494,84.256423,5919
1458923495,46.056736,10431
1458923496,59.163196,8765
1458923497,57.761479,7610
1458923498,77.180454,7208
1458923499,43.927011,10631
1458923500,52.428812,9952
1458923501,99.534281,5125
1458923502,46.285241,10778
1458923503,44.380579,3207
