unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458923255,41.306605,1494,1494,1.57,37.14,1.61,30.16,1.78,34.70,1.65,34.00
1458923256,38.660376,12357,13851,4.71,89.98,3.58,85.58,3.77,88.18,4.02,87.91
1458923257,47.112475,10913,24764,7.74,137.22,5.66,137.58,5.77,131.00,6.39,135.27
1458923258,46.904590,10479,35243,10.89,226.10,7.84,235.26,8.02,206.74,8.92,222.70
1458923259,52.110324,9551,44794,14.69,299.87,10.16,357.87,10.41,292.04,11.75,316.59
1458923260,41.825744,10935,55729,18.94,397.25,12.70,459.29,12.97,389.52,14.87,415.35
1458923261,49.403520,10999,66728,22.71,514.48,15.18,558.75,15.55,460.87,17.81,511.37
1458923262,54.065467,9188,75916,26.96,606.54,17.99,558.98,18.10,563.99,21.02,576.50
1458923263,52.432147,8027,83943,31.04,787.07,21.07,834.29,20.96,716.72,24.36,779.36
1458923264,56.875495,10128,94071,34.58,941.12,24.06,834.77,23.64,811.36,27.43,862.42
1458923265,52.892730,9192,103263,38.41,951.62,27.11,834.77,26.01,965.29,30.51,917.23
1458923266,50.332488,9187,112450,43.03,1113.78,30.58,835.73,29.09,965.29,34.23,971.60
1458923267,64.042468,7594,120044,47.40,1114.28,33.64,980.01,32.32,1124.36,37.79,1072.88
1458923268,121.571565,1932,121976,49.43,1380.42,36.27,989.50,33.82,1302.37,39.84,1224.10
1458923269,180.870094,1527,123503,50.69,1380.42,37.74,989.50,35.74,1302.35,41.39,1224.09
1458923270,68.197689,2002,125505,50.98,1382.66,39.02,1129.12,36.73,1442.00,42.24,1317.93
1458923271,161.585623,1654,127159,50.93,1382.66,38.98,1129.12,36.76,1442.00,42.22,1317.93
1458923272,90.474646,1767,128926,50.78,1382.66,39.09,1129.12,36.86,1442.00,42.24,1317.93
1458923273,107.396827,1699,130625,50.56,1382.66,39.14,1129.12,37.17,1442.00,42.29,1317.93
1458923274,109.226022,1489,132114,51.47,1382.80,40.19,1129.12,37.78,1442.00,43.15,1317.97
1458923275,117.415257,1636,133750,52.53,1382.80,41.54,1129.12,39.19,1442.00,44.42,1317.97
1458923276,143.355529,1640,135390,52.41,1383.02,42.73,1129.12,40.15,1442.00,45.10,1318.05
1458923277,143.291679,1516,136906,52.20,1383.02,42.74,1129.12,40.20,1442.00,45.05,1318.05
1458923278,156.059565,1715,138621,51.96,1383.02,42.70,1129.12,40.18,1442.00,44.95,1318.05
1458923279,139.047837,1434,140055,51.74,1383.02,42.69,1129.12,40.14,1442.00,44.86,1318.05
1458923280,138.069452,1201,141256,52.14,1383.02,42.90,1129.34,40.30,1442.22,45.11,1318.19
1458923281,219.454596,1248,142504,53.08,1383.02,43.73,1283.75,41.47,1442.22,46.09,1369.66
1458923282,248.709893,1070,143574,54.31,1383.02,45.14,1615.52,42.82,1775.58,47.42,1591.37
1458923283,349.681498,442,144016,53.99,1383.02,44.94,1615.52,42.58,1775.58,47.17,1591.37
1458923284,192.954636,415,144431,53.68,1383.02,44.77,1615.52,42.33,1775.58,46.93,1591.37
1458923285,357.902349,279,144710,53.34,1383.02,44.57,1615.52,42.06,1775.58,46.66,1591.37
1458923286,528.830357,253,144963,53.01,1383.02,44.35,1615.52,41.81,1775.58,46.39,1591.37
1458923287,350.839492,415,145378,52.70,1383.02,44.20,1615.52,41.57,1775.58,46.16,1591.37
1458923288,300.600027,330,145708,52.40,1383.02,44.05,1615.52,41.33,1775.58,45.93,1591.37
1458923289,345.941387,366,146074,52.08,1383.02,43.87,1615.52,41.09,1775.58,45.68,1591.37
1458923290,199.135910,309,146383,51.75,1383.02,43.69,1615.52,40.84,1775.58,45.43,1591.37
1458923291,277.311156,173,146556,51.42,1383.02,43.45,1615.52,40.59,1775.58,45.15,1591.37
1458923292,362.232567,70,146626,51.06,1383.02,43.14,1615.52,40.29,1775.58,44.83,1591.37
1458923293,218.849175,94,146720,50.71,1383.02,42.85,1615.52,40.02,1775.58,44.53,1591.37
1458923294,604.152818,36,146756,50.37,1383.02,42.53,1615.52,39.72,1775.58,44.21,1591.37
1458923295,280.737718,17,146773,49.99,1383.02,42.24,1615.52,39.43,1775.58,43.89,1591.37
1458923296,436.636015,26,146799,49.61,1383.02,41.95,1615.52,39.18,1775.58,43.58,1591.37
1458923297,699.747351,5,146804,49.23,1383.02,41.62,1615.52,38.88,1775.58,43.24,1591.37
1458923298,672.906557,2,146806,48.85,1383.02,41.30,1615.52,38.57,1775.58,42.91,1591.37
1458923299,520.998774,7,146813,48.48,1383.02,40.99,1615.52,38.28,1775.58,42.58,1591.37
1458923300,843.779418,1,146814,48.11,1383.02,40.69,1615.52,37.99,1775.58,42.26,1591.37
1458923315,101.279767,256,147070,47.75,1383.02,40.39,1615.52,37.71,1775.58,41.95,1591.37
1458923316,58.329043,6773,153843,47.39,1383.02,40.07,1615.52,37.42,1775.58,41.63,1591.37
1458923317,61.201527,7714,161557,47.05,1383.02,39.77,1615.52,37.14,1775.58,41.32,1591.37
1458923318,62.988888,8012,169569,46.70,1383.02,39.48,1615.52,36.86,1775.58,41.01,1591.37
1458923319,48.362339,10123,179692,46.35,1383.02,39.19,1615.52,36.59,1775.58,40.71,1591.37
1458923320,116.562443,4274,183966,46.01,1383.02,38.91,1615.52,36.32,1775.58,40.41,1591.37
1458923321,57.347269,8024,191990,45.68,1383.02,38.62,1615.52,36.07,1775.58,40.12,1591.37
1458923322,74.478869,6067,198057,45.36,1383.02,38.35,1615.52,35.81,1775.58,39.84,1591.37
1458923323,85.461368,6846,204903,45.02,1383.02,38.08,1615.52,35.55,1775.58,39.55,1591.37
1458923324,55.297445,9009,213912,44.71,1383.02,37.81,1615.52,35.29,1775.58,39.27,1591.37
1458923325,62.090289,7310,221222,44.39,1383.02,37.54,1615.52,35.05,1775.58,38.99,1591.37
1458923326,97.346018,5184,226406,44.09,1383.02,37.28,1615.52,34.80,1775.58,38.72,1591.37
1458923327,91.561867,4898,231304,43.78,1383.02,37.02,1615.52,34.56,1775.58,38.45,1591.37
1458923328,90.426355,5673,236977,43.48,1383.02,36.77,1615.52,34.33,1775.58,38.19,1591.37
1458923329,92.075130,6163,243140,43.19,1383.02,36.53,1615.52,34.09,1775.58,37.94,1591.37
1458923330,148.721843,2199,245339,44.21,1383.28,36.79,1615.52,34.86,1775.58,38.62,1591.46
1458923331,476.392135,1296,246635,46.08,1502.50,38.17,1616.70,36.16,1953.22,40.14,1690.81
1458923332,690.675445,667,247302,48.97,1905.34,40.46,1627.19,38.21,2261.33,42.55,1931.29
1458923333,490.357818,833,248135,51.63,1905.34,42.81,1640.24,40.26,2261.33,44.90,1935.64
1458923334,132.439417,4699,252834,54.67,2096.18,45.16,1967.06,43.16,2261.33,47.66,2108.19
1458923335,61.863258,6108,258942,57.36,2225.72,47.97,1967.76,45.88,2264.18,50.40,2152.55
1458923336,344.559714,941,259883,60.17,2533.19,50.30,2299.86,48.79,2331.84,53.09,2388.30
1458923337,198.282425,1391,261274,63.31,2588.48,53.12,2375.77,51.35,2637.30,55.93,2533.85
1458923338,201.165001,1135,262409,65.84,2589.00,55.22,2621.83,54.04,2637.30,58.37,2616.04
1458923339,176.348002,1431,263840,69.24,2611.60,58.01,2621.82,56.39,2674.62,61.21,2636.01
1458923340,170.190628,1416,265256,72.05,2611.60,60.70,2622.54,58.79,2984.71,63.85,2739.62
1458923341,138.753664,1252,266508,75.20,2651.22,63.02,2622.54,61.36,3011.48,66.53,2761.75
1458923342,354.992112,885,267393,78.11,2890.76,65.43,3108.85,64.38,3011.48,69.31,3003.70
1458923343,132.572322,1463,268856,80.09,2895.09,67.06,3190.77,66.44,3317.89,71.20,3134.58
1458923344,114.957626,1536,270392,82.37,2895.09,69.01,3447.09,68.78,3573.77,73.39,3305.32
1458923345,274.568109,1245,271637,83.81,2895.09,70.57,3447.09,69.74,3573.77,74.71,3305.32
1458923346,205.080663,1234,272871,84.85,3161.41,70.97,3447.09,71.00,3842.13,75.61,3483.54
1458923347,246.741528,984,273855,84.94,3439.97,71.44,3469.85,71.21,3842.13,75.86,3583.98
1458923348,464.928046,580,274435,85.33,3439.97,71.63,3469.85,70.91,3842.13,75.96,3583.98
1458923349,584.660101,489,274924,86.40,3440.23,72.55,3469.85,71.17,3846.48,76.71,3585.52
1458923350,285.405308,1117,276041,86.94,3600.12,73.40,3469.85,72.03,3846.48,77.46,3638.82
