second,avg_latency_ms_consul,throughput_consul,cumulative_throughput_consul,avg_cpu_consul,avg_memory_mb_consul,avg_latency_ms_etcd3,throughput_etcd3,cumulative_throughput_etcd3,avg_cpu_etcd3,avg_memory_mb_etcd3,avg_latency_ms_etcd3multi,throughput_etcd3multi,cumulative_throughput_etcd3multi,avg_cpu_etcd3multi,avg_memory_mb_etcd3multi,avg_latency_ms_etcd2,throughput_etcd2,cumulative_throughput_etcd2,avg_cpu_etcd2,avg_memory_mb_etcd2,avg_latency_ms_zk,throughput_zk,cumulative_throughput_zk,avg_cpu_zk,avg_memory_mb_zk
0,205.285541,1808,1808,1.57,20.90,48.813054,4185,4185,2.04,49.92,54.944094,13680,13680,1.92,46.83,49.872861,13096,13096,3.02,65.69,34.739131,7419,7419,1.62,105.66
1,209.073705,4827,6635,2.51,50.98,53.785846,18347,22532,4.83,121.99,55.713637,17990,31670,4.46,83.94,61.790212,15769,28865,6.46,146.43,80.894421,11244,18663,5.10,169.17
2,218.151909,4367,11002,3.73,59.35,55.979015,17756,40288,7.63,133.85,54.918798,17885,49555,7.10,91.29,71.353964,13770,42635,10.23,348.35,64.579604,19320,37983,7.75,196.90
3,220.176053,4757,15759,4.90,68.29,80.452644,12566,52854,9.97,137.01,59.967767,16637,66192,9.82,99.93,69.343015,14307,56942,14.09,462.89,31.830922,31294,69277,11.20,306.82
4,226.835974,4416,20175,5.97,72.08,60.162760,16591,69445,12.77,146.57,71.135403,14133,80325,12.62,107.75,79.007418,12365,69307,18.49,559.88,31.310061,32011,101288,15.04,443.34
5,227.450034,4288,24463,7.06,82.22,64.144912,15676,85121,15.52,153.49,59.987939,16565,96890,14.92,114.03,85.714849,11642,80949,22.91,755.96,29.925852,33224,134512,18.18,523.24
6,205.826887,4928,29391,8.18,93.24,60.716120,16372,101493,18.18,160.68,61.664708,15924,112814,17.70,120.79,80.766115,12341,93290,27.72,926.11,34.176122,29453,163965,21.58,723.80
7,214.993768,4608,33999,9.35,103.74,62.876226,15500,116993,21.14,167.49,61.343468,16382,129196,20.29,129.87,72.057313,11869,105159,32.43,994.63,32.303125,30961,194926,25.07,805.75
8,227.640523,4224,38223,10.37,100.08,76.713957,13010,130003,23.79,175.95,76.583428,12879,142075,22.84,136.18,103.530756,9730,114889,37.13,1161.54,31.729684,31301,226227,28.18,886.25
9,228.951122,4596,42819,11.38,111.35,68.291227,14958,144961,25.78,182.23,63.785665,16117,158192,24.93,141.44,101.101296,10973,125862,41.78,1263.96,30.377425,32941,259168,30.98,885.79
10,214.603518,4684,47503,12.50,122.47,65.497889,15162,160123,28.35,191.34,63.882045,15453,173645,27.42,148.89,129.801094,4363,130225,45.53,1396.80,66.882843,12928,272096,34.87,1179.88
11,221.299479,4479,51982,13.58,133.32,64.862903,15217,175340,30.89,195.20,64.931205,15112,188757,29.89,158.51,323.441974,1684,131909,47.34,1652.70,46.405628,24453,296549,37.81,1269.78
12,229.681412,4177,56159,14.50,143.28,66.703501,14614,189954,33.24,200.22,67.468436,14745,203502,32.17,162.96,385.105035,1046,132955,48.78,1854.63,28.663636,34584,331133,40.45,1269.79
13,215.605233,4765,60924,15.52,156.58,66.981427,15150,205104,35.64,208.71,78.586003,13089,216591,34.16,169.87,438.574489,1229,134184,49.92,1924.86,33.918530,29766,360899,43.19,1370.34
14,218.769434,4562,65486,16.50,165.81,79.241165,12300,217404,37.61,214.36,66.119903,14719,231310,36.43,175.90,506.249433,1235,135419,50.48,2026.99,30.603537,32312,393211,46.45,1370.34
15,247.099300,4114,69600,17.53,151.53,66.590422,14732,232136,39.92,222.37,67.516213,15133,246443,38.64,186.08,545.047077,742,136161,50.26,2026.99,35.057297,21619,414830,49.18,1371.03
16,229.552274,4397,73997,18.28,159.44,67.712731,14883,247019,42.18,228.20,64.630535,15658,262101,40.81,190.18,524.584257,1177,137338,50.07,2026.99,93.766293,13371,428201,51.72,1480.18
17,213.565155,4672,78669,19.20,170.35,66.978405,15110,262129,44.51,233.42,79.495794,12498,274599,43.04,197.84,446.414601,742,138080,49.90,2026.99,28.298509,10052,438253,55.38,1742.32
18,223.072353,4421,83090,20.05,179.81,69.718426,14892,277021,46.77,241.09,66.593589,14939,289538,44.83,204.35,535.925057,824,138904,49.65,2027.00,57.796923,29527,467780,59.16,1754.26
19,209.707724,4859,87949,21.01,194.61,67.214243,12493,289514,48.89,246.92,68.368693,14532,304070,46.84,211.44,419.093871,986,139890,49.46,2027.00,31.106390,32207,499987,61.80,1753.55
20,219.633788,4371,92320,21.88,204.31,80.782003,14066,303580,50.63,251.23,67.901699,14323,318393,48.78,216.52,550.721386,950,140840,49.27,2027.09,34.465886,29075,529062,64.30,1771.08
21,220.084249,4589,96909,22.71,214.12,69.834602,14042,317622,52.84,261.25,68.756605,12059,330452,50.91,223.20,339.776868,703,141543,49.16,2027.09,30.796313,32416,561478,67.21,1838.34
22,225.749918,4415,101324,23.57,224.99,69.982219,14656,332278,54.84,266.72,80.323220,14561,345013,52.52,227.67,316.333774,1184,142727,49.60,2029.27,32.739098,30647,592125,69.88,1848.63
23,212.130400,4736,106060,24.40,234.85,70.672659,13722,346000,56.81,274.72,71.640468,14160,359173,54.33,235.49,675.200235,555,143282,50.60,2033.80,30.344449,32925,625050,72.46,1848.63
24,213.561145,4416,110476,25.23,247.95,69.681134,14205,360205,58.87,282.88,65.935593,15243,374416,56.23,242.94,549.087947,1128,144410,51.14,2036.77,33.525366,16988,642038,74.61,1860.99
25,223.847594,4736,115212,26.07,259.06,78.179908,12984,373189,60.62,285.56,68.843220,14469,388885,58.20,248.96,282.211189,936,145346,50.94,2036.77,104.758828,13567,655605,76.53,1914.72
26,223.734504,4480,119692,26.88,270.12,70.569974,14060,387249,62.47,291.32,79.791444,12164,401049,60.08,256.08,371.588838,992,146338,50.74,2036.77,37.096622,26968,682573,78.21,1915.01
27,222.507729,4584,124276,27.68,283.30,71.141706,13934,401183,64.26,296.18,71.093253,14335,415384,61.66,261.74,269.645741,1282,147620,50.55,2036.77,31.467198,31867,714440,80.68,1915.01
28,217.099830,4504,128780,28.33,288.29,74.667161,13614,414797,66.05,306.98,71.829271,13754,429138,63.29,273.46,333.920334,1286,148906,50.37,2036.77,31.053525,21994,736434,83.22,1915.01
29,234.164853,4288,133068,29.15,246.82,67.859651,14688,429485,68.00,314.52,66.772461,15114,444252,65.11,275.40,398.386551,323,149229,50.13,2036.77,126.161969,10479,746913,87.20,1999.17
30,221.729895,4480,137548,29.90,260.36,70.313412,14219,443704,69.81,317.85,68.341158,12545,456797,66.89,281.55,768.531934,415,149644,49.84,2036.77,32.479415,30723,777636,89.11,2000.89
31,229.829242,4288,141836,30.57,267.62,94.666997,10069,453773,71.04,321.05,76.138985,15076,471873,68.39,288.30,654.773558,108,149752,49.54,2036.77,38.478504,26024,803660,90.98,2013.13
32,222.538457,4608,146444,31.15,273.97,75.630940,13601,467374,72.77,331.98,66.620491,15112,486985,70.12,293.33,487.213950,354,150106,49.28,2036.77,30.965184,32099,835759,93.36,2012.18
33,218.216499,4469,150913,31.95,290.03,71.095986,13792,481166,74.47,335.51,72.882574,13558,500543,71.70,299.94,745.530507,222,150328,48.95,2036.77,33.619801,29866,865625,95.79,2050.34
34,221.289616,4721,155634,32.64,299.21,67.560716,14889,496055,76.12,344.33,68.656141,14444,514987,73.34,307.84,408.683919,143,150471,48.63,2036.77,30.925661,32279,897904,97.90,2050.34
35,226.714547,4314,159948,33.22,308.55,70.843106,14164,510219,77.77,351.32,83.390639,12072,527059,75.05,316.47,541.418602,88,150559,48.30,2036.77,32.693409,25578,923482,99.63,2084.87
36,231.864667,4160,164108,33.99,320.84,69.539172,14657,524876,79.56,354.00,70.463782,14126,541185,76.29,319.84,527.004609,43,150602,47.97,2036.77,167.110255,3272,926754,103.15,2179.13
37,226.210747,4671,168779,34.64,331.89,90.471705,10671,535547,80.72,364.30,70.303934,14395,555580,77.92,326.16,573.751197,18,150620,47.60,2036.77,107.476322,15027,941781,105.47,2199.34
38,220.408693,4480,173259,35.23,339.12,70.535566,14506,550053,82.38,368.66,70.665106,14034,569614,79.51,335.48,132.165559,37,150657,47.28,2036.77,31.352256,25764,967545,106.88,2199.84
39,211.489221,4479,177738,35.98,355.17,69.309157,14110,564163,83.87,375.32,66.639382,13487,583101,81.06,342.20,253.641549,21,150678,46.94,2036.77,970.146249,2084,969629,108.69,2255.59
40,218.590251,4480,182218,36.54,364.82,72.285746,14354,578517,85.57,382.29,79.226169,13820,596921,82.18,345.21,421.459589,38,150716,46.61,2036.77,276.228790,3566,973195,109.60,2256.10
41,214.122099,4709,186927,37.22,374.17,68.575279,14318,592835,87.05,389.07,72.410529,13620,610541,83.71,352.94,194.913506,34,150750,46.27,2036.77,45.173396,26169,999364,109.22,2256.10
42,215.215370,4955,191882,37.84,384.21,72.312466,13825,606660,88.67,395.82,67.432582,13920,624461,85.28,361.44,234.621070,13,150763,45.92,2036.77,33.219995,30093,1029457,109.46,2256.10
43,223.599360,3642,195524,38.37,393.00,77.144518,12317,618977,89.83,401.60,67.433697,15323,639784,86.66,365.64,149.491938,8,150771,45.59,2036.77,41.289047,20496,1049953,110.60,2256.10
