unix_ts,avg_latency_ms,throughput
1458923535,205.285541,1808
1458923536,209.073705,4827
1458923537,218.151909,4367
1458923538,220.176053,4757
1458923539,226.835974,4416
1458923540,227.450034,4288
1458923541,205.826887,4928
1458923542,214.993768,4608
1458923543,227.640523,4224
1458923544,228.951122,4596
1458923545,214.603518,4684
1458923546,221.299479,4479
1458923547,229.681412,4177
1458923548,215.605233,4765
1458923549,218.769434,4562
1458923550,247.099300,4114
1458923551,229.552274,4397
1458923552,213.565155,4672
1458923553,223.072353,4421
1458923554,209.707724,4859
1458923555,219.633788,4371
1458923556,220.084249,4589
1458923557,225.749918,4415
1458923558,212.130400,4736
1458923559,213.561145,4416
1458923560,223.847594,4736
1458923561,223.734504,4480
1458923562,222.507729,4584
1458923563,217.099830,4504
1458923564,234.164853,4288
1458923565,221.729895,4480
1458923566,229.829242,4288
1458923567,222.538457,4608
1458923568,218.216499,4469
1458923569,221.289616,4721
1458923570,226.714547,4314
1458923571,231.864667,4160
1458923572,226.210747,4671
1458923573,220.408693,4480
1458923574,211.489221,4479
1458923575,218.590251,4480
1458923576,214.122099,4709
1458923577,215.215370,4955
1458923578,223.599360,3642
1458923579,240.423775,4903
1458923580,214.010421,4736
1458923581,215.451868,4571
1458923582,214.337497,4644
1458923583,219.358058,4416
1458923584,224.952783,4608
1458923585,219.403892,4416
1458923586,225.921798,4480
1458923587,224.136198,4480
1458923588,226.285953,4288
1458923589,214.713888,4637
1458923590,216.457163,4835
1458923591,214.412666,4672
1458923592,229.037533,4013
1458923593,243.973759,4434
1458923594,217.300430,4522
1458923595,224.534249,4374
1458923596,231.216921,4352
1458923597,221.728453,4608
1458923598,223.211807,4480
1458923599,220.610618,4613
1458923600,228.299993,3984
1458923601,454.724674,2193
1458923602,424.849413,2075
1458923603,631.087560,1248
1458923604,961.264662,997
1458923605,949.593829,984
1458923606,1160.817951,792
1458923607,1375.908734,779
1458923608,1611.881860,429
1458923609,1767.778337,695
1458923610,1737.396645,393
1458923611,1770.729623,681
1458923612,1826.425380,485
1458923613,1786.702843,549
1458923614,1760.768753,545
1458923615,1820.293656,551
1458923616,1832.920744,677
1458923617,1810.205780,428
1458923618,1848.936064,636
1458923619,1867.627866,386
1458923620,1829.547117,734
1458923621,1824.745574,343
1458923622,1877.738869,678
1458923623,1846.463851,497
1458923624,1781.811846,545
1458923625,1859.600167,521
1458923626,1886.012598,549
1458923627,1802.388071,678
1458923628,1776.208306,399
1458923629,1882.671160,667
1458923630,1875.687290,392
1458923631,1779.992705,735
1458923632,1994.862437,265
1458923633,2005.227699,725
1458923634,1821.779825,407
1458923635,1777.612743,627
1458923636,1740.712203,558
1458923637,1814.478623,475
1458923638,1798.226918,634
1458923639,1744.467017,548
1458923640,1737.569338,642
1458923641,1815.597057,516
1458923642,1763.940126,585
1458923643,1719.804646,598
1458923644,1747.883949,509
1458923645,1738.548523,603
1458923646,1715.746938,578
1458923647,1800.717014,544
1458923648,1816.405628,562
1458923649,1737.788526,655
1458923650,1753.693274,506
1458923651,1811.752504,540
1458923652,1726.536291,582
1458923653,1751.844955,559
1458923654,1837.487571,540
1458923655,1792.940707,567
1458923656,1725.206716,629
1458923657,1758.352002,554
1458923658,1822.499220,556
1458923659,1733.017639,537
1458923660,1765.391049,565
1458923661,1801.193523,470
1458923662,1749.596478,719
1458923663,1721.703279,536
1458923664,1754.725427,554
1458923665,1777.097449,622
1458923666,1719.348317,520
1458923667,1767.001197,565
1458923668,1847.328885,459
1458923669,1780.226249,722
1458923670,1754.570454,371
1458923671,1814.001838,683
1458923672,1796.450776,656
1458923673,1749.904738,369
1458923674,1900.810042,666
1458923675,1660.295574,621
1458923676,1283.226576,913
1458923677,1161.919307,796
1458923678,1112.650927,1000
1458923679,939.309892,1185
1458923680,854.545508,1118
1458923681,826.556592,1386
1458923682,740.791062,1317
1458923683,608.909769,1923
1458923684,484.011153,2006
1458923685,575.435710,1773
1458923686,531.281120,1437
1458923687,515.126471,2391
1458923688,491.844698,2065
1458923689,435.326522,2098
1458923690,507.988955,2157
1458923691,437.459326,2138
1458923692,497.211161,2003
1458923693,479.445783,2064
1458923694,508.043313,2134
1458923695,464.829693,2070
1458923696,443.597170,2070
1458923697,501.540082,2130
1458923698,428.345228,2312
1458923699,458.855515,2373
