2016-03-25 16:59:26.540903 I | etcdmain: etcd Version: 2.3.0+git
2016-03-25 16:59:26.540958 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-03-25 16:59:26.540977 I | etcdmain: Go Version: go1.6
2016-03-25 16:59:26.540983 I | etcdmain: Go OS/Arch: linux/amd64
2016-03-25 16:59:26.540989 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-03-25 16:59:26.541052 I | etcdmain: listening for peers on http://10.240.0.20:2380
2016-03-25 16:59:26.541078 I | etcdmain: listening for client requests on 10.240.0.20:2379
2016-03-25 16:59:26.544243 I | etcdserver: name = etcd-1
2016-03-25 16:59:26.544256 I | etcdserver: data dir = /mnt/ssd0/data.etcd
2016-03-25 16:59:26.544263 I | etcdserver: member dir = /mnt/ssd0/data.etcd/member
2016-03-25 16:59:26.544275 I | etcdserver: heartbeat = 100ms
2016-03-25 16:59:26.544280 I | etcdserver: election = 1000ms
2016-03-25 16:59:26.544285 I | etcdserver: snapshot count = 10000
2016-03-25 16:59:26.544294 I | etcdserver: advertise client URLs = http://10.240.0.20:2379
2016-03-25 16:59:26.544300 I | etcdserver: initial advertise peer URLs = http://10.240.0.20:2380
2016-03-25 16:59:26.544320 I | etcdserver: initial cluster = etcd-1=http://10.240.0.20:2380,etcd-2=http://10.240.0.21:2380,etcd-3=http://10.240.0.22:2380
2016-03-25 16:59:26.554456 I | etcdserver: starting member 20722e46d7802cab in cluster 4ce5e214d26bfb9e
2016-03-25 16:59:26.554516 I | raft: 20722e46d7802cab became follower at term 0
2016-03-25 16:59:26.554530 I | raft: newRaft 20722e46d7802cab [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-03-25 16:59:26.554536 I | raft: 20722e46d7802cab became follower at term 1
2016-03-25 16:59:26.593362 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-03-25 16:59:26.593770 E | etcdmain: failed to notify systemd for readiness: No socket
2016-03-25 16:59:26.593790 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-03-25 16:59:26.594257 N | etcdmain: serving insecure client requests on 10.240.0.20:2379, this is strongly discouraged!
2016-03-25 16:59:26.594556 N | etcdserver: added local member 20722e46d7802cab [http://10.240.0.20:2380] to cluster 4ce5e214d26bfb9e
2016-03-25 16:59:26.594726 N | etcdserver: added member 2087a91b2ccc6d93 [http://10.240.0.21:2380] to cluster 4ce5e214d26bfb9e
2016-03-25 16:59:26.594853 N | etcdserver: added member 21d3c625100d5241 [http://10.240.0.22:2380] to cluster 4ce5e214d26bfb9e
2016-03-25 16:59:26.854979 I | raft: 20722e46d7802cab is starting a new election at term 1
2016-03-25 16:59:26.855052 I | raft: 20722e46d7802cab became candidate at term 2
2016-03-25 16:59:26.855060 I | raft: 20722e46d7802cab received vote from 20722e46d7802cab at term 2
2016-03-25 16:59:26.855071 I | raft: 20722e46d7802cab [logterm: 1, index: 3] sent vote request to 2087a91b2ccc6d93 at term 2
2016-03-25 16:59:26.855079 I | raft: 20722e46d7802cab [logterm: 1, index: 3] sent vote request to 21d3c625100d5241 at term 2
2016-03-25 16:59:27.588444 I | rafthttp: the connection with 2087a91b2ccc6d93 became active
2016-03-25 16:59:27.853023 I | raft: 20722e46d7802cab [logterm: 1, index: 3, vote: 20722e46d7802cab] rejected vote from 2087a91b2ccc6d93 [logterm: 1, index: 3] at term 2
2016-03-25 16:59:28.254914 I | raft: 20722e46d7802cab is starting a new election at term 2
2016-03-25 16:59:28.254964 I | raft: 20722e46d7802cab became candidate at term 3
2016-03-25 16:59:28.254984 I | raft: 20722e46d7802cab received vote from 20722e46d7802cab at term 3
2016-03-25 16:59:28.254995 I | raft: 20722e46d7802cab [logterm: 1, index: 3] sent vote request to 2087a91b2ccc6d93 at term 3
2016-03-25 16:59:28.255003 I | raft: 20722e46d7802cab [logterm: 1, index: 3] sent vote request to 21d3c625100d5241 at term 3
2016-03-25 16:59:28.262170 I | raft: 20722e46d7802cab received vote from 2087a91b2ccc6d93 at term 3
2016-03-25 16:59:28.262208 I | raft: 20722e46d7802cab [quorum:2] has received 2 votes and 0 vote rejections
2016-03-25 16:59:28.262240 I | raft: 20722e46d7802cab became leader at term 3
2016-03-25 16:59:28.262268 I | raft: raft.node: 20722e46d7802cab elected leader 20722e46d7802cab at term 3
2016-03-25 16:59:28.271358 W | etcdserver: failed to reach the peerURL(http://10.240.0.22:2380) of member 21d3c625100d5241 (Get http://10.240.0.22:2380/version: dial tcp 10.240.0.22:2380: getsockopt: connection refused)
2016-03-25 16:59:28.271386 W | etcdserver: cannot get the version of member 21d3c625100d5241 (Get http://10.240.0.22:2380/version: dial tcp 10.240.0.22:2380: getsockopt: connection refused)
2016-03-25 16:59:28.271422 I | etcdserver: setting up the initial cluster version to 2.2
2016-03-25 16:59:28.273518 I | etcdserver: published {Name:etcd-1 ClientURLs:[http://10.240.0.20:2379]} to cluster 4ce5e214d26bfb9e
2016-03-25 16:59:28.275973 N | etcdserver: set the initial cluster version to 2.2
2016-03-25 16:59:28.605005 I | rafthttp: the connection with 21d3c625100d5241 became active
2016-03-25 16:59:32.273544 I | etcdserver: updating the cluster version from 2.2 to 2.3
2016-03-25 16:59:32.277271 N | etcdserver: updated the cluster version from 2.2 to 2.3
2016-03-25 17:00:50.286371 I | etcdserver: start to snapshot (applied: 10216, lastsnap: 0)
2016-03-25 17:00:50.319218 I | etcdserver: saved snapshot at index 10216
2016-03-25 17:00:50.319418 I | etcdserver: compacted raft log at 5216
2016-03-25 17:00:50.822757 I | etcdserver: start to snapshot (applied: 20243, lastsnap: 10216)
2016-03-25 17:00:50.854882 I | etcdserver: saved snapshot at index 20243
2016-03-25 17:00:50.855135 I | etcdserver: compacted raft log at 15243
2016-03-25 17:00:51.397688 I | etcdserver: start to snapshot (applied: 30470, lastsnap: 20243)
2016-03-25 17:00:51.429140 I | etcdserver: saved snapshot at index 30470
2016-03-25 17:00:51.429284 I | etcdserver: compacted raft log at 25470
2016-03-25 17:00:52.006107 I | etcdserver: start to snapshot (applied: 40593, lastsnap: 30470)
2016-03-25 17:00:52.028759 I | etcdserver: saved snapshot at index 40593
2016-03-25 17:00:52.028933 I | etcdserver: compacted raft log at 35593
2016-03-25 17:00:52.817357 I | etcdserver: start to snapshot (applied: 50811, lastsnap: 40593)
2016-03-25 17:00:52.841768 I | etcdserver: saved snapshot at index 50811
2016-03-25 17:00:52.841981 I | etcdserver: compacted raft log at 45811
2016-03-25 17:00:53.434061 I | etcdserver: start to snapshot (applied: 60812, lastsnap: 50811)
2016-03-25 17:00:53.464080 I | etcdserver: saved snapshot at index 60812
2016-03-25 17:00:53.464270 I | etcdserver: compacted raft log at 55812
2016-03-25 17:00:54.073959 I | etcdserver: start to snapshot (applied: 70938, lastsnap: 60812)
2016-03-25 17:00:54.106397 I | etcdserver: saved snapshot at index 70938
2016-03-25 17:00:54.106794 I | etcdserver: compacted raft log at 65938
2016-03-25 17:00:54.713045 I | etcdserver: start to snapshot (applied: 80990, lastsnap: 70938)
2016-03-25 17:00:54.747765 I | etcdserver: saved snapshot at index 80990
2016-03-25 17:00:54.748004 I | etcdserver: compacted raft log at 75990
2016-03-25 17:00:55.340971 I | etcdserver: start to snapshot (applied: 91073, lastsnap: 80990)
2016-03-25 17:00:55.388732 I | etcdserver: saved snapshot at index 91073
2016-03-25 17:00:55.388883 I | etcdserver: compacted raft log at 86073
2016-03-25 17:00:55.961230 I | etcdserver: start to snapshot (applied: 101370, lastsnap: 91073)
2016-03-25 17:00:55.986673 I | etcdserver: saved snapshot at index 101370
2016-03-25 17:00:55.986979 I | etcdserver: compacted raft log at 96370
2016-03-25 17:00:56.595971 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-00000000000027e8.snap successfully
2016-03-25 17:00:56.596094 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000004f13.snap successfully
2016-03-25 17:00:56.596154 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000007706.snap successfully
