2016-03-25 16:32:49.137209 I | etcdmain: etcd Version: 2.3.0+git
2016-03-25 16:32:49.137299 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-03-25 16:32:49.137313 I | etcdmain: Go Version: go1.6
2016-03-25 16:32:49.137325 I | etcdmain: Go OS/Arch: linux/amd64
2016-03-25 16:32:49.137333 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-03-25 16:32:49.137407 I | etcdmain: listening for peers on http://10.240.0.46:2380
2016-03-25 16:32:49.137435 I | etcdmain: listening for client requests on 10.240.0.46:2379
2016-03-25 16:32:49.139118 I | etcdserver: name = etcd-3
2016-03-25 16:32:49.139141 I | etcdserver: data dir = /mnt/ssd0/data.etcd
2016-03-25 16:32:49.139149 I | etcdserver: member dir = /mnt/ssd0/data.etcd/member
2016-03-25 16:32:49.139156 I | etcdserver: heartbeat = 100ms
2016-03-25 16:32:49.139162 I | etcdserver: election = 1000ms
2016-03-25 16:32:49.139167 I | etcdserver: snapshot count = 10000
2016-03-25 16:32:49.139178 I | etcdserver: advertise client URLs = http://10.240.0.46:2379
2016-03-25 16:32:49.139186 I | etcdserver: initial advertise peer URLs = http://10.240.0.46:2380
2016-03-25 16:32:49.139211 I | etcdserver: initial cluster = etcd-1=http://10.240.0.44:2380,etcd-2=http://10.240.0.45:2380,etcd-3=http://10.240.0.46:2380
2016-03-25 16:32:49.145093 I | etcdserver: starting member 3d6e91111fa7d7f in cluster 9f5e7b7974fa6af0
2016-03-25 16:32:49.145150 I | raft: 3d6e91111fa7d7f became follower at term 0
2016-03-25 16:32:49.145163 I | raft: newRaft 3d6e91111fa7d7f [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-03-25 16:32:49.145169 I | raft: 3d6e91111fa7d7f became follower at term 1
2016-03-25 16:32:49.191558 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-03-25 16:32:49.191912 I | rafthttp: the connection with a5329d90b03e01ad became active
2016-03-25 16:32:49.192422 E | etcdmain: failed to notify systemd for readiness: No socket
2016-03-25 16:32:49.192436 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-03-25 16:32:49.193047 N | etcdserver: added local member 3d6e91111fa7d7f [http://10.240.0.46:2380] to cluster 9f5e7b7974fa6af0
2016-03-25 16:32:49.193139 N | etcdserver: added member a5329d90b03e01ad [http://10.240.0.45:2380] to cluster 9f5e7b7974fa6af0
2016-03-25 16:32:49.193165 N | etcdmain: serving insecure client requests on 10.240.0.46:2379, this is strongly discouraged!
2016-03-25 16:32:49.193210 N | etcdserver: added member dc4b96a026877774 [http://10.240.0.44:2380] to cluster 9f5e7b7974fa6af0
2016-03-25 16:32:49.193297 I | rafthttp: the connection with dc4b96a026877774 became active
2016-03-25 16:32:49.450189 I | raft: 3d6e91111fa7d7f [term: 1] received a MsgVote message with higher term from dc4b96a026877774 [term: 3]
2016-03-25 16:32:49.450262 I | raft: 3d6e91111fa7d7f became follower at term 3
2016-03-25 16:32:49.450305 I | raft: 3d6e91111fa7d7f [logterm: 1, index: 3, vote: 0] voted for dc4b96a026877774 [logterm: 1, index: 3] at term 3
2016-03-25 16:32:49.452881 I | raft: raft.node: 3d6e91111fa7d7f elected leader dc4b96a026877774 at term 3
