unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458923655,54.944094,13680,13680,1.93,44.96,1.85,47.36,1.97,48.16,1.92,46.83
1458923656,55.713637,17990,31670,5.10,81.78,4.07,90.01,4.22,80.03,4.46,83.94
1458923657,54.918798,17885,49555,8.34,90.86,6.38,94.40,6.59,88.60,7.10,91.29
1458923658,59.967767,16637,66192,11.80,99.60,8.75,102.41,8.92,97.79,9.82,99.93
1458923659,71.135403,14133,80325,15.71,108.16,10.89,110.84,11.27,104.24,12.62,107.75
1458923660,59.987939,16565,96890,18.80,113.23,12.81,118.25,13.14,110.62,14.92,114.03
1458923661,61.664708,15924,112814,22.45,119.92,15.09,124.08,15.57,118.36,17.70,120.79
1458923662,61.343468,16382,129196,25.99,128.77,17.17,132.44,17.71,128.39,20.29,129.87
1458923663,76.583428,12879,142075,29.36,135.29,19.34,136.84,19.82,136.42,22.84,136.18
1458923664,63.785665,16117,158192,32.13,140.29,21.13,140.90,21.54,143.14,24.93,141.44
1458923665,63.882045,15453,173645,35.48,146.32,23.12,148.82,23.65,151.53,27.42,148.89
1458923666,64.931205,15112,188757,38.71,155.52,25.16,161.38,25.80,158.62,29.89,158.51
1458923667,67.468436,14745,203502,41.73,161.06,26.98,166.72,27.81,161.11,32.17,162.96
1458923668,78.586003,13089,216591,44.26,167.64,28.72,171.52,29.51,170.45,34.16,169.87
1458923669,66.119903,14719,231310,47.34,176.98,30.53,177.29,31.43,173.42,36.43,175.90
1458923670,67.516213,15133,246443,50.25,180.43,32.40,192.47,33.27,185.33,38.64,186.08
1458923671,64.630535,15658,262101,53.18,187.50,34.22,193.28,35.03,189.76,40.81,190.18
1458923672,79.495794,12498,274599,56.19,198.04,35.94,197.75,36.99,197.74,43.04,197.84
1458923673,66.593589,14939,289538,58.47,202.47,37.47,205.76,38.54,204.81,44.83,204.35
1458923674,68.368693,14532,304070,61.29,209.04,39.05,217.22,40.17,208.06,46.84,211.44
1458923675,67.901699,14323,318393,63.83,213.44,40.69,218.68,41.82,217.43,48.78,216.52
1458923676,68.756605,12059,330452,66.59,221.96,42.66,224.64,43.49,223.00,50.91,223.20
1458923677,80.323220,14561,345013,68.70,224.13,43.90,229.25,44.97,229.62,52.52,227.67
1458923678,71.640468,14160,359173,71.14,232.38,45.50,236.34,46.35,237.75,54.33,235.49
1458923679,65.935593,15243,374416,73.72,241.22,46.92,242.56,48.05,245.05,56.23,242.94
1458923680,68.843220,14469,388885,76.16,247.33,48.65,247.94,49.79,251.62,58.20,248.96
1458923681,79.791444,12164,401049,78.69,257.27,50.35,254.74,51.20,256.24,60.08,256.08
1458923682,71.093253,14335,415384,80.58,266.54,51.58,259.26,52.83,259.43,61.66,261.74
1458923683,71.829271,13754,429138,82.86,274.51,52.84,275.89,54.18,269.99,63.29,273.46
1458923684,66.772461,15114,444252,85.27,276.54,54.58,276.75,55.49,272.91,65.11,275.40
1458923685,68.341158,12545,456797,87.49,279.43,55.99,280.70,57.20,284.52,66.89,281.55
1458923686,76.138985,15076,471873,89.44,286.94,57.26,288.99,58.47,288.96,68.39,288.30
1458923687,66.620491,15112,486985,91.90,293.52,58.61,294.95,59.85,291.51,70.12,293.33
1458923688,72.882574,13558,500543,93.91,297.79,59.93,304.79,61.27,297.25,71.70,299.94
1458923689,68.656141,14444,514987,96.12,307.96,61.37,308.22,62.53,307.33,73.34,307.84
1458923690,83.390639,12072,527059,98.60,313.23,62.71,315.08,63.83,321.09,75.05,316.47
1458923691,70.463782,14126,541185,99.93,318.13,63.95,318.71,65.00,322.68,76.29,319.84
1458923692,70.303934,14395,555580,102.17,320.51,65.27,330.02,66.32,327.94,77.92,326.16
1458923693,70.665106,14034,569614,104.19,332.19,66.61,340.76,67.73,333.50,79.51,335.48
1458923694,66.639382,13487,583101,106.25,338.47,67.99,344.44,68.94,343.70,81.06,342.20
1458923695,79.226169,13820,596921,107.90,343.61,68.81,346.89,69.84,345.13,82.18,345.21
1458923696,72.410529,13620,610541,109.83,353.17,70.16,360.51,71.13,345.13,83.71,352.94
1458923697,67.432582,13920,624461,111.87,360.43,71.50,363.11,72.48,360.79,85.28,361.44
1458923698,67.433697,15323,639784,113.63,365.74,72.65,366.47,73.71,364.72,86.66,365.64
1458923699,77.847606,13443,653227,115.63,368.37,73.77,376.00,74.86,367.80,88.09,370.72
1458923700,68.873899,14348,667575,117.41,379.79,75.01,380.11,76.09,380.87,89.50,380.26
1458923701,73.238787,13404,680979,119.35,382.90,75.86,383.20,76.95,386.06,90.72,384.05
1458923702,70.131130,14609,695588,120.83,393.79,77.21,390.27,78.21,391.46,92.08,391.84
1458923703,72.549158,13356,708944,122.73,399.62,78.28,398.36,79.09,395.11,93.37,397.70
1458923704,83.567069,11763,720707,124.14,402.94,79.26,406.57,80.22,398.04,94.54,402.52
1458923705,67.414180,15310,736017,125.94,405.38,80.10,411.32,81.18,411.03,95.74,409.24
1458923706,72.355053,13603,749620,127.77,419.49,81.48,420.54,82.52,432.80,97.26,424.28
1458923707,67.459215,14833,764453,129.56,422.22,82.43,427.33,83.33,435.53,98.44,428.36
1458923708,88.525561,11430,775883,131.04,427.14,83.66,441.39,84.68,435.53,99.79,434.69
1458923709,68.749235,14702,790585,132.29,430.05,84.37,442.76,85.34,436.11,100.67,436.31
1458923710,75.415203,13189,803774,133.89,435.97,85.22,445.12,86.23,437.00,101.78,439.36
1458923711,69.799064,14277,818051,135.13,449.81,86.58,458.24,87.62,452.16,103.11,453.40
1458923712,75.267682,12857,830908,136.83,455.32,87.36,459.16,88.41,458.21,104.20,457.56
1458923713,80.351514,12766,843674,138.01,460.70,88.17,460.68,89.22,465.54,105.13,462.31
1458923714,66.519665,14941,858615,139.71,466.64,89.00,466.95,90.03,468.00,106.25,467.20
1458923715,79.415194,12628,871243,140.91,471.77,90.16,477.83,91.37,474.80,107.48,474.80
1458923716,70.617946,13412,884655,142.23,478.34,91.01,483.80,92.26,483.81,108.50,481.98
1458923717,73.214968,14345,899000,143.91,489.70,91.83,491.45,92.98,486.19,109.57,489.11
1458923718,80.741377,12251,911251,144.94,493.26,92.50,495.81,93.70,494.80,110.38,494.62
1458923719,78.263988,12863,924114,146.25,498.21,93.31,498.02,94.74,497.12,111.43,497.78
1458923720,70.341097,14142,938256,147.32,505.87,94.62,511.43,95.91,503.66,112.62,506.99
1458923721,72.407246,13880,952136,148.86,513.67,95.43,515.00,96.58,510.50,113.62,513.06
1458923722,80.266724,12404,964540,150.18,523.34,96.16,522.42,97.46,520.09,114.60,521.95
1458923723,77.824649,12491,977031,151.13,525.29,96.86,527.64,98.12,526.48,115.37,526.47
1458923724,76.654581,12881,989912,152.31,526.13,97.68,534.66,98.89,532.47,116.29,531.09
1458923725,74.780992,12462,1002374,153.48,530.07,98.43,535.71,99.60,533.90,117.17,533.23
1458923726,81.458857,13277,1015651,154.94,543.88,99.15,539.49,100.23,541.30,118.11,541.56
1458923727,78.778398,12479,1028130,156.31,551.00,99.87,550.98,101.03,549.02,119.07,550.33
1458923728,73.627363,12671,1040801,157.22,558.70,100.57,557.62,101.71,556.94,119.83,557.75
1458923729,78.460850,14128,1054929,158.32,561.92,101.30,561.89,102.50,565.38,120.71,563.06
1458923730,73.734467,13481,1068410,159.43,569.42,102.06,571.42,103.26,566.70,121.58,569.18
1458923731,76.633884,12667,1081077,160.40,570.32,102.82,573.50,103.99,572.94,122.40,572.25
1458923732,75.452674,12034,1093111,161.43,577.64,103.58,582.90,104.73,583.31,123.25,581.28
1458923733,74.686427,14095,1107206,162.41,581.10,104.35,585.86,105.46,585.30,124.07,584.09
1458923734,77.278165,13668,1120874,163.44,591.04,105.10,594.04,106.22,592.60,124.92,592.56
1458923735,75.364328,13455,1134329,164.46,600.00,105.88,604.23,106.95,600.13,125.76,601.45
1458923736,76.968784,12825,1147154,165.49,601.22,106.62,611.56,107.68,602.03,126.60,604.94
1458923737,94.385778,10549,1157703,166.22,606.64,107.35,616.36,108.31,610.34,127.29,611.11
1458923738,74.957631,13365,1171068,167.26,613.12,107.88,621.42,109.04,621.56,128.06,618.70
1458923739,76.377072,13177,1184245,168.30,624.02,108.37,625.02,109.80,629.17,128.82,626.07
1458923740,77.146886,12671,1196916,169.36,626.02,108.86,629.26,110.53,635.04,129.58,630.11
1458923741,70.684914,12748,1209664,170.49,635.38,109.61,636.40,111.02,635.45,130.37,635.74
1458923742,82.968542,12465,1222129,171.29,642.31,110.25,638.82,111.22,637.50,130.92,639.54
1458923743,70.427691,14186,1236315,172.21,644.78,110.95,649.35,111.90,642.62,131.69,645.58
1458923744,67.201797,14402,1250717,173.41,652.14,111.77,652.70,112.74,644.40,132.64,649.75
1458923745,71.759016,14265,1264982,174.58,663.50,112.54,661.09,113.58,656.86,133.57,660.48
1458923746,69.860799,13060,1278042,175.61,664.71,113.27,663.91,114.29,670.47,134.39,666.36
1458923747,75.939185,14982,1293024,176.56,672.87,113.99,672.88,114.97,672.58,135.17,672.78
1458923748,73.203689,13877,1306901,177.59,685.87,114.32,676.33,115.70,676.36,135.87,679.52
1458923749,79.881711,12718,1319619,178.59,687.88,114.86,677.05,116.41,683.25,136.62,682.73
