unix_ts,avg_latency_ms,throughput
1458923655,54.944094,13680
1458923656,55.713637,17990
1458923657,54.918798,17885
1458923658,59.967767,16637
1458923659,71.135403,14133
1458923660,59.987939,16565
1458923661,61.664708,15924
1458923662,61.343468,16382
1458923663,76.583428,12879
1458923664,63.785665,16117
1458923665,63.882045,15453
1458923666,64.931205,15112
1458923667,67.468436,14745
1458923668,78.586003,13089
1458923669,66.119903,14719
1458923670,67.516213,15133
1458923671,64.630535,15658
1458923672,79.495794,12498
1458923673,66.593589,14939
1458923674,68.368693,14532
1458923675,67.901699,14323
1458923676,68.756605,12059
1458923677,80.323220,14561
1458923678,71.640468,14160
1458923679,65.935593,15243
1458923680,68.843220,14469
1458923681,79.791444,12164
1458923682,71.093253,14335
1458923683,71.829271,13754
1458923684,66.772461,15114
1458923685,68.341158,12545
1458923686,76.138985,15076
1458923687,66.620491,15112
1458923688,72.882574,13558
1458923689,68.656141,14444
1458923690,83.390639,12072
1458923691,70.463782,14126
1458923692,70.303934,14395
1458923693,70.665106,14034
1458923694,66.639382,13487
1458923695,79.226169,13820
1458923696,72.410529,13620
1458923697,67.432582,13920
1458923698,67.433697,15323
1458923699,77.847606,13443
1458923700,68.873899,14348
1458923701,73.238787,13404
1458923702,70.131130,14609
1458923703,72.549158,13356
1458923704,83.567069,11763
1458923705,67.414180,15310
1458923706,72.355053,13603
1458923707,67.459215,14833
1458923708,88.525561,11430
1458923709,68.749235,14702
1458923710,75.415203,13189
1458923711,69.799064,14277
1458923712,75.267682,12857
1458923713,80.351514,12766
1458923714,66.519665,14941
1458923715,79.415194,12628
1458923716,70.617946,13412
1458923717,73.214968,14345
1458923718,80.741377,12251
1458923719,78.263988,12863
1458923720,70.341097,14142
1458923721,72.407246,13880
1458923722,80.266724,12404
1458923723,77.824649,12491
1458923724,76.654581,12881
1458923725,74.780992,12462
1458923726,81.458857,13277
1458923727,78.778398,12479
1458923728,73.627363,12671
1458923729,78.460850,14128
1458923730,73.734467,13481
1458923731,76.633884,12667
1458923732,75.452674,12034
1458923733,74.686427,14095
1458923734,77.278165,13668
1458923735,75.364328,13455
1458923736,76.968784,12825
1458923737,94.385778,10549
1458923738,74.957631,13365
1458923739,76.377072,13177
1458923740,77.146886,12671
1458923741,70.684914,12748
1458923742,82.968542,12465
1458923743,70.427691,14186
1458923744,67.201797,14402
1458923745,71.759016,14265
1458923746,69.860799,13060
1458923747,75.939185,14982
1458923748,73.203689,13877
1458923749,79.881711,12718
1458923750,75.945056,12423
1458923751,81.871370,12898
1458923752,79.768621,12518
1458923753,76.153968,13206
1458923754,76.663928,13033
1458923755,61.064859,13951
1458923756,74.139430,15280
1458923757,71.170127,14039
1458923758,83.557202,12083
1458923759,83.092976,11394
1458923760,76.753681,13571
1458923761,74.488302,12242
1458923762,79.942201,13514
1458923763,70.866191,13595
1458923764,73.931572,14082
1458923765,80.801150,12121
1458923766,74.162372,12668
1458923767,72.626156,14766
1458923768,77.678457,13005
1458923769,80.679086,12019
1458923770,63.488566,11928
1458923771,83.512230,15132
1458923772,85.917661,11476
1458923773,72.830167,13321
1458923774,67.390199,12208
1458923775,87.712417,13638
1458923776,71.895425,13613
1458923777,86.526421,11924
1458923778,63.465271,15250
1458923779,70.965217,14018
1458923780,102.599782,10104
1458923781,63.988736,13384
1458923782,73.050000,15642
1458923783,87.677881,11337
1458923784,77.993386,12769
1458923785,71.628436,14138
1458923786,88.770671,10665
1458923787,67.801446,12797
1458923788,80.441952,14589
1458923789,76.892596,12371
1458923790,87.145419,11745
1458923791,75.497216,12446
1458923792,94.976511,11297
1458923793,60.072054,15332
1458923794,80.524784,13467
1458923795,81.268876,9220
1458923796,73.535176,16276
1458923797,87.611591,11979
1458923798,62.634037,13475
1458923799,81.725850,14152
1458923800,99.510722,10101
1458923801,63.577628,15548
1458923802,83.224063,11256
1458923803,66.575330,12987
1458923804,88.151123,13430
1458923805,98.854405,10222
1458923806,68.716916,14340
1458923807,84.054342,12200
1458923808,67.736684,14129
1458923809,82.575092,12309
1458923810,83.076177,10858
1458923811,75.720242,14245
1458923812,92.275791,9902
1458923813,62.145780,16996
1458923814,97.232362,10845
1458923815,64.942442,14875
1458923816,103.987806,9949
1458923817,57.686203,15275
1458923818,90.316143,12160
1458923819,69.589546,11992
1458923820,90.649853,12775
1458923821,82.019666,11181
1458923822,72.320750,13867
1458923823,98.235074,11290
1458923824,63.032400,14277
1458923825,117.606888,9311
1458923826,63.326234,15213
1458923827,101.109704,10172
1458923828,52.922381,16807
1458923829,115.787665,9641
1458923830,66.398297,14491
1458923831,120.446493,8446
1458923832,58.246491,17227
1458923833,110.729723,9054
1458923834,57.777324,16011
1458923835,110.791900,9477
1458923836,66.572157,15521
1458923837,93.301742,10718
1458923838,64.911969,15386
1458923839,83.446008,11366
1458923840,85.925746,11701
1458923841,88.586058,11334
1458923842,67.575061,13509
1458923843,74.055776,11642
1458923844,77.970676,14620
1458923845,83.886285,12301
1458923846,82.052423,13111
1458923847,73.566359,13303
1458923848,97.500705,10405
1458923849,63.798516,14332
1458923850,132.526882,8286
1458923851,58.234663,16571
1458923852,138.608798,7412
1458923853,55.645241,18073
1458923854,91.500255,9031
1458923855,86.561700,13549
1458923856,56.844886,14082
1458923857,101.609394,11462
1458923858,60.391480,16576
1458923859,124.317747,7665
1458923860,84.434308,12640
1458923861,100.145118,9930
1458923862,65.397247,13209
1458923863,70.651703,14160
1458923864,90.879165,11724
1458923865,98.904566,10728
1458923866,105.880566,9628
1458923867,56.416980,14432
1458923868,86.543673,12576
1458923869,95.115632,11543
1458923870,73.156710,10199
1458923871,115.371424,9137
1458923872,66.615179,17774
1458923873,86.563812,11299
1458923874,102.031035,10015
1458923875,56.175947,14927
1458923876,132.745857,6022
1458923877,75.837126,17851
1458923878,54.306856,12876
1458923879,98.612004,13181
1458923880,64.660984,15507
1458923881,118.354285,7933
1458923882,74.468673,6174
