second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_3.4.8,throughput_zookeeper_3.4.8,cumulative_throughput_zookeeper_3.4.8,avg_cpu_zookeeper_3.4.8,avg_memory_mb_zookeeper_3.4.8,avg_latency_ms_consul_0.6.4,throughput_consul_0.6.4,cumulative_throughput_consul_0.6.4,avg_cpu_consul_0.6.4,avg_memory_mb_consul_0.6.4
0,0.362799,2593,2593,2.64,29.67,0.329364,2654,2654,4.20,71.13,0.412901,1980,1980,1.48,16.48
1,0.355471,2783,5376,3.76,33.09,0.285682,3486,6140,5.46,79.45,0.421239,2333,4313,2.47,16.48
2,0.358225,2761,8137,4.78,33.95,0.280777,3544,9684,7.34,86.94,0.413424,2376,6689,3.21,16.79
3,0.351325,2816,10953,5.68,34.22,0.244229,4067,13751,7.69,87.71,0.405330,2423,9112,3.91,16.79
4,0.359026,2753,13706,6.45,34.30,0.260638,3815,17566,7.93,87.71,0.405519,2420,11532,4.68,16.99
5,0.349058,2832,16538,7.11,34.30,0.253605,3921,21487,8.18,87.76,0.403336,2433,13965,5.23,17.08
6,0.355104,2783,19321,7.76,34.98,0.280909,3542,25029,8.41,87.72,0.402711,2437,16402,5.71,18.20
7,0.352055,2810,22131,8.35,34.98,0.266798,3725,28754,8.62,86.65,0.409825,2398,18800,6.16,18.20
8,0.361908,2732,24863,8.89,35.12,0.274043,3628,32382,8.79,86.65,0.416642,2358,21158,6.57,18.20
9,0.355452,2781,27644,9.38,35.12,0.259048,3838,36220,8.91,86.65,0.426140,2306,23464,6.94,18.29
10,0.354916,2788,30432,9.80,35.21,0.279355,3560,39780,9.07,85.62,0.437350,2249,25713,7.23,18.46
11,0.361358,2735,33167,10.21,35.21,0.268550,3702,43482,9.19,85.62,0.425027,2312,28025,7.52,18.46
12,0.354646,2785,35952,10.58,35.46,0.279240,3562,47044,9.30,85.67,0.419411,2342,30367,7.90,18.72
13,0.359119,2755,38707,10.92,35.46,0.268774,3700,50744,9.46,86.57,0.425812,2308,32675,8.18,18.81
14,0.371744,2656,41363,11.22,35.46,0.257866,3855,54599,9.53,86.57,0.413280,2374,35049,8.44,18.81
15,0.413804,2379,43742,11.52,35.46,0.299666,3319,57918,9.66,86.05,0.413012,2377,37426,8.68,18.81
16,0.398956,2473,46215,11.76,37.27,0.268328,3705,61623,9.77,86.05,0.412255,2382,39808,8.90,18.81
17,0.397318,2483,48698,12.06,37.27,0.260014,3823,65446,9.87,85.71,0.420349,2339,42147,9.13,18.81
18,0.361549,2734,51432,12.30,37.27,0.264278,3760,69206,9.98,85.71,0.430588,2282,44429,9.32,18.81
19,0.357165,2767,54199,12.47,37.27,0.247326,4018,73224,10.06,85.71,0.425335,2310,46739,9.49,18.90
20,0.354702,2784,56983,12.69,37.36,0.252756,3932,77156,10.12,85.71,0.430938,2283,49022,9.65,19.39
21,0.344319,2863,59846,12.90,37.36,0.260896,3810,80966,10.19,85.71,0.420371,2338,51360,9.77,19.39
22,0.347638,2833,62679,13.06,37.44,0.286445,3470,84436,10.24,84.68,0.415641,2365,53725,9.91,19.39
23,0.358929,2749,65428,13.22,37.44,0.301448,3299,87735,10.27,84.68,0.399663,2456,56181,10.03,19.39
24,0.345017,2857,68285,13.38,38.09,0.285045,3487,91222,10.32,85.25,0.409650,2396,58577,10.16,19.39
25,0.359041,2746,71031,13.54,38.22,0.276033,3602,94824,10.33,85.25,0.416987,2356,60933,10.29,19.60
26,0.357095,2762,73793,13.68,38.22,0.298934,3327,98151,10.38,84.23,0.404391,2437,63370,10.37,19.60
27,0.349677,2819,76612,13.83,38.22,0.298568,3331,101482,10.43,84.23,0.406477,2427,65797,10.47,19.77
28,0.363975,2708,79320,13.95,38.22,0.285251,3487,104969,10.47,84.23,0.415946,2366,68163,10.58,19.77
29,0.356737,2761,82081,14.06,38.31,0.287969,3452,108421,10.55,84.23,0.411830,2384,70547,10.68,19.85
30,0.367742,2674,84755,14.16,38.43,0.292219,3404,111825,10.59,84.23,0.421170,2331,72878,10.79,19.85
31,0.380958,2583,87338,14.26,38.43,0.309957,3208,115033,10.64,83.21,0.420411,2336,75214,10.88,19.85
32,0.420616,2337,89675,14.33,38.62,0.266364,3731,118764,10.69,83.21,0.413754,2372,77586,10.96,19.85
33,0.417456,2356,92031,14.40,38.77,0.263583,3770,122534,10.74,83.21,0.416003,2362,79948,11.06,19.85
34,0.416813,2359,94390,14.47,41.50,0.262146,3791,126325,10.78,83.62,0.423037,2323,82271,11.13,19.85
35,0.402655,2445,96835,14.53,41.59,0.255855,3882,130207,10.82,82.59,0.427645,2300,84571,11.21,19.85
36,0.408972,2409,99244,14.60,41.59,0.259371,3832,134039,10.87,82.59,0.413094,2377,86948,11.30,19.85
37,0.391367,2522,101766,14.66,41.59,0.261946,3795,137834,10.91,82.59,0.422684,2325,89273,11.37,19.85
38,0.402013,2454,104220,14.72,41.59,0.250298,3970,141804,10.95,82.59,0.418139,2351,91624,11.42,19.85
39,0.407471,2419,106639,14.76,41.59,0.256084,3880,145684,10.98,81.91,0.444443,2216,93840,11.47,19.96
40,0.395956,2495,109134,14.80,41.59,0.269596,3687,149371,11.02,81.91,0.451310,2189,96029,11.51,19.96
41,0.389721,2535,111669,14.86,41.59,0.270872,3671,153042,11.07,81.74,0.465065,2127,98156,11.54,19.96
42,0.356434,2772,114441,14.91,41.68,0.274048,3626,156668,11.11,81.74,0.475578,2074,100230,11.57,19.96
43,0.354939,2779,117220,14.97,41.80,0.254197,3910,160578,11.14,80.88,0.476595,2070,102300,11.59,20.09
44,0.364699,2704,119924,15.05,41.80,0.256697,3871,164449,11.17,82.30,0.480031,2054,104354,11.62,20.09
45,0.352108,2800,122724,15.11,41.80,0.264729,3753,168202,11.20,82.30,0.457004,2152,106506,11.63,20.09
46,0.353316,2792,125516,15.16,41.80,0.247864,4007,172209,11.22,82.64,0.462605,2126,108632,11.66,20.09
47,0.352992,2790,128306,15.24,41.89,0.248752,3993,176202,11.25,82.64,0.457627,2148,110780,11.69,20.09
48,0.354880,2770,131076,15.29,41.89,0.239054,4156,180358,11.25,82.47,0.445226,2208,112988,11.71,21.06
49,0.353802,2781,133857,15.36,41.98,0.233615,4252,184610,11.24,81.96,0.427713,2300,115288,11.74,21.06
50,0.352594,2793,136650,15.41,41.98,0.252754,3933,188543,11.26,81.96,0.403006,2438,117726,11.80,21.06
51,0.347284,2835,139485,15.48,41.98,0.236449,4203,192746,11.26,81.79,0.401434,2447,120173,11.84,21.06
52,0.345006,2860,142345,15.53,41.98,0.232858,4266,197012,11.26,84.34,0.412859,2382,122555,11.88,21.06
53,0.347334,2843,145188,15.60,41.98,0.230440,4308,201320,11.26,84.34,0.404231,2430,124985,11.91,21.06
54,0.360473,2734,147922,15.64,41.98,0.235417,4224,205544,11.26,89.57,0.406650,2417,127402,11.95,21.06
55,0.351819,2802,150724,15.68,41.98,0.257669,3857,209401,11.26,89.40,0.406973,2413,129815,11.99,21.06
56,0.345909,2853,153577,15.73,41.98,0.235514,4219,213620,11.28,89.40,0.397459,2472,132287,12.03,21.06
57,0.344198,2865,156442,15.78,41.98,0.244382,4067,217687,11.27,89.06,0.394864,2487,134774,12.07,21.06
58,0.352971,2796,159238,15.84,41.98,0.248861,3993,221680,11.29,88.72,0.394581,2486,137260,12.11,21.06
59,0.344635,2864,162102,15.89,41.98,0.247784,4011,225691,11.31,88.72,0.410701,2393,139653,12.15,21.06
60,0.368988,2673,164775,15.93,41.98,0.243782,4074,229765,11.32,88.72,0.398169,2468,142121,12.19,21.06
61,0.360813,2731,167506,15.96,41.98,0.244343,4067,233832,11.34,88.37,0.394791,2490,144611,12.22,21.06
62,0.354115,2784,170290,16.00,41.98,0.238651,4163,237995,11.36,88.37,0.404124,2432,147043,12.25,21.06
63,0.353900,2782,173072,16.04,41.98,0.248721,3996,241991,11.37,88.45,0.399972,2454,149497,12.28,21.06
64,0.363305,2709,175781,16.08,41.98,0.256066,3882,245873,11.38,88.87,0.402076,2444,151941,12.31,21.06
65,0.395945,2485,178266,16.11,41.98,0.253984,3911,249784,11.39,88.87,0.411130,2389,154330,12.34,21.06
66,0.376537,2615,180881,16.16,41.98,0.263519,3770,253554,11.39,88.87,0.407795,2407,156737,12.36,21.07
67,0.347331,2835,183716,16.18,41.98,0.285374,3483,257037,11.39,88.53,0.400725,2452,159189,12.39,21.07
68,0.345912,2844,186560,16.22,41.98,0.282935,3509,260546,11.40,88.53,0.409521,2398,161587,12.41,21.07
69,0.355650,2772,189332,16.25,41.98,0.275520,3604,264150,11.40,88.53,0.405478,2424,164011,12.43,21.07
70,0.349202,2823,192155,16.28,41.98,0.269360,3687,267837,11.40,88.36,0.417260,2354,166365,12.45,21.07
71,0.346823,2840,194995,16.32,41.98,0.276236,3595,271432,11.40,88.36,0.427743,2300,168665,12.46,21.07
72,0.348541,2831,197826,16.35,41.98,0.288360,3446,274878,11.42,88.36,0.404888,2426,171091,12.49,21.07
73,0.371122,2664,200490,16.38,41.98,0.286142,3472,278350,11.44,88.19,0.404667,2427,173518,12.51,21.07
74,0.360146,2742,203232,16.41,41.98,0.272827,3640,281990,11.44,89.40,0.408908,2403,175921,12.54,21.07
75,0.359608,2747,205979,16.43,41.98,0.287154,3460,285450,11.46,90.03,0.399959,2455,178376,12.56,21.07
76,0.360841,2738,208717,16.46,41.98,0.249957,3973,289423,11.48,89.86,0.429072,2293,180669,12.57,21.07
77,0.356006,2775,211492,16.48,41.98,0.260169,3817,293240,11.49,89.86,0.420988,2334,183003,12.58,21.07
78,0.351821,2813,214305,16.51,41.98,0.255966,3877,297117,11.50,89.86,0.393106,2497,185500,12.60,21.07
79,0.356571,2772,217077,16.54,41.98,0.248439,3997,301114,11.50,89.69,0.396646,2473,187973,12.64,21.07
80,0.355182,2782,219859,16.56,41.98,0.247232,4015,305129,11.50,89.69,0.403769,2432,190405,12.65,21.07
81,0.360512,2743,222602,16.59,41.98,0.263713,3767,308896,11.49,89.52,0.415164,2371,192776,12.67,21.07
82,0.375846,2629,225231,16.61,41.98,0.285843,3477,312373,11.49,89.52,0.429082,2299,195075,12.68,21.07
83,0.387877,2543,227774,16.63,41.98,0.293237,3390,315763,11.49,89.52,0.407734,2428,197503,12.71,21.07
84,0.395282,2489,230263,16.66,41.98,0.283910,3501,319264,11.49,89.52,0.407868,2427,199930,12.73,21.07
85,0.349728,2810,233073,16.68,41.98,0.285688,3479,322743,11.49,89.52,0.413699,2378,202308,12.76,21.07
86,0.354802,2785,235858,16.70,41.98,0.285395,3484,326227,11.49,89.52,0.417190,2357,204665,12.77,21.07
87,0.376244,2625,238483,16.70,41.98,0.323621,3074,329301,11.49,89.52,0.400921,2470,207135,12.80,21.07
88,0.352881,2805,241288,16.72,41.98,0.280266,3547,332848,11.49,89.59,0.401834,2454,209589,12.84,21.07
89,0.356938,2770,244058,16.73,41.98,0.284657,3492,336340,11.49,89.59,0.406234,2418,212007,12.86,21.07
90,0.366649,2696,246754,16.74,41.98,0.282987,3513,339853,11.49,89.59,0.412854,2383,214390,12.88,21.07
91,0.379662,2597,249351,16.75,41.98,0.295087,3370,343223,11.50,89.59,0.419437,2347,216737,12.89,21.07
92,0.415207,2375,251726,16.76,41.98,0.239798,4140,347363,11.51,89.59,0.416988,2359,219096,12.92,21.07
93,0.416386,2370,254096,16.77,41.98,0.250378,3966,351329,11.52,89.59,0.409327,2423,221519,12.93,21.07
94,0.411457,2397,256493,16.76,41.98,0.249607,3978,355307,11.51,89.59,0.405874,2446,223965,12.96,21.07
95,0.414312,2380,258873,16.76,42.08,0.245684,4041,359348,11.51,89.59,0.417164,2379,226344,12.98,21.07
96,0.428860,2299,261172,16.76,42.08,0.249659,3978,363326,11.51,89.59,0.415889,2386,228730,13.01,21.07
97,0.415191,2373,263545,16.77,42.08,0.253044,3925,367251,11.52,89.59,0.424204,2335,231065,13.03,21.07
98,0.405436,2433,265978,16.78,42.08,0.252619,3929,371180,11.52,89.59,0.423432,2339,233404,13.04,21.07
99,0.391827,2523,268501,16.78,42.08,0.249634,3977,375157,11.51,89.68,0.449884,2203,235607,13.06,21.07
