unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458915841,0.329364,2654,2654,3.15,65.83,6.57,90.23,2.88,57.34,4.20,71.13
1458915842,0.285682,3486,6140,3.04,65.49,10.62,115.52,2.73,57.34,5.46,79.45
1458915843,0.280777,3544,9684,2.90,65.49,16.53,137.98,2.59,57.34,7.34,86.94
1458915844,0.244229,4067,13751,2.78,65.49,17.82,140.33,2.47,57.30,7.69,87.71
1458915845,0.260638,3815,17566,2.66,65.49,18.74,140.33,2.40,57.30,7.93,87.71
1458915846,0.253605,3921,21487,2.56,65.49,19.67,140.49,2.30,57.30,8.18,87.76
1458915847,0.280909,3542,25029,2.46,65.38,20.56,140.49,2.20,57.30,8.41,87.72
1458915848,0.266798,3725,28754,2.40,65.38,21.34,137.26,2.12,57.30,8.62,86.65
1458915849,0.274043,3628,32382,2.32,65.38,22.03,137.26,2.03,57.30,8.79,86.65
1458915850,0.259048,3838,36220,2.24,65.38,22.52,137.26,1.96,57.30,8.91,86.65
1458915851,0.279355,3560,39780,2.16,65.38,23.16,134.18,1.89,57.30,9.07,85.62
1458915852,0.268550,3702,43482,2.09,65.38,23.62,134.18,1.86,57.30,9.19,85.62
1458915853,0.279240,3562,47044,2.03,65.38,24.07,134.33,1.80,57.30,9.30,85.67
1458915854,0.268774,3700,50744,2.00,65.50,24.63,136.90,1.74,57.30,9.46,86.57
1458915855,0.257866,3855,54599,1.94,65.50,24.98,136.90,1.68,57.30,9.53,86.57
1458915856,0.299666,3319,57918,1.88,65.50,25.48,135.36,1.63,57.30,9.66,86.05
1458915857,0.268328,3705,61623,1.83,65.50,25.89,135.36,1.58,57.30,9.77,86.05
1458915858,0.260014,3823,65446,1.78,65.50,26.27,134.33,1.57,57.30,9.87,85.71
1458915859,0.264278,3760,69206,1.73,65.50,26.70,134.33,1.52,57.30,9.98,85.71
1458915860,0.247326,4018,73224,1.69,65.50,27.00,134.33,1.48,57.30,10.06,85.71
1458915861,0.252756,3932,77156,1.67,65.50,27.25,134.33,1.44,57.30,10.12,85.71
1458915862,0.260896,3810,80966,1.63,65.50,27.52,134.33,1.41,57.30,10.19,85.71
1458915863,0.286445,3470,84436,1.59,65.50,27.75,131.25,1.37,57.30,10.24,84.68
1458915864,0.301448,3299,87735,1.56,65.50,27.92,131.25,1.34,57.30,10.27,84.68
1458915865,0.285045,3487,91222,1.52,65.50,28.10,132.96,1.33,57.30,10.32,85.25
1458915866,0.276033,3602,94824,1.49,65.50,28.19,132.96,1.30,57.30,10.33,85.25
1458915867,0.298934,3327,98151,1.48,65.50,28.39,129.89,1.27,57.30,10.38,84.23
1458915868,0.298568,3331,101482,1.44,65.50,28.60,129.89,1.24,57.30,10.43,84.23
1458915869,0.285251,3487,104969,1.41,65.50,28.80,129.89,1.21,57.30,10.47,84.23
1458915870,0.287969,3452,108421,1.39,65.50,29.06,129.89,1.19,57.30,10.55,84.23
1458915871,0.292219,3404,111825,1.36,65.50,29.25,129.89,1.16,57.30,10.59,84.23
1458915872,0.309957,3208,115033,1.33,65.50,29.44,126.83,1.14,57.30,10.64,83.21
1458915873,0.266364,3731,118764,1.32,65.50,29.63,126.83,1.12,57.30,10.69,83.21
1458915874,0.263583,3770,122534,1.30,65.50,29.81,126.83,1.12,57.30,10.74,83.21
1458915875,0.262146,3791,126325,1.28,65.50,29.98,128.05,1.09,57.30,10.78,83.62
1458915876,0.255855,3882,130207,1.25,65.50,30.14,124.98,1.07,57.30,10.82,82.59
1458915877,0.259371,3832,134039,1.25,65.50,30.30,124.98,1.05,57.30,10.87,82.59
