unix_ts,avg_latency_ms,throughput
1458915841,0.329364,2654
1458915842,0.285682,3486
1458915843,0.280777,3544
1458915844,0.244229,4067
1458915845,0.260638,3815
1458915846,0.253605,3921
1458915847,0.280909,3542
1458915848,0.266798,3725
1458915849,0.274043,3628
1458915850,0.259048,3838
1458915851,0.279355,3560
1458915852,0.268550,3702
1458915853,0.279240,3562
1458915854,0.268774,3700
1458915855,0.257866,3855
1458915856,0.299666,3319
1458915857,0.268328,3705
1458915858,0.260014,3823
1458915859,0.264278,3760
1458915860,0.247326,4018
1458915861,0.252756,3932
1458915862,0.260896,3810
1458915863,0.286445,3470
1458915864,0.301448,3299
1458915865,0.285045,3487
1458915866,0.276033,3602
1458915867,0.298934,3327
1458915868,0.298568,3331
1458915869,0.285251,3487
1458915870,0.287969,3452
1458915871,0.292219,3404
1458915872,0.309957,3208
1458915873,0.266364,3731
1458915874,0.263583,3770
1458915875,0.262146,3791
1458915876,0.255855,3882
1458915877,0.259371,3832
1458915878,0.261946,3795
1458915879,0.250298,3970
1458915880,0.256084,3880
1458915881,0.269596,3687
1458915882,0.270872,3671
1458915883,0.274048,3626
1458915884,0.254197,3910
1458915885,0.256697,3871
1458915886,0.264729,3753
1458915887,0.247864,4007
1458915888,0.248752,3993
1458915889,0.239054,4156
1458915890,0.233615,4252
1458915891,0.252754,3933
1458915892,0.236449,4203
1458915893,0.232858,4266
1458915894,0.230440,4308
1458915895,0.235417,4224
1458915896,0.257669,3857
1458915897,0.235514,4219
1458915898,0.244382,4067
1458915899,0.248861,3993
1458915900,0.247784,4011
1458915901,0.243782,4074
1458915902,0.244343,4067
1458915903,0.238651,4163
1458915904,0.248721,3996
1458915905,0.256066,3882
1458915906,0.253984,3911
1458915907,0.263519,3770
1458915908,0.285374,3483
1458915909,0.282935,3509
1458915910,0.275520,3604
1458915911,0.269360,3687
1458915912,0.276236,3595
1458915913,0.288360,3446
1458915914,0.286142,3472
1458915915,0.272827,3640
1458915916,0.287154,3460
1458915917,0.249957,3973
1458915918,0.260169,3817
1458915919,0.255966,3877
1458915920,0.248439,3997
1458915921,0.247232,4015
1458915922,0.263713,3767
1458915923,0.285843,3477
1458915924,0.293237,3390
1458915925,0.283910,3501
1458915926,0.285688,3479
1458915927,0.285395,3484
1458915928,0.323621,3074
1458915929,0.280266,3547
1458915930,0.284657,3492
1458915931,0.282987,3513
1458915932,0.295087,3370
