unix_ts,avg_latency_ms,throughput
1458944286,36.901988,9799
1458944287,31.204885,27917
1458944288,34.173991,24721
1458944289,32.901078,25650
1458944290,32.305117,26604
1458944291,35.080184,21584
1458944292,414.113169,680
1458944293,903.038877,245
1458944294,705.337181,411
1458944295,856.297401,159
1458944296,1021.521694,191
1458944297,420.153300,59
1458944298,1057.781248,87
1458944299,946.337463,10
1458944300,362.584915,89
1458944301,491.383721,46
1458944302,1474.541394,7
1458944303,2509.742321,1
1458944304,843.967445,15
1458944305,539.608214,5
1458944306,614.358439,19
1458944307,732.741872,5
1458944308,1735.151716,1
1458944309,1114.830248,2
1458944311,1467.293654,1
1458944313,2530.235162,1
1458944346,71.235991,3501
1458944347,34.011353,23944
1458944348,33.225910,24840
1458944349,31.772407,25842
1458944350,32.017917,24946
1458944351,29.948243,26997
1458944352,153.009251,3091
1458944353,579.351612,933
1458944354,677.788603,488
1458944355,755.967599,603
1458944356,559.171376,355
1458944357,783.764967,54
1458944358,379.070430,70
1458944359,1055.236554,62
1458944360,2121.423675,19
1458944361,855.225896,28
1458944362,381.589444,13
1458944363,239.890726,32
1458944364,325.477919,77
1458944365,177.094490,27
1458944366,1194.812867,22
1458944367,1934.893420,2
1458944368,904.613742,55
1458944369,488.327801,48
1458944370,588.043674,5
1458944371,1910.045035,2
1458944373,2697.220106,1
1458944374,960.587854,1
1458944406,151.737356,792
1458944407,38.861340,21628
1458944408,33.200032,24443
1458944409,33.471103,24520
1458944410,33.696563,24740
1458944411,31.809771,25164
1458944412,60.549815,10148
1458944413,282.969923,1675
1458944414,897.714487,670
1458944415,610.600653,8
1458944416,606.920181,163
1458944417,770.236359,344
1458944418,2124.200270,24
1458944419,518.387888,193
1458944420,879.454376,60
1458944421,1061.422895,25
1458944422,1199.859349,60
1458944423,455.311366,36
1458944424,444.629914,81
1458944425,2114.526800,6
1458944426,2356.727107,10
1458944427,1531.413780,4
1458944428,2003.614965,1
1458944429,1239.034347,3
1458944430,170.267810,13
1458944431,124.275876,12
1458944432,1749.350766,1
1458944433,155.593505,14
1458944434,2275.924123,1
1458944435,1437.563990,1
1458944437,2039.115555,2
1458944438,1039.307104,1
1458944466,587.405584,144
1458944467,46.859436,18224
1458944468,32.466500,25956
1458944469,33.854306,24472
1458944470,33.514897,24858
1458944471,31.878061,25485
1458944472,42.905170,14410
1458944473,282.690542,2282
1458944474,612.347749,610
1458944475,609.737631,747
1458944476,602.125497,556
1458944477,1079.789522,221
1458944478,572.003530,193
1458944479,397.588255,134
1458944480,1331.886503,10
1458944481,706.299076,69
1458944482,721.837996,17
1458944483,376.217025,143
1458944484,656.060701,151
1458944485,1445.085484,4
1458944486,481.042082,129
1458944487,578.224899,104
1458944488,394.002642,18
1458944489,1553.094867,2
1458944490,348.428275,42
1458944491,298.917462,52
1458944492,1538.369185,4
1458944493,1362.754039,2
1458944494,759.704512,18
1458944495,339.426081,21
1458944496,1053.579134,1
1458944497,2772.628744,5
1458944498,886.489184,6
1458944500,822.831536,15
1458944501,1443.402992,8
1458944527,50.389602,15219
1458944528,35.105566,23785
1458944529,34.031977,24641
1458944530,35.014593,22363
1458944531,32.904879,24094
1458944532,37.809050,18218
1458944533,274.222296,3022
1458944534,318.175321,1105
1458944535,679.195060,708
1458944536,771.589624,905
1458944537,692.480331,545
1458944538,453.031073,235
1458944539,530.434394,351
1458944540,612.455139,196
1458944541,938.325987,148
1458944542,1491.400580,57
1458944543,811.488667,101
1458944544,400.654579,91
1458944545,769.759880,77
1458944546,331.264570,135
1458944547,269.205366,138
1458944548,428.551285,257
1458944549,956.653637,27
1458944550,1019.812412,27
1458944551,1004.907063,24
1458944552,899.639188,8
1458944553,101.220258,41
1458944554,1347.988030,2
1458944555,1927.094987,1
1458944558,3976.073983,4
1458944561,1570.284629,2
1458944562,2403.829547,1
1458944587,52.197621,11519
1458944588,35.755034,22689
1458944589,32.801671,25234
1458944590,33.722570,24858
1458944591,34.464495,23900
1458944592,37.590533,20535
1458944593,154.759961,3745
1458944594,400.470557,1824
1458944595,308.246565,655
1458944596,956.422375,406
1458944597,260.759733,1084
1458944598,561.916783,256
1458944599,451.953977,274
1458944600,678.033256,231
1458944601,671.034686,343
1458944602,853.331545,349
1458944603,237.838089,312
1458944604,335.456133,87
1458944605,1263.914293,29
1458944606,409.021335,46
1458944607,298.368402,150
1458944608,968.333291,16
1458944609,533.164840,71
1458944610,180.506507,34
1458944611,1067.217278,41
1458944612,131.091041,47
1458944613,1170.966841,13
1458944614,216.619276,88
1458944615,433.421691,7
1458944616,1940.665433,1
1458944618,158.151384,7
1458944619,739.960953,1
1458944623,337.989321,23
1458944625,1712.482091,1
