second,avg_latency_ms_etcd3_0,throughput_etcd3_0,cumulative_throughput_etcd3_0,avg_cpu_etcd3_0,avg_memory_mb_etcd3_0,avg_latency_ms_etcd3_1,throughput_etcd3_1,cumulative_throughput_etcd3_1,avg_cpu_etcd3_1,avg_memory_mb_etcd3_1
0,66.312192,12985,12985,2.86,103.04,36.574089,258,258,1.57,33.70
1,65.985005,22490,35475,5.77,124.29,65.401978,23131,23389,3.49,106.09
2,73.413901,19253,54728,8.66,133.04,70.007847,21240,44629,6.09,124.56
3,95.983280,16420,71148,11.11,136.51,89.579128,17280,61909,8.65,133.13
4,81.968773,18226,89374,14.04,145.11,76.674616,18853,80762,10.93,138.19
5,78.226747,19229,108603,17.19,153.14,77.773176,19233,99995,13.66,150.65
6,80.943357,18547,127150,20.18,163.06,81.731672,17984,117979,16.33,156.40
7,96.361290,15358,142508,22.56,171.70,79.812885,17459,135438,18.94,162.45
8,84.826451,18022,160530,25.30,178.62,96.437229,16759,152197,21.11,172.07
9,81.653635,18097,178627,28.19,192.70,85.743742,17440,169637,23.58,181.12
10,83.641559,17778,196405,31.01,198.81,82.002318,17966,187603,26.18,191.11
11,97.448478,15395,211800,33.24,205.15,91.018128,16598,204201,28.53,205.71
12,82.877253,18503,230303,35.88,213.56,103.295561,14718,218919,30.51,209.62
13,82.756378,18087,248390,38.61,221.10,81.146472,17919,236838,33.01,212.53
14,81.391599,17839,266229,41.35,233.04,82.138619,18351,255189,35.38,216.89
15,98.865542,15217,281446,43.80,235.75,87.401289,17584,272773,37.80,230.81
16,87.534406,16747,298193,46.02,244.45,102.712993,14426,287199,40.05,237.18
17,86.281828,18000,316193,48.44,254.95,85.827315,17402,304601,41.86,242.21
18,86.439652,16772,332965,50.89,262.53,84.243997,17787,322388,44.18,249.26
19,89.370236,17426,350391,53.30,269.96,87.039546,17187,339575,46.45,257.74
20,99.219550,14628,365019,55.16,273.50,89.402351,16951,356526,48.56,266.35
21,86.035794,17805,382824,57.59,281.43,105.379534,13858,370384,50.33,271.92
22,87.545869,16778,399602,59.88,287.36,88.814896,17269,387653,52.39,283.05
23,86.305304,16839,416441,62.17,300.76,86.720884,17396,405049,54.52,291.56
24,92.730255,13647,430088,64.16,310.11,86.015672,17328,422377,56.64,301.57
25,95.670318,18815,448903,66.14,313.50,103.785913,14590,436967,58.59,314.76
26,92.549302,15487,464390,68.25,321.12,90.269734,16275,453242,60.27,319.19
27,91.898071,16250,480640,70.31,329.39,87.661123,16587,469829,62.18,322.10
28,91.005992,16375,497015,72.32,336.74,90.192382,16243,486072,64.10,326.50
29,109.635008,14347,511362,73.98,345.36,87.590627,18125,504197,66.16,333.44
30,84.901228,17731,529093,76.00,350.46,104.211564,13316,517513,67.69,343.28
31,89.901001,16805,545898,77.99,362.91,92.057295,16633,534146,69.49,350.58
32,91.909437,15880,561778,79.96,369.27,90.733542,16623,550769,71.33,358.23
33,92.554469,16595,578373,81.88,371.13,90.630586,17330,568099,73.12,365.23
34,108.485321,13528,591901,83.32,381.18,97.279373,15312,583411,74.90,372.12
35,100.260174,15210,607111,85.07,386.37,107.127986,13276,596687,76.25,374.60
36,93.470779,15545,622656,87.00,392.33,85.540145,16998,613685,77.98,386.90
37,84.750669,16863,639519,88.94,402.22,87.485183,17605,631290,79.82,394.11
38,85.164029,15745,655264,90.47,405.69,96.909032,15932,647222,81.59,400.66
39,113.662979,15459,670723,92.15,412.86,93.667040,13533,660755,83.12,409.04
40,95.592913,15584,686307,93.73,417.65,102.021527,15904,676659,84.61,413.32
