unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1459379167,4.428145,31,31,2.95,29.15,2.47,31.54,2.39,21.85,2.60,27.51
1459379168,4.885625,204,235,3.90,32.72,3.22,33.67,2.94,24.25,3.35,30.21
1459379169,5.044722,198,433,4.74,36.73,3.90,36.52,3.45,27.46,4.03,33.57
1459379170,5.033480,198,631,5.66,38.31,4.57,38.71,4.03,29.87,4.75,35.63
1459379171,5.048015,198,829,6.41,39.67,5.23,41.13,4.61,31.96,5.42,37.59
1459379172,5.074252,195,1024,7.17,42.34,5.68,42.72,5.19,32.78,6.01,39.28
1459379173,4.851857,207,1231,7.84,42.34,6.13,43.55,5.72,34.67,6.56,40.19
1459379174,4.787623,209,1440,8.50,42.34,6.56,45.17,6.17,36.00,7.08,41.17
1459379175,4.934811,202,1642,9.11,43.73,7.05,48.09,6.63,36.00,7.60,42.61
1459379176,4.901179,203,1845,9.68,44.30,7.42,48.37,6.98,36.56,8.03,43.08
1459379177,4.979805,201,2046,10.16,44.57,7.72,48.37,7.32,36.56,8.40,43.17
1459379178,4.835210,207,2253,10.70,45.12,8.14,49.18,7.72,38.00,8.85,44.10
1459379179,4.890170,204,2457,11.18,45.97,8.46,49.18,7.98,38.00,9.21,44.38
1459379180,4.712894,211,2668,11.60,45.97,8.77,49.18,8.28,38.00,9.55,44.38
1459379181,5.037173,199,2867,12.08,46.24,9.04,49.45,8.57,38.59,9.90,44.76
1459379182,5.087336,196,3063,12.43,46.82,9.34,50.94,8.86,38.87,10.21,45.54
1459379183,4.898898,204,3267,12.84,47.43,9.60,51.21,9.14,38.87,10.53,45.84
1459379184,4.847882,205,3472,13.25,47.95,9.79,51.50,9.36,39.43,10.80,46.29
1459379185,4.748391,211,3683,13.57,47.95,10.00,51.50,9.64,40.60,11.07,46.68
1459379186,4.912175,203,3886,13.87,48.82,10.28,52.08,9.85,40.90,11.33,47.27
1459379187,4.868967,205,4091,14.20,49.35,10.51,52.36,10.07,40.90,11.59,47.54
1459379188,4.927851,202,4293,14.48,49.35,10.69,52.36,10.27,41.20,11.81,47.64
1459379189,4.746186,210,4503,14.78,49.94,10.84,52.97,10.50,42.07,12.04,48.33
1459379190,4.766848,209,4712,15.07,50.23,11.00,53.26,10.67,42.07,12.25,48.52
1459379191,4.750026,211,4923,15.31,50.50,11.18,53.82,10.84,42.07,12.44,48.80
1459379192,4.948729,201,5124,15.58,51.10,11.32,53.82,11.00,42.07,12.63,49.00
1459379193,4.810799,208,5332,15.80,51.10,11.50,54.42,11.21,43.25,12.84,49.59
1459379194,4.863011,205,5537,16.03,51.10,11.68,54.42,11.38,44.11,13.03,49.88
1459379195,4.895442,204,5741,16.24,51.39,11.85,54.42,11.49,44.69,13.19,50.17
1459379196,4.810974,205,5946,16.47,52.28,11.97,54.42,11.63,44.69,13.36,50.46
1459379197,4.950171,203,6149,16.63,52.55,12.09,55.65,11.75,44.69,13.49,50.96
1459379198,4.953921,202,6351,16.83,52.83,12.24,55.84,11.87,44.69,13.65,51.12
1459379199,5.077653,197,6548,17.03,53.58,12.35,56.12,11.97,44.69,13.78,51.46
1459379200,5.069713,197,6745,17.20,53.92,12.45,56.12,12.08,45.52,13.91,51.85
1459379201,4.909178,203,6948,17.37,53.92,12.59,56.12,12.19,45.52,14.05,51.85
1459379202,5.157124,194,7142,17.56,54.98,12.72,56.78,12.32,45.98,14.20,52.58
1459379203,4.760644,209,7351,17.72,61.40,12.85,57.37,12.40,45.98,14.32,54.92
1459379204,5.031088,199,7550,17.82,61.69,12.94,57.37,12.45,46.28,14.40,55.11
1459379205,4.750912,210,7760,17.99,62.23,13.02,57.90,12.52,50.12,14.51,56.75
1459379206,4.986266,200,7960,18.16,62.45,13.15,59.08,12.63,51.36,14.65,57.63
1459379207,4.673561,214,8174,18.30,62.45,13.23,59.08,12.72,51.36,14.75,57.63
1459379208,4.784144,208,8382,18.42,62.45,13.32,59.08,12.77,51.36,14.84,57.63
1459379209,4.848450,206,8588,18.54,63.94,13.41,59.08,12.86,51.90,14.94,58.31
1459379210,5.055461,198,8786,18.62,63.94,13.50,59.08,12.94,53.14,15.02,58.72
1459379211,5.203186,192,8978,18.68,63.94,13.60,60.46,13.05,53.69,15.11,59.36
1459379212,5.073586,196,9174,18.75,63.94,13.67,60.46,13.11,53.69,15.18,59.36
1459379213,4.981653,201,9375,18.88,64.98,13.76,60.46,13.18,53.69,15.27,59.71
1459379214,5.017511,199,9574,18.97,65.31,13.82,60.46,13.25,53.69,15.35,59.82
1459379215,4.911340,203,9777,19.07,66.14,13.91,61.87,13.29,59.44,15.42,62.48
1459379216,4.902380,203,9980,19.18,67.19,14.04,62.31,13.42,60.98,15.55,63.49
1459379217,4.850684,206,10186,19.26,67.19,14.11,62.60,13.45,60.98,15.61,63.59
1459379218,4.829807,206,10392,19.34,67.48,14.19,62.60,13.49,60.98,15.67,63.69
1459379219,4.901886,204,10596,19.42,67.48,14.25,62.60,13.55,61.30,15.74,63.79
1459379220,4.864034,206,10802,19.53,67.48,14.33,63.20,13.61,61.94,15.82,64.21
1459379221,4.871933,205,11007,19.61,67.48,14.39,63.81,13.64,62.27,15.88,64.52
1459379222,4.950751,201,11208,19.68,67.79,14.45,63.81,13.69,62.81,15.94,64.80
1459379223,4.810856,208,11416,19.79,67.96,14.51,63.81,13.75,62.81,16.02,64.86
1459379224,4.952387,199,11615,19.86,67.96,14.56,63.81,13.81,62.81,16.08,64.86
1459379225,4.797078,209,11824,19.88,67.96,14.62,64.12,13.89,63.07,16.13,65.05
1459379226,4.835345,207,12031,19.93,67.96,14.68,64.12,13.94,63.07,16.18,65.05
1459379227,5.002861,201,12232,20.00,67.96,14.74,64.12,13.98,63.07,16.24,65.05
1459379228,5.008847,199,12431,20.04,67.96,14.81,64.12,14.03,63.07,16.29,65.05
1459379229,4.932619,203,12634,20.06,67.96,14.86,64.43,14.08,63.42,16.33,65.27
