second,avg_latency_ms_etcd3,throughput_etcd3,cumulative_throughput_etcd3,avg_cpu_etcd3,avg_memory_mb_etcd3,avg_latency_ms_zk,throughput_zk,cumulative_throughput_zk,avg_cpu_zk,avg_memory_mb_zk
0,47.634867,1537,1537,1.97,35.31,248.768380,66,66,1.22,73.18
1,54.915332,18401,19938,3.24,105.82,40.160378,7435,7501,4.54,153.26
2,57.473158,17283,37221,6.09,126.43,164.553716,9811,17312,6.68,163.66
3,60.256169,16132,53353,8.85,134.54,32.167701,31077,48389,10.45,226.47
4,74.964233,13777,67130,11.38,139.81,34.232481,29361,77750,14.05,331.98
5,66.582487,14587,81717,14.29,146.26,32.916447,30302,108052,17.47,481.45
6,64.945240,15659,97376,17.00,156.08,29.340595,33844,141896,20.50,533.77
7,64.738720,15251,112627,19.71,163.72,32.001189,31486,173382,24.28,716.29
8,63.905628,15913,128540,22.45,170.63,31.772490,31311,204693,27.12,756.74
9,76.225413,12684,141224,25.05,174.82,33.201695,30022,234715,30.28,830.04
10,68.404821,14881,156105,27.35,182.53,52.051570,19316,254031,34.17,973.52
11,65.790972,14709,170814,29.81,187.79,52.887174,18386,272417,36.86,1110.83
12,69.400866,14924,185738,32.33,196.11,34.902845,29356,301773,39.53,1134.94
13,65.653376,15310,201048,34.79,201.09,32.427435,30566,332339,42.55,1157.60
14,71.328363,12867,213915,37.10,206.91,32.663260,30720,363059,45.56,1189.50
15,78.983837,13606,227521,39.06,213.66,30.671173,21212,384271,48.91,1448.52
16,67.121176,14650,242171,41.43,222.25,64.231037,21028,405299,52.72,1484.40
17,71.753670,14070,256241,43.75,227.93,143.594325,6973,412272,55.03,1574.71
18,70.937646,14087,270328,46.08,234.45,30.083190,33297,445569,57.71,1573.10
19,71.952157,13913,284241,48.00,240.26,33.015401,29870,475439,60.38,1611.88
20,81.112403,11948,296189,50.20,247.49,33.749355,29942,505381,63.14,1672.94
21,71.736353,13839,310028,51.95,256.52,31.540127,31642,537023,65.73,1671.75
22,72.017120,14229,324257,53.90,260.31,30.842497,32032,569055,68.28,1687.09
23,66.202469,15040,339297,56.02,265.49,30.431243,23506,592561,71.65,1851.19
24,76.481581,13311,352608,57.98,271.75,46.026061,28061,620622,74.05,1851.45
25,66.401226,14489,367097,59.88,279.27,30.706974,12943,633565,76.20,1882.11
26,81.167017,12597,379694,61.96,288.32,63.584262,25251,658816,77.96,1890.49
27,67.880022,14589,394283,63.63,292.77,31.230982,25245,684061,80.81,1940.99
28,70.602950,13879,408162,65.54,299.67,47.481685,25537,709598,83.43,1944.60
29,67.978865,14879,423041,67.36,305.94,32.548606,30517,740115,85.63,1944.60
30,69.158559,14110,437151,69.26,312.68,34.115893,28827,768942,87.59,1944.60
31,69.508946,14191,451342,71.19,317.01,41.671034,24491,793433,89.52,1975.99
32,79.976160,13141,464483,72.90,326.87,31.055983,31902,825335,91.54,1975.99
33,72.285041,13194,477677,74.35,330.03,34.064214,29468,854803,93.95,2001.75
34,70.153340,14841,492518,76.14,337.39,30.441432,28349,883152,96.85,2071.58
35,70.511565,14258,506776,77.92,345.00,26.790048,24699,907851,99.65,2097.61
36,66.893059,14374,521150,79.75,352.05,72.670154,20233,928084,100.94,2106.57
37,67.045485,13680,534830,81.25,356.23,29.033804,28034,956118,103.48,2140.47
38,86.398810,12924,547754,82.75,364.15,29.983839,9795,965913,106.40,2215.07
39,70.242475,13989,561743,84.26,371.38,803.397742,2362,968275,107.48,2223.70
40,70.298022,14221,575964,85.93,381.79,57.500360,17390,985665,108.37,2223.70
41,74.660814,13259,589223,87.31,383.41,39.521865,24980,1010645,110.03,2223.70
42,73.249073,12937,602160,88.99,391.80,35.198951,27094,1037739,111.79,2219.81
43,70.254507,12946,615106,90.28,396.05,35.544793,29506,1067245,113.18,2219.81
44,78.464533,13690,628796,91.51,404.54,41.001163,24204,1091449,114.45,2219.81
45,77.061338,14027,642823,93.07,411.69,37.873419,26346,1117795,115.82,2218.74
46,68.702822,13814,656637,94.41,414.42,140.035437,5565,1123360,116.03,2218.79
47,74.660246,13428,670065,95.95,425.51,341.127551,3013,1126373,115.80,2218.79
48,81.256642,12751,682816,97.26,430.58,51.989608,22956,1149329,116.83,2216.51
49,76.453109,12511,695327,98.44,435.05,62.236952,16076,1165405,117.44,2216.51
50,85.132007,12251,707578,99.39,443.07,35.792221,27906,1193311,118.68,2216.67
51,70.289961,14200,721778,100.81,447.65,43.998077,22570,1215881,120.20,2235.31
52,71.499073,12612,734390,102.14,452.34,34.745187,27308,1243189,121.68,2235.31
53,72.709825,14905,749295,103.39,459.28,46.763563,22603,1265792,123.39,2262.46
