unix_ts,avg_latency_ms,throughput
1460406559,29.057862,1932
1460406560,33.864998,29645
1460406561,34.27589,28892
1460406562,64.792503,15104
1460406563,38.343946,26265
1460406564,38.965054,25849
1460406565,63.846738,15461
1460406566,40.039041,24809
1460406567,40.814156,24640
1460406568,39.048475,21557
1460406569,65.738078,17227
1460406570,41.499905,24327
1460406571,40.98221,24072
1460406572,74.424226,13558
1460406573,41.318998,23616
1460406574,41.254686,23872
1460406575,44.742365,21016
1460406576,67.343587,15938
1460406577,43.480411,22840
1460406578,43.859259,22784
1460406579,64.67041,15569
1460406580,43.386528,22801
1460406581,44.180794,22968
1460406582,43.0666,22157
1460406583,78.783197,13180
1460406584,51.641717,19412
1460406585,47.767337,20793
1460406586,49.29717,19794
1460406587,76.638327,13165
1460406588,47.228765,21063
1460406589,49.354478,20415
1460406590,41.500092,22535
1460406591,76.568873,13309
1460406592,43.834045,23486
1460406593,44.114648,22423
1460406594,47.760755,14705
1460406595,66.968865,18626
1460406596,48.10173,21164
1460406597,45.859253,22624
1460406598,77.848332,12860
1460406599,46.946925,21067
1460406600,47.97419,19946
1460406601,50.698139,19944
1460406602,52.721196,11463
1460406603,71.94398,19955
1460406604,46.020277,20341
1460406605,48.235447,21966
1460406606,53.298359,11596
1460406607,81.954986,16818
1460406608,46.891536,20074
1460406609,55.631833,19010
1460406610,41.569158,17993
1460406611,82.671779,14966
1460406612,56.492729,17561
1460406613,52.476478,17346
1460406614,51.075623,21082
1460406615,109.837162,8666
1460406616,58.572178,17973
1460406617,61.233336,15627
1460406618,50.148923,20797
1460406619,45.623004,13586
1460406620,69.104489,19644
1460406621,51.642732,17884
1460406622,57.236769,19131
1460406623,51.229204,17181
1460406624,106.264472,9147
1460406625,56.630623,19912
1460406626,49.307457,20223
1460406627,46.14818,21607
1460406628,161.289597,6055
1460406629,49.531904,19070
1460406630,54.115446,18191
1460406631,52.557751,19985
1460406632,51.394406,13512
1460406633,64.177384,19890
1460406634,51.369122,18740
1460406635,51.664629,18005
1460406636,45.208834,17272
1460406637,71.761469,19116
1460406638,53.202275,18894
1460406639,54.683012,18220
1460406640,55.409915,17574
1460406641,97.711827,9982
1460406642,49.11248,18400
1460406643,58.559847,19215
1460406644,63.779849,15747
1460406645,76.985138,10537
1460406646,65.036188,15279
1460406647,55.708605,20079
1460406648,53.63669,19397
1460406649,45.337517,18735
1460406650,92.048602,11474
1460406651,56.785101,19076
1460406652,58.693679,17581
1460406653,61.298767,16307
1460406654,85.762312,11459
1460406655,46.710386,21151
1460406656,45.162838,22343
1460406657,49.135222,20243
1460406658,67.537319,8589
1460406659,76.854916,15501
1460406660,55.66053,21181
1460406661,63.012818,16264
1460406662,50.422693,18033
1460406663,118.91679,9137
1460406664,58.355784,16037
1460406665,57.531712,18699
1460406666,71.766506,13948
1460406667,47.428445,18333
1460406668,119.138109,9400
1460406669,67.751569,14224
1460406670,39.30822,22044
1460406671,46.54133,22480
1460406672,98.570533,11332
1460406673,45.505959,18786
1460406674,57.221635,16780
1460406675,61.860158,18924
1460406676,57.227506,14489
1460406677,78.057255,13620
1460406678,55.459463,17559
1460406679,76.085697,14853
1460406680,47.682732,17400
1460406681,65.070191,10478
1460406682,93.208607,14670
1460406683,45.955054,23331
1460406684,60.326521,17194
1460406685,51.312486,17424
1460406686,67.33899,16344
1460406687,56.876933,17139
1460406688,58.242849,16563
1460406689,49.961979,19408
1460406690,116.873301,9269
1460406691,40.633853,17728
1460406692,49.603018,24127
1460406693,61.495714,16872
1460406694,42.297534,11476
1460406695,110.432157,14047
1460406696,47.500165,14058
1460406697,48.832592,25619
1460406698,89.474685,12071
1460406699,54.479193,17182
1460406700,65.129334,15798
1460406701,62.131698,16539
1460406702,36.132983,23436
1460406703,83.335488,8918
1460406704,57.688455,20499
1460406705,46.044097,24471
1460406706,63.861469,14837
1460406707,69.482824,14856
1460406708,72.109045,14576
1460406709,44.513686,18664
1460406710,47.195919,23110
1460406711,74.677977,15130
1460406712,55.040285,16475
1460406713,90.773113,11976
1460406714,35.182048,24197
1460406715,57.418019,19952
1460406716,67.085136,10342
1460406717,60.495647,20230
1460406718,82.84023,12812
1460406719,33.729313,27474
1460406720,143.405869,5583
1460406721,44.735234,25248
1460406722,74.468722,10796
1460406723,25.467454,24310
1460406724,338.602769,1278
1460406725,63.655693,14823
1460406726,26.344088,17071
1460406727,94.290363,9360
1460406728,23.719286,23712
1460406729,314.134865,93
