second,avg_latency_ms_etcdv3,throughput_etcdv3,cumulative_throughput_etcdv3,avg_cpu_etcdv3,avg_memory_mb_etcdv3,avg_latency_ms_etcdv3_after_patch,throughput_etcdv3_after_patch,cumulative_throughput_etcdv3_after_patch,avg_cpu_etcdv3_after_patch,avg_memory_mb_etcdv3_after_patch,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
0,18.026189,442,442,2.02,40.21,29.631638,22089,22089,3.12,105.15,521.631455,117,117,1.68,89.32
1,34.123086,28929,29371,6.70,132.89,31.822889,29106,51195,8.61,149.27,1638.302719,201,318,2.33,102.67
2,36.194822,23561,52932,12.22,148.93,62.688157,16788,67983,11.52,152.79,993.297422,1163,1481,3.31,127.04
3,67.267729,17084,70016,15.08,152.60,36.304054,27672,95655,16.81,164.50,95.840700,19781,21262,5.29,158.96
4,39.330223,24916,94932,20.76,161.99,35.268351,28189,123844,22.28,177.10,31.358610,31847,53109,10.82,270.56
5,40.996312,24475,119407,26.18,178.09,59.569941,16811,140655,25.63,188.03,26.335673,38017,91126,15.38,440.68
6,83.178187,11992,131399,28.76,180.32,36.227207,27547,168202,30.56,197.38,28.305610,35514,126640,18.80,557.23
7,41.860114,24086,155485,33.75,194.73,38.274048,25973,194175,35.59,209.71,26.534142,37434,164074,23.16,762.12
8,40.510658,24393,179878,39.01,202.35,59.475309,16527,210702,38.63,216.90,29.780844,32816,196890,26.40,866.19
9,43.173777,20689,200567,44.11,213.27,38.686513,25840,236542,43.17,230.21,22.784719,35712,232602,30.42,922.49
10,88.298271,12382,212949,46.05,219.10,37.966700,26177,262719,47.87,242.82,38.222105,29029,261631,33.41,1019.51
11,42.100616,23263,236212,50.91,230.84,61.761951,16243,278962,51.91,258.65,40.015318,27409,289040,37.58,1206.62
12,47.784992,21467,257679,55.36,241.89,39.688797,25185,304147,55.12,265.81,28.784295,34792,323832,41.22,1348.68
13,47.193160,16772,274451,59.81,249.03,40.355334,24844,328991,59.54,274.46,24.040080,41609,365441,44.74,1414.96
14,67.899031,17597,292048,62.20,254.83,38.223541,18043,347034,63.75,289.99,22.929445,23074,388515,48.24,1442.68
15,45.305524,22280,314328,66.48,262.43,59.124243,21740,368774,65.92,295.11,41.215398,35616,424131,51.21,1459.33
16,45.566271,21798,336126,70.80,275.53,41.924444,23171,391945,69.98,305.40,21.169258,15947,440078,54.78,1744.56
17,43.751817,12199,348325,73.54,280.90,42.198526,24586,416531,73.84,320.04,51.505232,32285,472363,58.10,1754.21
18,60.454783,24182,372507,77.16,290.64,166.172486,5618,422149,75.92,322.62,24.572465,40567,512930,61.42,1763.54
19,45.272149,21583,394090,81.42,303.67,42.212024,23986,446135,78.12,330.83,25.269000,38754,551684,64.58,1763.54
20,44.240366,23215,417305,85.44,312.26,43.363608,24117,470252,81.80,340.87,27.510765,36948,588632,67.73,1845.62
21,86.779704,10960,428265,87.05,320.42,43.897844,22531,492783,85.33,357.08,30.730311,26650,615282,70.03,1845.62
22,44.641272,22353,450618,91.07,327.99,87.981241,10932,503715,86.85,361.71,322.710151,3649,618931,72.61,1878.24
23,44.504295,22146,472764,94.70,338.15,43.339349,23824,527539,90.19,374.17,24.390317,41155,660086,74.97,1888.83
24,45.996676,22848,495612,98.51,347.40,41.163551,24175,551714,94.04,382.52,24.908077,40142,700228,77.94,1898.61
25,72.916778,13552,509164,100.82,352.79,41.850857,17192,568906,97.60,394.47,24.250116,40430,740658,80.87,1898.61
26,48.038769,19902,529066,104.18,364.56,56.504990,22564,591470,99.49,402.14,16.478086,4283,744941,84.58,1989.69
27,50.900176,20598,549664,107.37,372.22,40.854039,24344,615814,102.87,417.83,78.489221,24777,769718,87.39,1999.31
28,48.783408,19452,569116,110.62,384.62,45.942656,21883,637697,106.17,431.12,27.219292,36715,806433,89.86,1999.31
29,105.322551,9288,578404,111.79,388.50,81.512701,12067,649764,107.58,434.42,26.953658,36105,842538,92.39,2029.15
30,51.783402,19119,597523,115.01,398.61,43.753263,22990,672754,110.37,443.79,26.050875,39163,881701,95.21,2038.97
31,46.078131,22697,620220,118.48,412.11,45.752602,21818,694572,113.36,453.35,27.075756,36924,918625,97.73,2038.97
32,47.669295,20827,641047,121.56,419.83,45.129492,21940,716512,116.13,466.91,20.364376,13841,932466,100.93,2148.45
33,93.305445,10674,651721,122.61,423.76,113.323473,8878,725390,116.92,469.57,108.930596,15784,948250,103.64,2188.66
34,48.834398,20377,672098,125.56,429.32,44.636923,21752,747142,119.85,476.07,25.074108,3524,951774,105.73,2204.82
35,48.537680,19908,692006,128.73,443.13,43.378953,23177,770319,122.69,490.23,387.635408,4924,956698,106.89,2229.31
36,50.378444,21333,713339,131.76,451.33,47.733857,20129,790448,125.48,499.91,23.378114,42878,999576,108.51,2229.31
37,101.878001,9652,722991,132.66,456.74,91.147734,10934,801382,125.85,506.49,26.337707,37892,1037468,110.98,2243.46
38,46.751336,21266,744257,135.52,472.43,44.014980,23147,824529,128.56,515.23,30.273013,33081,1070549,113.28,2240.40
39,49.421295,19658,763915,138.30,482.58,43.365086,23480,848009,131.46,532.44,31.723683,31475,1102024,114.70,2240.40
40,44.619499,21204,785119,141.36,493.14,45.197719,16331,864340,134.24,540.68,54.148049,12663,1114687,115.56,2240.40
41,90.598885,11077,796196,142.11,496.13,59.748353,21085,885425,135.75,545.91,594.600019,2000,1116687,115.31,2240.44
42,47.000577,21583,817779,144.94,505.48,45.143200,21956,907381,138.40,554.02,659.135620,1021,1117708,114.75,2240.44
43,45.254282,22432,840211,147.90,518.79,45.234444,22314,929695,141.32,566.64,550.126247,2006,1119714,114.04,2240.44
44,46.593930,22237,862448,150.51,527.52,62.761023,15783,945478,142.75,571.66,2488.032034,1000,1120714,113.15,2240.44
45,112.884930,8861,871309,151.26,530.68,41.307826,23070,968548,145.21,584.53,1678.865280,1,1120715,111.83,2240.44
46,48.217227,19953,891262,153.94,539.01,50.572403,20672,989220,147.59,598.68,2815.164985,122,1120837,111.00,2240.44
47,50.684917,18809,910071,156.07,550.37,42.902518,22101,1011321,149.98,606.86,149.096988,10704,1131541,109.86,2240.44
48,50.570901,20326,930397,158.52,563.41,67.167892,14537,1025858,151.19,611.93,563.575780,681,1132222,109.10,2240.51
