2016-04-11 19:59:34.402745 I | etcdmain: etcd Version: 2.3.0+git
2016-04-11 19:59:34.402801 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-11 19:59:34.402808 I | etcdmain: Go Version: go1.6
2016-04-11 19:59:34.402814 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-11 19:59:34.402820 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-11 19:59:34.402889 I | etcdmain: listening for peers on http://10.240.0.15:2380
2016-04-11 19:59:34.402918 I | etcdmain: listening for client requests on 10.240.0.15:2379
2016-04-11 19:59:34.404363 I | etcdserver: name = etcd-3
2016-04-11 19:59:34.404507 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-11 19:59:34.404521 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-11 19:59:34.404528 I | etcdserver: heartbeat = 100ms
2016-04-11 19:59:34.404536 I | etcdserver: election = 1000ms
2016-04-11 19:59:34.404542 I | etcdserver: snapshot count = 10000
2016-04-11 19:59:34.404552 I | etcdserver: advertise client URLs = http://10.240.0.15:2379
2016-04-11 19:59:34.404565 I | etcdserver: initial advertise peer URLs = http://10.240.0.15:2380
2016-04-11 19:59:34.404587 I | etcdserver: initial cluster = etcd-1=http://10.240.0.13:2380,etcd-2=http://10.240.0.14:2380,etcd-3=http://10.240.0.15:2380
2016-04-11 19:59:34.408584 I | etcdserver: starting member 1eb6406549e3d4e in cluster 3c1022ef339089ca
2016-04-11 19:59:34.408636 I | raft: 1eb6406549e3d4e became follower at term 0
2016-04-11 19:59:34.408649 I | raft: newRaft 1eb6406549e3d4e [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-11 19:59:34.408656 I | raft: 1eb6406549e3d4e became follower at term 1
2016-04-11 19:59:34.427958 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-11 19:59:34.428326 I | rafthttp: the connection with cfc6e2e1de0e7922 became active
2016-04-11 19:59:34.429990 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-11 19:59:34.430022 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-11 19:59:34.431173 N | etcdserver: added local member 1eb6406549e3d4e [http://10.240.0.15:2380] to cluster 3c1022ef339089ca
2016-04-11 19:59:34.431234 N | etcdmain: serving insecure client requests on 10.240.0.15:2379, this is strongly discouraged!
2016-04-11 19:59:34.431336 N | etcdserver: added member cfc6e2e1de0e7922 [http://10.240.0.13:2380] to cluster 3c1022ef339089ca
2016-04-11 19:59:34.431391 I | rafthttp: the connection with f9e96ef8c0d0e08c became active
2016-04-11 19:59:34.431520 I | raft: 1eb6406549e3d4e [term: 1] received a MsgHeartbeat message with higher term from cfc6e2e1de0e7922 [term: 3]
2016-04-11 19:59:34.431548 I | raft: 1eb6406549e3d4e became follower at term 3
2016-04-11 19:59:34.431571 I | raft: raft.node: 1eb6406549e3d4e elected leader cfc6e2e1de0e7922 at term 3
2016-04-11 19:59:34.431664 N | etcdserver: added member f9e96ef8c0d0e08c [http://10.240.0.14:2380] to cluster 3c1022ef339089ca
2016-04-11 19:59:34.432632 N | membership: set the initial cluster version to 2.2
2016-04-11 19:59:34.435919 I | etcdserver: published {Name:etcd-3 ClientURLs:[http://10.240.0.15:2379]} to cluster 3c1022ef339089ca
2016-04-11 19:59:34.928949 I | v2http: enabled capabilities for version 2.2.0
2016-04-11 19:59:37.918870 N | membership: updated the cluster version from 2.2 to 2.3
2016-04-11 19:59:37.930204 I | v2http: enabled capabilities for version 2.3.0
2016-04-11 20:00:58.945035 I | etcdserver: start to snapshot (applied: 10262, lastsnap: 0)
2016-04-11 20:00:58.954550 I | etcdserver: saved snapshot at index 10262
2016-04-11 20:00:58.954788 I | etcdserver: compacted raft log at 5262
2016-04-11 20:00:59.282501 I | etcdserver: start to snapshot (applied: 20436, lastsnap: 10262)
2016-04-11 20:00:59.300520 I | etcdserver: saved snapshot at index 20436
2016-04-11 20:00:59.300758 I | etcdserver: compacted raft log at 15436
2016-04-11 20:00:59.641755 I | etcdserver: start to snapshot (applied: 30720, lastsnap: 20436)
2016-04-11 20:00:59.654905 I | etcdserver: saved snapshot at index 30720
2016-04-11 20:00:59.655251 I | etcdserver: compacted raft log at 25720
2016-04-11 20:00:59.973307 I | etcdserver: start to snapshot (applied: 40813, lastsnap: 30720)
2016-04-11 20:00:59.984050 I | etcdserver: saved snapshot at index 40813
2016-04-11 20:00:59.984497 I | etcdserver: compacted raft log at 35813
2016-04-11 20:01:01.235483 I | etcdserver: start to snapshot (applied: 50930, lastsnap: 40813)
2016-04-11 20:01:01.244515 I | etcdserver: saved snapshot at index 50930
2016-04-11 20:01:01.244919 I | etcdserver: compacted raft log at 45930
2016-04-11 20:01:01.655774 I | etcdserver: start to snapshot (applied: 60950, lastsnap: 50930)
2016-04-11 20:01:01.670079 I | etcdserver: saved snapshot at index 60950
2016-04-11 20:01:01.670316 I | etcdserver: compacted raft log at 55950
2016-04-11 20:01:02.053398 I | etcdserver: start to snapshot (applied: 71162, lastsnap: 60950)
2016-04-11 20:01:02.065845 I | etcdserver: saved snapshot at index 71162
2016-04-11 20:01:02.066052 I | etcdserver: compacted raft log at 66162
2016-04-11 20:01:02.492365 I | etcdserver: start to snapshot (applied: 81484, lastsnap: 71162)
2016-04-11 20:01:02.506090 I | etcdserver: saved snapshot at index 81484
2016-04-11 20:01:02.506266 I | etcdserver: compacted raft log at 76484
2016-04-11 20:01:02.856509 I | etcdserver: start to snapshot (applied: 91531, lastsnap: 81484)
2016-04-11 20:01:02.868460 I | etcdserver: saved snapshot at index 91531
2016-04-11 20:01:02.868629 I | etcdserver: compacted raft log at 86531
2016-04-11 20:01:03.265727 I | etcdserver: start to snapshot (applied: 101558, lastsnap: 91531)
2016-04-11 20:01:03.273900 I | etcdserver: saved snapshot at index 101558
2016-04-11 20:01:03.274208 I | etcdserver: compacted raft log at 96558
2016-04-11 20:01:03.652386 I | etcdserver: start to snapshot (applied: 111610, lastsnap: 101558)
2016-04-11 20:01:03.661388 I | etcdserver: saved snapshot at index 111610
