unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1460404894,28.176258,16199,16199,4.84,123.85,4.10,125.90,3.78,119.92,4.24,123.22
1460404895,30.742627,32326,48525,10.79,141.42,8.95,145.46,8.73,143.69,9.49,143.52
1460404896,73.958930,13436,61961,13.69,149.97,11.29,148.87,11.10,147.54,12.03,148.79
1460404897,35.108149,28194,90155,19.43,161.53,16.30,160.49,16.03,161.21,17.25,161.08
1460404898,35.719543,27791,117946,25.23,178.52,21.25,178.14,20.94,172.86,22.47,176.51
1460404899,73.994835,13393,131339,27.97,184.28,23.50,181.52,23.26,175.66,24.91,180.49
1460404900,39.329760,25850,157189,33.18,193.94,27.99,191.25,27.70,188.89,29.62,191.36
1460404901,36.581064,27182,184371,38.53,201.10,32.74,202.12,32.23,203.00,34.50,202.07
1460404902,42.001556,13644,198015,41.65,211.01,35.15,208.75,35.02,207.99,37.27,209.25
1460404903,62.781119,22376,220391,45.85,224.86,39.03,221.04,38.37,219.50,41.08,221.80
1460404904,40.162032,24958,245349,50.61,232.27,43.26,235.36,42.56,234.98,45.48,234.20
1460404905,39.839283,25207,270556,55.25,245.16,47.32,247.54,46.73,244.14,49.77,245.61
1460404906,73.051293,13184,283740,57.60,253.16,49.50,252.86,48.85,248.43,51.98,251.48
1460404907,40.779378,25378,309118,62.11,266.07,53.27,260.10,53.02,260.91,56.13,262.36
1460404908,43.162839,23210,332328,66.65,276.23,56.86,275.41,56.62,268.38,60.04,273.34
1460404909,43.117623,13403,345731,69.12,280.56,58.72,282.69,58.82,279.90,62.22,281.05
1460404910,62.437414,22686,368417,72.80,289.49,62.49,289.07,62.16,294.10,65.82,290.89
1460404911,40.281618,24694,393111,77.03,300.75,66.40,296.72,65.90,303.60,69.78,300.36
1460404912,38.766880,24832,417943,81.47,317.60,70.68,312.36,69.59,315.72,73.91,315.23
1460404913,80.264749,12797,430740,83.32,320.60,72.04,313.41,71.22,320.19,75.53,318.07
1460404914,42.079242,23118,453858,87.63,332.63,75.16,328.24,74.30,336.24,79.03,332.37
1460404915,43.779754,23532,477390,91.76,337.66,78.25,343.74,77.64,344.46,82.55,341.95
1460404916,45.158892,15890,493280,94.34,359.18,79.94,355.20,79.84,351.33,84.71,355.24
1460404917,71.295622,17888,511168,96.95,362.84,82.60,356.58,82.26,359.15,87.27,359.52
1460404918,38.123114,25236,536404,100.88,372.00,86.52,365.56,85.60,365.28,91.00,367.61
1460404919,38.757891,26568,562972,104.75,389.98,89.92,376.34,88.60,384.22,94.42,383.51
1460404920,79.927192,12335,575307,106.66,398.70,91.51,382.68,89.97,390.74,96.05,390.71
1460404921,42.123041,23453,598760,110.43,407.71,94.14,393.43,93.05,410.89,99.21,404.01
1460404922,43.480586,22991,621751,114.08,415.80,96.53,408.35,96.09,415.85,102.23,413.33
1460404923,45.940661,19275,641026,116.73,420.10,98.94,418.32,98.68,425.50,104.78,421.31
1460404924,74.969951,15058,656084,119.01,429.62,100.82,420.84,100.21,432.81,106.68,427.76
1460404925,45.351970,21986,678070,121.97,441.41,103.63,432.23,103.06,445.08,109.55,439.57
1460404926,37.649439,26469,704539,125.39,470.44,107.16,448.59,106.27,460.81,112.94,459.95
1460404927,67.750318,13650,718189,127.34,471.67,108.90,452.50,107.11,464.44,114.45,462.87
1460404928,46.403074,23080,741269,130.93,479.66,111.43,459.41,109.52,470.18,117.29,469.75
1460404929,43.425098,21718,762987,134.49,490.00,113.39,469.73,112.05,486.01,119.98,481.91
1460404930,44.204227,22769,785756,137.90,501.65,115.37,473.16,114.64,496.62,122.64,490.48
1460404931,81.149686,11908,797664,139.37,507.38,116.48,481.87,115.81,512.04,123.89,500.43
1460404932,41.932209,24015,821679,142.72,515.19,119.19,501.10,118.09,525.24,126.67,513.84
1460404933,44.562536,23831,845510,145.92,527.72,122.14,509.50,120.25,531.63,129.44,522.95
1460404934,48.475715,17303,862813,148.09,538.43,123.61,518.62,121.54,538.96,131.08,532.00
1460404935,74.476290,15400,878213,150.26,541.22,125.20,523.58,123.29,549.13,132.92,537.98
1460404936,47.682119,21166,899379,153.51,565.26,127.27,531.10,125.38,560.23,135.39,552.20
1460404937,40.962062,23212,922591,156.70,574.43,128.76,548.22,127.90,570.72,137.79,564.46
1460404938,50.700569,14082,936673,158.11,579.71,129.52,550.88,129.18,575.95,138.94,568.85
1460404939,64.925250,20433,957106,160.41,588.34,132.08,561.28,131.48,583.36,141.32,577.66
1460404940,45.857954,21807,978913,163.55,602.44,134.47,573.28,133.52,596.52,143.85,590.75
1460404941,40.068587,24168,1003081,166.51,608.84,136.50,589.30,135.24,613.19,146.08,603.78
1460404942,75.525011,13539,1016620,167.65,617.24,137.44,590.93,136.70,622.68,147.26,610.28
1460404943,49.754580,19995,1036615,170.39,633.23,139.77,601.47,138.53,626.13,149.56,620.28
1460404944,45.726325,20661,1057276,172.64,639.99,141.32,605.58,141.00,631.97,151.65,625.85
1460404945,48.236508,20591,1077867,175.32,654.16,143.05,616.72,142.58,639.99,153.65,636.96
