second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
0,28.122925,29717,29717,2.60,21.20,16.221324,6080,6080,8.19,58.11
1,30.621158,31737,61454,49.78,72.53,21.067219,20819,26899,60.17,154.29
2,33.698445,29388,90842,91.61,86.28,37.076264,22621,49520,102.77,242.31
3,33.483408,29712,120554,127.39,97.65,38.845355,30585,80105,120.16,306.62
4,34.307520,28786,149340,157.26,106.14,29.411806,34780,114885,138.70,423.06
5,34.329383,28828,178168,181.37,115.73,25.852399,38713,153598,153.62,525.74
6,34.842192,27699,205867,202.29,129.17,25.080740,39670,193268,171.12,722.73
7,34.131002,29614,235481,220.71,142.13,29.136735,34279,227547,183.65,827.29
8,35.890121,27332,262813,237.22,153.97,22.871811,43603,271150,195.10,879.59
9,36.053144,27725,290538,250.94,163.50,23.979560,41724,312874,206.03,953.35
10,36.495353,26865,317403,263.32,173.24,25.597335,38908,351782,217.10,1120.56
11,35.701153,27971,345374,273.76,181.04,52.768686,18992,370774,223.84,1272.62
12,36.445497,27126,372500,284.18,194.33,44.421581,19473,390247,230.78,1347.97
13,38.638068,25100,397600,292.87,203.28,26.450302,42846,433093,240.16,1358.50
14,37.245656,26645,424245,299.72,212.26,25.499490,39081,472174,246.35,1380.62
15,39.698782,24010,448255,307.02,220.69,23.317564,42834,515008,252.64,1460.49
16,39.593901,26228,474483,312.16,231.26,24.220632,18765,533773,260.33,1676.89
17,39.310167,25181,499664,317.06,241.73,58.108817,26543,560316,260.41,1708.49
18,38.884485,25258,524922,322.94,252.23,23.990388,41810,602126,263.75,1710.67
19,38.990974,25230,550152,327.40,262.77,25.187197,38781,640907,267.73,1710.65
20,43.660256,22993,573145,331.55,270.93,532.225897,1278,642185,274.93,1789.57
21,34.473004,28026,601171,335.11,276.78,29.840783,44876,687061,280.37,1796.31
22,41.094721,24372,625543,339.28,286.91,25.896278,38430,725491,284.28,1799.79
23,37.820437,25347,650890,342.61,296.48,24.083866,41693,767184,286.42,1799.79
24,40.067594,25236,676126,345.49,309.91,31.366617,31752,798936,289.99,1831.35
25,35.328504,27647,703773,348.89,318.01,23.021402,43509,842445,292.36,1861.35
