unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1460456666,87.174522,3905,3905,2.74,15.97,2.28,17.93,1.16,16.03,2.06,16.64
1460456667,105.778284,9787,13692,40.86,64.99,26.15,48.83,27.49,42.05,31.50,51.96
1460456668,105.237888,9536,23228,69.79,83.81,43.52,63.18,47.38,60.67,53.56,69.22
1460456669,104.353974,9633,32861,97.55,107.82,57.73,83.81,65.52,78.79,73.60,90.14
1460456670,109.422231,9056,41917,119.09,122.60,68.63,85.97,78.74,84.88,88.82,97.82
1460456671,109.612574,9180,51097,137.57,145.75,77.82,106.70,88.75,101.76,101.38,118.07
1460456672,105.218514,9553,60650,155.37,167.13,85.51,122.62,96.09,119.82,112.32,136.52
1460456673,112.767406,8845,69495,169.36,158.69,92.88,114.65,103.91,113.62,122.05,128.99
1460456674,105.557075,9448,78943,182.34,183.48,98.40,135.76,108.27,126.04,129.67,148.43
1460456675,107.883632,9181,88124,194.32,210.36,102.87,149.29,114.24,150.76,137.14,170.14
1460456676,104.175043,9472,97596,204.31,231.20,108.50,173.19,118.53,168.20,143.78,190.86
1460456677,104.647306,9664,107260,212.99,251.25,112.80,192.40,123.00,193.39,149.60,212.35
1460456678,111.421666,8931,116191,220.90,274.39,116.33,209.80,125.94,208.60,154.39,230.93
1460456679,103.808298,9797,125988,227.91,300.69,119.34,230.16,129.25,223.74,158.83,251.53
1460456680,111.796712,8790,134778,235.11,269.54,122.32,191.94,133.03,192.90,163.49,218.13
1460456681,108.717383,9051,143829,240.03,284.31,124.98,211.58,134.73,210.60,166.58,235.50
1460456682,106.896961,9549,153378,246.58,317.33,126.84,221.48,137.73,229.50,170.38,256.10
1460456683,112.581483,8921,162299,250.20,334.36,129.50,250.00,139.09,243.50,172.93,275.95
1460456684,109.452808,9108,171407,254.29,354.16,131.47,264.14,142.20,269.94,175.99,296.08
1460456685,101.575304,9938,181345,259.37,387.45,132.87,282.62,143.70,283.90,178.65,317.99
1460456686,107.971778,9114,190459,263.28,408.10,135.67,310.07,145.47,300.27,181.47,339.48
1460456687,112.022366,9024,199483,266.39,428.00,136.89,325.54,146.93,314.28,183.40,355.94
1460456688,105.833359,9484,208967,269.81,449.84,138.27,341.24,148.18,333.41,185.42,374.83
