unix_ts,avg_latency_ms,throughput
1460457432,12.832287,8267
1460457433,69.824004,13065
1460457434,39.482069,27815
1460457435,28.115333,35452
1460457436,28.430898,35371
1460457437,25.386769,39344
1460457438,24.092276,41320
1460457439,25.557860,39258
1460457440,23.416680,42264
1460457441,29.585834,33959
1460457442,25.627048,39009
1460457443,51.286443,19572
1460457444,54.578440,18268
1460457445,23.035883,43364
1460457446,22.808261,43854
1460457447,22.920940,43359
1460457448,22.380004,12173
1460457449,47.043931,36791
1460457450,24.982035,39869
1460457451,25.940865,30139
1460457452,111.398530,10913
1460457453,22.876840,43478
1460457454,26.530130,37672
1460457455,25.258978,39548
1460457456,31.003305,32237
1460457457,23.999967,41697
1460457458,30.620098,31369
1460457459,24.120827,42962
1460457460,22.713282,40985
1460457461,0.000000,0
1460457462,124.173259,16599
1460457463,19.185419,14034
1460457464,289.885772,5648
1460457465,1650.431981,18
