unix_ts,avg_latency_ms,throughput
1460673817,3.521104,167
1460673818,2.323462,430
1460673819,2.185027,457
1460673820,2.155978,463
1460673821,2.585921,387
1460673822,2.408682,415
1460673823,2.372423,421
1460673824,2.370839,422
1460673825,2.305408,433
1460673826,2.397712,417
1460673827,2.225628,449
1460673828,2.260795,442
1460673829,2.335505,427
1460673830,2.358803,424
1460673831,2.088816,478
1460673832,1.999870,500
1460673833,2.033522,491
1460673834,2.033483,491
1460673835,2.079815,481
1460673836,2.034982,491
1460673837,2.113384,473
1460673838,2.150107,464
1460673839,2.159583,463
1460673840,2.144092,466
1460673841,2.112369,473
1460673842,2.176342,459
1460673843,2.171242,460
1460673844,2.151031,464
1460673845,2.227584,449
1460673846,2.156465,463
1460673847,2.058020,486
1460673848,2.011349,497
1460673849,2.044976,488
1460673850,2.114954,472
1460673851,2.058886,486
1460673852,2.018871,495
1460673853,2.021340,494
1460673854,1.974664,506
1460673855,1.992084,501
1460673856,2.009821,497
1460673857,2.053279,487
1460673858,2.061343,484
1460673859,2.005063,499
1460673860,1.987420,502
1460673861,2.009676,498
1460673862,1.995706,500
1460673863,1.956263,511
1460673864,1.945402,513
1460673865,2.166480,462
1460673866,2.159541,462
1460673867,2.187277,457
1460673868,2.373163,421
1460673869,2.173031,460
1460673870,2.210242,452
1460673871,2.177727,459
1460673872,2.357042,424
1460673873,2.268494,440
1460673874,2.278709,439
1460673875,2.041161,490
1460673876,1.991985,501
1460673877,1.978302,505
1460673878,2.005394,499
1460673879,1.927033,518
1460673880,2.008614,497
1460673881,2.228135,449
1460673882,2.203809,453
1460673883,2.117333,472
1460673884,2.163229,462
1460673885,2.216562,451
1460673886,2.209725,452
1460673887,2.176515,459
1460673888,2.213828,451
1460673889,2.209125,453
1460673890,2.198888,454
1460673891,1.995033,501
1460673892,2.002998,499
1460673893,2.025719,493
1460673894,2.039127,490
1460673895,2.065387,483
1460673896,2.012943,497
1460673897,2.073790,482
1460673898,2.152837,464
1460673899,2.086097,479
1460673900,2.090599,477
1460673901,2.184154,458
1460673902,2.080078,481
1460673903,2.064696,484
1460673904,2.107120,474
1460673905,2.079063,480
1460673906,2.123639,471
1460673907,2.399891,416
1460673908,2.053295,487
1460673909,2.001802,499
1460673910,2.010956,497
1460673911,2.010859,497
1460673912,2.006554,498
1460673913,1.969547,507
1460673914,1.986244,503
1460673915,1.985515,503
1460673916,1.976012,506
1460673917,1.997769,500
1460673918,1.988230,502
1460673919,1.988556,502
1460673920,1.953081,511
1460673921,2.011959,498
1460673922,2.004683,498
1460673923,2.058165,485
1460673924,2.016629,496
1460673925,2.206005,453
1460673926,2.284354,437
1460673927,2.255830,443
1460673928,2.387736,419
1460673929,2.279444,438
1460673930,2.524029,396
1460673931,2.200036,454
1460673932,2.255072,443
1460673933,2.293638,436
1460673934,2.286341,437
1460673935,1.995316,501
1460673936,2.061283,484
1460673937,1.930978,517
1460673938,2.048964,488
1460673939,1.932724,517
1460673940,1.961006,510
1460673941,2.193129,455
1460673942,2.247043,445
1460673943,2.266331,441
1460673944,2.187244,457
1460673945,2.248654,444
1460673946,2.244441,445
1460673947,2.212287,452
1460673948,2.160387,462
1460673949,2.302995,434
1460673950,2.162813,462
1460673951,1.920176,521
1460673952,1.892528,528
1460673953,1.973041,506
1460673954,2.095933,476
1460673955,2.002856,499
1460673956,1.974649,506
1460673957,2.139792,467
1460673958,2.069103,483
1460673959,2.064227,484
1460673960,2.148747,465
1460673961,2.026239,492
1460673962,2.114516,473
1460673963,2.083093,480
1460673964,2.062098,484
1460673965,2.172287,459
1460673966,2.291774,437
1460673967,2.047148,488
1460673968,2.034485,491
1460673969,2.002605,499
1460673970,1.974725,506
1460673971,1.933276,517
1460673972,1.975011,506
1460673973,1.942943,514
1460673974,2.017719,495
1460673975,1.948712,513
1460673976,2.013434,496
1460673977,2.156860,463
1460673978,1.983884,504
1460673979,1.998782,500
1460673980,2.018633,494
1460673981,1.975785,506
1460673982,1.983388,504
1460673983,1.947019,513
1460673984,1.968827,508
1460673985,2.241607,446
1460673986,2.271363,440
1460673987,2.249649,444
1460673988,2.327991,429
1460673989,2.355390,424
1460673990,2.206636,453
1460673991,2.259653,442
1460673992,2.243523,446
1460673993,2.267093,441
1460673994,2.265022,440
1460673995,2.001545,500
1460673996,1.989903,502
1460673997,2.030050,492
1460673998,1.986581,503
1460673999,1.962401,509
1460674000,1.960597,510
1460674001,2.267911,440
1460674002,2.232605,447
1460674003,2.461876,407
1460674004,2.227740,448
1460674005,2.097859,476
1460674006,2.092584,478
1460674007,1.989633,502
1460674008,2.109096,474
1460674009,2.064459,483
1460674010,2.004131,499
1460674011,1.816928,550
1460674012,1.877523,532
1460674013,1.841013,543
1460674014,1.902638,525
1460674015,1.880371,531
1460674016,1.913698,522
1460674017,1.996373,501
1460674018,2.096406,476
1460674019,2.179575,459
1460674020,2.081057,480
1460674021,2.058726,485
1460674022,2.189607,456
1460674023,1.997657,501
1460674024,2.027646,492
1460674025,2.050974,488
1460674026,2.064863,484
1460674027,1.948112,512
1460674028,1.844043,542
1460674029,1.858191,538
1460674030,1.835948,544
1460674031,1.880264,531
1460674032,1.876341,532
1460674033,1.921210,521
1460674034,1.823202,548
1460674035,1.926016,518
1460674036,1.878393,532
1460674037,1.880106,532
1460674038,1.917161,521
1460674039,1.833632,545
1460674040,1.948141,513
1460674041,1.836136,544
1460674042,1.835340,544
1460674043,1.868942,534
1460674044,1.892158,529
1460674045,2.202005,453
1460674046,2.253657,443
1460674047,2.233665,448
1460674048,2.221260,450
1460674049,2.169130,460
1460674050,2.182774,458
1460674051,2.216920,451
1460674052,2.184256,458
1460674053,2.243866,445
1460674054,2.305734,433
1460674055,1.923463,520
1460674056,1.875642,532
1460674057,1.875006,533
1460674058,1.870857,534
1460674059,1.907429,524
1460674060,1.826687,547
1460674061,2.155948,464
1460674062,2.186011,457
1460674063,2.126813,469
1460674064,2.268001,441
1460674065,2.120122,471
1460674066,2.146934,465
1460674067,2.170274,461
1460674068,2.177073,458
1460674069,2.203543,454
1460674070,2.070760,483
1460674071,1.911099,522
1460674072,1.919073,521
1460674073,1.882466,531
1460674074,1.937009,516
1460674075,1.921141,520
1460674076,1.923732,519
1460674077,1.997817,500
1460674078,1.996099,501
1460674079,2.123662,470
1460674080,2.174461,460
1460674081,2.158431,463
1460674082,2.127001,469
1460674083,2.111050,474
1460674084,2.043026,489
1460674085,2.093614,477
1460674086,2.071236,482
1460674087,2.015206,496
1460674088,1.994010,501
1460674089,2.046923,488
1460674090,2.028263,493
1460674091,1.946833,513
1460674092,1.941411,515
1460674093,2.069951,482
1460674094,2.016069,496
1460674095,1.970177,507
1460674096,1.957669,510
1460674097,1.928468,519
1460674098,1.950122,512
1460674099,2.001403,499
1460674100,1.985198,504
1460674101,1.979265,504
1460674102,1.953587,512
1460674103,1.948762,513
1460674104,1.977798,505
1460674105,2.269155,440
1460674106,2.196278,455
1460674107,2.221547,450
1460674108,2.199847,454
1460674109,2.243183,446
1460674110,2.335651,427
1460674111,2.326288,430
1460674112,2.358087,424
1460674113,2.407822,415
1460674114,2.269070,440
1460674115,2.137598,468
1460674116,2.076061,481
1460674117,1.990022,502
1460674118,1.950430,512
1460674119,1.972118,507
1460674120,1.986361,503
1460674121,2.131762,468
1460674122,2.151687,465
1460674123,2.150430,463
1460674124,2.131982,470
1460674125,2.192698,456
1460674126,2.108577,474
1460674127,2.096161,476
1460674128,2.176791,459
1460674129,2.157787,463
1460674130,2.134060,469
1460674131,2.042184,489
1460674132,1.970156,506
1460674133,2.009026,498
1460674134,2.036129,490
1460674135,2.012249,497
1460674136,2.047823,489
1460674137,2.110832,472
1460674138,2.194769,456
1460674139,2.287601,437
1460674140,2.226659,449
1460674141,2.101302,475
1460674142,2.178695,459
1460674143,2.110596,473
1460674144,2.093246,478
1460674145,2.115605,471
1460674146,2.231328,449
1460674147,2.024039,493
1460674148,2.003862,499
1460674149,2.007095,498
1460674150,2.027539,493
1460674151,1.997828,500
1460674152,1.982626,504
1460674153,2.022386,494
1460674154,1.952000,511
1460674155,1.952319,512
1460674156,2.033025,492
1460674157,2.016779,495
1460674158,2.009746,497
1460674159,1.963768,509
1460674160,1.995796,501
1460674161,1.935284,516
1460674162,1.964807,509
1460674163,1.942334,514
1460674164,2.002071,499
1460674165,2.312692,432
1460674166,2.268228,441
1460674167,2.257677,442
1460674168,2.221297,450
1460674169,2.277534,439
1460674170,2.382025,419
1460674171,2.237202,447
1460674172,2.280383,438
1460674173,2.305222,434
1460674174,2.289935,436
1460674175,1.963789,509
1460674176,1.954701,511
1460674177,1.958479,510
1460674178,1.968803,508
1460674179,1.955371,510
1460674180,1.978223,506
1460674181,2.167026,461
1460674182,2.122201,471
1460674183,2.106391,474
1460674184,2.121299,471
1460674185,2.194821,456
1460674186,2.087464,478
1460674187,2.055948,477
1460674188,2.893180,352
1460674189,2.128558,469
1460674190,2.806168,356
1460674191,1.910754,523
1460674192,1.991434,502
1460674193,1.983792,504
1460674194,1.968281,508
1460674195,1.972342,506
1460674196,2.084672,479
1460674197,2.092179,478
1460674198,2.060626,485
1460674199,2.106362,475
1460674200,2.072216,482
1460674201,2.124859,470
1460674202,2.150998,465
1460674203,2.151461,464
1460674204,2.040955,489
1460674205,2.051408,487
1460674206,2.077498,482
1460674207,1.938283,515
1460674208,1.939935,515
1460674209,1.900657,526
1460674210,1.974769,506
1460674211,1.898513,526
1460674212,1.860208,537
1460674213,1.951392,512
1460674214,1.835582,544
1460674215,1.944834,514
1460674216,1.881512,531
1460674217,1.893549,528
1460674218,2.002743,498
1460674219,1.955300,511
1460674220,1.939226,516
1460674221,1.893225,528
1460674222,1.862054,536
1460674223,1.859597,537
1460674224,1.858654,538
1460674225,2.312641,432
1460674226,2.574070,388
1460674227,2.185581,457
1460674228,2.185477,458
1460674229,2.219912,450
1460674230,2.498423,400
1460674231,2.221149,450
1460674232,2.253918,443
1460674233,2.253277,443
1460674234,2.279955,439
1460674235,2.234042,447
1460674236,1.911316,523
1460674237,1.990426,502
1460674238,1.934761,515
1460674239,2.059671,486
1460674240,1.935051,516
1460674241,2.101503,476
1460674242,2.048875,487
1460674243,2.010802,497
1460674244,2.037168,491
1460674245,2.031305,492
1460674246,2.069108,482
1460674247,2.033574,492
1460674248,2.002702,499
1460674249,2.094999,477
1460674250,2.034546,491
1460674251,1.945583,513
1460674252,1.878343,532
1460674253,1.927618,519
1460674254,2.039716,490
1460674255,1.997911,500
1460674256,1.951514,512
1460674257,2.081942,479
1460674258,2.143636,466
1460674259,2.208360,453
1460674260,2.180973,458
1460674261,2.152492,464
1460674262,2.142420,466
1460674263,2.144263,466
1460674264,2.199193,455
1460674265,2.135631,467
1460674266,2.086222,479
1460674267,1.922992,519
1460674268,1.897506,527
1460674269,2.046063,489
1460674270,1.887167,528
1460674271,1.929948,519
1460674272,1.929965,517
1460674273,1.875647,533
1460674274,1.959380,510
1460674275,1.894915,527
1460674276,1.887692,530
1460674277,1.869118,534
1460674278,1.868554,535
1460674279,1.898555,526
1460674280,1.893209,528
1460674281,1.903174,525
1460674282,1.854521,539
1460674283,1.867790,535
1460674284,1.922738,519
1460674285,2.237322,447
1460674286,2.259152,442
1460674287,2.473911,404
1460674288,2.250472,444
1460674289,2.245920,445
1460674290,2.231077,448
1460674291,2.229706,448
1460674292,2.212430,452
1460674293,2.250504,444
1460674294,2.134333,468
1460674295,1.937184,516
1460674296,1.890338,528
1460674297,1.954015,512
1460674298,1.997081,500
1460674299,2.018777,495
1460674300,1.898408,526
1460674301,2.149319,465
1460674302,2.144434,466
1460674303,2.072318,482
1460674304,2.143944,466
1460674305,2.211259,452
1460674306,2.055339,486
1460674307,2.062156,485
1460674308,2.100157,475
1460674309,2.101651,475
1460674310,2.130928,470
1460674311,1.956990,510
1460674312,2.051326,487
1460674313,1.979157,505
1460674314,2.558267,391
1460674315,1.936157,516
1460674316,1.979830,504
1460674317,2.068536,450
1460674318,2.873013,372
1460674319,2.152714,464
1460674320,2.141293,467
1460674321,2.256609,442
1460674322,2.262839,442
1460674323,2.231067,448
1460674324,2.221469,449
1460674325,2.289646,437
1460674326,2.419983,413
1460674327,2.051534,486
1460674328,2.024470,494
1460674329,1.960161,510
1460674330,1.926875,518
1460674331,1.978528,505
1460674332,1.926492,519
1460674333,1.901789,525
1460674334,1.999563,500
1460674335,1.919805,520
1460674336,1.901030,526
1460674337,1.935365,516
1460674338,1.970339,506
1460674339,1.938426,516
1460674340,1.986966,503
1460674341,1.937071,516
1460674342,1.870830,534
1460674343,1.885295,530
1460674344,1.856661,538
1460674345,2.195223,455
1460674346,2.305586,433
1460674347,2.435515,411
1460674348,2.345683,426
1460674349,2.406296,414
1460674350,2.406527,416
1460674351,2.479689,403
1460674352,2.337475,428
1460674353,2.398590,416
1460674354,2.427274,412
1460674355,1.983903,503
1460674356,1.999234,501
1460674357,1.970917,507
1460674358,2.261978,441
1460674359,1.840069,544
1460674360,1.863470,536
1460674361,2.063301,483
1460674362,2.019170,496
1460674363,1.999164,500
1460674364,2.079057,480
1460674365,2.033551,492
1460674366,2.086807,479
1460674367,2.073274,481
1460674368,2.103240,476
1460674369,1.961014,509
1460674370,1.945199,514
1460674371,1.958254,510
1460674372,1.894517,527
1460674373,1.890274,529
1460674374,1.957651,510
1460674375,1.931111,518
1460674376,1.901421,525
1460674377,2.076582,481
1460674378,2.212859,452
1460674379,2.385976,419
1460674380,2.119412,471
1460674381,2.089202,478
1460674382,2.036915,490
1460674383,2.032352,492
1460674384,2.025446,494
1460674385,2.017502,495
1460674386,1.990604,502
1460674387,2.002008,499
1460674388,1.952924,512
1460674389,1.896353,527
1460674390,1.848334,540
1460674391,1.903384,525
1460674392,1.918047,521
1460674393,1.852367,539
1460674394,1.900706,526
1460674395,1.878872,532
1460674396,1.872985,533
1460674397,1.904838,525
1460674398,1.892142,528
1460674399,1.911518,523
1460674400,1.995171,500
1460674401,1.938983,516
1460674402,1.875951,532
1460674403,1.894072,528
1460674404,1.926679,518
1460674405,2.144033,466
1460674406,2.261050,442
1460674407,2.420279,413
1460674408,2.152019,465
1460674409,2.200712,454
1460674410,2.222399,449
1460674411,2.180375,459
1460674412,2.244106,445
1460674413,2.393176,417
1460674414,2.460933,407
1460674415,2.028528,492
1460674416,1.906981,524
1460674417,1.855300,539
1460674418,1.915119,521
1460674419,1.921828,520
1460674420,1.906930,523
1460674421,2.112391,474
1460674422,2.138080,468
1460674423,2.093232,476
1460674424,2.176855,460
1460674425,2.133056,468
1460674426,2.213789,452
1460674427,2.193823,455
1460674428,2.088477,479
1460674429,2.062952,484
1460674430,2.046318,488
1460674431,1.986868,503
1460674432,1.878405,532
1460674433,1.904099,524
1460674434,2.129189,470
1460674435,1.892047,528
1460674436,2.058387,485
1460674437,2.035100,491
1460674438,2.108249,474
1460674439,2.220090,450
1460674440,2.120748,471
1460674441,2.045305,489
1460674442,2.060894,485
1460674443,2.013308,496
1460674444,1.934962,516
1460674445,1.971629,507
1460674446,2.013569,497
1460674447,1.933546,516
1460674448,1.863210,385
1460674449,3.065581,418
1460674450,1.860802,380
1460674451,3.150192,410
1460674452,1.836207,544
1460674453,1.844094,542
1460674454,1.838659,543
1460674455,1.852155,540
1460674456,1.861140,537
1460674457,1.857189,538
1460674458,1.886235,529
1460674459,1.862213,537
1460674460,1.834254,545
1460674461,1.870495,534
1460674462,1.916294,521
1460674463,1.820621,548
1460674464,1.850728,541
1460674465,2.048424,487
1460674466,2.179306,459
