unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1460673818,2.592202,421,421,14.95,72.29,14.73,75.44,12.68,66.42,14.12,71.38
1460673819,2.166615,460,881,18.05,84.20,18.29,85.44,14.84,72.91,17.06,80.85
1460673820,2.064579,484,1365,19.22,90.36,20.76,95.72,16.30,79.05,18.76,88.38
1460673821,2.558421,391,1756,20.78,98.55,21.78,104.02,17.37,81.42,19.98,94.66
1460673822,2.605701,384,2140,22.49,105.00,23.96,124.51,17.95,84.75,21.47,104.75
1460673823,2.610347,383,2523,23.36,111.14,24.12,124.51,18.37,90.90,21.95,108.85
1460673824,2.636423,379,2902,26.13,127.73,24.88,124.54,20.18,98.14,23.73,116.80
1460673825,2.587535,385,3287,27.49,127.36,25.35,124.59,20.46,104.44,24.43,118.80
1460673826,2.699985,371,3658,28.23,127.36,25.39,124.39,20.76,108.56,24.79,120.10
1460673827,2.738272,364,4022,28.98,127.40,25.37,124.39,20.90,119.10,25.08,123.63
1460673828,2.455111,408,4430,29.71,127.50,25.29,124.39,20.89,119.11,25.30,123.67
1460673829,2.191960,456,4886,30.72,127.52,25.59,124.39,20.51,119.11,25.61,123.67
1460673830,2.062231,484,5370,31.72,129.19,25.85,124.39,20.80,122.01,26.12,125.20
1460673831,1.953343,512,5882,34.32,136.52,28.04,135.54,22.50,125.44,28.29,132.50
1460673832,2.063000,484,6366,34.22,136.52,28.18,135.54,22.10,122.34,28.17,131.47
1460673833,1.977214,505,6871,34.62,146.82,29.60,140.05,22.13,124.68,28.78,137.18
1460673834,1.949411,513,7384,34.26,146.82,29.65,140.05,21.69,124.68,28.53,137.18
1460673835,2.032760,491,7875,33.91,144.68,30.02,140.05,21.29,124.68,28.41,136.47
1460673836,2.052270,487,8362,33.47,144.68,30.52,136.52,20.96,124.68,28.32,135.29
1460673837,2.115399,472,8834,33.13,144.68,30.94,136.52,20.65,124.68,28.24,135.29
1460673838,2.156588,464,9298,32.81,144.68,31.48,140.62,20.33,124.68,28.21,136.66
