second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
0,32.126296,15694,15694,2.82,22.98,10.913528,13709,13709,8.69,58.90,21.141397,4686,4686,8.53,57.69
1,33.440539,29408,45102,48.44,89.34,26.819587,21816,35525,59.08,159.42,32.549488,18152,22838,56.08,151.70
2,36.971451,26744,71846,87.23,98.56,56.417629,19569,55094,91.17,265.61,65.252098,16825,39663,93.10,254.15
3,37.407057,26738,98584,120.83,108.33,32.436042,36774,91868,105.47,409.43,30.004901,33406,73069,107.89,334.84
4,37.216242,26857,125441,149.15,116.98,24.943801,40352,132220,128.00,529.82,29.600422,33544,106613,128.31,536.56
5,38.181787,25635,151076,174.09,129.36,22.642719,44256,176476,150.34,736.03,27.666829,36311,142924,142.33,704.39
6,39.913518,25118,176194,193.96,138.27,35.491185,27989,204465,172.73,904.85,27.886120,35807,178731,157.10,833.34
7,39.472579,25397,201591,212.37,150.83,32.903141,30359,234824,190.99,1005.96,38.425696,26020,204751,168.53,903.58
8,40.457077,24158,225749,225.75,161.67,26.371810,38000,272824,208.16,1200.27,37.308165,26782,231533,176.27,1054.93
9,38.063722,25813,251562,239.42,172.73,22.900601,43456,316280,222.17,1342.30,26.152138,38185,269718,188.39,1191.06
10,41.459224,24427,275989,251.02,184.91,39.209022,25499,341779,235.26,1403.24,28.868924,34569,304287,194.18,1329.63
11,39.087963,24929,300918,260.24,193.23,28.523070,26431,368210,243.66,1450.43,24.893816,39530,343817,201.67,1395.29
12,42.130213,24253,325171,270.22,203.82,35.722476,34735,402945,256.46,1695.09,43.425707,23331,367148,206.42,1441.56
13,42.358834,22829,348000,278.09,209.38,24.214301,41403,444348,262.08,1701.63,44.951314,22188,389336,214.60,1667.30
14,38.305948,26696,374696,286.07,223.35,23.163019,43145,487493,268.28,1712.44,28.556857,35068,424404,221.70,1691.89
15,41.769841,23750,398446,293.29,229.75,24.025910,41522,529015,274.41,1807.63,25.354243,39487,463891,225.65,1699.64
16,44.348763,21892,420338,299.14,240.94,135.274961,7394,536409,277.42,1838.73,27.914473,35708,499599,230.24,1793.57
17,41.673865,24297,444635,303.81,251.14,23.979468,41554,577963,276.20,1858.92,24.643872,40486,540085,233.60,1811.34
18,42.589175,22815,467450,309.40,267.03,23.592367,42563,620526,282.19,1909.58,23.175676,4849,544934,236.18,1846.86
19,44.554925,22772,490222,313.79,271.24,20.045270,16950,637476,286.97,1906.23,61.850288,30481,575415,236.39,1857.43
20,43.842254,23045,513267,318.20,282.78,60.190527,27496,664972,294.15,1999.59,24.694771,40407,615822,239.48,1908.50
21,44.467484,22255,535522,321.51,290.17,24.429014,40928,705900,296.83,2000.83,24.785233,40308,656130,242.14,1907.11
22,41.381552,23928,559450,325.15,299.65,25.499693,38909,744809,297.96,2000.75,25.980058,3570,659700,247.01,2000.54
23,42.749555,22799,582249,328.71,308.08,26.521364,37916,782725,301.20,2020.56,56.044528,34037,693737,252.09,2002.91
24,45.954665,22200,604449,332.02,317.31,26.004942,38369,821094,303.68,2034.29,25.563549,38988,732725,253.82,2004.28
25,42.215356,23380,627829,334.70,329.10,27.348039,36578,857672,307.64,2085.86,30.228206,33067,765792,255.25,2027.24
26,40.990697,24040,651869,338.09,340.66,31.994079,31231,888903,308.11,2096.50,30.156865,31760,797552,256.99,2027.59
27,39.440199,25156,677025,341.68,346.28,23.655210,42151,931054,309.56,2186.01,30.645951,32449,830001,258.56,2039.14
28,41.216109,24121,701146,344.62,354.17,37.143639,26930,957984,310.96,2187.90,27.928917,28807,858808,261.29,2096.49
29,41.402726,23211,724357,347.29,368.80,39.103394,24895,982879,310.37,2188.94,0.000000,0,858808,262.33,2129.54
30,40.903847,24877,749234,350.44,371.89,101.332296,6825,989704,308.09,2189.38,91.028647,24560,883368,262.03,2152.63
31,41.684075,23477,772711,353.12,388.37,628.677740,2014,991718,303.11,2189.38,24.136992,19952,903320,263.29,2192.01
32,40.873452,24147,796858,355.68,391.02,419.589934,1002,992720,296.81,2189.38,75.217177,20191,923511,268.54,2302.63
33,42.653112,24182,821040,357.50,408.62,0.000000,0,992720,290.20,2189.38,25.653760,38522,962033,269.89,2303.34
34,42.305798,23995,845035,359.53,415.66,2032.130764,1000,993720,284.04,2189.38,30.776612,32824,994857,271.55,2296.60
35,44.463998,22490,867525,361.62,424.87,0.000000,0,993720,277.44,2189.38,25.076092,39765,1034622,273.77,2296.66
36,38.176469,25599,893124,363.43,433.71,1664.197317,2,993722,271.15,2189.38,24.205731,41319,1075941,276.07,2294.54
37,44.294120,22481,915605,365.39,438.63,0.000000,0,993722,265.08,2189.38,28.505232,34911,1110852,277.94,2306.38
38,38.577834,24720,940325,367.09,447.58,0.000000,0,993722,259.30,2189.47,36.525689,27309,1138161,279.60,2307.89
39,41.819935,24927,965252,369.26,457.41,0.000000,0,993722,253.84,2189.56,26.372319,37841,1176002,280.46,2313.10
40,40.384370,23714,988966,370.81,468.57,0.000000,0,993722,248.41,2191.73,27.580255,36298,1212300,282.09,2317.06
41,42.621867,24419,1013385,372.21,479.84,0.000000,0,993722,242.40,2191.69,26.705179,37283,1249583,282.32,2316.43
42,38.542864,25959,1039344,374.05,496.15,0.000000,0,993722,238.31,2191.74,27.282151,36610,1286193,283.89,2369.32
43,41.860096,22767,1062111,375.31,504.40,0.000000,0,993722,234.10,2191.85,29.160371,34141,1320334,284.59,2369.64
44,44.959373,20910,1083021,376.23,509.50,0.000000,0,993722,229.89,2191.90,31.807508,28242,1348576,285.54,2439.08
45,48.316511,22331,1105352,377.15,518.83,0.000000,0,993722,226.03,2191.90,35.724421,30799,1379375,285.99,2467.85
46,43.613624,22502,1127854,378.08,532.65,0.000000,0,993722,222.03,2191.90,25.854548,21824,1401199,286.67,2509.38
47,40.852346,24727,1152581,379.48,541.62,0.000000,0,993722,217.96,2192.60,0.000000,0,1401199,286.36,2533.58
48,43.423281,22621,1175202,380.51,555.43,0.000000,0,993722,214.23,2192.60,145.694732,16730,1417929,285.53,2548.65
49,43.032353,21440,1196642,380.92,558.97,0.000000,0,993722,210.59,2192.60,31.383438,31806,1449735,286.15,2567.06
50,46.567768,23396,1220038,381.33,565.00,0.000000,0,993722,206.85,2192.60,30.968060,30307,1480042,286.28,2582.13
51,45.041800,20591,1240629,382.09,575.86,0.000000,0,993722,204.24,2192.61,29.953583,34535,1514577,286.99,2593.56
52,49.115958,21980,1262609,382.76,585.46,0.000000,0,993722,201.46,2192.62,31.867950,31968,1546545,287.67,2611.81
53,45.719384,19613,1282222,383.05,591.47,0.000000,0,993722,198.66,2192.62,28.163128,8815,1555360,288.93,2683.86
54,38.880346,25301,1307523,384.20,602.82,0.000000,0,993722,195.96,2192.63,0.000000,0,1555360,293.01,2733.69
55,44.516241,24433,1331956,384.68,612.05,0.000000,0,993722,193.15,2192.63,175.406852,15681,1571041,296.28,2779.53
56,47.574821,20242,1352198,385.49,621.24,0.000000,0,993722,190.26,2192.80,41.138954,24363,1595404,295.06,2766.34
57,46.753427,22176,1374374,386.16,631.37,0.000000,0,993722,187.30,2192.86,29.331914,34145,1629549,295.77,2814.65
58,40.040827,23807,1398181,386.18,638.59,0.000000,0,993722,185.31,2117.82,27.412225,36313,1665862,296.03,2844.52
59,49.929786,20709,1418890,387.03,648.04,0.000000,0,993722,183.48,2122.23,28.825155,33128,1698990,296.50,2845.86
60,40.243520,21982,1440872,387.18,658.19,0.000000,0,993722,181.43,2122.39,26.753291,38830,1737820,297.62,2849.77
61,41.279911,26566,1467438,388.45,666.80,0.000000,0,993722,180.16,2122.48,32.459618,30992,1768812,298.23,2865.82
