unix_ts,NAME,STATE,PID,PPID,CPU,VM_RSS,VM_SIZE,FD,THREADS,CpuUsageFloat64,VmRSSBytes,VmSizeBytes
1460763071,java,R (running),18274,18264,0.00 %,3.8 MB,30 MB,64,1,0.00,3756000,30108000
1460763072,java,S (sleeping),18274,18264,49.00 %,54 MB,7.7 GB,64,32,49.00,53976000,7722844000
1460763073,java,S (sleeping),18274,18264,24.38 %,54 MB,7.7 GB,64,32,24.38,53976000,7722844000
1460763074,java,S (sleeping),18274,18264,16.61 %,54 MB,7.7 GB,64,32,16.61,53976000,7722844000
1460763075,java,S (sleeping),18274,18264,12.47 %,54 MB,7.7 GB,64,32,12.47,53976000,7722844000
1460763076,java,S (sleeping),18274,18264,9.98 %,54 MB,7.7 GB,64,32,9.98,53976000,7722844000
1460763077,java,S (sleeping),18274,18264,8.64 %,55 MB,7.7 GB,64,32,8.64,54676000,7722844000
1460763078,java,S (sleeping),18274,18264,52.71 %,142 MB,7.7 GB,128,32,52.71,141516000,7722844000
1460763079,java,S (sleeping),18274,18264,77.21 %,212 MB,7.7 GB,128,32,77.21,212512000,7722844000
1460763080,java,S (sleeping),18274,18264,93.58 %,250 MB,7.7 GB,256,32,93.58,250260000,7724892000
1460763081,java,S (sleeping),18274,18264,103.78 %,390 MB,7.7 GB,512,32,103.78,390372000,7724892000
1460763082,java,S (sleeping),18274,18264,114.58 %,431 MB,7.7 GB,512,32,114.58,430692000,7724892000
1460763083,java,S (sleeping),18274,18264,133.39 %,717 MB,7.7 GB,512,32,133.39,717196000,7724892000
1460763084,java,S (sleeping),18274,18264,147.36 %,719 MB,7.7 GB,512,32,147.36,719356000,7724892000
1460763085,java,S (sleeping),18274,18264,162.06 %,796 MB,7.7 GB,512,32,162.06,796384000,7724892000
1460763086,java,S (sleeping),18274,18264,173.02 %,969 MB,7.7 GB,512,32,173.02,968776000,7724892000
1460763087,java,S (sleeping),18274,18264,184.55 %,1.1 GB,7.7 GB,512,32,184.55,1125996000,7724892000
1460763088,java,S (sleeping),18274,18264,185.52 %,1.1 GB,7.7 GB,512,32,185.52,1126304000,7724892000
1460763089,java,S (sleeping),18274,18264,198.56 %,1.3 GB,7.8 GB,512,33,198.56,1257008000,7791456000
1460763090,java,S (sleeping),18274,18264,217.36 %,1.3 GB,7.8 GB,512,33,217.36,1262180000,7791456000
1460763091,java,S (sleeping),18274,18264,226.26 %,1.3 GB,7.8 GB,512,33,226.26,1264872000,7791456000
1460763092,java,S (sleeping),18274,18264,227.20 %,1.4 GB,7.8 GB,512,32,227.20,1378136000,7791456000
1460763093,java,S (sleeping),18274,18264,229.30 %,1.7 GB,7.8 GB,512,32,229.30,1691396000,7791456000
1460763094,java,S (sleeping),18274,18264,222.31 %,1.7 GB,7.8 GB,512,32,222.31,1691396000,7791456000
1460763095,java,S (sleeping),18274,18264,223.05 %,1.7 GB,7.8 GB,512,32,223.05,1691396000,7791456000
1460763096,java,S (sleeping),18274,18264,222.81 %,1.7 GB,7.8 GB,512,32,222.81,1691396000,7791456000
1460763097,java,S (sleeping),18274,18264,234.67 %,1.8 GB,7.8 GB,512,32,234.67,1809984000,7791456000
1460763098,java,S (sleeping),18274,18264,244.54 %,1.8 GB,7.8 GB,512,32,244.54,1810784000,7791456000
1460763099,java,S (sleeping),18274,18264,243.12 %,1.8 GB,7.8 GB,512,32,243.12,1810784000,7791456000
1460763100,java,S (sleeping),18274,18264,245.07 %,1.8 GB,7.8 GB,512,33,245.07,1810784000,7791456000
1460763101,java,S (sleeping),18274,18264,248.39 %,1.9 GB,7.8 GB,512,33,248.39,1861440000,7791456000
1460763102,java,S (sleeping),18274,18264,249.66 %,1.9 GB,7.8 GB,512,33,249.66,1859556000,7791456000
1460763103,java,S (sleeping),18274,18264,251.18 %,1.9 GB,7.8 GB,512,32,251.18,1859556000,7791456000
1460763104,java,S (sleeping),18274,18264,251.57 %,1.9 GB,7.8 GB,512,32,251.57,1917568000,7791456000
1460763105,java,S (sleeping),18274,18264,250.73 %,1.9 GB,7.8 GB,512,32,250.73,1917568000,7791456000
1460763106,java,S (sleeping),18274,18264,243.65 %,1.9 GB,7.8 GB,512,32,243.65,1917568000,7791456000
1460763107,java,S (sleeping),18274,18264,239.26 %,1.9 GB,7.8 GB,512,32,239.26,1917568000,7791456000
1460763108,java,S (sleeping),18274,18264,240.99 %,2.0 GB,7.8 GB,512,32,240.99,2038764000,7791456000
1460763109,java,S (sleeping),18274,18264,255.74 %,2.1 GB,7.8 GB,512,32,255.74,2074148000,7791456000
1460763110,java,S (sleeping),18274,18264,258.76 %,2.1 GB,7.8 GB,512,32,258.76,2075576000,7791456000
1460763111,java,S (sleeping),18274,18264,257.27 %,2.1 GB,7.8 GB,512,32,257.27,2075576000,7791456000
1460763112,java,S (sleeping),18274,18264,256.39 %,2.1 GB,7.8 GB,512,33,256.39,2075576000,7791456000
1460763113,java,S (sleeping),18274,18264,257.66 %,2.1 GB,7.8 GB,512,33,257.66,2074976000,7791456000
1460763114,java,S (sleeping),18274,18264,257.89 %,2.1 GB,7.8 GB,512,33,257.89,2074976000,7791456000
1460763115,java,S (sleeping),18274,18264,258.10 %,2.1 GB,7.8 GB,512,33,258.10,2074976000,7791456000
1460763116,java,S (sleeping),18274,18264,259.60 %,2.1 GB,7.8 GB,512,33,259.60,2080816000,7791456000
1460763117,java,S (sleeping),18274,18264,259.81 %,2.1 GB,7.8 GB,512,33,259.81,2080816000,7791456000
1460763118,java,S (sleeping),18274,18264,259.16 %,2.1 GB,7.8 GB,512,32,259.16,2080816000,7791456000
1460763119,java,S (sleeping),18274,18264,259.82 %,2.2 GB,7.8 GB,512,32,259.82,2160296000,7791456000
1460763120,java,S (sleeping),18274,18264,258.28 %,2.2 GB,7.8 GB,512,32,258.28,2160296000,7791456000
1460763121,java,S (sleeping),18274,18264,257.20 %,2.2 GB,7.8 GB,512,32,257.20,2160296000,7791456000
1460763122,java,S (sleeping),18274,18264,257.44 %,2.2 GB,7.8 GB,512,33,257.44,2169844000,7791456000
1460763123,java,S (sleeping),18274,18264,258.27 %,2.2 GB,7.8 GB,512,33,258.27,2169844000,7791456000
1460763124,java,S (sleeping),18274,18264,258.00 %,2.2 GB,7.8 GB,512,33,258.00,2169844000,7791456000
1460763125,java,S (sleeping),18274,18264,260.91 %,2.3 GB,7.8 GB,512,33,260.91,2297572000,7791456000
1460763126,java,S (sleeping),18274,18264,259.04 %,2.3 GB,7.8 GB,512,33,259.04,2297572000,7791456000
1460763127,java,S (sleeping),18274,18264,256.25 %,2.3 GB,7.8 GB,512,33,256.25,2297572000,7791456000
1460763128,java,S (sleeping),18274,18264,254.37 %,2.3 GB,7.8 GB,512,32,254.37,2297572000,7791456000
1460763129,java,S (sleeping),18274,18264,254.27 %,2.3 GB,7.8 GB,512,32,254.27,2305884000,7791456000
1460763130,java,S (sleeping),18274,18264,253.59 %,2.3 GB,7.8 GB,512,32,253.59,2305884000,7791456000
1460763131,java,S (sleeping),18274,18264,252.70 %,2.3 GB,7.8 GB,512,32,252.70,2305884000,7791456000
1460763132,java,S (sleeping),18274,18264,259.04 %,2.3 GB,7.8 GB,512,32,259.04,2347480000,7791456000
1460763133,java,S (sleeping),18274,18264,267.77 %,2.5 GB,7.8 GB,512,32,267.77,2459412000,7791456000
1460763134,java,S (sleeping),18274,18264,268.31 %,2.5 GB,7.8 GB,512,32,268.31,2461148000,7791456000
1460763135,java,S (sleeping),18274,18264,268.65 %,2.5 GB,7.8 GB,512,32,268.65,2510088000,7791456000
1460763136,java,S (sleeping),18274,18264,267.54 %,2.5 GB,7.8 GB,512,32,267.54,2510088000,7791456000
1460763137,java,S (sleeping),18274,18264,266.22 %,2.5 GB,7.8 GB,512,32,266.22,2510088000,7791456000
1460763138,java,S (sleeping),18274,18264,266.50 %,2.5 GB,7.8 GB,512,33,266.50,2481352000,7791456000
1460763139,java,S (sleeping),18274,18264,264.10 %,2.5 GB,7.8 GB,512,33,264.10,2481352000,7791456000
1460763140,java,S (sleeping),18274,18264,262.20 %,2.5 GB,7.9 GB,512,33,262.20,2482516000,7858020000
1460763141,java,S (sleeping),18274,18264,260.76 %,2.5 GB,7.9 GB,512,33,260.76,2482564000,7858020000
1460763142,java,S (sleeping),18274,18264,258.63 %,2.5 GB,7.9 GB,512,33,258.63,2482564000,7858020000
1460763143,java,S (sleeping),18274,18264,256.43 %,2.5 GB,7.9 GB,512,33,256.43,2482564000,7858020000
1460763144,java,S (sleeping),18274,18264,253.19 %,2.5 GB,7.9 GB,512,32,253.19,2482564000,7858020000
1460763145,java,S (sleeping),18274,18264,249.74 %,2.5 GB,7.9 GB,512,32,249.74,2482564000,7858020000
1460763146,java,S (sleeping),18274,18264,246.42 %,2.5 GB,7.9 GB,512,32,246.42,2482564000,7858020000
1460763147,java,S (sleeping),18274,18264,243.19 %,2.5 GB,7.9 GB,512,32,243.19,2482564000,7858020000
1460763148,java,S (sleeping),18274,18264,240.67 %,2.5 GB,7.9 GB,512,27,240.67,2482568000,7858020000
