unix_ts,avg_latency_ms,throughput
1460453926,1.913998,432
1460453927,1.854873,536
1460453928,1.829221,545
1460453929,1.879315,529
1460453930,1.865561,533
1460453931,1.871030,532
1460453932,1.839355,541
1460453933,1.825696,544
1460453934,1.862406,535
1460453935,1.845735,539
1460453936,1.893696,526
1460453937,1.854540,536
1460453938,1.874526,531
1460453939,1.855035,537
1460453940,1.869822,532
1460453941,1.919267,519
1460453942,1.948394,511
1460453943,1.888741,528
1460453944,1.896190,524
1460453945,1.967384,508
1460453946,1.979327,504
1460453947,2.193351,455
1460453948,2.431341,409
1460453949,2.335232,428
1460453950,2.364632,422
1460453951,2.343994,425
1460453952,2.294901,434
1460453953,2.525602,394
1460453954,2.564009,389
1460453955,2.592106,384
1460453956,2.649750,376
1460453957,2.152348,463
1460453958,2.234729,445
1460453959,2.212476,450
1460453960,2.221507,448
1460453961,2.234348,446
1460453962,2.345542,425
1460453963,1.948012,511
1460453964,1.983885,501
1460453965,1.926203,515
1460453966,1.910483,521
1460453967,1.899450,523
1460453968,1.905749,522
1460453969,1.875706,529
1460453970,1.846524,539
1460453971,1.942117,511
1460453972,1.899540,524
1460453973,1.922247,518
1460453974,1.914847,519
1460453975,1.903946,522
1460453976,1.870958,533
1460453977,1.901437,523
1460453978,1.920641,518
1460453979,2.007357,496
1460453980,1.892459,526
1460453981,1.850177,537
1460453982,1.904370,523
1460453983,1.859188,535
1460453984,1.969384,505
1460453985,1.930772,516
1460453986,1.948580,510
1460453987,1.820540,546
1460453988,1.881656,529
1460453989,1.902381,523
1460453990,1.838438,540
1460453991,1.842159,540
1460453992,1.810561,549
1460453993,1.856354,536
1460453994,1.860736,534
1460453995,1.930958,516
1460453996,1.852655,536
1460453997,1.866566,534
1460453998,1.825636,545
1460453999,1.893208,525
1460454000,1.858252,536
1460454001,2.049702,486
1460454002,1.901194,523
1460454003,1.887184,529
1460454004,1.913127,520
1460454005,1.925181,518
1460454006,1.910665,521
1460454007,2.202161,453
1460454008,2.385292,418
1460454009,2.268831,440
1460454010,2.358610,422
1460454011,2.372400,421
1460454012,2.310569,431
1460454013,2.464965,403
1460454014,2.580068,387
1460454015,2.778974,359
1460454016,2.670676,373
1460454017,2.316308,430
1460454018,2.387556,417
1460454019,2.388769,417
1460454020,2.343778,425
1460454021,2.379133,418
1460454022,2.150886,463
1460454023,1.959549,508
1460454024,1.892881,525
1460454025,1.961900,507
1460454026,1.929621,515
1460454027,1.884623,528
1460454028,1.946392,511
1460454029,1.874021,531
1460454030,1.888661,526
1460454031,1.984502,502
1460454032,1.901632,523
1460454033,1.833806,543
1460454034,1.882139,528
1460454035,1.873687,531
1460454036,1.870798,531
1460454037,1.888920,526
1460454038,1.875549,530
1460454039,1.853398,536
1460454040,1.845683,539
1460454041,1.948138,510
1460454042,1.864265,533
1460454043,1.894343,525
1460454044,1.865142,534
1460454045,1.849087,538
1460454046,1.889808,526
1460454047,1.885598,528
1460454048,1.909124,521
1460454049,1.877338,529
1460454050,1.869274,532
1460454051,1.903037,522
1460454052,1.837756,541
1460454053,1.858339,535
1460454054,1.845878,539
1460454055,1.909250,521
1460454056,1.868693,531
1460454057,1.884482,528
1460454058,1.838831,541
1460454059,1.878092,530
1460454060,1.859715,535
1460454061,1.980326,501
1460454062,1.973922,505
1460454063,1.964686,507
1460454064,1.987752,502
1460454065,1.913976,520
1460454066,1.941894,514
1460454067,2.238584,445
1460454068,2.313458,431
1460454069,2.337631,427
1460454070,2.245703,444
1460454071,2.256634,441
1460454072,2.231191,446
1460454073,2.431371,410
1460454074,2.512592,397
1460454075,2.518907,396
1460454076,2.478965,401
1460454077,2.144168,465
1460454078,2.099158,475
1460454079,2.212299,450
1460454080,2.112637,471
1460454081,2.129375,467
1460454082,2.233318,444
1460454083,2.031374,492
1460454084,1.920643,518
1460454085,1.855858,535
1460454086,1.858591,536
1460454087,1.856133,536
1460454088,1.841145,541
1460454089,1.917562,519
1460454090,1.843025,540
1460454091,1.858294,536
1460454092,1.853315,537
1460454093,1.843491,540
1460454094,1.889675,527
1460454095,1.907301,522
1460454096,1.869763,532
1460454097,1.875511,531
1460454098,1.834215,543
1460454099,1.890951,526
1460454100,2.020983,492
1460454101,1.861166,534
1460454102,1.933429,514
1460454103,1.877287,530
1460454104,1.881141,528
1460454105,1.856388,537
1460454106,1.953493,510
1460454107,1.834094,542
1460454108,1.962227,507
1460454109,1.925992,516
1460454110,1.858834,535
1460454111,1.850031,538
1460454112,1.949697,510
1460454113,1.868083,532
1460454114,1.891461,526
1460454115,1.860433,534
1460454116,1.830742,543
1460454117,1.826458,545
1460454118,1.842830,540
1460454119,1.847401,538
1460454120,1.875677,532
1460454121,1.953629,509
1460454122,1.881464,530
1460454123,1.884933,528
1460454124,1.914159,521
1460454125,1.869825,534
1460454126,1.878739,530
1460454127,2.271153,439
1460454128,2.383128,419
1460454129,2.368253,421
1460454130,2.287207,436
1460454131,2.290861,435
1460454132,2.341794,425
1460454133,2.578868,386
1460454134,2.707059,368
1460454135,2.627955,378
1460454136,2.509200,397
1460454137,2.263454,439
1460454138,2.263310,440
1460454139,2.151400,463
1460454140,2.227251,446
1460454141,2.210511,452
1460454142,2.253499,441
1460454143,1.993504,501
1460454144,1.855554,536
1460454145,1.882792,529
1460454146,1.869138,533
1460454147,1.890407,527
1460454148,1.822557,545
1460454149,1.970386,505
1460454150,1.847578,539
1460454151,1.835668,542
1460454152,1.897338,525
1460454153,1.861802,535
1460454154,1.827479,544
1460454155,1.894871,525
1460454156,1.868711,532
1460454157,1.849174,538
1460454158,1.837943,541
1460454159,1.843990,540
1460454160,1.874559,530
1460454161,1.878769,529
1460454162,1.952864,509
1460454163,1.853763,536
1460454164,1.904694,522
1460454165,1.930617,515
1460454166,1.916186,519
1460454167,1.884985,528
1460454168,1.883860,527
1460454169,1.836907,543
1460454170,1.840734,540
1460454171,1.856814,531
1460454172,1.906398,526
1460454173,1.861431,534
1460454174,1.841082,540
1460454175,1.863703,534
1460454176,1.848024,538
1460454177,1.876894,531
1460454178,1.888328,525
1460454179,1.835129,544
1460454180,2.179934,457
1460454181,1.915117,520
1460454182,1.981731,503
1460454183,1.901192,524
1460454184,1.884524,529
1460454185,1.879490,530
1460454186,1.957216,509
1460454187,2.229271,447
1460454188,2.319389,430
1460454189,2.304615,432
1460454190,2.367317,421
1460454191,2.299287,434
1460454192,2.300997,433
1460454193,2.456211,406
1460454194,2.719187,366
1460454195,2.644790,377
1460454196,2.610954,382
1460454197,2.226096,447
1460454198,2.195340,454
1460454199,2.203388,452
1460454200,2.140300,466
1460454201,2.189054,453
1460454202,2.166408,461
1460454203,2.010297,495
1460454204,1.906890,522
1460454205,1.950360,510
1460454206,1.856650,536
1460454207,1.904656,522
1460454208,1.885262,528
1460454209,1.845180,539
1460454210,1.875558,531
1460454211,1.917958,519
1460454212,1.866470,533
1460454213,1.816327,548
1460454214,1.902600,522
1460454215,1.847414,539
1460454216,1.879267,530
1460454217,1.824051,545
1460454218,1.884068,528
1460454219,1.887355,528
1460454220,1.867986,532
1460454221,1.856036,536
1460454222,2.003614,496
1460454223,1.846505,539
1460454224,1.836794,541
1460454225,1.834832,542
1460454226,2.023389,492
1460454227,1.956396,509
1460454228,1.952950,509
1460454229,1.902485,523
1460454230,1.903698,523
1460454231,1.865356,533
1460454232,1.860669,534
1460454233,1.893041,526
1460454234,1.899894,524
1460454235,1.846686,539
1460454236,1.951634,510
1460454237,1.917788,518
1460454238,1.861634,535
1460454239,1.855765,536
1460454240,1.880726,529
1460454241,1.918821,518
1460454242,1.924534,518
1460454243,1.896751,526
1460454244,1.887968,527
1460454245,1.911471,522
1460454246,1.899441,525
1460454247,2.259975,441
1460454248,2.325136,429
1460454249,2.320940,430
1460454250,2.485713,401
1460454251,2.279316,438
1460454252,2.305365,432
1460454253,2.517644,396
1460454254,2.617447,381
1460454255,2.578399,386
1460454256,2.551867,391
1460454257,2.225634,447
1460454258,2.231457,447
1460454259,2.220689,448
1460454260,2.232317,446
1460454261,2.246814,443
1460454262,2.229534,447
1460454263,1.957753,508
1460454264,1.918270,518
1460454265,1.913192,521
1460454266,1.914280,519
1460454267,1.827207,545
1460454268,1.889750,526
1460454269,1.896612,525
1460454270,1.929762,516
1460454271,1.927601,516
1460454272,1.879642,529
1460454273,1.921579,518
1460454274,1.920140,518
1460454275,1.874821,530
1460454276,1.893966,525
1460454277,1.900729,522
1460454278,1.943338,513
1460454279,1.912480,521
1460454280,1.909350,521
1460454281,1.913793,521
1460454282,2.025341,491
1460454283,1.888399,527
1460454284,1.879921,530
1460454285,1.920939,518
1460454286,1.983009,500
1460454287,1.928931,518
1460454288,1.881279,528
1460454289,1.911965,521
1460454290,1.952798,509
1460454291,1.933016,515
1460454292,1.888045,526
1460454293,1.881583,529
1460454294,1.856490,535
1460454295,1.925436,517
1460454296,1.927407,516
1460454297,1.951238,509
1460454298,1.897660,524
1460454299,1.894950,525
1460454300,1.998445,497
1460454301,1.976634,503
1460454302,2.063656,483
1460454303,1.971149,504
1460454304,1.990341,501
1460454305,2.050336,486
1460454306,1.912577,521
1460454307,2.235185,446
1460454308,2.416484,413
1460454309,2.485467,401
1460454310,2.513054,397
1460454311,2.499544,399
1460454312,2.380549,418
1460454313,2.585815,384
1460454314,2.767118,361
1460454315,2.647216,376
1460454316,2.789565,357
1460454317,2.475089,403
1460454318,2.378341,419
1460454319,2.172028,458
1460454320,2.293543,434
1460454321,2.237812,445
1460454322,2.273823,438
1460454323,2.006984,496
1460454324,1.905951,522
1460454325,1.871496,532
1460454326,1.869036,532
1460454327,1.912639,520
1460454328,1.881593,529
1460454329,1.939091,513
1460454330,1.895824,524
1460454331,2.006127,495
1460454332,1.891380,527
1460454333,1.863535,534
1460454334,1.913361,520
1460454335,1.932787,515
1460454336,1.955195,510
1460454337,1.921477,517
1460454338,1.874420,530
1460454339,1.893042,525
1460454340,1.822854,545
1460454341,1.905268,522
1460454342,1.868488,533
1460454343,1.897413,525
1460454344,1.887989,526
1460454345,1.897961,525
1460454346,1.973882,504
1460454347,1.894809,524
1460454348,1.888849,528
1460454349,1.891723,526
1460454350,1.914006,520
1460454351,1.942932,512
1460454352,1.885373,528
1460454353,1.891180,526
1460454354,1.913958,519
1460454355,1.881370,529
1460454356,1.944646,512
1460454357,1.925550,517
1460454358,1.868130,533
1460454359,1.849335,537
1460454360,1.869242,533
1460454361,1.900074,523
1460454362,1.919711,519
1460454363,1.913015,522
1460454364,1.923187,518
1460454365,1.923100,518
1460454366,1.942925,513
1460454367,2.191828,455
1460454368,2.421909,412
1460454369,2.372420,420
1460454370,2.354006,423
1460454371,2.375328,420
1460454372,2.423379,411
1460454373,2.510088,397
1460454374,2.666079,373
1460454375,2.778531,358
1460454376,2.722411,367
1460454377,2.266445,439
1460454378,2.298677,434
1460454379,2.273349,438
1460454380,2.162368,461
1460454381,2.267300,439
1460454382,2.270238,438
1460454383,2.009017,495
1460454384,1.963695,506
1460454385,1.890756,527
1460454386,1.896611,525
1460454387,1.859485,535
1460454388,1.856966,536
1460454389,1.994945,498
1460454390,1.895118,525
1460454391,1.932698,515
1460454392,1.897702,524
1460454393,1.903040,523
1460454394,1.882085,528
1460454395,1.950170,511
1460454396,1.886618,528
1460454397,1.901122,523
1460454398,1.967086,506
1460454399,1.904302,523
1460454400,1.987685,501
1460454401,1.931348,515
1460454402,1.887053,527
1460454403,1.940523,514
1460454404,1.911846,520
1460454405,1.948384,511
1460454406,1.910232,521
1460454407,1.896702,525
1460454408,1.887613,527
1460454409,1.898021,525
1460454410,1.867826,532
1460454411,1.945692,512
1460454412,1.863622,533
1460454413,1.874267,531
1460454414,1.861566,534
1460454415,1.890101,526
1460454416,1.922767,517
1460454417,1.856054,536
1460454418,1.901086,524
