second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot,throughput_zookeeper_v3.4.8_snapshot,cumulative_throughput_zookeeper_v3.4.8_snapshot,avg_cpu_zookeeper_v3.4.8_snapshot,avg_memory_mb_zookeeper_v3.4.8_snapshot,avg_latency_ms_zookeeper_v3.4.8_nosnapshot,throughput_zookeeper_v3.4.8_nosnapshot,cumulative_throughput_zookeeper_v3.4.8_nosnapshot,avg_cpu_zookeeper_v3.4.8_nosnapshot,avg_memory_mb_zookeeper_v3.4.8_nosnapshot,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
0,39.719023,5150,5150,2.91,20.00,381.357867,589,589,3.05,26.30,12.832287,8267,8267,8.39,58.38,12.294019,16622,16622,61.91,157.00,87.174522,3905,3905,2.06,16.64
1,33.721204,27291,32441,54.28,121.42,53.171704,24182,24771,16.27,59.87,69.824004,13065,21332,62.07,170.42,9.145868,28824,45446,96.23,240.39,105.778284,9787,13692,31.50,51.96
2,40.462637,22147,54588,99.38,176.79,33.383572,29489,54260,57.02,77.31,39.482069,27815,49147,90.32,211.98,30.281766,27228,72674,113.41,311.74,105.237888,9536,23228,53.56,69.22
3,45.092375,20312,74900,137.86,269.25,33.187995,29913,84173,91.64,89.27,28.115333,35452,84599,109.42,317.15,36.280905,34156,106830,131.23,456.15,104.353974,9633,32861,73.60,90.14
4,53.517464,17431,92331,171.81,389.41,35.630640,27984,112157,122.47,98.26,28.430898,35371,119970,132.47,432.43,28.341643,40024,146854,147.07,536.73,109.422231,9056,41917,88.82,97.82
5,56.350187,15227,107558,197.73,419.43,34.880443,28102,140259,147.32,109.51,25.386769,39344,159314,149.04,535.59,22.762620,43686,190540,166.19,689.48,109.612574,9180,51097,101.38,118.07
6,533.722616,947,108505,199.71,539.88,36.069547,27581,167840,169.66,119.75,24.092276,41320,200634,166.77,732.96,28.099338,35557,226097,179.39,845.85,105.218514,9553,60650,112.32,136.52
7,359.058470,1590,110095,189.77,539.93,35.905151,27866,195706,188.65,131.86,25.557860,39258,239892,177.83,837.76,21.951151,45246,271343,194.15,914.50,112.767406,8845,69495,122.05,128.99
8,307.657424,1151,111246,180.94,540.02,36.217051,27331,223037,205.04,141.28,23.416680,42264,282156,191.38,888.03,22.752562,44126,315469,208.03,916.38,105.557075,9448,78943,129.67,148.43
9,560.592614,1046,112292,180.54,586.59,33.543052,28639,251676,219.96,151.61,29.585834,33959,316115,201.12,985.35,21.752154,45792,361261,222.34,1239.46,107.883632,9181,88124,137.14,170.14
10,385.623212,1287,113579,172.85,586.59,38.603190,25980,277656,233.75,161.55,25.627048,39009,355124,211.67,1125.69,45.479819,22037,383298,233.10,1294.82,104.175043,9472,97596,143.78,190.86
11,406.521907,1175,114754,166.09,586.83,39.117142,25643,303299,243.87,171.46,51.286443,19572,374696,216.18,1285.46,26.919778,16123,399421,230.25,1295.17,104.647306,9664,107260,149.60,212.35
12,435.795342,1442,116196,160.05,586.83,37.106384,26201,329500,253.76,181.38,54.578440,18268,392964,222.19,1314.27,31.170024,50161,449582,244.78,1380.36,111.421666,8931,116191,154.39,230.93
13,336.468711,1348,117544,154.95,586.83,38.047535,26496,355996,262.75,189.26,23.035883,43364,436328,231.84,1361.46,21.353192,46736,496318,252.12,1399.90,103.808298,9797,125988,158.83,251.53
14,386.272350,1151,118695,149.99,586.91,36.161022,27254,383250,271.57,201.09,22.808261,43854,480182,239.21,1381.65,22.546675,44138,540456,255.17,1410.13,111.796712,8790,134778,163.49,218.13
15,588.549667,906,119601,145.12,586.98,36.416935,26528,409778,279.76,210.88,22.920940,43359,523541,245.18,1455.25,26.577798,9871,550327,260.92,1700.78,108.717383,9051,143829,166.58,235.50
16,271.019159,1128,120729,141.07,586.98,37.842125,26412,436190,286.68,221.64,22.380004,12173,535714,251.94,1695.46,47.181025,36964,587291,258.77,1717.28,106.896961,9549,153378,170.38,256.10
17,588.494771,1219,121948,141.62,587.13,37.331190,26908,463098,293.00,229.66,47.043931,36791,572505,253.98,1708.29,19.466473,51129,638420,261.18,1718.27,112.581483,8921,162299,172.93,275.95
18,223.083682,1289,123237,140.77,604.73,35.298467,26415,489513,299.47,243.14,24.982035,39869,612374,260.03,1708.29,20.526085,34278,672698,264.66,1717.70,109.452808,9108,171407,175.99,296.08
19,486.535214,579,123816,136.94,604.73,41.088411,24767,514280,304.91,250.55,25.940865,30139,642513,263.99,1709.31,79.783430,16258,688956,270.05,1789.14,101.575304,9938,181345,178.65,317.99
20,593.007783,188,124004,132.86,604.73,40.290979,25293,539573,309.03,261.01,111.398530,10913,653426,271.80,1791.34,20.759217,47875,736831,276.07,1802.51,107.971778,9114,190459,181.47,339.48
21,1518.576557,322,124326,128.69,604.73,39.382223,25203,564776,313.07,268.88,22.876840,43478,696904,274.58,1791.94,19.773080,49596,786427,278.65,1807.09,112.022366,9024,199483,183.40,355.94
22,1164.577209,26,124352,124.49,604.73,36.386133,27067,591843,318.36,278.10,26.530130,37672,734576,277.09,1795.61,26.821629,36021,822448,280.42,1807.09,105.833359,9484,208967,185.42,374.83
23,1672.121191,42,124394,120.48,604.73,39.032355,25172,617015,322.04,288.21,25.258978,39548,774124,280.33,1796.29,22.409755,46813,869261,281.72,1875.58,106.582173,8822,217789,187.68,395.63
24,1408.881443,6,124400,116.69,604.73,39.146103,25716,642731,325.63,296.47,31.003305,32237,806361,283.70,1825.80,22.604253,44093,913354,283.36,1876.97,107.239705,9619,227408,189.35,414.91
25,0.000000,0,124400,113.12,604.73,38.738718,24799,667530,328.79,305.75,23.999967,41697,848058,285.77,1856.71,22.390906,44686,958040,284.50,1879.77,105.653934,9315,236723,191.22,433.47
26,0.000000,0,124400,109.73,604.73,37.824401,27143,694673,332.97,319.19,30.620098,31369,879427,287.36,1856.71,18.819864,39538,997578,286.49,1922.40,97.934097,10631,247354,193.39,455.20
27,0.000000,0,124400,106.54,605.64,38.203497,25407,720080,336.39,326.22,24.120827,42962,922389,290.47,1896.76,0.000000,0,997578,287.57,1962.87,108.413944,9152,256506,195.05,477.17
28,0.000000,0,124400,103.56,607.03,43.473052,22934,743014,338.55,334.95,22.713282,40985,963374,293.58,1896.76,1191.475675,1468,,,,101.847457,9801,266307,197.02,387.93
29,0.000000,0,124400,100.71,607.03,44.717107,22272,765286,340.47,343.22,0.000000,0,963374,295.13,1937.00,,,,,,108.060448,9308,275615,198.83,412.42
30,0.000000,0,124400,98.04,607.03,41.633269,24176,789462,342.22,350.19,124.173259,16599,979973,293.72,1938.62,,,,,,117.573464,8566,284181,199.96,432.10
31,0.000000,0,124400,95.50,607.03,38.235963,25791,815253,345.05,358.33,19.185419,14034,994007,294.81,1994.22,,,,,,113.357914,8742,292923,200.82,449.66
32,0.000000,0,124400,93.10,607.03,40.005307,24455,839708,347.78,365.65,289.885772,5648,999655,301.35,2054.45,,,,,,93.100544,10797,303720,201.84,462.48
33,0.000000,0,124400,90.81,607.03,41.600264,24282,863990,349.56,376.69,1650.431981,18,,,,,,,,,111.117902,8999,312719,203.35,485.35
34,0.000000,0,124400,88.64,607.03,41.860025,23973,887963,351.73,388.29,,,,,,,,,,,111.528478,8933,321652,204.34,512.28
35,0.000000,0,124400,86.57,607.03,35.050415,26380,914343,354.21,396.25,,,,,,,,,,,99.970594,9718,331370,205.30,523.50
36,0.000000,0,124400,84.59,607.03,40.748274,25323,939666,356.20,405.69,,,,,,,,,,,111.253795,9317,340687,206.39,540.07
37,0.000000,0,124400,82.71,607.04,41.789220,22564,962230,357.50,415.59,,,,,,,,,,,126.112549,7738,348425,207.39,565.85
38,0.000000,0,124400,80.90,607.04,38.806926,27310,989540,359.66,422.76,,,,,,,,,,,96.139712,10527,358952,207.95,578.15
39,0.000000,0,124400,79.18,607.04,40.841134,10460,,,,,,,,,,,,,,116.120816,8642,367594,208.93,596.86
40,0.000000,0,124400,77.54,607.04,,,,,,,,,,,,,,,,105.415138,8753,376347,209.47,616.73
41,0.000000,0,124400,75.96,607.04,,,,,,,,,,,,,,,,112.501505,9525,385872,210.04,632.09
42,0.000000,0,124400,74.43,607.04,,,,,,,,,,,,,,,,123.221898,8036,393908,211.37,655.93
43,0.000000,0,124400,72.98,607.04,,,,,,,,,,,,,,,,95.872954,10725,404633,211.96,667.63
44,0.000000,0,124400,71.58,607.04,,,,,,,,,,,,,,,,112.596837,8832,413465,212.88,689.19
45,0.000000,0,124400,70.25,607.04,,,,,,,,,,,,,,,,95.856536,10244,423709,213.60,706.45
46,0.000000,0,124400,68.95,607.04,,,,,,,,,,,,,,,,129.809571,7609,431318,214.50,724.54
47,0.000000,0,124400,67.70,607.04,,,,,,,,,,,,,,,,128.104722,7868,439186,214.41,736.55
48,0.000000,0,124400,66.50,607.04,,,,,,,,,,,,,,,,140.563088,7110,446296,214.86,756.99
49,0.000000,0,124400,65.35,608.94,,,,,,,,,,,,,,,,121.933941,8128,454424,214.72,770.11
50,0.000000,0,124400,64.22,608.94,,,,,,,,,,,,,,,,138.912836,7206,461630,215.19,791.84
51,0.000000,0,124400,63.15,608.94,,,,,,,,,,,,,,,,125.483593,8161,469791,214.62,796.44
52,0.000000,0,124400,62.10,608.94,,,,,,,,,,,,,,,,120.981513,7006,476797,214.76,825.30
53,0.000000,0,124400,61.09,608.94,,,,,,,,,,,,,,,,148.102412,7515,484312,215.09,831.74
54,0.000000,0,124400,60.12,608.94,,,,,,,,,,,,,,,,120.873913,8471,492783,215.22,845.09
55,0.000000,0,124400,59.18,608.94,,,,,,,,,,,,,,,,140.938718,7016,499799,215.48,865.82
56,0.000000,0,124400,58.28,608.94,,,,,,,,,,,,,,,,104.083593,9924,509723,215.31,872.59
57,0.000000,0,124400,57.38,608.94,,,,,,,,,,,,,,,,121.730402,8128,517851,215.94,901.43
58,0.000000,0,124400,56.52,608.94,,,,,,,,,,,,,,,,98.004340,10024,527875,216.39,693.78
59,0.000000,0,124400,55.69,609.29,,,,,,,,,,,,,,,,122.887194,8340,536215,216.80,717.90
60,392.140339,1099,125499,54.98,609.29,,,,,,,,,,,,,,,,95.175591,10485,546700,217.25,734.51
61,49.304336,15650,141149,58.75,609.66,,,,,,,,,,,,,,,,124.186468,7877,554577,217.93,758.29
62,62.063531,16987,158136,65.00,637.71,,,,,,,,,,,,,,,,106.201642,9625,564202,218.06,775.48
63,69.517042,13340,171476,71.72,719.68,,,,,,,,,,,,,,,,115.292773,8659,572861,218.33,791.03
64,77.920278,10396,181872,77.87,802.75,,,,,,,,,,,,,,,,103.205584,9808,582669,218.66,812.33
65,78.170173,14527,196399,84.19,848.60,,,,,,,,,,,,,,,,99.736383,9714,592383,218.96,824.47
66,85.493937,11655,208054,90.14,968.48,,,,,,,,,,,,,,,,124.689098,8153,600536,219.40,848.72
67,68.961166,13848,221902,96.61,1028.21,,,,,,,,,,,,,,,,95.295467,10475,611011,219.89,864.82
