unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1460455429,381.357867,589,589,3.61,29.24,2.71,24.79,2.83,24.86,3.05,26.30
1460455430,53.171704,24182,24771,17.72,62.43,14.71,59.16,16.38,58.01,16.27,59.87
1460455431,33.383572,29489,54260,62.41,79.13,52.16,76.50,56.48,76.29,57.02,77.31
1460455432,33.187995,29913,84173,101.63,90.97,84.05,88.13,89.25,88.72,91.64,89.27
1460455433,35.630640,27984,112157,135.63,99.66,112.33,98.17,119.46,96.94,122.47,98.26
1460455434,34.880443,28102,140259,163.04,111.90,135.41,109.61,143.52,107.03,147.32,109.51
1460455435,36.069547,27581,167840,188.32,119.18,155.06,121.97,165.59,118.10,169.66,119.75
1460455436,35.905151,27866,195706,210.03,132.00,171.65,130.45,184.27,133.12,188.65,131.86
1460455437,36.217051,27331,223037,230.07,140.18,186.97,141.30,198.08,142.36,205.04,141.28
1460455438,33.543052,28639,251676,247.71,153.76,201.12,152.64,211.04,148.42,219.96,151.61
1460455439,38.603190,25980,277656,263.20,164.31,213.37,162.52,224.69,157.83,233.75,161.55
1460455440,39.117142,25643,303299,274.99,175.22,222.83,169.94,233.80,169.22,243.87,171.46
1460455441,37.106384,26201,329500,285.56,185.06,232.77,181.18,242.96,177.89,253.76,181.38
1460455442,38.047535,26496,355996,297.39,190.64,241.09,189.64,249.76,187.49,262.75,189.26
1460455443,36.161022,27254,383250,308.47,203.25,248.39,201.06,257.86,198.96,271.57,201.09
1460455444,36.416935,26528,409778,318.53,213.42,257.49,210.96,263.25,208.27,279.76,210.88
1460455445,37.842125,26412,436190,327.43,223.27,262.58,223.66,270.04,217.99,286.68,221.64
1460455446,37.331190,26908,463098,335.39,232.11,268.59,229.79,275.02,227.07,293.00,229.66
1460455447,35.298467,26415,489513,343.87,246.28,275.60,239.66,278.95,243.47,299.47,243.14
1460455448,41.088411,24767,514280,348.84,253.15,281.13,248.34,284.77,250.16,304.91,250.55
1460455449,40.290979,25293,539573,353.23,264.22,285.11,260.31,288.74,258.51,309.03,261.01
1460455450,39.382223,25203,564776,358.37,266.70,288.49,270.48,292.36,269.47,313.07,268.88
1460455451,36.386133,27067,591843,364.73,279.82,294.07,278.76,296.27,275.73,318.36,278.10
1460455452,39.032355,25172,617015,370.47,292.57,296.42,282.30,299.24,289.75,322.04,288.21
1460455453,39.146103,25716,642731,375.56,299.74,299.71,293.59,301.63,296.07,325.63,296.47
1460455454,38.738718,24799,667530,380.71,309.33,302.05,304.63,303.60,303.29,328.79,305.75
1460455455,37.824401,27143,694673,385.72,321.58,306.85,316.26,306.35,319.74,332.97,319.19
1460455456,38.203497,25407,720080,389.97,328.32,310.01,328.04,309.20,322.29,336.39,326.22
1460455457,43.473052,22934,743014,392.59,337.46,311.91,336.48,311.16,330.91,338.55,334.95
1460455458,44.717107,22272,765286,394.86,341.48,314.10,342.60,312.46,345.57,340.47,343.22
1460455459,41.633269,24176,789462,397.67,353.52,315.14,348.67,313.85,348.38,342.22,350.19
1460455460,38.235963,25791,815253,400.97,355.44,318.18,361.96,316.01,357.60,345.05,358.33
1460455461,40.005307,24455,839708,405.22,371.29,321.13,364.27,317.00,361.40,347.78,365.65
1460455462,41.600264,24282,863990,408.95,374.79,321.57,380.36,318.15,374.92,349.56,376.69
1460455463,41.860025,23973,887963,412.15,389.24,322.69,388.93,320.35,386.69,351.73,388.29
1460455464,35.050415,26380,914343,415.22,396.05,325.11,398.93,322.29,393.78,354.21,396.25
1460455465,40.748274,25323,939666,418.20,403.49,326.66,405.28,323.74,408.29,356.20,405.69
1460455466,41.789220,22564,962230,421.64,421.75,326.73,413.08,324.14,411.95,357.50,415.59
1460455467,38.806926,27310,989540,424.65,427.90,328.44,420.25,325.90,420.12,359.66,422.76
1460455468,40.841134,10460,,,,,,,,,
