unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1460457432,12.832287,8267,8267,7.73,55.07,7.98,65.57,9.47,54.51,8.39,58.38
1460457433,69.824004,13065,21332,50.22,147.95,76.31,156.68,59.69,206.64,62.07,170.42
1460457434,39.482069,27815,49147,67.60,170.18,114.06,237.53,89.29,228.24,90.32,211.98
1460457435,28.115333,35452,84599,79.87,250.65,145.96,389.97,102.44,310.84,109.42,317.15
1460457436,28.430898,35371,119970,96.01,390.92,180.87,455.11,120.54,451.25,132.47,432.43
1460457437,25.386769,39344,159314,105.06,432.39,212.96,691.62,129.10,482.75,149.04,535.59
1460457438,24.092276,41320,200634,117.52,699.96,237.12,744.97,145.68,753.94,166.77,732.96
1460457439,25.557860,39258,239892,123.01,699.96,259.86,1059.37,150.61,753.94,177.83,837.76
1460457440,23.416680,42264,282156,135.04,776.56,275.42,1059.37,163.68,828.17,191.38,888.03
1460457441,29.585834,33959,316115,141.70,894.28,293.21,1137.33,168.44,924.45,201.12,985.35
1460457442,25.627048,39009,355124,152.41,1092.53,304.22,1147.57,178.38,1136.98,211.67,1125.69
1460457443,51.286443,19572,374696,152.34,1092.53,319.08,1626.86,177.13,1136.98,216.18,1285.46
1460457444,54.578440,18268,392964,156.00,1178.31,332.01,1627.52,178.57,1136.98,222.19,1314.27
1460457445,23.035883,43364,436328,173.14,1201.27,325.49,1627.52,196.90,1255.58,231.84,1361.46
1460457446,22.808261,43854,480182,179.35,1201.27,338.22,1688.09,200.05,1255.58,239.21,1381.65
1460457447,22.920940,43359,523541,183.36,1333.35,349.57,1688.09,202.61,1344.31,245.18,1455.25
1460457448,22.380004,12173,535714,190.12,1645.36,356.60,1750.08,209.11,1690.94,251.94,1695.46
1460457449,47.043931,36791,572505,188.56,1645.48,368.93,1788.34,204.46,1691.04,253.98,1708.29
1460457450,24.982035,39869,612374,193.79,1645.48,377.50,1788.34,208.80,1691.04,260.03,1708.29
1460457451,25.940865,30139,642513,196.71,1645.48,384.07,1791.42,211.20,1691.04,263.99,1709.31
1460457452,111.398530,10913,653426,211.10,1774.03,380.49,1791.45,223.81,1808.55,271.80,1791.34
1460457453,22.876840,43478,696904,215.36,1775.03,378.63,1791.45,229.76,1809.35,274.58,1791.94
1460457454,26.530130,37672,734576,214.91,1775.03,384.52,1802.41,231.83,1809.38,277.09,1795.61
1460457455,25.258978,39548,774124,216.17,1775.03,391.41,1804.46,233.41,1809.38,280.33,1796.29
1460457456,31.003305,32237,806361,219.80,1822.58,394.70,1804.46,236.59,1850.37,283.70,1825.80
1460457457,23.999967,41697,848058,221.59,1822.58,400.47,1897.18,235.25,1850.37,285.77,1856.71
1460457458,30.620098,31369,879427,222.60,1822.58,403.20,1897.18,236.29,1850.37,287.36,1856.71
1460457459,24.120827,42962,922389,225.16,1868.30,407.52,1909.98,238.73,1911.99,290.47,1896.76
1460457460,22.713282,40985,963374,227.57,1868.30,412.66,1909.98,240.50,1911.99,293.58,1896.76
1460457461,0.000000,0,963374,226.99,1868.30,419.85,2030.72,238.56,1911.99,295.13,1937.00
1460457462,124.173259,16599,979973,221.26,1868.30,427.90,2035.58,232.01,1911.99,293.72,1938.62
1460457463,19.185419,14034,994007,224.68,1995.71,427.64,2037.02,232.11,1949.92,294.81,1994.22
1460457464,289.885772,5648,999655,238.96,2037.62,418.12,2037.02,246.96,2088.70,301.35,2054.45
1460457465,1650.431981,18,,,,,,,,,
