second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
0,20.684468,16324,16324,3.23,21.44,13.606127,8758,8758,8.54,58.13
1,21.631069,22747,39071,41.61,74.79,25.299024,21795,30553,61.32,161.18
2,22.597105,22227,61298,72.99,81.46,17.022276,31798,62351,95.71,305.34
3,23.502903,20817,82115,100.62,90.56,13.920045,35878,98229,119.23,434.52
4,25.495036,19588,101703,123.41,100.37,17.483627,26156,124385,139.70,567.49
5,25.444414,19773,121476,141.41,107.74,229.151050,1500,125885,143.50,735.82
6,24.468495,20302,141778,157.39,118.22,21.587477,32103,157988,139.88,735.82
7,23.385180,21259,163037,171.40,125.40,14.513146,34610,192598,153.13,898.85
8,24.503019,20208,183245,184.28,134.64,20.224540,24784,217382,164.43,933.04
9,24.401343,20423,203668,195.58,142.58,19.668189,25362,242744,177.32,1186.71
10,25.116076,19758,223426,206.17,154.10,15.566457,32112,274856,184.91,1210.97
11,25.063051,19549,242975,214.66,162.50,26.178085,19095,293951,188.49,1342.54
12,26.501522,19147,262122,222.17,167.39,13.270506,37675,331626,195.12,1403.61
13,25.638468,19293,281415,229.05,174.13,27.138466,18368,349994,203.24,1422.50
14,25.601222,19256,300671,235.02,183.15,21.113100,19801,369795,207.23,1520.28
15,25.108535,19832,320503,240.52,191.03,16.477717,35204,404999,216.74,1680.55
16,27.259496,18291,338794,246.29,198.05,12.887417,38790,443789,221.93,1684.77
17,26.040804,18739,357533,250.20,207.04,15.425686,32313,476102,228.63,1751.12
18,26.650550,18779,376312,254.28,215.44,13.077227,38163,514265,232.07,1787.90
19,27.814384,18018,394330,258.45,221.73,12.086281,14354,528619,236.09,1822.10
20,26.259388,18518,412848,261.98,228.61,26.249147,31479,560098,237.59,1840.89
21,25.232563,19449,432297,264.87,236.18,12.837297,38919,599017,242.24,1894.12
22,25.301171,20100,452397,268.79,248.24,12.722059,36603,635620,246.26,1888.91
23,26.559182,18980,471377,271.69,256.14,43.062757,8644,644264,253.18,1977.65
24,26.361086,18108,489485,274.79,259.40,19.498359,33826,678090,258.17,1978.82
25,26.818858,19343,508828,277.57,272.06,13.206958,37770,715860,261.21,1978.82
26,26.763515,18496,527324,280.17,276.61,13.064036,38169,754029,263.13,1995.14
27,27.038319,18442,545766,282.35,284.07,14.282804,32398,786427,266.13,2001.35
28,25.625226,18476,564242,284.59,292.31,15.121074,35255,821682,268.84,2037.12
29,26.823664,19263,583505,287.03,301.38,15.460144,32378,854060,271.27,2077.96
30,26.322804,18276,601781,288.70,307.64,16.710182,21291,875351,274.02,2109.45
31,27.432446,18189,619970,290.66,313.54,18.257000,35077,910428,273.14,2170.35
32,26.682599,19364,639334,292.57,321.18,23.037224,21651,932079,271.86,2170.35
33,28.351884,16782,656116,294.06,330.91,18.286767,27250,959329,271.77,2171.73
34,26.393708,19473,675589,295.47,338.33,373.234645,1299,960628,270.09,2171.89
35,27.264052,18407,693996,296.86,344.46,381.760523,502,961130,265.65,2171.89
36,27.687121,17904,711900,297.86,353.98,1340.980107,499,961629,260.84,2171.89
37,27.864500,17872,729772,299.77,359.84,0.000000,0,961629,256.53,2171.89
38,24.407578,19932,749704,301.02,368.54,0.000000,0,961629,251.77,2171.89
39,27.780015,18011,767715,302.33,374.35,0.000000,0,961629,246.44,2172.88
40,25.998915,19410,787125,303.64,381.46,0.000000,0,961629,241.24,2172.98
41,27.721712,17987,805112,305.25,389.89,0.000000,0,961629,236.45,2173.43
42,25.290895,19219,824331,306.38,398.31,0.000000,0,961629,232.47,2174.72
43,24.311928,21042,845373,307.79,403.17,0.000000,0,961629,227.78,2175.29
