second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
0,2.234475,96,96,3.52,22.14,3.521104,167,167,9.88,56.96,2.592202,421,421,14.12,71.38
1,2.000522,498,594,10.70,28.88,2.323462,430,597,15.70,68.98,2.166615,460,881,17.06,80.85
2,1.984927,502,1096,16.53,35.16,2.185027,457,1054,18.97,79.91,2.064579,484,1365,18.76,88.38
3,1.958723,509,1605,21.01,38.19,2.155978,463,1517,20.38,84.71,2.558421,391,1756,19.98,94.66
4,2.023280,492,2097,24.34,39.21,2.585921,387,1904,21.40,93.13,2.605701,384,2140,21.47,104.75
5,2.051329,486,2583,27.29,41.08,2.408682,415,2319,23.41,102.14,2.610347,383,2523,21.95,108.85
6,1.947384,511,3094,29.28,41.71,2.372423,421,2740,24.06,108.97,2.636423,379,2902,23.73,116.80
7,1.969929,505,3599,31.09,43.26,2.370839,422,3162,25.62,116.44,2.587535,385,3287,24.43,118.80
8,1.941061,515,4114,32.65,46.05,2.305408,433,3595,26.50,118.08,2.699985,371,3658,24.79,120.10
9,1.884585,528,4642,34.06,47.05,2.397712,417,4012,26.67,119.83,2.738272,364,4022,25.08,123.63
10,2.026998,492,5134,35.34,47.87,2.225628,449,4461,26.94,122.91,2.455111,408,4430,25.30,123.67
11,2.035838,489,5623,36.32,48.77,2.260795,442,4903,27.03,122.91,2.191960,456,4886,25.61,123.67
12,1.968603,507,6130,37.20,51.50,2.335505,427,5330,27.23,122.91,2.062231,484,5370,26.12,125.20
13,1.903801,523,6653,38.04,52.86,2.358803,424,5754,29.44,131.17,1.953343,512,5882,28.29,132.50
14,1.907285,522,7175,38.75,54.30,2.088816,478,6232,31.20,135.66,2.063000,484,6366,28.17,131.47
15,1.965075,507,7682,39.53,55.86,1.999870,500,6732,31.10,138.74,1.977214,505,6871,28.78,137.18
16,1.948826,511,8193,40.25,56.57,2.033522,491,7223,31.02,138.74,1.949411,513,7384,28.53,137.18
17,1.918028,520,8713,40.83,57.86,2.033483,491,7714,30.69,138.74,2.032760,491,7875,28.41,136.47
18,1.957585,509,9222,41.37,58.74,2.079815,481,8195,30.44,136.85,2.052270,487,8362,28.32,135.29
19,2.000197,498,9720,41.79,60.24,2.034982,491,8686,30.20,135.70,2.115399,472,8834,28.24,135.29
20,1.902240,523,10243,42.24,62.43,2.113384,473,9159,29.99,135.68,2.156588,464,9298,28.21,136.66
21,1.952497,511,10754,42.65,63.42,2.150107,464,9623,29.99,137.04,2.072883,482,9780,28.15,140.07
22,1.935783,515,11269,43.02,63.83,2.159583,463,10086,29.91,140.53,2.108788,474,10254,28.10,140.07
23,2.061591,483,11752,43.43,63.83,2.144092,466,10552,29.90,141.22,2.068442,483,10737,28.09,140.82
24,1.981843,503,12255,43.78,65.98,2.112369,473,11025,29.84,141.23,2.106687,474,11211,28.04,140.82
25,2.005146,497,12752,44.14,66.05,2.176342,459,11484,29.79,141.23,2.075394,482,11693,27.96,140.82
26,2.024347,492,13244,44.47,66.26,2.171242,460,11944,29.70,141.23,2.065963,483,12176,27.91,140.82
27,2.048565,487,13731,44.75,66.58,2.151031,464,12408,29.62,141.23,2.006237,499,12675,27.89,142.26
28,2.057642,485,14216,45.03,67.27,2.227584,449,12857,29.63,142.69,1.906769,524,13199,27.76,142.26
29,2.069684,481,14697,45.33,67.81,2.156465,463,13320,29.57,142.69,1.944370,513,13712,27.64,142.26
30,2.131887,468,15165,45.60,68.45,2.058020,486,13806,29.53,142.69,1.898680,527,14239,27.59,142.26
31,2.006408,497,15662,45.84,68.67,2.011349,497,14303,29.40,142.69,1.901230,525,14764,27.46,142.26
32,2.066064,482,16144,46.10,70.04,2.044976,488,14791,29.30,144.23,1.890308,529,15293,27.40,143.78
33,2.032352,491,16635,46.28,70.99,2.114954,472,15263,29.15,144.23,1.880103,531,15824,27.34,145.82
34,1.984327,503,17138,46.48,72.55,2.058886,486,15749,29.08,146.31,1.881605,531,16355,27.28,147.20
35,2.006087,496,17634,46.63,74.14,2.018871,495,16244,28.98,146.31,1.865211,536,16891,27.18,147.20
36,1.951159,511,18145,46.79,74.97,2.021340,494,16738,28.92,147.68,1.973009,506,17397,27.13,147.21
37,1.982222,503,18648,47.04,75.96,1.974664,506,17244,28.83,147.68,1.906054,524,17921,27.09,147.21
38,2.016936,494,19142,47.20,76.90,1.992084,501,17745,28.73,147.68,1.929647,519,18440,27.03,147.21
39,1.963359,506,19648,47.31,78.35,2.009821,497,18242,28.62,147.68,1.978309,505,18945,26.97,147.21
40,2.090331,478,20126,47.49,80.31,2.053279,487,18729,28.56,147.71,1.938971,515,19460,26.93,148.58
41,2.116500,471,20597,47.60,80.51,2.061343,484,19213,28.50,149.08,1.918947,521,19981,26.84,148.58
42,2.133839,465,21062,47.75,81.57,2.005063,499,19712,28.41,149.08,1.947021,512,20493,26.80,151.67
43,2.159031,463,21525,47.84,81.78,1.987420,502,20214,28.37,152.25,1.897413,528,21021,26.84,155.91
44,2.207789,452,21977,48.04,81.95,2.009676,498,20712,28.39,157.43,1.887441,529,21550,26.80,158.12
45,2.306972,432,22409,48.20,82.13,1.995706,500,21212,28.32,157.49,1.922338,520,22070,26.74,158.12
46,2.168183,460,22869,48.32,82.32,1.956263,511,21723,28.27,159.61,1.903046,525,22595,26.68,158.12
47,2.231105,447,23316,48.46,82.32,1.945402,513,22236,28.18,159.61,1.910683,522,23117,26.62,158.12
48,2.227825,447,23763,48.55,82.32,2.166480,462,22698,28.13,159.55,1.909761,524,23641,26.58,161.84
49,2.191566,455,24218,48.69,82.51,2.159541,462,23160,28.16,163.03,1.896306,527,24168,26.53,163.22
50,2.573697,387,24605,48.81,82.75,2.187277,457,23617,28.15,163.03,1.893045,528,24696,26.50,163.22
51,2.636020,378,24983,48.82,82.89,2.373163,421,24038,28.16,164.40,1.856103,538,25234,26.48,163.28
52,2.633133,379,25362,48.90,82.89,2.173031,460,24498,28.17,164.40,1.949967,512,25746,26.42,164.42
53,2.552520,391,25753,48.96,83.21,2.210242,452,24950,28.21,164.47,1.934228,517,26263,26.42,164.42
54,2.770082,360,26113,49.02,83.23,2.177727,459,25409,28.19,165.11,1.980147,505,26768,26.37,164.42
55,2.674595,373,26486,49.07,83.23,2.357042,424,25833,28.25,165.12,1.953184,511,27279,26.34,165.79
56,2.617002,381,26867,49.19,83.87,2.268494,440,26273,28.28,165.12,1.963331,509,27788,26.34,168.59
