unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1460673560,5.948743,41,41,7.97,55.96,9.69,62.48,9.80,53.58,9.15,57.34
1460673561,2.349678,425,466,14.06,70.33,16.46,72.16,14.08,65.88,14.87,69.46
1460673562,2.147620,465,931,16.75,81.61,20.84,87.70,15.57,73.08,17.72,80.80
1460673563,2.170436,461,1392,17.95,85.65,23.25,94.01,15.73,77.43,18.98,85.70
1460673564,2.101536,475,1867,18.94,95.95,24.77,102.77,16.35,83.58,20.02,94.10
1460673565,2.117639,472,2339,19.86,104.71,27.54,123.16,16.49,88.11,21.30,105.33
1460673566,2.117506,471,2810,21.44,122.22,28.32,123.20,17.52,97.60,22.43,114.34
1460673567,2.050174,488,3298,22.41,123.04,29.44,123.26,18.10,104.04,23.32,116.78
1460673568,2.062662,485,3783,22.80,122.16,29.94,123.26,18.30,108.16,23.68,117.86
1460673569,2.047608,488,4271,22.99,122.16,30.07,121.33,18.34,120.45,23.80,121.31
1460673570,2.062086,484,4755,23.16,122.16,30.36,121.33,18.38,118.30,23.97,120.60
1460673571,2.061280,485,5240,23.25,122.16,30.60,121.33,18.18,118.30,24.01,120.60
1460673572,2.169940,460,5700,26.28,133.49,33.56,137.83,20.61,125.46,26.82,132.26
1460673573,2.029409,493,6193,26.59,133.52,33.73,137.83,20.67,125.48,27.00,132.28
1460673574,2.130386,469,6662,26.70,143.76,34.51,138.92,20.89,125.52,27.37,136.07
1460673575,2.219462,450,7112,26.80,143.76,36.19,139.18,20.47,124.94,27.82,135.96
1460673576,2.105375,475,7587,26.59,143.76,36.62,139.18,21.66,126.44,28.29,136.46
1460673577,2.227682,448,8035,26.41,143.76,37.05,139.18,21.33,126.44,28.26,136.46
1460673578,2.181191,458,8493,26.24,139.70,37.41,139.18,21.06,126.44,28.24,135.11
1460673579,2.149992,465,8958,26.12,139.70,37.66,137.72,20.78,126.44,28.19,134.62
1460673580,2.035638,491,9449,27.08,142.86,37.99,141.81,20.52,125.46,28.53,136.71
1460673581,2.105374,475,9924,26.99,142.86,39.38,142.27,20.46,135.70,28.94,140.28
1460673582,2.256477,442,10366,26.89,144.94,39.78,142.38,20.23,135.70,28.97,141.01
1460673583,2.209060,452,10818,26.77,142.14,40.12,142.38,19.94,135.70,28.94,140.07
1460673584,2.037219,491,11309,26.65,142.14,40.18,141.68,19.78,135.70,28.87,139.84
1460673585,1.908285,523,11832,26.59,142.14,39.98,141.68,19.65,135.70,28.74,139.84
1460673586,2.030920,493,12325,26.72,142.14,39.79,141.68,19.48,135.70,28.66,139.84
1460673587,2.230492,448,12773,27.10,142.14,39.77,146.27,19.67,135.95,28.85,141.45
1460673588,2.156579,463,13236,27.40,142.10,39.55,146.27,19.54,135.95,28.83,141.44
1460673589,2.121326,471,13707,27.65,142.10,39.33,146.27,19.37,135.95,28.78,141.44
1460673590,2.145662,466,14173,27.87,142.10,39.13,146.27,19.22,135.85,28.74,141.41
1460673591,2.201531,453,14626,28.44,148.52,38.94,146.27,19.22,135.85,28.87,143.55
1460673592,2.111532,473,15099,28.63,148.52,39.10,147.19,19.16,142.00,28.96,145.90
1460673593,2.098260,477,15576,28.87,148.09,38.87,147.19,19.02,142.00,28.92,145.76
1460673594,2.176637,459,16035,29.54,152.91,38.67,146.38,18.92,142.00,29.04,147.10
1460673595,2.398101,416,16451,29.67,152.91,38.47,150.50,19.02,142.00,29.05,148.47
1460673596,2.169541,461,16912,29.70,152.91,38.27,150.50,19.14,142.00,29.04,148.47
1460673597,2.003475,499,17411,29.59,152.91,38.19,150.50,19.32,142.00,29.03,148.47
1460673598,2.012912,496,17907,29.47,151.72,38.66,154.84,19.47,142.00,29.20,149.52
1460673599,1.962135,510,18417,29.39,155.84,38.46,150.54,19.64,142.00,29.16,149.46
1460673600,1.931069,517,18934,29.26,155.84,38.37,150.54,19.80,142.00,29.14,149.46
1460673601,2.110548,474,19408,29.11,155.84,38.34,150.54,19.95,142.00,29.13,149.46
1460673602,2.130758,468,19876,28.98,155.84,38.37,159.66,20.05,142.00,29.13,152.50
1460673603,2.013987,497,20373,28.87,153.94,38.50,172.00,20.17,142.00,29.18,155.98
1460673604,1.888585,529,20902,28.79,154.07,38.58,174.74,20.19,142.00,29.19,156.94
1460673605,1.839074,543,21445,28.72,154.07,38.61,174.74,20.14,148.14,29.16,158.98
1460673606,1.894094,528,21973,28.65,154.07,38.62,174.74,20.04,148.14,29.10,158.98
1460673607,1.878093,532,22505,28.64,165.04,38.64,174.74,19.93,148.14,29.07,162.64
1460673608,1.852645,538,23043,28.57,165.04,38.62,174.74,19.86,148.14,29.02,162.64
1460673609,1.921672,521,23564,28.47,165.04,38.83,178.86,19.89,148.14,29.06,164.01
1460673610,1.931441,517,24081,28.39,165.04,38.81,178.86,19.79,148.14,29.00,164.01
1460673611,1.946609,514,24595,28.32,165.04,38.79,178.86,19.69,148.14,28.93,164.01
1460673612,1.969622,507,25102,28.38,165.04,38.83,179.05,19.64,148.19,28.95,164.09
1460673613,1.966385,508,25610,28.31,165.04,38.98,179.12,19.59,148.19,28.96,164.12
1460673614,1.924537,519,26129,28.31,169.41,38.92,179.12,19.58,150.30,28.94,166.28
1460673615,1.903186,525,26654,28.21,169.41,38.91,181.17,19.60,154.48,28.91,168.35
1460673616,1.882529,531,27185,28.13,169.41,38.83,181.17,19.55,154.48,28.84,168.35
1460673617,1.869258,534,27719,28.05,169.41,38.77,181.17,19.50,154.48,28.77,168.35
1460673618,1.907107,525,28244,27.99,169.41,38.75,183.05,19.60,154.48,28.78,168.98
1460673619,1.874208,532,28776,27.91,169.41,38.63,183.05,19.53,154.48,28.69,168.98
1460673620,1.899116,527,29303,27.84,169.41,38.62,183.05,19.47,154.48,28.64,168.98
1460673621,1.952279,512,29815,27.83,173.50,38.91,189.79,19.62,158.98,28.79,174.09
1460673622,1.987233,503,30318,27.77,173.50,38.83,189.79,19.55,158.98,28.72,174.09
1460673623,1.993929,500,30818,27.72,173.61,38.77,189.79,19.49,159.06,28.66,174.15
1460673624,1.959679,510,31328,27.64,173.61,38.68,189.69,19.42,172.37,28.58,178.56
1460673625,2.010869,497,31825,27.59,173.61,38.57,189.69,19.33,171.68,28.50,178.33
1460673626,2.125702,471,32296,27.53,173.61,38.53,189.69,19.37,187.56,28.48,183.62
1460673627,1.958857,510,32806,27.58,173.61,38.54,194.80,19.29,187.56,28.47,185.32
1460673628,1.889129,529,33335,27.59,175.65,38.45,195.67,19.25,187.56,28.43,186.29
1460673629,1.849135,540,33875,27.58,176.56,38.49,199.20,19.23,187.74,28.43,187.83
1460673630,1.823368,548,34423,27.55,176.56,38.42,199.20,19.16,187.66,28.38,187.81
1460673631,1.847610,541,34964,27.50,176.56,38.34,199.20,19.11,187.66,28.32,187.81
1460673632,1.891945,528,35492,27.44,176.56,38.28,199.20,19.05,187.66,28.26,187.81
1460673633,1.863506,536,36028,27.41,175.84,38.22,199.20,19.00,187.66,28.21,187.57
1460673634,1.963702,509,36537,27.36,175.84,38.27,202.93,18.96,193.78,28.20,190.85
1460673635,1.989202,502,37039,27.41,183.24,38.35,202.93,18.90,193.78,28.22,193.32
1460673636,2.000410,500,37539,27.34,183.24,38.45,202.93,18.85,193.78,28.21,193.32
1460673637,2.027374,493,38032,27.26,183.24,38.70,202.93,18.97,197.88,28.31,194.68
1460673638,2.106262,474,38506,27.20,183.24,38.78,211.98,18.89,197.88,28.29,197.70
1460673639,2.058167,486,38992,27.14,183.24,38.87,216.08,18.85,197.88,28.29,199.07
1460673640,2.035058,491,39483,27.12,183.24,38.93,216.08,18.81,197.88,28.29,199.07
1460673641,2.082980,479,39962,27.10,183.24,39.00,216.08,18.75,194.54,28.28,197.95
1460673642,2.101615,475,40437,27.05,183.24,39.06,216.08,18.69,194.54,28.27,197.95
1460673643,2.130385,470,40907,27.02,189.57,39.11,216.08,18.63,194.54,28.25,200.06
1460673644,1.934263,517,41424,26.96,189.57,39.08,216.08,18.58,194.54,28.21,200.06
1460673645,1.857580,538,41962,27.07,189.57,39.02,216.08,18.51,194.54,28.20,200.06
1460673646,1.987814,502,42464,27.05,189.57,38.95,217.10,18.47,194.54,28.16,200.40
1460673647,2.108155,474,42938,27.08,189.57,38.81,217.10,18.42,194.54,28.10,200.40
1460673648,2.105821,475,43413,27.22,189.57,38.69,219.14,18.43,200.68,28.11,203.13
1460673649,2.056825,485,43898,27.34,193.67,38.57,219.14,18.38,200.68,28.10,204.50
1460673650,2.063726,485,44383,27.42,193.67,38.46,219.14,18.48,200.68,28.12,204.50
1460673651,2.063106,484,44867,27.49,193.67,38.36,219.14,18.43,200.68,28.09,204.50
1460673652,2.085438,479,45346,27.57,193.67,38.27,219.14,18.35,200.68,28.06,204.50
1460673653,2.142496,467,45813,27.66,193.67,38.36,222.37,18.30,200.68,28.11,205.57
1460673654,2.291291,436,46249,27.73,193.67,38.23,222.37,18.23,200.68,28.06,205.57
1460673655,2.384662,419,46668,27.77,193.67,38.12,222.37,18.22,200.68,28.04,205.57
1460673656,2.192751,456,47124,27.81,193.67,38.03,222.37,18.25,200.68,28.03,205.57
1460673657,1.989057,502,47626,28.01,194.88,37.94,222.37,18.29,200.68,28.08,205.98
