unix_ts,avg_latency_ms,throughput
1460673560,5.948743,41
1460673561,2.349678,425
1460673562,2.147620,465
1460673563,2.170436,461
1460673564,2.101536,475
1460673565,2.117639,472
1460673566,2.117506,471
1460673567,2.050174,488
1460673568,2.062662,485
1460673569,2.047608,488
1460673570,2.062086,484
1460673571,2.061280,485
1460673572,2.169940,460
1460673573,2.029409,493
1460673574,2.130386,469
1460673575,2.219462,450
1460673576,2.105375,475
1460673577,2.227682,448
1460673578,2.181191,458
1460673579,2.149992,465
1460673580,2.035638,491
1460673581,2.105374,475
1460673582,2.256477,442
1460673583,2.209060,452
1460673584,2.037219,491
1460673585,1.908285,523
1460673586,2.030920,493
1460673587,2.230492,448
1460673588,2.156579,463
1460673589,2.121326,471
1460673590,2.145662,466
1460673591,2.201531,453
1460673592,2.111532,473
1460673593,2.098260,477
1460673594,2.176637,459
1460673595,2.398101,416
1460673596,2.169541,461
1460673597,2.003475,499
1460673598,2.012912,496
1460673599,1.962135,510
1460673600,1.931069,517
1460673601,2.110548,474
1460673602,2.130758,468
1460673603,2.013987,497
1460673604,1.888585,529
1460673605,1.839074,543
1460673606,1.894094,528
1460673607,1.878093,532
1460673608,1.852645,538
1460673609,1.921672,521
1460673610,1.931441,517
1460673611,1.946609,514
1460673612,1.969622,507
1460673613,1.966385,508
1460673614,1.924537,519
1460673615,1.903186,525
1460673616,1.882529,531
1460673617,1.869258,534
1460673618,1.907107,525
1460673619,1.874208,532
1460673620,1.899116,527
1460673621,1.952279,512
1460673622,1.987233,503
1460673623,1.993929,500
1460673624,1.959679,510
1460673625,2.010869,497
1460673626,2.125702,471
1460673627,1.958857,510
1460673628,1.889129,529
1460673629,1.849135,540
1460673630,1.823368,548
1460673631,1.847610,541
1460673632,1.891945,528
1460673633,1.863506,536
1460673634,1.963702,509
1460673635,1.989202,502
1460673636,2.000410,500
1460673637,2.027374,493
1460673638,2.106262,474
1460673639,2.058167,486
1460673640,2.035058,491
1460673641,2.082980,479
1460673642,2.101615,475
1460673643,2.130385,470
1460673644,1.934263,517
1460673645,1.857580,538
1460673646,1.987814,502
1460673647,2.108155,474
1460673648,2.105821,475
1460673649,2.056825,485
1460673650,2.063726,485
1460673651,2.063106,484
1460673652,2.085438,479
1460673653,2.142496,467
1460673654,2.291291,436
1460673655,2.384662,419
1460673656,2.192751,456
1460673657,1.989057,502
1460673658,1.938865,515
1460673659,1.890638,528
1460673660,1.943799,515
1460673661,1.996596,500
1460673662,2.046722,488
1460673663,2.032520,492
1460673664,2.009052,497
1460673665,1.957208,510
1460673666,1.911827,523
1460673667,1.929333,518
1460673668,2.019640,494
1460673669,1.974155,507
1460673670,2.096159,476
1460673671,1.967382,508
1460673672,2.005102,499
1460673673,2.011181,497
1460673674,1.919553,520
1460673675,1.933600,517
1460673676,1.918656,521
1460673677,1.887951,529
1460673678,1.888992,529
1460673679,1.900566,526
1460673680,1.939318,515
1460673681,1.929853,518
1460673682,1.960927,510
1460673683,1.955791,510
1460673684,1.978225,506
1460673685,1.976964,505
1460673686,1.997727,500
1460673687,1.943259,514
1460673688,1.969141,508
1460673689,1.929333,517
1460673690,1.910646,523
1460673691,1.915773,522
1460673692,1.958392,510
1460673693,1.961609,509
1460673694,2.031061,492
1460673695,2.212981,452
1460673696,2.216703,450
1460673697,2.148229,466
1460673698,2.155221,463
1460673699,2.114697,473
1460673700,2.133654,467
1460673701,2.156345,464
1460673702,2.265107,442
1460673703,2.171413,459
1460673704,2.031980,493
1460673705,1.886171,529
1460673706,1.930455,518
1460673707,2.002324,499
1460673708,2.052890,487
1460673709,2.042643,489
1460673710,2.056630,486
1460673711,2.008907,497
1460673712,2.026874,493
1460673713,2.082577,480
1460673714,2.243018,445
1460673715,2.401837,416
1460673716,2.194764,456
1460673717,1.982508,503
1460673718,2.082303,481
1460673719,2.017394,495
1460673720,1.971242,507
1460673721,2.015718,495
1460673722,2.163179,462
1460673723,2.109591,474
1460673724,2.069340,483
1460673725,2.013401,496
1460673726,1.969777,508
1460673727,1.982002,504
1460673728,1.981852,504
1460673729,2.013009,496
1460673730,2.003174,499
