second,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
0,12.524580,15034,15034,60.64,150.79,35.418302,1480,1480,8.23,57.57,17.795579,6746,6746,8.32,58.31
1,35.627788,24020,39054,88.76,217.03,35.914647,14956,16436,61.85,153.36,49.918166,15799,22545,60.04,151.62
2,49.242643,23644,62698,108.03,287.85,25.977903,25924,42360,98.25,242.09,41.632409,25700,48245,95.73,213.41
3,29.113890,37433,100131,131.74,382.30,39.539806,33046,75406,112.02,302.31,29.236788,35421,83666,113.16,317.42
4,24.830901,40746,140877,149.39,506.27,24.008830,41444,116850,133.51,449.37,26.728688,37711,121377,132.38,435.68
5,26.268109,37780,178657,167.78,631.67,21.119112,47357,164207,151.65,567.75,23.210971,42983,164360,148.33,527.17
6,28.721289,34945,213602,183.74,830.34,24.904907,39962,204169,166.91,718.95,24.422545,40791,205151,166.13,727.51
7,22.446741,44404,258006,199.87,857.48,22.491391,44437,248606,179.01,869.82,24.486088,40938,246089,179.49,830.44
8,23.873056,41890,299896,215.39,964.50,22.450553,44707,293313,189.03,898.71,24.429812,40997,287086,192.41,882.46
9,24.805937,40411,340307,228.31,1110.18,21.653358,45839,339152,201.23,1114.05,24.821831,40224,327310,203.06,1009.88
10,25.101642,19636,359943,239.48,1285.12,22.735557,24644,363796,208.18,1267.78,24.522071,37260,364570,212.49,1157.17
11,40.951903,28323,388266,245.93,1322.02,37.683873,35202,398998,215.32,1275.58,43.414791,24939,389509,218.01,1284.94
12,49.766597,26845,415111,254.05,1358.82,39.339748,28265,427263,226.35,1362.75,53.863068,18575,408084,225.05,1368.77
13,25.001465,39753,454864,261.29,1374.47,22.335069,44815,472078,233.04,1375.39,21.264163,46926,455010,233.59,1370.59
14,26.691413,37521,492385,266.78,1408.54,21.150195,47093,519171,239.36,1431.56,23.850996,41767,496777,237.83,1394.00
15,23.327269,42928,535313,271.57,1560.12,23.203543,27478,546649,245.38,1689.51,24.773370,40277,537054,241.71,1471.81
16,119.727959,8320,543633,272.29,1679.08,83.205092,16398,563047,244.55,1701.49,25.776328,13583,550637,246.15,1697.85
17,24.893904,40098,583731,275.33,1714.39,21.030422,47270,610317,248.39,1701.49,56.157780,29456,580093,246.09,1711.46
18,22.275085,44758,628489,279.54,1710.96,22.630898,43839,654156,251.65,1703.97,25.192803,39590,619683,250.89,1715.15
19,24.847202,20735,649224,283.96,1732.60,21.956456,13575,667731,258.01,1770.19,27.599965,36133,655816,255.00,1715.26
20,57.370855,25960,675184,289.37,1797.62,54.771792,31184,698915,263.85,1785.39,25.010561,8624,664440,259.71,1786.06
21,23.700278,41961,717145,293.66,1798.27,24.636578,40374,739289,266.84,1789.06,46.483019,38316,702756,268.02,1799.75
22,22.203353,45030,762175,296.65,1801.17,19.724153,47138,786427,270.22,1789.06,27.136376,36779,739535,270.11,1800.07
23,24.959896,39877,802052,298.92,1801.17,28.020356,38142,824569,271.99,1849.19,24.948603,40102,779637,271.80,1804.53
24,26.301274,38198,840250,301.79,1850.30,21.023413,47417,871986,275.33,1857.47,29.054217,34338,813975,272.93,1812.37
25,23.796314,41438,881688,304.58,1866.12,22.451109,44545,916531,278.35,1860.29,25.553974,39206,853181,274.98,1875.26
26,26.206679,38253,919941,307.68,1882.52,21.869134,45485,962016,282.03,1900.92,24.193008,41290,894471,276.40,1875.26
27,27.748703,35594,955535,310.00,1903.52,20.159349,18823,980839,284.36,1941.09,25.359443,39129,933600,278.09,1875.97
28,24.449376,15512,971047,309.97,1903.52,1636.557980,205,981044,283.59,1943.31,21.158317,46691,980291,280.16,1920.03
29,0.000000,0,971047,310.88,1946.64,53.067875,43025,1024069,282.51,1943.77,23.516099,9482,989773,281.06,1959.23
30,75.205276,30105,1001152,309.79,1947.20,19.943456,20855,1044924,285.54,2023.94,431.697346,4131,993904,280.94,1959.91
31,0.000000,0,1001152,314.67,2044.83,0.000000,0,1044924,292.19,2035.55,23.849238,41847,1035751,279.77,1960.44
32,68.810387,34362,1035514,319.60,2058.62,63.252406,40856,1085780,292.88,2036.66,21.716204,10023,1045774,281.52,2042.17
33,25.913021,38490,1074004,320.58,2059.11,19.792266,50299,1136079,294.98,2036.66,273.385481,6411,1052185,287.96,2054.84
34,23.487213,42685,1116689,320.94,2059.11,24.801368,40118,1176197,297.11,2037.30,24.749405,41421,1093606,289.04,2055.78
35,27.403007,35070,1151759,322.56,2056.07,22.527020,44312,1220509,298.49,2037.30,24.405432,40874,1134480,289.73,2055.87
36,35.483632,29189,1180948,323.21,2055.22,22.028754,45338,1265847,300.92,2047.23,24.759257,40162,1174642,290.27,2055.87
37,35.221028,28292,1209240,323.53,2055.22,21.736606,44082,1309929,303.57,2059.66,25.965737,38314,1212956,291.26,2057.11
38,24.861600,40184,1249424,323.61,2061.72,22.812804,45104,1355033,305.22,2079.88,27.845682,36092,1249048,291.60,2057.11
39,22.976642,39085,1288509,324.85,2063.94,24.059595,41784,1396817,306.56,2079.52,26.285698,38052,1287100,292.50,2083.45
40,55.760289,19719,1308228,325.39,2081.78,22.626577,43892,1440709,308.95,2140.45,24.399015,40406,1327506,294.17,2094.59
41,29.235444,34324,1342552,322.19,2081.78,26.674842,37560,1478269,309.51,2142.53,28.014911,36117,1363623,294.96,2094.59
42,51.037948,14485,1357037,322.09,2091.74,20.946253,44168,1522437,311.41,2143.26,21.694834,43125,1406748,295.86,2094.59
43,745.606638,1124,1358161,319.26,2136.52,23.995243,44380,1566817,312.94,2169.56,25.686839,41241,1447989,297.50,2158.17
44,774.335216,1122,1359283,314.74,2136.45,31.671279,31207,1598024,313.61,2172.63,26.699767,34720,1482709,297.92,2158.17
45,552.203377,2001,1361284,310.02,2136.45,35.448378,22683,1620707,314.81,2249.65,25.644182,40827,1523536,298.69,2186.95
46,1096.275441,11,1361295,304.53,2136.45,16.510169,36526,1657233,318.65,2287.17,25.926445,39344,1562880,300.74,2185.34
47,0.000000,0,1361295,298.93,2136.45,68.232321,21710,1678943,319.03,2287.17,29.437543,33923,1596803,301.22,2185.35
48,0.000000,0,1361295,292.93,2136.51,43.837850,16829,1695772,320.84,2322.10,25.508928,32947,1629750,302.73,2216.83
49,0.000000,0,1361295,288.05,2136.72,15.919687,2838,1698610,325.17,2378.57,14.990654,44326,1674076,306.38,2273.24
50,0.000000,0,1361295,283.29,2137.90,2460.361346,319,1698929,325.00,2408.47,135.542935,6186,1680262,309.89,2340.22
51,0.000000,0,1361295,278.60,2139.55,105.553261,23759,1722688,323.50,2412.22,0.000000,0,1680262,309.82,2360.53
52,0.000000,0,1361295,273.71,2139.30,24.761015,40324,1763012,324.81,2412.66,305.102390,6232,1686494,307.85,2360.53
53,0.000000,0,1361295,270.02,2139.54,23.517175,42641,1805653,326.27,2404.18,17.247694,28299,1714793,309.20,2399.30
54,0.000000,0,1361295,266.82,2139.57,20.151752,44610,1850263,327.58,2403.64,18.442035,22913,1737706,312.44,2396.84
55,0.000000,0,1361295,263.10,2139.71,22.972848,47667,1897930,328.68,2401.21,265.986850,6124,1743830,312.98,2419.15
56,0.000000,0,1361295,259.10,2139.71,34.996725,28576,1926506,329.33,2401.87,30.128512,32795,1776625,311.59,2421.97
57,0.000000,0,1361295,255.18,2139.65,23.561590,42547,1969053,330.88,2401.98,26.847091,38001,1814626,312.22,2418.17
58,0.000000,0,1361295,251.55,2139.11,20.476983,30417,,,,24.225691,41286,1855912,313.23,2418.51
59,0.000000,0,1361295,247.82,2138.97,,,,,,28.164173,35429,1891341,314.09,2418.97
60,0.000000,0,1361295,243.89,2138.83,,,,,,27.260372,36657,1927998,315.37,2419.18
61,0.000000,0,1361295,240.79,2138.83,,,,,,23.345823,41462,1969460,316.67,2420.40
62,0.000000,0,1361295,237.93,2138.83,,,,,,29.868672,29142,,,
63,0.000000,0,1361295,235.08,2138.83,,,,,,,,,,
64,0.000000,0,1361295,232.18,2138.89,,,,,,,,,,
65,0.000000,0,1361295,229.09,2138.95,,,,,,,,,,
66,0.000000,0,1361295,226.67,2143.75,,,,,,,,,,
67,0.000000,0,1361295,224.22,2148.56,,,,,,,,,,
68,0.000000,0,1361295,221.80,2154.03,,,,,,,,,,
69,0.000000,0,1361295,219.46,2150.21,,,,,,,,,,
70,0.000000,0,1361295,217.00,2150.59,,,,,,,,,,
71,0.000000,0,1361295,214.85,2150.97,,,,,,,,,,
72,0.000000,0,1361295,212.74,2151.27,,,,,,,,,,
73,0.000000,0,1361295,211.24,2195.43,,,,,,,,,,
74,0.000000,0,1361295,209.63,2151.64,,,,,,,,,,
75,134.684891,8215,1369510,208.23,2153.53,,,,,,,,,,
76,22.496231,31043,1400553,209.05,2156.07,,,,,,,,,,
77,20.792286,33151,1433704,212.54,2163.80,,,,,,,,,,
78,26.433420,27665,1461369,215.24,2166.52,,,,,,,,,,
79,28.125110,1780,1463149,215.71,2181.79,,,,,,,,,,
