unix_ts,avg_latency_ms,throughput
1460821993,93.883742,8221
1460821994,100.185517,9932
1460821995,164.103700,5592
1460821996,412.625215,2164
1460821997,504.999846,1974
1460821998,525.260528,1881
1460821999,539.951375,2001
1460822000,346.246394,2982
1460822001,346.206702,2728
1460822002,359.663855,2798
1460822003,357.282121,2866
1460822004,350.782661,2782
1460822005,343.983814,3017
1460822006,258.125332,3968
1460822007,232.516816,4349
1460822008,204.979565,5049
1460822009,161.684064,6367
1460822010,121.506441,8253
1460822011,100.923575,9670
1460822012,106.510920,9468
1460822013,102.676363,9796
1460822014,103.145715,9867
1460822015,101.926839,9823
1460822016,102.018905,9695
1460822017,107.547488,9452
1460822018,106.337567,9430
1460822019,105.983640,9260
1460822020,101.182820,9886
1460822021,102.129628,9924
1460822022,96.947834,10327
1460822023,106.590076,9135
1460822024,122.403418,8222
1460822025,122.829899,8240
1460822026,114.210588,8677
1460822027,113.572631,8841
1460822028,116.223223,8574
1460822029,124.593734,8027
1460822030,105.032998,8680
1460822031,112.982508,9664
1460822032,116.415738,8616
1460822033,114.226237,8781
1460822034,110.858649,9065
1460822035,100.509710,9836
1460822036,96.985832,10407
1460822037,110.002157,9086
1460822038,109.615526,9142
1460822039,90.037552,11071
1460822040,111.788895,8920
1460822041,112.740622,8812
1460822042,103.369478,9614
1460822043,114.139607,8800
1460822044,92.003615,10336
1460822045,109.481636,9664
1460822046,106.162351,9128
1460822047,94.872638,10861
1460822048,112.937515,8816
1460822049,92.341727,10134
1460822050,133.208558,7901
1460822051,95.140253,9938
1460822052,122.307465,8626
1460822053,95.802290,9560
1460822054,112.545232,9700
1460822055,216.597879,3862
1460822056,501.085904,1914
1460822057,484.088747,2087
1460822058,513.587738,1881
1460822059,559.517911,1950
1460822060,367.120949,2832
1460822061,348.565335,2731
1460822062,386.468258,2695
1460822063,226.532555,4281
1460822064,262.200049,4053
1460822065,253.157631,3944
1460822066,285.834263,3569
1460822067,166.605284,6125
1460822068,172.249014,5797
1460822069,174.193086,5852
1460822070,100.692586,9817
1460822071,96.976268,9516
1460822072,124.070288,8952
1460822073,102.339187,9536
1460822074,117.966152,8504
