unix_ts,NAME,STATE,PID,PPID,CPU,VM_RSS,VM_SIZE,FD,THREADS,CpuUsageFloat64,VmRSSBytes,VmSizeBytes
1460821986,java,S (sleeping),18390,18363,0.00 %,10 MB,103 MB,64,2,0.00,10000000,103068000
1460821987,java,S (sleeping),18390,18363,45.00 %,49 MB,7.3 GB,64,25,45.00,48804000,7252668000
1460821988,java,S (sleeping),18390,18363,25.87 %,56 MB,7.6 GB,64,30,25.87,56104000,7589716000
1460821989,java,S (sleeping),18390,18363,17.28 %,56 MB,7.7 GB,64,32,17.28,56108000,7722844000
1460821990,java,S (sleeping),18390,18363,12.97 %,56 MB,7.7 GB,64,32,12.97,56108000,7722844000
1460821991,java,S (sleeping),18390,18363,10.38 %,56 MB,7.7 GB,64,32,10.38,56108000,7722844000
1460821992,java,S (sleeping),18390,18363,8.82 %,56 MB,7.7 GB,64,32,8.82,56108000,7722844000
1460821993,java,S (sleeping),18390,18363,7.55 %,56 MB,7.7 GB,64,32,7.55,56108000,7722844000
1460821994,java,S (sleeping),18390,18363,6.98 %,57 MB,7.7 GB,64,32,6.98,56868000,7722844000
1460821995,java,S (sleeping),18390,18363,44.12 %,147 MB,7.7 GB,128,32,44.12,147428000,7722844000
1460821996,java,S (sleeping),18390,18363,61.81 %,213 MB,7.7 GB,256,32,61.81,212564000,7724892000
1460821997,java,S (sleeping),18390,18363,76.52 %,257 MB,7.7 GB,512,32,76.52,257016000,7724892000
1460821998,java,S (sleeping),18390,18363,97.09 %,398 MB,7.8 GB,512,32,97.09,398124000,7791456000
1460821999,java,S (sleeping),18390,18363,111.20 %,498 MB,7.8 GB,512,33,111.20,497476000,7791456000
1460822000,java,S (sleeping),18390,18363,129.49 %,713 MB,7.8 GB,512,32,129.49,713292000,7791456000
1460822001,java,S (sleeping),18390,18363,142.62 %,792 MB,7.8 GB,512,32,142.62,792136000,7791456000
1460822002,java,S (sleeping),18390,18363,157.79 %,793 MB,7.8 GB,512,33,157.79,793348000,7791456000
1460822003,java,S (sleeping),18390,18363,173.61 %,1.1 GB,7.8 GB,512,33,173.61,1119064000,7791456000
1460822004,java,S (sleeping),18390,18363,181.11 %,1.1 GB,7.8 GB,512,32,181.11,1118140000,7791456000
1460822005,java,S (sleeping),18390,18363,177.59 %,1.1 GB,7.8 GB,512,33,177.59,1118152000,7791456000
1460822006,java,S (sleeping),18390,18363,193.97 %,1.2 GB,7.8 GB,512,33,193.97,1237856000,7791456000
1460822007,java,S (sleeping),18390,18363,198.53 %,1.2 GB,7.8 GB,512,32,198.53,1236840000,7791456000
1460822008,java,S (sleeping),18390,18363,202.09 %,1.2 GB,7.8 GB,512,33,202.09,1249128000,7791456000
1460822009,java,S (sleeping),18390,18363,209.54 %,1.7 GB,7.8 GB,512,33,209.54,1670104000,7791456000
1460822010,java,S (sleeping),18390,18363,204.65 %,1.7 GB,7.8 GB,512,32,204.65,1670104000,7791456000
1460822011,java,S (sleeping),18390,18363,209.05 %,1.7 GB,7.8 GB,512,33,209.05,1670104000,7791456000
1460822012,java,S (sleeping),18390,18363,212.12 %,1.7 GB,7.8 GB,512,33,212.12,1667456000,7791456000
1460822013,java,S (sleeping),18390,18363,229.65 %,1.8 GB,7.8 GB,512,33,229.65,1794716000,7791456000
1460822014,java,S (sleeping),18390,18363,229.83 %,1.8 GB,7.8 GB,512,32,229.83,1795536000,7791456000
1460822015,java,S (sleeping),18390,18363,232.42 %,1.8 GB,7.8 GB,512,33,232.42,1795536000,7791456000
1460822016,java,S (sleeping),18390,18363,236.69 %,1.8 GB,7.8 GB,512,33,236.69,1840984000,7791456000
1460822017,java,S (sleeping),18390,18363,237.78 %,1.8 GB,7.8 GB,512,33,237.78,1840984000,7791456000
1460822018,java,S (sleeping),18390,18363,239.07 %,1.8 GB,7.8 GB,512,33,239.07,1840984000,7791456000
1460822019,java,S (sleeping),18390,18363,242.60 %,1.9 GB,7.8 GB,512,33,242.60,1886384000,7791456000
1460822020,java,S (sleeping),18390,18363,244.47 %,1.9 GB,7.8 GB,512,33,244.47,1886384000,7791456000
1460822021,java,S (sleeping),18390,18363,239.48 %,1.9 GB,7.8 GB,512,32,239.48,1886384000,7791456000
1460822022,java,S (sleeping),18390,18363,237.27 %,1.9 GB,7.8 GB,512,32,237.27,1886384000,7791456000
1460822023,java,S (sleeping),18390,18363,251.32 %,2.1 GB,7.8 GB,512,32,251.32,2053660000,7791456000
1460822024,java,S (sleeping),18390,18363,257.85 %,2.1 GB,7.8 GB,512,32,257.85,2055148000,7791456000
1460822025,java,S (sleeping),18390,18363,258.55 %,2.1 GB,7.8 GB,512,33,258.55,2055148000,7791456000
1460822026,java,S (sleeping),18390,18363,260.38 %,2.1 GB,7.8 GB,512,33,260.38,2055148000,7791456000
1460822027,java,S (sleeping),18390,18363,262.42 %,2.0 GB,7.8 GB,512,33,262.42,2041928000,7791456000
1460822028,java,S (sleeping),18390,18363,263.36 %,2.0 GB,7.8 GB,512,33,263.36,2041928000,7791456000
1460822029,java,S (sleeping),18390,18363,263.57 %,2.0 GB,7.8 GB,512,33,263.57,2042184000,7791456000
1460822030,java,S (sleeping),18390,18363,260.79 %,2.0 GB,7.8 GB,512,33,260.79,2042184000,7791456000
1460822031,java,S (sleeping),18390,18363,259.69 %,2.0 GB,7.8 GB,512,33,259.69,2042184000,7791456000
1460822032,java,S (sleeping),18390,18363,259.27 %,2.0 GB,7.8 GB,512,33,259.27,2042184000,7791456000
1460822033,java,S (sleeping),18390,18363,256.28 %,2.0 GB,7.8 GB,512,33,256.28,2042184000,7791456000
1460822034,java,S (sleeping),18390,18363,255.20 %,2.0 GB,7.8 GB,512,33,255.20,2042184000,7791456000
1460822035,java,S (sleeping),18390,18363,252.60 %,2.1 GB,7.8 GB,512,33,252.60,2110254000,7791456000
1460822036,java,S (sleeping),18390,18363,250.00 %,2.2 GB,7.8 GB,512,33,250.00,2178324000,7791456000
1460822037,java,S (sleeping),18390,18363,245.33 %,2.2 GB,7.8 GB,512,32,245.33,2178324000,7791456000
1460822038,java,S (sleeping),18390,18363,240.69 %,2.2 GB,7.8 GB,512,32,240.69,2178324000,7791456000
1460822039,java,S (sleeping),18390,18363,236.05 %,2.2 GB,7.8 GB,512,32,236.05,2178324000,7791456000
1460822040,java,S (sleeping),18390,18363,231.69 %,2.2 GB,7.8 GB,512,32,231.69,2178324000,7791456000
1460822041,java,S (sleeping),18390,18363,227.45 %,2.2 GB,7.8 GB,512,32,227.45,2180366000,7791456000
1460822042,java,S (sleeping),18390,18363,223.22 %,2.2 GB,7.8 GB,512,30,223.22,2182408000,7791456000
1460822043,java,S (sleeping),18390,18363,219.80 %,2.2 GB,7.8 GB,512,30,219.80,2182408000,7791456000
1460822044,java,S (sleeping),18390,18363,216.52 %,2.2 GB,7.8 GB,512,30,216.52,2182468000,7791456000
1460822045,java,S (sleeping),18390,18363,212.90 %,2.2 GB,7.8 GB,512,30,212.90,2182468000,7791456000
1460822046,java,S (sleeping),18390,18363,210.32 %,2.2 GB,7.8 GB,512,30,210.32,2180746000,7791456000
1460822047,java,S (sleeping),18390,18363,207.74 %,2.2 GB,7.8 GB,512,30,207.74,2179024000,7791456000
1460822048,java,S (sleeping),18390,18363,204.44 %,2.2 GB,7.8 GB,512,30,204.44,2179024000,7791456000
1460822049,java,S (sleeping),18390,18363,202.06 %,2.2 GB,7.8 GB,512,30,202.06,2179866000,7791456000
1460822050,java,S (sleeping),18390,18363,199.67 %,2.2 GB,7.8 GB,512,30,199.67,2180708000,7791456000
1460822051,java,S (sleeping),18390,18363,199.45 %,2.2 GB,7.8 GB,512,30,199.45,2212128000,7791456000
1460822052,java,S (sleeping),18390,18363,198.46 %,2.2 GB,7.8 GB,512,30,198.46,2198508000,7791456000
1460822053,java,S (sleeping),18390,18363,197.13 %,2.2 GB,7.8 GB,512,30,197.13,2198508000,7791456000
1460822054,java,S (sleeping),18390,18363,196.40 %,2.2 GB,7.8 GB,512,30,196.40,2198508000,7791456000
1460822055,java,S (sleeping),18390,18363,195.08 %,2.2 GB,7.8 GB,512,30,195.08,2198508000,7791456000
1460822056,java,S (sleeping),18390,18363,194.23 %,2.2 GB,7.8 GB,512,30,194.23,2184144000,7791456000
1460822057,java,S (sleeping),18390,18363,193.65 %,2.2 GB,7.8 GB,512,30,193.65,2184144000,7791456000
1460822058,java,S (sleeping),18390,18363,192.40 %,2.2 GB,7.8 GB,512,30,192.40,2184144000,7791456000
1460822059,java,S (sleeping),18390,18363,191.74 %,2.2 GB,7.8 GB,512,30,191.74,2184152000,7791456000
1460822060,java,S (sleeping),18390,18363,189.74 %,2.2 GB,7.8 GB,512,30,189.74,2184152000,7791456000
1460822061,java,S (sleeping),18390,18363,187.57 %,2.2 GB,7.8 GB,512,30,187.57,2184152000,7791456000
1460822062,java,S (sleeping),18390,18363,184.50 %,2.2 GB,7.8 GB,512,30,184.50,2184152000,7791456000
1460822063,java,S (sleeping),18390,18363,182.96 %,2.2 GB,7.8 GB,512,30,182.96,2184152000,7791456000
1460822064,java,S (sleeping),18390,18363,181.42 %,2.2 GB,7.8 GB,512,30,181.42,2184152000,7791456000
1460822065,java,S (sleeping),18390,18363,179.36 %,2.2 GB,7.8 GB,512,30,179.36,2186380000,7791456000
1460822066,java,S (sleeping),18390,18363,176.88 %,2.2 GB,7.8 GB,512,30,176.88,2185266000,7791456000
1460822067,java,S (sleeping),18390,18363,174.39 %,2.2 GB,7.8 GB,512,30,174.39,2184152000,7791456000
1460822068,java,S (sleeping),18390,18363,172.31 %,2.2 GB,7.8 GB,512,30,172.31,2184152000,7791456000
1460822069,java,S (sleeping),18390,18363,170.70 %,2.2 GB,7.8 GB,512,30,170.70,2184152000,7791456000
1460822070,java,S (sleeping),18390,18363,169.10 %,2.2 GB,7.8 GB,512,30,169.10,2184152000,7791456000
1460822071,java,S (sleeping),18390,18363,167.19 %,2.2 GB,7.8 GB,512,30,167.19,2184152000,7791456000
1460822072,java,S (sleeping),18390,18363,165.44 %,2.2 GB,7.8 GB,512,30,165.44,2184152000,7791456000
1460822073,java,S (sleeping),18390,18363,163.69 %,2.2 GB,7.8 GB,512,30,163.69,2184152000,7791456000
1460822074,java,S (sleeping),18390,18363,162.21 %,2.2 GB,7.8 GB,512,30,162.21,2184152000,7791456000
1460822075,java,S (sleeping),18390,18363,161.94 %,2.2 GB,7.8 GB,512,30,161.94,2184152000,7791456000
1460822076,java,S (sleeping),18390,18363,161.72 %,2.2 GB,7.8 GB,512,30,161.72,2184152000,7791456000
1460822077,java,S (sleeping),18390,18363,161.31 %,2.2 GB,7.8 GB,512,29,161.31,2184044000,7791456000
1460822078,java,S (sleeping),18390,18363,160.73 %,2.2 GB,7.8 GB,512,29,160.73,2184044000,7791456000
1460822079,java,S (sleeping),18390,18363,160.17 %,2.2 GB,7.8 GB,512,29,160.17,2184044000,7791456000
1460822080,java,S (sleeping),18390,18363,165.46 %,2.8 GB,7.8 GB,512,29,165.46,2809984000,7791456000
1460822081,java,S (sleeping),18390,18363,169.18 %,2.8 GB,7.8 GB,512,29,169.18,2781876000,7791456000
1460822082,java,S (sleeping),18390,18363,168.15 %,2.8 GB,7.8 GB,512,29,168.15,2781280000,7791456000
1460822083,java,S (sleeping),18390,18363,166.47 %,2.8 GB,7.8 GB,512,29,166.47,2781280000,7791456000
1460822084,java,S (sleeping),18390,18363,166.67 %,2.8 GB,7.8 GB,512,29,166.67,2809784000,7791456000
1460822085,java,S (sleeping),18390,18363,166.05 %,2.8 GB,7.8 GB,512,29,166.05,2809784000,7791456000
1460822086,java,S (sleeping),18390,18363,171.59 %,2.8 GB,7.8 GB,512,29,171.59,2824780000,7791456000
1460822087,java,S (sleeping),18390,18363,172.70 %,2.8 GB,7.8 GB,512,29,172.70,2826884000,7791456000
1460822088,java,S (sleeping),18390,18363,173.35 %,2.8 GB,7.8 GB,512,29,173.35,2842436000,7791456000
1460822089,java,S (sleeping),18390,18363,172.70 %,2.8 GB,7.8 GB,512,29,172.70,2842436000,7791456000
1460822090,java,S (sleeping),18390,18363,172.07 %,2.8 GB,7.8 GB,512,29,172.07,2842436000,7791456000
1460822091,java,S (sleeping),18390,18363,171.44 %,2.8 GB,7.8 GB,512,29,171.44,2842436000,7791456000
1460822092,java,S (sleeping),18390,18363,170.84 %,2.8 GB,7.8 GB,512,29,170.84,2842436000,7791456000
1460822093,java,S (sleeping),18390,18363,170.23 %,2.8 GB,7.8 GB,512,32,170.23,2842436000,7791456000
1460822094,java,S (sleeping),18390,18363,169.02 %,2.8 GB,7.8 GB,512,32,169.02,2842436000,7791456000
1460822095,java,S (sleeping),18390,18363,167.66 %,2.8 GB,7.8 GB,512,32,167.66,2842436000,7791456000
1460822096,java,S (sleeping),18390,18363,166.14 %,2.8 GB,7.8 GB,512,32,166.14,2842436000,7791456000
1460822097,java,S (sleeping),18390,18363,164.69 %,2.8 GB,7.8 GB,512,32,164.69,2842436000,7791456000
1460822098,java,S (sleeping),18390,18363,163.24 %,2.8 GB,7.8 GB,512,32,163.24,2842436000,7791456000
1460822099,java,S (sleeping),18390,18363,161.80 %,2.8 GB,7.8 GB,512,32,161.80,2842436000,7791456000
1460822100,java,S (sleeping),18390,18363,160.52 %,2.8 GB,7.8 GB,512,32,160.52,2842436000,7791456000
1460822101,java,S (sleeping),18390,18363,159.15 %,2.8 GB,7.8 GB,512,32,159.15,2842436000,7791456000
1460822102,java,S (sleeping),18390,18363,157.88 %,2.8 GB,7.8 GB,512,32,157.88,2842568000,7791456000
1460822103,java,S (sleeping),18390,18363,156.69 %,2.8 GB,7.8 GB,512,32,156.69,2842568000,7791456000
1460822104,java,S (sleeping),18390,18363,155.59 %,2.8 GB,7.8 GB,512,32,155.59,2842568000,7791456000
1460822105,java,S (sleeping),18390,18363,154.34 %,2.8 GB,7.8 GB,512,32,154.34,2842568000,7791456000
1460822106,java,S (sleeping),18390,18363,153.09 %,2.8 GB,7.8 GB,512,32,153.09,2842568000,7791456000
1460822107,java,S (sleeping),18390,18363,151.91 %,2.8 GB,7.8 GB,512,32,151.91,2842568000,7791456000
1460822108,java,S (sleeping),18390,18363,151.79 %,2.9 GB,7.8 GB,512,32,151.79,2853072000,7791456000
1460822109,java,S (sleeping),18390,18363,150.68 %,2.9 GB,7.8 GB,512,32,150.68,2853072000,7791456000
1460822110,java,S (sleeping),18390,18363,149.52 %,2.9 GB,7.8 GB,512,32,149.52,2853072000,7791456000
1460822111,java,S (sleeping),18390,18363,148.45 %,2.9 GB,7.8 GB,512,32,148.45,2853072000,7791456000
1460822112,java,S (sleeping),18390,18363,147.51 %,2.9 GB,7.8 GB,512,32,147.51,2853072000,7791456000
1460822113,java,S (sleeping),18390,18363,146.37 %,2.9 GB,7.8 GB,512,32,146.37,2853072000,7791456000
1460822114,java,S (sleeping),18390,18363,145.24 %,2.9 GB,7.8 GB,512,32,145.24,2853072000,7791456000
1460822115,java,S (sleeping),18390,18363,144.47 %,2.9 GB,7.8 GB,512,32,144.47,2856700000,7791456000
1460822116,java,S (sleeping),18390,18363,143.87 %,2.9 GB,7.8 GB,512,32,143.87,2868344000,7791456000
1460822117,java,S (sleeping),18390,18363,142.78 %,2.9 GB,7.8 GB,512,32,142.78,2863180000,7791456000
1460822118,java,S (sleeping),18390,18363,141.71 %,2.9 GB,7.8 GB,512,32,141.71,2863180000,7791456000
1460822119,java,S (sleeping),18390,18363,140.83 %,2.9 GB,7.8 GB,512,32,140.83,2863180000,7791456000
1460822120,java,S (sleeping),18390,18363,139.89 %,2.9 GB,7.8 GB,512,32,139.89,2863180000,7791456000
1460822121,java,S (sleeping),18390,18363,138.86 %,2.9 GB,7.8 GB,512,32,138.86,2863180000,7791456000
1460822122,java,S (sleeping),18390,18363,137.93 %,2.9 GB,7.8 GB,512,32,137.93,2863352000,7791456000
1460822123,java,S (sleeping),18390,18363,137.06 %,2.9 GB,7.8 GB,512,32,137.06,2863352000,7791456000
1460822124,java,S (sleeping),18390,18363,136.13 %,2.9 GB,7.8 GB,512,32,136.13,2863352000,7791456000
1460822125,java,S (sleeping),18390,18363,135.31 %,2.9 GB,7.8 GB,512,32,135.31,2864936000,7791456000
1460822126,java,S (sleeping),18390,18363,134.55 %,2.9 GB,7.8 GB,512,32,134.55,2864936000,7791456000
1460822127,java,S (sleeping),18390,18363,133.79 %,2.9 GB,7.8 GB,512,32,133.79,2864936000,7791456000
1460822128,java,S (sleeping),18390,18363,132.89 %,2.9 GB,7.8 GB,512,32,132.89,2864936000,7791456000
1460822129,java,S (sleeping),18390,18363,132.54 %,2.9 GB,7.8 GB,512,32,132.54,2864936000,7791456000
1460822130,java,S (sleeping),18390,18363,132.12 %,2.9 GB,7.8 GB,512,32,132.12,2866304000,7791456000
1460822131,java,S (sleeping),18390,18363,131.32 %,2.9 GB,7.8 GB,512,32,131.32,2866304000,7791456000
1460822132,java,S (sleeping),18390,18363,130.46 %,2.9 GB,7.8 GB,512,32,130.46,2864868000,7791456000
1460822133,java,S (sleeping),18390,18363,129.65 %,2.9 GB,7.8 GB,512,32,129.65,2864868000,7791456000
1460822134,java,S (sleeping),18390,18363,128.85 %,2.9 GB,7.8 GB,512,32,128.85,2864868000,7791456000
1460822135,java,S (sleeping),18390,18363,128.11 %,2.9 GB,7.8 GB,512,32,128.11,2864868000,7791456000
1460822136,java,S (sleeping),18390,18363,127.34 %,2.9 GB,7.8 GB,512,32,127.34,2864868000,7791456000
1460822137,java,S (sleeping),18390,18363,126.60 %,2.9 GB,7.8 GB,512,32,126.60,2864868000,7791456000
1460822138,java,S (sleeping),18390,18363,125.81 %,2.9 GB,7.8 GB,512,32,125.81,2864868000,7791456000
1460822139,java,S (sleeping),18390,18363,125.02 %,2.9 GB,7.8 GB,512,32,125.02,2864868000,7791456000
1460822140,java,S (sleeping),18390,18363,126.69 %,2.9 GB,7.8 GB,512,32,126.69,2881624000,7791456000
1460822141,java,S (sleeping),18390,18363,126.48 %,2.9 GB,7.8 GB,512,32,126.48,2880308000,7791456000
1460822142,java,S (sleeping),18390,18363,125.69 %,2.9 GB,7.8 GB,512,32,125.69,2880308000,7791456000
1460822143,java,S (sleeping),18390,18363,124.90 %,2.9 GB,7.8 GB,512,32,124.90,2880308000,7791456000
1460822144,java,S (sleeping),18390,18363,124.14 %,2.9 GB,7.8 GB,512,32,124.14,2880308000,7791456000
1460822145,java,S (sleeping),18390,18363,123.38 %,2.9 GB,7.8 GB,512,32,123.38,2880308000,7791456000
1460822146,java,S (sleeping),18390,18363,122.62 %,2.9 GB,7.8 GB,512,32,122.62,2880308000,7791456000
1460822147,java,S (sleeping),18390,18363,121.88 %,2.9 GB,7.8 GB,512,32,121.88,2880308000,7791456000
1460822148,java,S (sleeping),18390,18363,121.18 %,2.9 GB,7.8 GB,512,32,121.18,2880348000,7791456000
1460822149,java,S (sleeping),18390,18363,120.69 %,2.9 GB,7.8 GB,512,32,120.69,2880496000,7791456000
1460822150,java,S (sleeping),18390,18363,120.18 %,2.9 GB,7.8 GB,512,32,120.18,2880496000,7791456000
1460822151,java,S (sleeping),18390,18363,119.47 %,2.9 GB,7.8 GB,512,32,119.47,2880496000,7791456000
1460822152,java,S (sleeping),18390,18363,118.75 %,2.9 GB,7.8 GB,512,32,118.75,2880492000,7791456000
1460822153,java,S (sleeping),18390,18363,118.03 %,2.9 GB,7.8 GB,512,32,118.03,2880492000,7791456000
1460822154,java,S (sleeping),18390,18363,117.33 %,2.9 GB,7.8 GB,512,32,117.33,2880492000,7791456000
