unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1460821994,12.677104,11833,11833,6.98,56.87,7.99,63.58,9.15,57.06,8.04,59.17
1460821995,32.477653,22321,34154,44.12,147.43,76.21,155.70,63.25,149.43,61.19,150.85
1460821996,45.002364,23422,57576,61.81,212.56,120.60,252.18,93.27,210.56,91.89,225.10
1460821997,28.191021,39527,97103,76.52,257.02,148.61,386.33,110.30,258.95,111.81,300.77
1460821998,24.308075,41970,139073,97.09,398.12,183.51,553.37,135.69,397.63,138.76,449.71
1460821999,24.979540,39887,178960,111.20,497.48,211.46,678.55,148.14,483.26,156.93,553.10
1460822000,28.131623,35528,214488,129.49,713.29,234.56,735.22,168.11,717.21,177.39,721.91
1460822001,23.601315,42336,256824,142.62,792.14,254.16,1044.63,181.37,795.19,192.72,877.32
1460822002,21.267371,46519,303343,157.79,793.35,272.03,1120.62,198.08,796.12,209.30,903.36
1460822003,23.396713,42864,346207,173.61,1119.06,288.92,1126.46,211.97,1119.75,224.83,1121.76
1460822004,56.322651,17880,364087,181.11,1118.14,303.52,1468.53,220.37,1120.02,235.00,1235.56
1460822005,21.638633,23703,387790,177.59,1118.15,322.19,1609.39,215.66,1120.37,238.48,1282.64
1460822006,43.574616,33949,421739,193.97,1237.86,318.83,1610.78,230.25,1230.62,247.68,1359.75
1460822007,21.067267,47515,469254,198.53,1236.84,328.88,1610.78,232.79,1230.62,253.40,1359.41
1460822008,19.904306,49075,518329,202.09,1249.13,341.92,1678.60,238.09,1249.06,260.70,1392.26
1460822009,21.741781,15985,534314,209.54,1670.10,349.39,1678.60,241.83,1674.38,266.92,1674.36
1460822010,35.143573,47683,581997,204.65,1670.10,361.82,1788.18,233.89,1674.38,266.79,1710.89
1460822011,21.867573,45275,627272,209.05,1670.10,369.88,1788.18,236.24,1674.38,271.72,1710.89
1460822012,21.724591,21307,648579,212.12,1667.46,377.29,1788.84,238.93,1676.42,276.11,1710.91
1460822013,55.808882,27577,676156,229.65,1794.72,370.28,1788.84,255.48,1802.29,285.14,1795.28
1460822014,21.158340,47424,723580,229.83,1795.54,372.78,1788.84,258.24,1803.08,286.95,1795.82
1460822015,21.485462,46337,769917,232.42,1795.54,381.15,1802.60,260.41,1803.08,291.33,1800.41
1460822016,26.642222,37503,807420,236.69,1840.98,386.85,1802.60,264.84,1853.56,296.13,1832.38
1460822017,20.124349,49659,857079,237.78,1840.98,392.16,1891.83,265.85,1853.56,298.60,1862.12
1460822018,21.834885,45590,902669,239.07,1840.98,396.79,1891.83,267.78,1853.73,301.21,1862.18
1460822019,19.285207,51483,954152,242.60,1886.38,401.90,1904.93,271.55,1882.39,305.35,1891.23
1460822020,22.706960,8157,962309,244.47,1886.38,407.82,2016.15,273.07,1882.39,308.45,1928.31
1460822021,95.397359,19030,981339,239.48,1886.38,419.30,2036.99,267.21,1882.39,308.66,1935.25
1460822022,16.408522,12067,993406,237.27,1886.38,418.83,2038.40,268.27,2020.30,308.12,1981.69
1460822023,126.423292,12736,1006142,251.32,2053.66,410.12,2038.40,283.60,2063.31,315.01,2051.79
1460822024,31.792238,36485,1042627,257.85,2055.15,406.24,2038.40,283.48,2064.71,315.86,2052.75
1460822025,21.396488,47928,1090555,258.55,2055.15,408.94,2038.66,284.17,2064.71,317.22,2052.84
1460822026,22.082813,45287,1135842,260.38,2055.15,413.30,2038.66,286.34,2041.96,320.01,2045.26
1460822027,20.839327,47165,1183007,262.42,2041.93,417.18,2038.93,287.41,2041.96,322.34,2040.94
1460822028,24.836710,40129,1223136,263.36,2041.93,420.04,2038.93,288.22,2041.96,323.87,2040.94
1460822029,38.640655,21878,1245014,263.57,2042.18,421.22,2058.85,288.07,2042.13,324.29,2047.72
1460822030,39.602203,29134,1274148,260.79,2042.18,417.72,2058.85,283.56,2042.13,320.69,2047.72
1460822031,22.906565,40053,1314201,259.69,2042.18,420.21,2114.81,282.13,2042.13,320.68,2066.37
1460822032,69.483923,13087,1327288,259.27,2042.18,421.55,2114.81,284.06,2088.74,321.63,2081.91
1460822033,33.779400,34695,1361983,256.28,2042.18,416.22,2114.81,280.85,2088.74,317.78,2081.91
1460822034,36.943390,17176,1379159,255.20,2042.18,419.03,2107.87,281.29,2088.74,318.51,2079.60
1460822035,899.597577,1138,1380297,252.60,2110.25,412.45,2107.87,277.61,2088.74,314.22,2102.29
1460822036,659.592598,1947,1382244,250.00,2178.32,405.43,2107.87,273.22,2088.74,309.55,2124.98
1460822037,617.527060,1057,1383301,245.33,2178.32,398.39,2107.87,268.25,2088.74,303.99,2124.98
1460822038,0.000000,0,1383301,240.69,2178.32,390.88,2107.87,263.01,2088.74,298.19,2124.98
1460822039,0.000000,0,1383301,236.05,2178.32,383.45,2107.87,257.95,2088.74,292.48,2124.98
1460822040,2552.064632,86,1383387,231.69,2178.32,376.76,2108.13,254.22,2088.89,287.56,2125.11
1460822041,0.000000,0,1383387,227.45,2180.37,369.90,2108.13,250.50,2089.04,282.62,2125.85
1460822042,4587.987133,54,1383441,223.22,2182.41,364.95,2108.14,246.64,2089.16,278.27,2126.57
1460822043,0.000000,0,1383441,219.80,2182.41,360.00,2108.14,242.95,2089.23,274.25,2126.59
1460822044,0.000000,0,1383441,216.52,2182.47,354.19,2108.14,238.69,2089.17,269.80,2126.59
1460822045,0.000000,0,1383441,212.90,2182.47,348.38,2108.14,231.78,2089.25,264.35,2126.62
1460822046,0.000000,0,1383441,210.32,2180.75,342.57,2108.14,227.95,2089.25,260.28,2126.05
1460822047,0.000000,0,1383441,207.74,2179.02,337.02,2108.14,224.47,2089.25,256.41,2125.47
1460822048,0.000000,0,1383441,204.44,2179.02,331.56,2107.92,220.99,2089.25,252.33,2125.40
1460822049,307.690001,1890,1385331,202.06,2179.87,326.24,2107.92,218.15,2089.51,248.82,2125.77
1460822050,43.445267,25258,1410589,199.67,2180.71,325.99,2113.68,220.41,2141.31,248.69,2145.23
1460822051,16.233252,42934,1453523,199.45,2212.13,329.15,2124.59,221.34,2141.31,249.98,2159.34
1460822052,19.931825,33429,1486952,198.46,2198.51,331.57,2186.41,223.72,2139.18,251.25,2174.70
1460822053,15.466009,42989,1529941,197.13,2198.51,333.07,2186.41,226.27,2139.18,252.16,2174.70
1460822054,16.736986,39583,1569524,196.40,2198.51,335.43,2186.51,228.16,2139.18,253.33,2174.73
1460822055,27.778394,24044,1593568,195.08,2198.51,335.90,2186.51,230.31,2152.49,253.76,2179.17
1460822056,15.402368,43210,1636778,194.23,2184.14,338.19,2222.00,232.27,2152.49,254.90,2186.21
1460822057,21.901950,15856,1652634,193.65,2184.14,340.19,2314.93,233.87,2253.14,255.90,2250.74
1460822058,0.000000,0,1652634,192.40,2184.14,346.53,2314.93,231.08,2253.14,256.67,2250.74
1460822059,130.162259,12512,1665146,191.74,2184.15,348.73,2402.37,228.74,2253.14,256.40,2279.89
1460822060,16.529836,40108,1705254,189.74,2184.15,349.64,2402.37,229.95,2253.14,256.44,2279.89
1460822061,17.925639,38533,1743787,187.57,2184.15,351.48,2403.43,232.17,2253.14,257.07,2280.24
1460822062,15.900275,37560,1781347,184.50,2184.15,353.46,2364.46,233.91,2253.14,257.29,2267.25
1460822063,381.884382,690,1782037,182.96,2184.15,350.63,2364.46,231.90,2253.14,255.16,2267.25
1460822064,0.000000,0,1782037,181.42,2184.15,346.43,2364.46,229.09,2253.14,252.31,2267.25
1460822065,2702.562864,17,1782054,179.36,2186.38,343.12,2364.46,227.70,2253.14,250.06,2267.99
1460822066,0.000000,0,1782054,176.88,2185.27,339.80,2364.46,226.32,2253.14,247.67,2267.62
1460822067,0.000000,0,1782054,174.39,2184.15,336.94,2364.46,224.54,2253.14,245.29,2267.25
1460822068,0.000000,0,1782054,172.31,2184.15,332.88,2364.46,222.25,2253.14,242.48,2267.25
1460822069,0.000000,0,1782054,170.70,2184.15,328.82,2364.46,219.95,2253.14,239.82,2267.25
1460822070,0.000000,0,1782054,169.10,2184.15,325.79,2364.46,217.34,2253.14,237.41,2267.25
1460822071,0.000000,0,1782054,167.19,2184.15,322.77,2364.46,215.23,2253.19,235.06,2267.27
1460822072,0.000000,0,1782054,165.44,2184.15,318.98,2364.46,212.71,2253.19,232.38,2267.27
1460822073,0.000000,0,1782054,163.69,2184.15,315.80,2364.46,210.19,2253.19,229.89,2267.27
1460822074,0.000000,0,1782054,162.21,2184.15,312.62,2364.46,207.66,2253.19,227.50,2267.27
1460822075,0.000000,0,1782054,161.94,2184.15,309.33,2368.40,205.36,2253.19,225.54,2268.58
1460822076,0.000000,0,1782054,161.72,2184.15,305.44,2368.40,203.11,2253.19,223.42,2268.58
1460822077,244.113531,3085,1785139,161.31,2184.04,301.56,2368.40,201.44,2253.19,221.44,2268.54
1460822078,28.305042,37238,1822377,160.73,2184.04,303.60,2370.92,203.91,2285.53,222.75,2280.16
1460822079,18.017033,36916,1859293,160.17,2184.04,306.71,2394.89,205.02,2283.70,223.97,2287.54
1460822080,18.048791,33935,1893228,165.46,2809.98,309.06,2395.06,207.17,2283.70,227.23,2496.25
1460822081,16.284841,26702,1919930,169.18,2781.88,311.89,2395.86,207.82,2283.70,229.63,2487.15
1460822082,0.000000,0,1919930,168.15,2781.28,309.03,2386.18,211.77,2395.96,229.65,2521.14
1460822083,1798.926229,33,1919963,166.47,2781.28,307.13,2386.21,217.96,2443.12,230.52,2536.87
1460822084,0.000000,0,1919963,166.67,2809.78,305.23,2386.25,218.50,2444.97,230.13,2547.00
1460822085,0.000000,0,1919963,166.05,2809.78,303.84,2386.25,217.21,2444.97,229.03,2547.00
1460822086,0.000000,0,1919963,171.59,2824.78,301.80,2389.03,215.18,2444.97,229.52,2552.93
1460822087,0.000000,0,1919963,172.70,2826.88,299.77,2391.82,214.08,2444.97,228.85,2554.56
1460822088,0.000000,0,1919963,173.35,2842.44,297.05,2391.82,212.98,2444.97,227.79,2559.74
1460822089,0.000000,0,1919963,172.70,2842.44,294.31,2391.82,211.50,2444.97,226.17,2559.74
1460822090,0.000000,0,1919963,172.07,2842.44,291.58,2391.82,209.19,2444.97,224.28,2559.74
