second,avg_latency_ms_etcd_v3_go1.6,throughput_etcd_v3_go1.6,cumulative_throughput_etcd_v3_go1.6,avg_cpu_etcd_v3_go1.6,avg_memory_mb_etcd_v3_go1.6,avg_latency_ms_etcd_v3_go1.7,throughput_etcd_v3_go1.7,cumulative_throughput_etcd_v3_go1.7,avg_cpu_etcd_v3_go1.7,avg_memory_mb_etcd_v3_go1.7
0,27.015085,30706,30706,2.69,22.47,32.524264,29729,29729,47.66,67.66
1,29.786188,33022,63728,52.65,75.85,31.223319,31879,61608,87.37,80.06
2,33.830973,29502,93230,95.06,85.68,35.643137,27958,89566,118.15,90.46
3,33.975765,28833,122063,130.12,97.60,33.335177,29895,119461,147.10,100.90
4,36.751855,27163,149226,160.19,107.13,33.077229,29998,149459,171.98,112.44
5,35.949901,27399,176625,183.13,118.16,35.046240,28379,177838,188.97,121.28
6,36.727513,27229,203854,203.43,126.35,35.979629,27515,205353,203.83,131.28
7,38.478635,25955,229809,221.67,138.10,36.331528,27535,232888,218.67,142.36
8,35.788100,27009,256818,235.71,147.62,34.147019,29030,261918,231.96,152.32
9,36.344488,27818,284636,249.53,159.76,34.190091,29188,291106,243.54,163.10
10,37.092989,26827,311463,261.60,172.99,33.172610,30237,321343,250.78,169.46
11,38.162243,25534,336997,272.52,179.27,33.363213,29612,350955,261.15,180.60
12,39.018315,25199,362196,281.11,189.41,34.022243,29524,380479,271.23,192.53
13,37.100488,27326,389522,289.07,198.02,35.357768,27733,408212,281.11,202.13
14,36.744331,26031,415553,296.90,209.08,35.367071,28767,436979,288.13,213.32
15,38.051332,25967,441520,303.95,218.32,34.500552,28608,465587,294.64,222.09
16,36.858115,26962,468482,309.84,229.40,36.484858,26598,492185,301.22,231.00
17,38.391139,26182,494664,315.77,240.39,34.068720,29884,522069,306.81,244.24
18,38.191586,25610,520274,321.02,246.60,34.733028,28454,550523,312.88,255.86
19,37.974196,26836,547110,325.75,261.81,36.141039,27002,577525,318.63,267.77
20,36.670303,26914,574024,331.36,268.56,37.481217,27235,604760,322.71,274.13
21,37.764611,26073,600097,336.17,279.65,32.658151,29406,634166,326.33,284.71
22,39.266983,24227,624324,339.44,290.95,37.556013,27377,661543,331.12,300.92
23,36.678260,27627,651951,343.38,302.46,36.384711,27530,689073,334.53,311.06
24,35.746056,28408,680359,346.65,310.91,34.835482,27816,716889,337.91,321.67
25,38.561878,25709,706068,350.82,319.30,36.118655,28279,745168,341.80,328.36
26,34.621190,28652,734720,354.13,328.29,37.215366,26256,771424,344.44,337.61
27,39.837958,24496,759216,357.59,340.14,35.534728,28673,800097,347.44,348.68
28,35.549992,28380,787596,360.43,349.95,32.174857,29985,830082,350.29,362.67
29,35.961444,27054,814650,363.55,360.85,36.068599,26635,856717,353.84,374.41
30,37.192364,26723,841373,366.25,370.43,37.733520,27691,884408,356.07,380.17
31,38.845894,25873,867246,368.88,381.71,36.622673,26224,910632,357.87,389.94
32,38.392903,26052,893298,370.63,388.30,36.401438,29007,939639,359.94,398.81
33,36.159286,26244,919542,373.42,402.23,40.334167,24033,963672,362.48,409.12
34,36.668868,26390,945932,375.55,409.31,36.474304,27830,991502,364.04,424.52
35,38.640572,27140,973072,377.92,415.60,40.909659,24695,1016197,365.33,430.92
36,41.960521,24020,997092,379.16,430.36,37.882092,25867,1042064,366.85,439.10
37,36.430734,27280,1024372,381.21,437.82,37.608034,26687,1068751,367.86,448.96
38,40.399595,24047,1048419,382.01,444.62,33.930110,28784,1097535,369.90,457.52
39,41.716566,23280,1071699,383.88,455.55,38.636568,26267,1123802,371.54,468.02
40,42.492624,23665,1095364,384.59,465.63,36.343957,27823,1151625,372.84,478.39
41,40.278729,23540,1118904,385.29,474.47,36.680063,26045,1177670,374.19,486.91
42,42.067168,24175,1143079,385.95,481.76,39.680853,26296,1203966,375.31,496.79
43,43.251158,24325,1167404,386.58,488.86,35.388634,28206,1232172,376.88,509.39
44,43.142822,22900,1190304,387.37,500.03,35.579267,28028,1260200,378.11,518.98
45,44.337895,22327,1212631,388.22,508.11,32.706059,28440,1288640,379.73,527.20
46,37.507021,26705,1239336,389.12,515.46,39.697130,26838,1315478,381.69,540.84
47,36.581863,27135,1266471,390.83,526.94,35.781920,25215,1340693,382.51,548.34
48,42.809866,23120,1289591,391.47,533.00,38.452367,26708,1367401,383.50,559.00
49,38.646548,24667,1314258,392.14,543.08,39.193791,27017,1394418,383.99,567.81
50,44.596823,23209,1337467,393.02,551.47,37.231089,25455,1419873,384.75,577.26
51,38.796388,25271,1362738,393.88,563.55,40.953692,25669,1445542,385.61,587.59
52,40.863775,23218,1385956,393.96,569.95,36.170813,27609,1473151,386.50,597.42
53,44.977099,23526,1409482,394.75,577.78,37.719691,26439,1499590,387.85,608.37
54,41.422219,23706,1433188,395.55,586.27,35.588075,27813,1527403,388.97,616.75
55,33.286646,26995,1460183,396.73,597.49,35.848670,27439,1554842,389.99,624.61
56,35.807299,28572,1488755,397.76,607.53,44.331906,22397,1577239,390.70,637.41
57,40.016022,25528,1514283,398.76,618.28,38.014583,26916,1604155,391.01,645.51
58,42.166507,24477,1538760,399.22,625.72,37.787471,26412,1630567,392.01,653.93
59,36.826099,23675,1562435,400.03,633.89,39.363990,25346,1655913,392.35,663.61
60,37.939176,28742,1591177,400.79,643.64,41.929639,23758,1679671,393.18,675.29
61,41.584034,24483,1615660,401.61,652.93,43.088075,23198,1702869,393.29,680.42
62,36.019719,24794,1640454,402.60,659.93,36.942856,27013,1729882,393.58,686.87
63,39.735338,27241,1667695,403.55,674.68,46.851799,21170,1751052,393.66,698.97
64,43.814341,22986,1690681,403.91,679.69,32.028178,31212,1782264,394.53,706.29
65,37.034541,25989,1716670,404.61,691.76,45.873214,21436,1803700,395.31,719.67
66,42.977494,21571,1738241,404.51,698.95,42.988585,23586,1827286,395.64,726.03
67,43.244126,25324,1763565,404.95,707.39,36.650157,26701,1853987,395.57,735.12
68,37.096929,25169,1788734,405.62,720.49,43.090554,23611,1877598,396.11,742.31
69,46.150345,22939,1811673,405.71,724.95,39.689583,24072,1901670,396.53,754.71
70,31.847393,31090,1842763,407.30,733.58,38.022029,25380,1927050,396.50,761.74
71,44.057444,20936,1863699,408.15,743.21,40.100017,26640,1953690,396.99,771.50
72,46.818881,22664,1886363,408.35,754.91,33.714257,26993,1980683,397.65,779.93
73,39.152882,25633,1911996,408.31,764.47,42.349765,19317,,,
74,40.629119,21889,1933885,408.59,769.93,,,,,
75,48.703208,22632,1956517,408.93,780.01,,,,,
76,39.508992,24785,1981302,409.35,790.01,,,,,
77,43.391944,18698,,,,,,,,
