2016-04-16 16:59:02.139405 I | etcdmain: etcd Version: 2.3.0+git
2016-04-16 16:59:02.139475 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-16 16:59:02.139499 I | etcdmain: Go Version: go1.6
2016-04-16 16:59:02.139509 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-16 16:59:02.139521 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-16 16:59:02.139608 I | etcdmain: listening for peers on http://10.240.0.22:2380
2016-04-16 16:59:02.139638 I | etcdmain: listening for client requests on 10.240.0.22:2379
2016-04-16 16:59:02.144588 I | etcdserver: name = etcd-3
2016-04-16 16:59:02.144609 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-16 16:59:02.144618 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-16 16:59:02.144625 I | etcdserver: heartbeat = 100ms
2016-04-16 16:59:02.144631 I | etcdserver: election = 1000ms
2016-04-16 16:59:02.144636 I | etcdserver: snapshot count = 10000
2016-04-16 16:59:02.144655 I | etcdserver: advertise client URLs = http://10.240.0.22:2379
2016-04-16 16:59:02.144663 I | etcdserver: initial advertise peer URLs = http://10.240.0.22:2380
2016-04-16 16:59:02.144677 I | etcdserver: initial cluster = etcd-1=http://10.240.0.20:2380,etcd-2=http://10.240.0.21:2380,etcd-3=http://10.240.0.22:2380
2016-04-16 16:59:02.146975 I | etcdserver: starting member 21d3c625100d5241 in cluster 4ce5e214d26bfb9e
2016-04-16 16:59:02.147029 I | raft: 21d3c625100d5241 became follower at term 0
2016-04-16 16:59:02.147045 I | raft: newRaft 21d3c625100d5241 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-16 16:59:02.147052 I | raft: 21d3c625100d5241 became follower at term 1
2016-04-16 16:59:02.162767 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-16 16:59:02.163315 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-16 16:59:02.163331 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-16 16:59:02.163358 I | rafthttp: the connection with 20722e46d7802cab became active
