unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1460825983,32.524264,29729,29729,54.43,71.01,43.39,63.12,45.16,68.84,47.66,67.66
1460825984,31.223319,31879,61608,98.40,83.87,80.27,77.21,83.44,79.09,87.37,80.06
1460825985,35.643137,27958,89566,132.18,93.58,109.98,87.46,112.29,90.34,118.15,90.46
1460825986,33.335177,29895,119461,163.76,105.15,136.36,98.84,141.18,98.70,147.10,100.90
1460825987,33.077229,29998,149459,190.10,115.80,160.27,110.52,165.58,111.01,171.98,112.44
1460825988,35.046240,28379,177838,212.17,126.82,169.28,113.92,185.47,123.10,188.97,121.28
1460825989,35.979629,27515,205353,232.82,134.68,178.28,117.33,200.38,141.82,203.83,131.28
1460825990,36.331528,27535,232888,250.25,146.08,192.38,130.77,213.38,150.22,218.67,142.36
1460825991,34.147019,29030,261918,266.30,157.81,204.85,140.05,224.72,159.09,231.96,152.32
1460825992,34.190091,29188,291106,273.44,162.47,219.69,153.59,237.48,173.25,243.54,163.10
1460825993,33.172610,30237,321343,280.58,167.14,229.74,162.49,242.01,178.76,250.78,169.46
1460825994,33.363213,29612,350955,294.92,184.53,241.99,173.01,246.54,184.27,261.15,180.60
1460825995,34.022243,29524,380479,307.32,197.89,249.16,186.09,257.22,193.60,271.23,192.53
1460825996,35.357768,27733,408212,318.21,206.76,258.72,198.08,266.39,201.56,281.11,202.13
1460825997,35.367071,28767,436979,328.07,217.06,264.06,208.10,272.25,214.79,288.13,213.32
1460825998,34.500552,28608,465587,335.06,227.24,269.91,214.38,278.94,224.66,294.64,222.09
1460825999,36.484858,26598,492185,342.90,235.39,276.29,224.91,284.47,232.70,301.22,231.00
1460826000,34.068720,29884,522069,349.18,249.20,281.35,236.27,289.90,247.26,306.81,244.24
1460826001,34.733028,28454,550523,356.61,260.92,287.08,249.24,294.94,257.43,312.88,255.86
1460826002,36.141039,27002,577525,363.00,268.96,293.06,261.80,299.84,272.56,318.63,267.77
1460826003,37.481217,27235,604760,368.49,281.92,296.46,265.78,303.18,274.68,322.71,274.13
1460826004,32.658151,29406,634166,373.91,286.26,299.47,278.54,305.60,289.34,326.33,284.71
1460826005,37.556013,27377,661543,379.39,303.37,303.95,299.47,310.02,299.93,331.12,300.92
1460826006,36.384711,27530,689073,383.98,311.32,306.71,310.58,312.90,311.29,334.53,311.06
1460826007,34.835482,27816,716889,387.49,320.47,310.09,322.63,316.15,321.90,337.91,321.67
1460826008,36.118655,28279,745168,392.67,329.84,313.39,325.52,319.33,329.72,341.80,328.36
1460826009,37.215366,26256,771424,397.22,343.84,315.58,334.20,320.52,334.78,344.44,337.61
1460826010,35.534728,28673,800097,401.05,346.62,318.20,349.00,323.07,350.42,347.44,348.68
1460826011,32.174857,29985,830082,404.29,359.92,320.63,362.62,325.96,365.46,350.29,362.67
1460826012,36.068599,26635,856717,408.77,374.49,324.71,374.64,328.05,374.10,353.84,374.41
1460826013,37.733520,27691,884408,412.26,382.22,325.89,378.73,330.07,379.57,356.07,380.17
1460826014,36.622673,26224,910632,414.78,388.26,327.19,391.20,331.63,390.36,357.87,389.94
1460826015,36.401438,29007,939639,416.75,396.15,329.33,400.41,333.73,399.88,359.94,398.81
1460826016,40.334167,24033,963672,419.63,410.88,331.78,406.86,336.02,409.62,362.48,409.12
1460826017,36.474304,27830,991502,421.19,423.74,332.81,430.45,338.13,419.36,364.04,424.52
1460826018,40.909659,24695,1016197,423.65,434.48,333.00,430.71,339.33,427.57,365.33,430.92
1460826019,37.882092,25867,1042064,425.44,440.71,334.38,431.70,340.73,444.89,366.85,439.10
1460826020,37.608034,26687,1068751,427.77,450.96,334.74,445.12,341.06,450.81,367.86,448.96
1460826021,33.930110,28784,1097535,430.22,454.17,335.95,456.17,343.54,462.22,369.90,457.52
1460826022,38.636568,26267,1123802,433.04,467.54,335.78,468.77,345.79,467.75,371.54,468.02
1460826023,36.343957,27823,1151625,435.10,478.67,336.73,479.19,346.68,477.30,372.84,478.39
1460826024,36.680063,26045,1177670,437.83,488.55,337.99,485.99,346.75,486.20,374.19,486.91
1460826025,39.680853,26296,1203966,440.07,495.37,338.23,499.06,347.63,495.94,375.31,496.79
1460826026,35.388634,28206,1232172,441.89,507.09,339.10,509.30,349.66,511.78,376.88,509.39
1460826027,35.579267,28028,1260200,443.20,515.53,340.07,522.17,351.07,519.25,378.11,518.98
1460826028,32.706059,28440,1288640,445.38,526.01,340.95,528.62,352.87,526.97,379.73,527.20
1460826029,39.697130,26838,1315478,447.47,541.39,343.29,539.93,354.31,541.21,381.69,540.84
1460826030,35.781920,25215,1340693,448.43,545.96,344.18,547.07,354.91,552.00,382.51,548.34
1460826031,38.452367,26708,1367401,449.71,555.96,344.99,560.53,355.79,560.50,383.50,559.00
1460826032,39.193791,27017,1394418,451.18,568.17,345.01,566.74,355.78,568.53,383.99,567.81
1460826033,37.231089,25455,1419873,451.80,576.09,345.81,581.82,356.63,573.86,384.75,577.26
1460826034,40.953692,25669,1445542,452.55,584.81,346.71,591.63,357.58,586.34,385.61,587.59
1460826035,36.170813,27609,1473151,452.41,594.19,348.07,600.67,359.01,597.39,386.50,597.42
1460826036,37.719691,26439,1499590,454.13,605.22,349.67,609.23,359.76,610.65,387.85,608.37
1460826037,35.588075,27813,1527403,455.36,615.49,350.64,617.03,360.92,617.73,388.97,616.75
1460826038,35.848670,27439,1554842,455.84,626.62,351.88,624.48,362.25,622.72,389.99,624.61
1460826039,44.331906,22397,1577239,456.89,640.46,352.35,638.71,362.86,633.05,390.70,637.41
1460826040,38.014583,26916,1604155,456.74,643.05,353.21,644.41,363.08,649.06,391.01,645.51
