2016-04-16 17:28:28.560667 I | etcdmain: etcd Version: 2.3.0+git
2016-04-16 17:28:28.560730 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-16 17:28:28.560737 I | etcdmain: Go Version: go1.6
2016-04-16 17:28:28.560743 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-16 17:28:28.560752 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-16 17:28:28.560824 I | etcdmain: listening for peers on http://10.240.0.7:2380
2016-04-16 17:28:28.560852 I | etcdmain: listening for client requests on 10.240.0.7:2379
2016-04-16 17:28:28.567090 I | etcdserver: name = etcd-1
2016-04-16 17:28:28.567118 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-16 17:28:28.567127 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-16 17:28:28.567134 I | etcdserver: heartbeat = 100ms
2016-04-16 17:28:28.567139 I | etcdserver: election = 1000ms
2016-04-16 17:28:28.567145 I | etcdserver: snapshot count = 10000
2016-04-16 17:28:28.567155 I | etcdserver: advertise client URLs = http://10.240.0.7:2379
2016-04-16 17:28:28.567167 I | etcdserver: initial advertise peer URLs = http://10.240.0.7:2380
2016-04-16 17:28:28.567193 I | etcdserver: initial cluster = etcd-1=http://10.240.0.7:2380,etcd-2=http://10.240.0.13:2380,etcd-3=http://10.240.0.14:2380
2016-04-16 17:28:28.570028 I | etcdserver: starting member ec572e55c25f926a in cluster 14edf9cb39308b6e
2016-04-16 17:28:28.570090 I | raft: ec572e55c25f926a became follower at term 0
2016-04-16 17:28:28.570104 I | raft: newRaft ec572e55c25f926a [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-16 17:28:28.570112 I | raft: ec572e55c25f926a became follower at term 1
2016-04-16 17:28:28.587419 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-16 17:28:28.588158 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-16 17:28:28.588175 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-16 17:28:28.588424 N | etcdserver: added member cfc6e2e1de0e7922 [http://10.240.0.13:2380] to cluster 14edf9cb39308b6e
2016-04-16 17:28:28.589048 N | etcdmain: serving insecure client requests on 10.240.0.7:2379, this is strongly discouraged!
2016-04-16 17:28:28.589132 N | etcdserver: added local member ec572e55c25f926a [http://10.240.0.7:2380] to cluster 14edf9cb39308b6e
2016-04-16 17:28:28.589250 N | etcdserver: added member f9e96ef8c0d0e08c [http://10.240.0.14:2380] to cluster 14edf9cb39308b6e
2016-04-16 17:28:28.770465 I | raft: ec572e55c25f926a is starting a new election at term 1
2016-04-16 17:28:28.770592 I | raft: ec572e55c25f926a became candidate at term 2
2016-04-16 17:28:28.770609 I | raft: ec572e55c25f926a received vote from ec572e55c25f926a at term 2
2016-04-16 17:28:28.770628 I | raft: ec572e55c25f926a [logterm: 1, index: 3] sent vote request to cfc6e2e1de0e7922 at term 2
2016-04-16 17:28:28.770645 I | raft: ec572e55c25f926a [logterm: 1, index: 3] sent vote request to f9e96ef8c0d0e08c at term 2
2016-04-16 17:28:29.583793 I | rafthttp: the connection with cfc6e2e1de0e7922 became active
2016-04-16 17:28:29.772347 I | raft: ec572e55c25f926a [logterm: 1, index: 3, vote: ec572e55c25f926a] rejected vote from cfc6e2e1de0e7922 [logterm: 1, index: 3] at term 2
2016-04-16 17:28:30.470574 I | raft: ec572e55c25f926a is starting a new election at term 2
2016-04-16 17:28:30.470668 I | raft: ec572e55c25f926a became candidate at term 3
2016-04-16 17:28:30.470678 I | raft: ec572e55c25f926a received vote from ec572e55c25f926a at term 3
2016-04-16 17:28:30.470691 I | raft: ec572e55c25f926a [logterm: 1, index: 3] sent vote request to f9e96ef8c0d0e08c at term 3
2016-04-16 17:28:30.470701 I | raft: ec572e55c25f926a [logterm: 1, index: 3] sent vote request to cfc6e2e1de0e7922 at term 3
2016-04-16 17:28:30.473943 I | raft: ec572e55c25f926a received vote from cfc6e2e1de0e7922 at term 3
2016-04-16 17:28:30.473971 I | raft: ec572e55c25f926a [quorum:2] has received 2 votes and 0 vote rejections
2016-04-16 17:28:30.474006 I | raft: ec572e55c25f926a became leader at term 3
2016-04-16 17:28:30.474031 I | raft: raft.node: ec572e55c25f926a elected leader ec572e55c25f926a at term 3
2016-04-16 17:28:30.477432 I | etcdserver: published {Name:etcd-1 ClientURLs:[http://10.240.0.7:2379]} to cluster 14edf9cb39308b6e
2016-04-16 17:28:30.477475 W | etcdserver: failed to reach the peerURL(http://10.240.0.14:2380) of member f9e96ef8c0d0e08c (Get http://10.240.0.14:2380/version: dial tcp 10.240.0.14:2380: getsockopt: connection refused)
2016-04-16 17:28:30.477509 W | etcdserver: cannot get the version of member f9e96ef8c0d0e08c (Get http://10.240.0.14:2380/version: dial tcp 10.240.0.14:2380: getsockopt: connection refused)
2016-04-16 17:28:30.477620 I | etcdserver: setting up the initial cluster version to 2.2
2016-04-16 17:28:30.479042 N | membership: set the initial cluster version to 2.2
2016-04-16 17:28:30.588848 I | v2http: enabled capabilities for version 2.2.0
2016-04-16 17:28:30.589716 I | rafthttp: the connection with f9e96ef8c0d0e08c became active
2016-04-16 17:28:34.479734 I | etcdserver: updating the cluster version from 2.2 to 2.3
2016-04-16 17:28:34.482160 N | membership: updated the cluster version from 2.2 to 2.3
2016-04-16 17:28:34.590484 I | v2http: enabled capabilities for version 2.3.0
2016-04-16 17:28:36.994459 I | etcdserver: start to snapshot (applied: 10022, lastsnap: 0)
2016-04-16 17:28:37.109153 I | etcdserver: saved snapshot at index 10022
2016-04-16 17:28:37.115313 I | etcdserver: compacted raft log at 5022
2016-04-16 17:28:37.363011 I | etcdserver: start to snapshot (applied: 20032, lastsnap: 10022)
2016-04-16 17:28:37.574335 I | etcdserver: saved snapshot at index 20032
2016-04-16 17:28:37.574736 I | etcdserver: compacted raft log at 15032
2016-04-16 17:28:37.818338 I | etcdserver: start to snapshot (applied: 30173, lastsnap: 20032)
2016-04-16 17:28:38.190271 I | etcdserver: saved snapshot at index 30173
2016-04-16 17:28:38.197093 I | etcdserver: compacted raft log at 25173
2016-04-16 17:28:38.225607 I | etcdserver: start to snapshot (applied: 40294, lastsnap: 30173)
2016-04-16 17:28:38.623684 I | etcdserver: start to snapshot (applied: 50366, lastsnap: 40294)
2016-04-16 17:28:38.709788 I | etcdserver: saved snapshot at index 40294
2016-04-16 17:28:38.741101 I | etcdserver: compacted raft log at 35294
2016-04-16 17:28:39.101214 I | etcdserver: start to snapshot (applied: 60368, lastsnap: 50366)
2016-04-16 17:28:39.407706 I | etcdserver: saved snapshot at index 50366
2016-04-16 17:28:39.408407 I | etcdserver: compacted raft log at 45366
2016-04-16 17:28:39.604990 I | etcdserver: start to snapshot (applied: 70579, lastsnap: 60368)
2016-04-16 17:28:39.969093 I | etcdserver: saved snapshot at index 60368
2016-04-16 17:28:39.969872 I | etcdserver: compacted raft log at 55368
2016-04-16 17:28:40.141539 I | etcdserver: start to snapshot (applied: 80586, lastsnap: 70579)
2016-04-16 17:28:40.640223 I | etcdserver: saved snapshot at index 70579
2016-04-16 17:28:40.641211 I | etcdserver: compacted raft log at 65579
2016-04-16 17:28:40.701831 I | etcdserver: start to snapshot (applied: 90768, lastsnap: 80586)
2016-04-16 17:28:41.321523 I | etcdserver: start to snapshot (applied: 100858, lastsnap: 90768)
2016-04-16 17:28:41.377128 I | etcdserver: saved snapshot at index 80586
2016-04-16 17:28:41.377814 I | etcdserver: compacted raft log at 75586
2016-04-16 17:28:41.890978 I | etcdserver: saved snapshot at index 90768
2016-04-16 17:28:41.897298 I | etcdserver: compacted raft log at 85768
2016-04-16 17:28:42.536151 I | etcdserver: saved snapshot at index 100858
2016-04-16 17:28:42.536539 I | etcdserver: compacted raft log at 95858
2016-04-16 17:28:43.523256 I | etcdserver: start to snapshot (applied: 110859, lastsnap: 100858)
2016-04-16 17:28:44.578204 I | etcdserver: saved snapshot at index 110859
2016-04-16 17:28:44.578660 I | etcdserver: compacted raft log at 105859
2016-04-16 17:28:50.204658 I | etcdserver: start to snapshot (applied: 120880, lastsnap: 110859)
2016-04-16 17:28:51.351452 I | etcdserver: saved snapshot at index 120880
2016-04-16 17:28:51.351621 I | etcdserver: compacted raft log at 115880
2016-04-16 17:28:58.589805 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000002726.snap successfully
2016-04-16 17:28:58.591240 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000004e40.snap successfully
2016-04-16 17:28:58.594020 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000075dd.snap successfully
2016-04-16 17:28:58.596979 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000009d66.snap successfully
2016-04-16 17:28:58.600143 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000c4be.snap successfully
2016-04-16 17:28:58.603905 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000ebd0.snap successfully
2016-04-16 17:28:58.607550 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000113b3.snap successfully
2016-04-16 17:29:36.940262 I | etcdserver: start to snapshot (applied: 130902, lastsnap: 120880)
2016-04-16 17:29:37.486031 I | etcdserver: start to snapshot (applied: 140908, lastsnap: 130902)
2016-04-16 17:29:38.067975 I | etcdserver: start to snapshot (applied: 151135, lastsnap: 140908)
2016-04-16 17:29:38.698044 I | etcdserver: saved snapshot at index 130902
2016-04-16 17:29:38.698879 I | etcdserver: compacted raft log at 125902
2016-04-16 17:29:38.838365 I | etcdserver: start to snapshot (applied: 161175, lastsnap: 151135)
2016-04-16 17:29:39.451539 I | etcdserver: saved snapshot at index 140908
2016-04-16 17:29:39.452335 I | etcdserver: compacted raft log at 135908
2016-04-16 17:29:39.565766 I | etcdserver: start to snapshot (applied: 171264, lastsnap: 161175)
2016-04-16 17:29:39.871740 W | etcdserver: failed to send out heartbeat on time (deadline exceeded for 1.220113ms)
2016-04-16 17:29:39.871779 W | etcdserver: server is likely overloaded
2016-04-16 17:29:39.871787 W | etcdserver: failed to send out heartbeat on time (deadline exceeded for 1.275385ms)
2016-04-16 17:29:39.871793 W | etcdserver: server is likely overloaded
2016-04-16 17:29:40.204704 I | etcdserver: saved snapshot at index 151135
2016-04-16 17:29:40.205803 I | etcdserver: compacted raft log at 146135
2016-04-16 17:29:40.221018 I | etcdserver: start to snapshot (applied: 181492, lastsnap: 171264)
2016-04-16 17:29:40.735376 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-000000000002dc95.wal is created
2016-04-16 17:29:41.151589 I | etcdserver: saved snapshot at index 161175
2016-04-16 17:29:41.191963 I | etcdserver: compacted raft log at 156175
2016-04-16 17:29:41.214016 I | etcdserver: start to snapshot (applied: 191571, lastsnap: 181492)
2016-04-16 17:29:41.887898 I | etcdserver: saved snapshot at index 171264
2016-04-16 17:29:41.908215 I | etcdserver: compacted raft log at 166264
2016-04-16 17:29:41.908479 W | etcdserver: failed to send out heartbeat on time (deadline exceeded for 34.025405ms)
2016-04-16 17:29:41.908495 W | etcdserver: server is likely overloaded
