second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2
0,36.495977,12141,12141,2.46,20.41
1,36.003163,25082,37223,53.25,123.28
2,42.162643,20173,57396,95.93,187.03
3,48.994078,18456,75852,130.68,273.35
4,50.766837,19417,95269,162.05,370.26
5,72.374869,9669,104938,188.59,417.18
6,378.335685,1405,106343,192.70,529.37
7,484.517463,1392,107735,183.00,529.37
8,442.037008,1691,109426,174.61,529.37
9,326.418333,1789,111215,167.74,529.37
10,502.005867,1086,112301,166.02,529.78
11,455.543107,1471,113772,163.58,573.86
12,496.755555,1363,115135,158.13,573.86
13,401.245583,1044,116179,152.50,573.86
14,374.185151,1512,117691,147.86,573.86
15,488.340493,1204,118895,143.86,573.86
16,296.364883,1850,120745,140.69,573.94
17,399.126466,1216,121961,138.95,574.18
18,358.782338,1479,123440,139.91,635.14
19,450.060595,428,123868,136.40,635.14
20,176.879973,222,124090,132.17,635.14
21,834.323597,71,124161,127.91,635.14
22,886.982493,266,124427,124.18,635.14
23,651.374861,60,124487,120.27,635.14
24,200.593873,30,124517,116.65,637.26
25,153.634311,15,124532,113.12,637.26
26,746.532134,3,124535,109.79,637.26
27,254.427376,20,124555,106.66,637.26
28,2018.520872,1,124556,103.70,637.26
29,0.000000,0,124556,100.84,637.26
30,0.000000,0,124556,98.14,637.26
31,0.000000,0,124556,95.60,637.26
32,0.000000,0,124556,93.22,637.26
33,0.000000,0,124556,90.91,637.26
34,0.000000,0,124556,88.71,637.54
35,0.000000,0,124556,86.64,637.54
36,0.000000,0,124556,84.67,637.54
37,0.000000,0,124556,82.78,637.54
38,0.000000,0,124556,80.96,637.54
39,0.000000,0,124556,79.23,637.54
40,0.000000,0,124556,77.60,637.54
41,0.000000,0,124556,76.00,637.54
42,0.000000,0,124556,74.48,637.54
43,0.000000,0,124556,73.01,637.54
44,0.000000,0,124556,71.61,637.54
45,0.000000,0,124556,70.26,637.54
