unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1460829096,115.988122,4058,4058,2.12,16.59,1.14,15.54,2.49,17.93,1.92,16.69
1460829097,90.440798,11018,15076,36.54,72.68,27.56,47.97,32.19,49.69,32.10,56.78
1460829098,119.145182,8140,23216,65.20,93.20,50.00,66.54,56.36,61.03,57.19,73.59
1460829099,139.409258,7291,30507,83.41,107.37,61.52,80.49,69.96,78.39,71.63,88.75
1460829100,141.377100,7091,37598,99.67,109.83,71.71,79.46,80.76,81.24,84.05,90.18
1460829101,111.437879,8916,46514,115.58,131.50,79.47,95.46,90.39,99.63,95.15,108.86
1460829102,105.922927,9464,55978,131.55,147.63,89.87,117.94,100.17,116.33,107.20,127.30
1460829103,101.204154,10100,66078,147.27,170.09,97.93,135.66,108.75,136.03,117.98,147.26
1460829104,95.433470,10260,76338,161.91,169.49,106.18,124.95,116.10,123.92,128.06,139.45
1460829105,99.721295,10085,86423,175.35,196.45,112.59,146.51,123.40,145.66,137.11,162.87
1460829106,104.466036,9640,96063,185.03,216.65,117.31,170.75,128.99,169.23,143.78,185.54
1460829107,100.403933,9971,106034,195.12,239.40,122.33,187.26,133.51,187.60,150.32,204.75
1460829108,103.059190,9535,115569,204.04,264.96,126.72,205.28,137.34,206.70,156.03,225.65
1460829109,97.061832,10470,126039,212.30,290.38,130.62,225.80,140.94,225.90,161.29,247.36
1460829110,98.938599,10030,136069,219.54,265.22,134.71,192.90,145.29,192.98,166.51,217.03
1460829111,108.148491,9234,145303,226.24,281.63,138.03,216.66,149.00,216.05,171.09,238.11
1460829112,101.678267,9943,155246,231.27,310.92,140.33,229.96,151.31,229.66,174.30,256.85
1460829113,98.224215,10023,165269,237.76,331.65,143.64,255.43,154.68,253.53,178.69,280.20
1460829114,104.023185,9685,174954,242.66,351.29,145.47,272.50,156.94,269.83,181.69,297.87
1460829115,108.682573,9247,184201,246.79,370.65,149.06,299.30,160.14,296.99,185.33,322.31
1460829116,112.100641,8902,193103,250.11,397.77,151.35,315.27,162.33,314.11,187.93,342.38
1460829117,148.511924,6626,199729,251.58,412.44,152.80,332.98,163.47,330.07,189.28,358.50
1460829118,123.821696,7606,207335,253.04,431.96,153.46,347.31,164.23,345.61,190.24,374.96
1460829119,107.481963,9403,216738,255.48,452.60,154.62,362.81,165.41,362.80,191.84,392.74
1460829120,101.783703,10143,226881,258.86,475.28,156.08,379.16,167.25,377.57,194.06,410.67
1460829121,122.883468,7938,234819,261.62,498.12,157.26,399.11,168.02,396.76,195.63,431.33
1460829122,125.067509,8360,243179,263.34,522.37,158.39,418.19,168.39,415.15,196.71,451.90
1460829123,110.499820,8948,252127,264.90,547.96,159.69,436.28,169.54,435.44,198.04,473.23
1460829124,114.569392,8799,260926,266.54,553.88,160.73,455.45,170.81,455.66,199.36,488.33
1460829125,107.680379,9270,270196,268.69,480.65,160.54,345.04,171.10,360.45,200.11,395.38
1460829126,133.268691,7693,277889,271.19,504.10,161.73,365.50,170.68,363.96,201.20,411.19
1460829127,117.403188,8402,286291,273.22,533.89,162.81,387.67,171.16,387.22,202.40,436.26
1460829128,123.134892,7885,294176,273.97,535.66,164.09,408.54,172.34,407.25,203.47,450.48
1460829129,105.267390,9605,303781,276.01,562.79,163.54,411.75,172.63,428.99,204.06,467.84
1460829130,123.641373,8166,311947,278.32,583.08,164.41,436.70,172.10,429.88,204.94,483.22
1460829131,115.338695,8724,320671,279.55,610.94,165.66,460.64,173.15,456.29,206.12,509.29
1460829132,96.796738,9737,330408,281.26,614.81,166.41,484.96,174.12,482.26,207.26,527.34
1460829133,110.846322,9444,339852,283.60,643.16,166.11,490.51,173.56,498.87,207.76,544.18
1460829134,112.022907,8947,348799,285.67,666.00,167.00,511.58,174.47,511.28,209.05,562.95
1460829135,93.807967,10444,359243,286.56,669.86,168.54,538.35,175.60,536.85,210.23,581.69
1460829136,113.288636,9140,368383,288.63,697.25,168.25,541.04,175.16,565.68,210.68,601.32
1460829137,108.613015,9046,377429,290.23,723.70,169.37,572.58,176.05,567.70,211.88,621.33
1460829138,91.822837,10994,388423,291.40,726.28,170.06,600.56,177.17,599.79,212.88,642.21
1460829139,105.813901,9521,397944,293.73,756.59,169.94,605.16,176.56,604.43,213.41,655.39
1460829140,109.533310,8231,406175,293.91,760.35,171.41,633.30,178.11,629.74,214.48,674.46
1460829141,116.268484,9359,415534,295.72,789.31,170.81,639.25,178.77,659.31,215.10,695.96
1460829142,114.703340,8724,424258,295.92,814.80,172.26,666.00,178.56,664.46,215.58,715.09
1460829143,101.099190,9899,434157,297.68,823.66,171.63,696.47,179.08,695.00,216.13,738.38
1460829144,112.020302,8852,443009,298.92,852.68,172.89,702.97,178.58,697.00,216.80,750.88
1460829145,93.235586,10935,453944,300.00,854.86,173.80,731.36,179.53,731.28,217.78,772.50
1460829146,110.288802,8985,462929,301.87,887.93,173.60,736.00,178.92,733.46,218.13,785.80
1460829147,100.145763,9886,472815,301.97,893.82,175.03,771.82,180.25,767.30,219.08,810.98
1460829148,122.750985,8027,480842,303.55,927.28,174.51,776.84,179.56,771.59,219.21,825.24
1460829149,106.761441,9650,490492,303.07,931.05,175.62,811.27,180.50,803.93,219.73,848.75
1460829150,112.278296,8854,499346,304.99,966.06,175.23,816.84,180.09,808.12,220.10,863.67
1460829151,95.188577,654,,,,,,,,,
