second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
0,97.024570,4422,4422,1.69,16.80
1,91.002589,10900,15322,33.70,58.37
2,101.785547,9600,24922,58.08,72.84
3,100.643251,9984,34906,76.96,93.17
4,101.963667,9841,44747,92.11,100.82
5,103.986268,9761,54508,105.43,122.73
6,103.577999,9518,64026,116.24,141.21
7,104.964850,9378,73404,125.97,138.42
8,96.076396,10632,84036,134.05,156.42
9,101.631608,9760,93796,141.78,182.16
10,99.027450,10166,103962,148.80,201.68
11,95.624045,10278,114240,154.68,225.96
12,102.414354,10073,124313,159.76,245.69
13,116.879415,8355,132668,164.73,208.88
14,98.892233,10303,142971,168.20,234.36
15,102.499589,9638,152609,172.15,251.81
16,101.919249,9806,162415,175.50,275.87
17,99.539393,10183,172598,178.83,292.86
18,100.847459,9617,182215,182.43,315.45
19,109.262558,9466,191681,184.74,334.70
20,102.207411,9642,201323,186.94,352.93
21,106.392029,9445,210768,189.15,376.63
22,106.327238,9284,220052,191.16,400.98
23,96.014646,10399,230451,193.80,421.12
24,109.759572,8407,238858,195.38,441.67
25,112.699164,9756,248614,196.54,460.47
26,110.753758,8927,257541,197.66,477.50
27,118.599883,8295,265836,199.01,386.76
28,112.918462,8960,274796,200.06,401.96
29,109.783738,9165,283961,201.15,426.22
30,116.812204,8404,292365,202.17,448.91
31,123.204224,8181,300546,202.11,459.77
32,99.102108,9966,310512,203.75,478.26
33,141.870551,7075,317587,204.49,501.32
34,197.078951,4416,322003,203.39,506.73
35,357.098081,2979,324982,201.41,526.48
36,182.183976,5753,330735,200.12,531.45
37,212.433591,4527,335262,199.16,547.41
38,119.613430,8347,343609,198.86,557.10
39,112.230802,9619,353228,200.13,576.52
40,107.035582,9239,362467,201.04,593.36
41,111.335092,9105,371572,202.05,606.52
42,105.757421,9356,380928,203.24,634.33
43,98.043840,10289,391217,204.72,651.87
44,102.227850,9897,401114,205.59,665.49
45,100.006304,9159,410273,206.70,686.78
46,111.615717,9505,419778,207.60,713.03
47,113.866475,8814,428592,207.96,730.22
48,101.737987,9833,438425,209.08,750.00
49,110.060348,9113,447538,209.64,763.81
50,97.780858,10041,457579,210.64,784.81
51,109.841908,8996,466575,211.00,798.20
52,106.520332,9594,476169,211.95,822.80
53,109.332795,9280,485449,212.27,838.72
54,90.526617,10963,496412,213.42,861.06
55,134.328136,3588,,,
